YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,223.52,938730.0,223.52,221.95,225.51,224.67,
2017-01-04,225.16,723274.0,225.16,223.74,225.9,224.27,
2017-01-05,227.56,956644.0,227.56,219.81,227.94,222.76,
2017-01-06,228.35,697170.0,228.35,225.35,228.78,225.9,
2017-01-09,226.79,601720.0,226.79,226.1,229.1,228.35,
2017-01-10,225.3,1166994.0,225.3,224.91,227.425,226.71,
2017-01-11,219.76,1468240.0,219.76,218.56,224.3,224.29,
2017-01-12,217.3,1514688.0,217.3,213.6,219.8,219.05,
2017-01-13,214.12,997559.0,214.12,213.93,217.29,217.29,
2017-01-17,217.69,842356.0,217.69,214.59,217.865,214.72,
2017-01-18,215.6,1056045.0,215.6,214.04,218.05,217.59,
2017-01-19,215.33,601060.0,215.33,214.03,216.0399,214.96,
2017-01-20,217.97,1040790.0,217.97,213.66,218.3,215.4,
2017-01-23,220.25,733823.0,220.25,217.89,221.2,218.0,
2017-01-24,222.39,798524.0,222.39,219.67,222.96,220.0,
2017-01-25,218.91,792020.0,218.91,218.56,222.63,222.24,
2017-01-26,218.25,517511.0,218.25,216.68,221.12,219.1,
2017-01-27,216.57,573242.0,216.57,215.28,219.46,218.57,
2017-01-30,214.99,508716.0,214.99,214.53,217.3,216.0,
2017-01-31,215.0,540071.0,215.0,214.24,217.42,215.3,
2017-02-01,213.29,675471.0,213.29,212.5,216.495,215.07,
2017-02-02,215.02,658914.0,215.02,213.19,216.05,213.19,
2017-02-03,216.53,747667.0,216.53,215.4,218.11,216.64,
2017-02-06,215.69,545719.0,215.69,214.55,217.33,216.53,
2017-02-07,216.48,666687.0,216.48,213.7,217.24,215.71,
2017-02-08,219.7,688058.0,219.7,216.52,220.57,216.66,
2017-02-09,218.47,391021.0,218.47,217.22,219.65,219.65,
2017-02-10,219.79,442289.0,219.79,217.13,219.83,218.27,
2017-02-13,220.06,464623.0,220.06,218.52,221.18,220.08,
2017-02-14,216.9,513439.0,216.9,215.0,220.43,220.06,
2017-02-15,217.08,640935.0,217.08,213.94,218.445,215.6,
2017-02-16,220.64,822611.0,220.64,217.97,223.33,217.97,
2017-02-17,225.76,1151438.0,225.76,220.0,225.8,220.99,
2017-02-21,227.73,832991.0,227.73,223.03,228.1,224.7,
2017-02-22,226.24,817489.0,226.24,224.84,229.71,228.1,
2017-02-23,227.07,1146931.0,227.07,222.2,231.49,229.0,
2017-02-24,228.41,757627.0,228.41,225.58,229.9,227.53,
2017-02-27,228.04,487410.0,228.04,227.0,228.95,228.85,
2017-02-28,227.46,1039767.0,227.46,226.43,229.5,228.26,
2017-03-01,229.33,793567.0,229.33,225.08,230.68,228.04,
2017-03-02,226.97,816228.0,226.97,226.73,230.25,228.85,
2017-03-03,226.61,617767.0,226.61,224.27,227.465,226.05,
2017-03-06,227.92,424320.0,227.92,225.0,228.34,226.58,
2017-03-07,228.01,667610.0,228.01,225.94,228.01,226.95,
2017-03-08,223.82,861334.0,223.82,223.56,227.17,227.17,
2017-03-09,222.34,676020.0,222.34,221.66,225.4,224.0,
2017-03-10,220.07,767597.0,220.07,218.6,224.77,223.4,
2017-03-13,217.26,894007.0,217.26,215.635,219.41,218.53,
2017-03-14,219.35,668569.0,219.35,215.93,219.85,217.0,
2017-03-15,223.13,742691.0,223.13,218.71,223.69,219.28,
2017-03-16,220.54,798037.0,220.54,219.74,223.44,222.86,
2017-03-17,222.49,1477814.0,222.49,221.045,225.625,221.37,
2017-03-20,223.64,721969.0,223.64,220.65,224.06,222.71,
2017-03-21,224.28,954977.0,224.28,222.76,225.5,223.77,
2017-03-22,225.77,759277.0,225.77,222.38,226.31,224.38,
2017-03-23,225.92,843017.0,225.92,224.44,227.74,224.82,
2017-03-24,222.91,635639.0,222.91,222.82,227.18,226.1,
2017-03-27,220.91,576157.0,220.91,220.5,224.9,221.69,
2017-03-28,222.16,760143.0,222.16,218.86,222.33,220.88,
2017-03-29,219.95,703500.0,219.95,217.71,221.86,221.55,
2017-03-30,219.4,923930.0,219.4,217.19,220.795,219.08,
2017-03-31,218.91,1004687.0,218.91,218.071,221.385,219.49,
2017-04-03,219.31,856764.0,219.31,216.063,220.19,219.0,
2017-04-04,220.31,745131.0,220.31,217.95,221.8,219.26,
2017-04-05,222.29,667120.0,222.29,219.84,223.47,220.01,
2017-04-06,222.64,550537.0,222.64,221.37,223.61,221.83,
2017-04-07,223.6,435228.0,223.6,222.61,224.17,223.06,
2017-04-10,225.84,518890.0,225.84,223.15,226.01,223.61,
2017-04-11,226.37,505439.0,226.37,225.64,227.21,225.99,
2017-04-12,224.3,638251.0,224.3,223.41,226.81,225.46,
2017-04-13,225.97,441147.0,225.97,223.48,226.3,223.51,
2017-04-17,231.19,694614.0,231.19,225.77,231.22,226.96,
2017-04-18,231.18,604326.0,231.18,228.31,232.21,230.08,
2017-04-19,229.99,453783.0,229.99,229.37,231.68,231.68,
2017-04-20,229.4,752881.0,229.4,228.18,230.4,230.24,
2017-04-21,228.37,819809.0,228.37,228.33,230.23,229.28,
2017-04-24,226.47,976356.0,226.47,222.57,229.03,228.93,
2017-04-25,225.54,526442.0,225.54,224.7,226.75,226.47,
2017-04-26,223.93,731934.0,223.93,223.3,225.62,225.62,
2017-04-27,213.0,2272411.0,213.0,211.022,223.84,221.0,
2017-04-28,209.38,1423353.0,209.38,208.46,212.97,211.91,
2017-05-01,207.23,1152457.0,207.23,205.01,211.53,210.33,
2017-05-02,207.27,1035332.0,207.27,206.18,210.41,207.01,
2017-05-03,205.53,997540.0,205.53,203.6,208.54,208.08,
2017-05-04,207.63,1232436.0,207.63,201.97,208.08,205.15,
2017-05-05,208.25,858177.0,208.25,206.3,210.0,207.79,
2017-05-08,208.45,1009129.0,208.45,206.96,208.77,208.55,
2017-05-09,208.07,803976.0,208.07,206.77,208.3,207.95,
2017-05-10,208.92,683844.0,208.92,207.75,211.68,207.88,
2017-05-11,208.47,912864.0,208.47,207.19,209.3,208.07,
2017-05-12,208.64,766099.0,208.64,207.38,209.36,208.17,
2017-05-15,209.73,834262.0,209.73,208.31,210.06,208.37,
2017-05-16,208.14,999674.0,208.14,207.15,210.03,209.68,
2017-05-17,212.95,1665329.0,212.95,207.37,214.18,207.37,
2017-05-18,216.12,1652290.0,216.12,212.38,216.16,213.37,
2017-05-19,214.48,2114691.0,214.48,213.8,216.1899,215.64,
2017-05-22,215.6,938054.0,215.6,213.96,216.73,214.72,
2017-05-23,217.2,839852.0,217.2,215.11,217.84,215.82,
2017-05-24,217.57,773581.0,217.57,216.6,218.99,217.0,
