YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,86.79,2257922.0,86.79,86.65,87.92,87.31,
2017-01-04,87.26,2306937.0,87.26,87.08,88.26,87.17,
2017-01-05,86.74,2056344.0,86.74,86.66,88.12,87.26,
2017-01-06,85.4,1989419.0,85.4,85.28,86.97,86.78,
2017-01-09,84.02,2581885.0,84.02,83.75,84.91,84.91,
2017-01-10,83.76,3697739.0,83.76,83.59,85.18,84.0,
2017-01-11,84.89,3543458.0,84.89,83.8,85.6,83.91,
2017-01-12,84.34,2169405.0,84.34,83.51,85.12,85.09,
2017-01-13,83.29,2242898.0,83.29,83.065,84.16,84.06,
2017-01-17,83.56,2379722.0,83.56,83.08,84.65,83.21,
2017-01-18,84.13,1967628.0,84.13,83.5,84.5054,83.52,
2017-01-19,82.99,1929621.0,82.99,82.68,84.075,83.95,
2017-01-20,83.04,2068209.0,83.04,82.5801,84.03,83.49,
2017-01-23,82.2,2033681.0,82.2,82.02,83.37,83.28,
2017-01-24,84.19,2398491.0,84.19,82.55,84.455,82.64,
2017-01-25,85.0,1707908.0,85.0,84.465,85.29,84.71,
2017-01-26,84.24,1619017.0,84.24,84.03,85.34,85.18,
2017-01-27,82.77,2099317.0,82.77,82.5,84.35,84.01,
2017-01-30,82.33,2374950.0,82.33,81.69,82.75,82.5,
2017-01-31,81.62,2740239.0,81.62,81.15,82.37,82.0,
2017-02-01,80.75,3030209.0,80.75,80.36,82.319,82.11,
2017-02-02,81.05,3387510.0,81.05,80.23,81.26,80.93,
2017-02-03,79.95,3672491.0,79.95,78.82,81.2,80.5,
2017-02-06,79.14,3016713.0,79.14,79.0,80.19,80.0,
2017-02-07,78.55,3255417.0,78.55,77.81,79.14,79.1,
2017-02-08,78.86,3042751.0,78.86,77.81,79.02,78.25,
2017-02-09,79.25,2597146.0,79.25,78.98,79.63,79.4,
2017-02-10,79.86,2030723.0,79.86,79.3817,79.98,79.42,
2017-02-13,79.9,2112045.0,79.9,79.57,80.12,79.86,
2017-02-14,79.98,2544690.0,79.98,79.15,80.1031,79.98,
2017-02-15,80.08,2272772.0,80.08,79.655,80.39,79.73,
2017-02-16,78.5,2940016.0,78.5,78.4,79.69,79.6,
2017-02-17,78.66,2219168.0,78.66,78.35,79.24,78.49,
2017-02-21,79.03,2833653.0,79.03,78.76,79.39,79.08,
2017-02-22,78.38,2017469.0,78.38,78.22,79.0,79.0,
2017-02-23,78.61,1865089.0,78.61,78.36,79.35,79.0,
2017-02-24,78.03,2225522.0,78.03,77.69,78.49,78.39,
