YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,46.64,1415421.0,46.64,45.93,47.14,46.59,12552.0
2017-01-04,46.85,1195545.0,46.85,46.64,47.4,46.66,10515.0
2017-01-05,47.11,1114146.0,47.11,46.57,47.28,46.9,8236.0
2017-01-06,48.25,988520.0,48.25,46.85,48.51,47.15,8406.0
2017-01-09,48.78,1496076.0,48.78,47.73,48.96,48.32,9662.0
2017-01-10,49.47,1406126.0,49.47,48.6799,49.74,48.77,10284.0
2017-01-11,49.09,1053745.0,49.09,48.48,49.78,49.61,9599.0
2017-01-12,49.31,1022679.0,49.31,48.4,49.5,49.19,8840.0
2017-01-13,49.23,863392.0,49.23,49.12,49.8,49.26,8046.0
2017-01-17,47.36,1778303.0,47.36,47.08,49.09,49.09,14643.0
2017-01-18,47.38,1362336.0,47.38,46.87,47.755,47.36,12899.0
2017-01-19,50.21,4845663.0,50.21,49.3305,51.89,49.5,39054.0
2017-01-20,49.56,1723479.0,49.56,49.12,50.47,50.04,16533.0
2017-01-23,50.5,1952480.0,50.5,49.67,50.75,49.67,15307.0
2017-01-24,52.16,1719910.0,52.16,50.538,52.27,50.65,14014.0
2017-01-25,53.0,1893958.0,53.0,52.2,53.01,52.5,14973.0
2017-01-26,52.82,1670674.0,52.82,52.52,54.13,53.46,14505.0
2017-01-27,52.23,977334.0,52.23,52.05,53.21,52.84,9198.0
2017-01-30,52.15,629107.0,52.15,51.1,52.19,52.04,6064.0
2017-01-31,52.57,837308.0,52.57,51.53,52.65,51.76,7607.0
2017-02-01,52.19,1066018.0,52.19,51.98,52.96,52.57,9509.0
2017-02-02,53.52,1730179.0,53.52,52.06,53.96,52.2,14780.0
2017-02-03,53.97,1209878.0,53.97,53.25,54.27,53.54,10642.0
2017-02-06,53.8,1104836.0,53.8,53.5,54.1,53.74,7289.0
2017-02-07,53.82,797904.0,53.82,53.65,54.15,53.88,7196.0
2017-02-08,54.22,1081846.0,54.22,53.5,54.26,53.87,8588.0
2017-02-09,54.79,1221518.0,54.79,54.03,55.07,54.2,9816.0
2017-02-10,54.18,849985.0,54.18,53.72,54.99,54.88,7664.0
2017-02-13,54.3,668490.0,54.3,53.9,54.57,54.5,6395.0
2017-02-14,54.46,565174.0,54.46,53.72,54.49,54.06,6311.0
2017-02-15,54.7,1009271.0,54.7,54.06,54.89,54.14,9875.0
2017-02-16,53.66,1547921.0,53.66,53.49,54.66,54.19,13240.0
2017-02-17,54.26,859917.0,54.26,53.44,54.27,53.5,8492.0
2017-02-21,55.37,1277384.0,55.37,53.99,55.42,53.99,12249.0
2017-02-22,54.85,860305.0,54.85,54.69,55.4167,55.36,7532.0
2017-02-23,54.67,915632.0,54.67,54.4466,55.23,54.85,7772.0
2017-02-24,55.1,742777.0,55.1,54.07,55.18,54.33,7164.0
2017-02-27,54.87,792326.0,54.87,54.5907,55.12,55.1,6569.0
2017-02-28,53.89,1046467.0,53.89,53.8401,54.58,54.58,8513.0
