YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,40.25,8247354.0,40.25,40.0,40.98,40.29,53301.0
2017-01-04,41.0,6806386.0,41.0,40.045,41.03,40.35,42041.0
2017-01-05,41.06,6431957.0,41.06,41.0399,41.72,41.43,39933.0
2017-01-06,41.45,5586404.0,41.45,40.79,41.64,41.24,34340.0
2017-01-09,41.4,3943868.0,41.4,41.11,41.51,41.49,25656.0
2017-01-10,41.08,4174906.0,41.08,41.07,41.55,41.4,27935.0
2017-01-11,41.28,4425295.0,41.28,40.835,41.38,41.23,30389.0
2017-01-12,41.56,3840529.0,41.56,40.92,41.6052,41.28,28786.0
2017-01-13,41.6,3917699.0,41.6,41.53,41.84,41.65,28624.0
2017-01-17,41.27,5932904.0,41.27,41.2,41.71,41.6,33622.0
2017-01-18,41.35,4706020.0,41.35,41.11,41.49,41.41,29606.0
2017-01-19,41.27,4718177.0,41.27,41.03,41.68,41.25,31316.0
2017-01-20,41.69,6868514.0,41.69,41.3,41.72,41.39,35301.0
2017-01-23,41.62,8497050.0,41.62,41.25,42.11,41.86,43023.0
2017-01-24,41.96,6107190.0,41.96,41.53,42.04,41.95,36466.0
2017-01-25,41.71,9253596.0,41.71,41.66,42.44,42.36,45039.0
2017-01-26,41.5,11838127.0,41.5,41.285,42.5,42.36,62407.0
2017-01-27,40.27,22756197.0,40.27,39.92,41.2,41.0,109650.0
2017-01-30,39.86,11489511.0,39.86,39.42,40.27,40.17,59426.0
2017-01-31,39.78,9100057.0,39.78,39.45,40.01,39.7,45320.0
2017-02-01,39.31,8860416.0,39.31,39.11,40.0,39.96,50640.0
2017-02-02,39.58,8736786.0,39.58,39.02,39.84,39.4,45122.0
2017-02-03,39.59,7131059.0,39.59,39.55,39.93,39.79,35856.0
2017-02-06,39.74,8206410.0,39.74,39.34,39.83,39.64,32430.0
2017-02-07,40.02,7956319.0,40.02,39.7,40.34,40.01,38005.0
2017-02-08,40.88,7398987.0,40.88,39.92,40.99,40.18,47896.0
2017-02-09,40.83,6467576.0,40.83,40.3,40.995,40.44,39157.0
2017-02-10,40.58,6248231.0,40.58,40.56,40.86,40.82,32728.0
2017-02-13,41.17,6260907.0,41.17,40.74,41.3,40.83,42066.0
2017-02-14,41.62,6496404.0,41.62,40.94,41.63,41.18,37578.0
2017-02-15,41.87,7124617.0,41.87,41.27,41.93,41.69,43837.0
2017-02-16,42.15,5774302.0,42.15,41.7,42.31,41.87,38391.0
2017-02-17,41.96,5106063.0,41.96,41.8,42.3,41.92,29338.0
2017-02-21,42.43,5874724.0,42.43,41.9,42.56,41.93,38140.0
2017-02-22,42.42,4316768.0,42.42,42.12,42.53,42.3,28991.0
2017-02-23,42.53,5456296.0,42.53,42.16,42.67,42.37,35102.0
2017-02-24,43.07,6770328.0,43.07,41.83,43.07,42.11,41200.0
2017-02-27,42.64,5026742.0,42.64,42.35,42.89,42.89,35017.0
2017-02-28,42.0,6956821.0,42.0,41.99,42.49,42.49,37667.0
2017-03-01,42.43,6003750.0,42.43,41.99,42.52,42.31,43849.0
2017-03-02,42.77,4572587.0,42.77,42.2,42.86,42.4,33707.0
2017-03-03,43.03,4214435.0,43.03,42.58,43.04,42.7,28345.0
2017-03-06,42.87,6032844.0,42.87,42.63,43.03,42.98,36456.0
2017-03-07,42.89,4404707.0,42.89,42.71,43.2,42.8,30185.0
2017-03-08,42.79,4573934.0,42.79,42.72,43.18,42.84,28599.0
2017-03-09,42.92,3487918.0,42.92,42.45,43.0,42.66,26955.0
2017-03-10,42.99,4636199.0,42.99,42.76,43.28,43.19,29923.0
2017-03-13,42.59,5527468.0,42.59,42.45,42.965,42.87,32060.0
2017-03-14,42.1,5888061.0,42.1,41.74,42.64,42.51,38837.0
2017-03-15,42.39,4291806.0,42.39,41.89,42.57,42.29,28895.0
2017-03-16,42.4,3998562.0,42.4,42.14,42.58,42.5,28710.0
2017-03-17,43.08,12309652.0,43.08,42.37,43.3,42.57,49520.0
2017-03-20,43.16,6686901.0,43.16,42.81,43.32,43.1,41442.0
2017-03-21,42.64,7838436.0,42.64,42.46,43.4,43.33,48237.0
2017-03-22,43.19,6513636.0,43.19,42.45,43.24,42.595,41175.0
2017-03-23,43.14,7176360.0,43.14,43.0,43.61,43.13,46290.0
2017-03-24,43.13,5739538.0,43.13,42.935,43.495,43.48,34699.0
2017-03-27,43.08,3850321.0,43.08,42.58,43.2,42.69,27003.0
2017-03-28,43.15,4396544.0,43.15,42.84,43.25,42.87,31823.0
2017-03-29,43.24,3951121.0,43.24,42.96,43.3,43.15,23597.0
2017-03-30,43.54,5691682.0,43.54,43.0,43.8,43.15,37886.0
2017-03-31,43.02,5177925.0,43.02,43.01,43.48,43.44,26604.0
2017-04-03,42.63,7772986.0,42.63,42.51,43.3,43.2,47410.0
2017-04-04,42.72,4681835.0,42.72,42.26,42.74,42.74,32013.0
2017-04-05,42.89,5292287.0,42.89,42.74,43.3433,42.83,35649.0
2017-04-06,42.9,5395420.0,42.9,42.72,43.0,42.9,27312.0
2017-04-07,43.04,4861189.0,43.04,42.71,43.175,42.89,31952.0
2017-04-10,43.05,4579501.0,43.05,43.01,43.55,43.07,27136.0
2017-04-11,42.69,4856260.0,42.69,42.61,43.09,42.99,34167.0
2017-04-12,42.49,5800144.0,42.49,42.06,42.81,42.1,38536.0
2017-04-13,42.55,3651522.0,42.55,42.32,42.89,42.5,23093.0
2017-04-17,43.1,3151602.0,43.1,42.6,43.14,42.6,22347.0
2017-04-18,43.09,3711648.0,43.09,42.86,43.2,43.2,26210.0
2017-04-19,43.3,4913855.0,43.3,42.9,43.47,43.03,32104.0
2017-04-20,43.69,4811155.0,43.69,43.26,43.8,43.32,35020.0
2017-04-21,43.81,8015796.0,43.81,43.6,44.0,43.86,37402.0
2017-04-24,44.27,4643797.0,44.27,43.95,44.28,44.09,31272.0
2017-04-25,44.71,7827949.0,44.71,44.35,45.01,44.49,46628.0
2017-04-26,44.41,9846931.0,44.41,44.25,45.04,45.04,57172.0
2017-04-27,47.15,34420209.0,47.15,46.75,48.1,47.25,176613.0
2017-04-28,47.72,11642778.0,47.72,46.87,47.755,47.03,67850.0
2017-05-01,47.54,14537516.0,47.54,47.32,47.7125,47.39,76031.0
2017-05-02,49.05,16820809.0,49.05,47.4,49.07,47.41,74423.0
2017-05-03,49.02,11613055.0,49.02,48.625,49.29,49.16,59862.0
2017-05-04,48.91,7148798.0,48.91,48.82,49.38,48.93,45090.0
2017-05-05,49.3,4876241.0,49.3,48.4,49.44,48.62,35977.0
2017-05-08,49.17,6641007.0,49.17,48.81,49.45,49.43,31715.0
2017-05-09,49.22,4774764.0,49.22,48.9,49.37,49.06,33629.0
2017-05-10,49.79,6507686.0,49.79,49.015,49.8,49.18,41596.0
2017-05-11,49.7,5547776.0,49.7,49.11,49.71,49.63,40367.0
2017-05-12,49.37,4933734.0,49.37,49.24,49.75,49.58,33889.0
2017-05-15,49.77,4705853.0,49.77,49.25,50.0,49.31,33607.0
2017-05-16,50.34,5347215.0,50.34,49.57,50.35,49.63,34136.0
2017-05-17,49.05,6598437.0,49.05,49.025,50.1,49.87,47485.0
2017-05-18,49.11,9932138.0,49.11,48.89,49.58,49.03,56289.0
2017-05-19,49.39,7813796.0,49.39,49.06,49.71,49.15,42444.0
2017-05-22,49.77,13172888.0,49.77,49.35,49.88,49.45,41905.0
2017-05-23,50.13,7134231.0,50.13,49.77,50.18,49.9,37165.0
2017-05-24,51.05,6311013.0,51.05,50.14,51.08,50.23,40145.0
2017-05-25,50.93,4950501.0,50.93,50.64,51.13,50.77,33621.0
2017-05-26,51.19,4780790.0,51.19,50.89,51.39,51.04,32758.0
2017-05-30,51.06,5550300.0,51.06,50.86,51.28,50.96,25896.0
2017-05-31,52.21,11437174.0,52.21,50.88,52.24,51.13,52049.0
2017-06-01,53.16,13898324.0,53.16,52.475,53.39,52.48,77876.0
2017-06-02,53.52,9246798.0,53.52,53.08,53.64,53.44,50392.0
2017-06-05,53.8,9656350.0,53.8,53.59,54.07,53.77,45293.0
2017-06-06,53.4,6307991.0,53.4,53.16,53.8,53.75,37363.0
2017-06-07,53.85,6368670.0,53.85,53.26,53.94,53.3,38139.0
2017-06-08,54.39,6369854.0,54.39,53.45,54.43,54.03,41279.0
2017-06-09,53.4,11174120.0,53.4,52.85,55.14,54.65,75235.0
2017-06-12,52.16,15765618.0,52.16,51.43,52.9,52.81,105703.0
2017-06-13,52.06,10411769.0,52.06,51.7,52.485,52.29,66708.0
2017-06-14,51.9,7132478.0,51.9,51.535,52.505,52.0,50881.0
2017-06-15,52.29,12401612.0,52.29,50.83,52.38,51.44,68232.0
2017-06-16,51.84,10931122.0,51.84,51.58,52.16,52.04,49300.0
2017-06-19,52.93,5643921.0,52.93,52.1101,53.0,52.28,39673.0
2017-06-20,52.52,4578671.0,52.52,52.43,53.23,52.84,34402.0
2017-06-21,53.54,8016566.0,53.54,52.61,53.58,52.99,48956.0
2017-06-22,53.87,9673131.0,53.87,52.86,53.951,53.71,46520.0
2017-06-23,54.33,6257335.0,54.33,53.69,54.53,53.82,37963.0
2017-06-26,53.74,4890334.0,53.74,53.65,55.1,54.44,36252.0
2017-06-27,52.73,7706819.0,52.73,52.64,53.79,53.6,51094.0
2017-06-28,54.39,7934293.0,54.39,52.65,54.44,52.75,51568.0
2017-06-29,53.42,11616229.0,53.42,52.52,54.1,53.81,72130.0
2017-06-30,53.67,8234950.0,53.67,53.29,54.25,53.6,40870.0
2017-07-03,52.87,4831590.0,52.87,52.83,54.33,54.14,33992.0
2017-07-05,54.61,9800564.0,54.61,52.94,54.75,53.0,58227.0
2017-07-06,53.47,7447943.0,53.47,53.15,54.3506,54.22,52934.0
2017-07-07,53.97,4948120.0,53.97,53.52,54.48,53.7,33452.0
2017-07-10,54.94,10469616.0,54.94,54.7,55.42,54.91,57261.0
2017-07-11,54.76,9011496.0,54.76,54.33,55.2,54.92,49244.0
2017-07-12,56.55,17490833.0,56.55,55.55,57.445,56.6,100262.0
2017-07-13,57.9,14795531.0,57.9,56.8,57.91,57.3,83119.0
2017-07-14,57.16,11777059.0,57.16,56.915,58.63,58.14,69160.0
2017-07-17,57.58,5803328.0,57.58,57.02,57.6,57.53,38932.0
2017-07-18,58.96,9477534.0,58.96,57.31,58.96,57.5,59289.0
2017-07-19,58.35,9706707.0,58.35,57.55,58.62,58.31,62644.0
2017-07-20,59.09,8057396.0,59.09,58.43,59.38,58.75,49865.0
2017-07-21,58.67,7577010.0,58.67,58.59,59.33,59.0,45009.0
2017-07-24,58.58,6429338.0,58.58,58.34,59.07,58.9,38716.0
2017-07-25,58.26,8514021.0,58.26,58.19,58.83,58.73,47305.0
2017-07-26,58.79,13615557.0,58.79,57.9,58.94,58.48,77828.0
2017-07-27,60.15,22713432.0,60.15,57.6921,61.3,61.0,140252.0
2017-07-28,59.2,10800785.0,59.2,59.04,60.71,59.8,63778.0
2017-07-31,58.55,7400741.0,58.55,58.52,59.64,59.37,44850.0
2017-08-01,59.34,9081634.0,59.34,58.79,59.39,59.0,50840.0
2017-08-02,59.12,6517344.0,59.12,58.44,59.71,59.67,45037.0
2017-08-03,58.42,6260328.0,58.42,58.36,59.28,59.16,44419.0
2017-08-04,58.86,6174328.0,58.86,58.32,58.93,58.62,41567.0
2017-08-07,59.62,5888220.0,59.62,58.84,59.64,59.18,32273.0
2017-08-08,59.48,6001864.0,59.48,59.25,59.88,59.61,40249.0
2017-08-09,59.67,6023896.0,59.67,58.59,59.73,58.97,41199.0
2017-08-10,58.02,9571160.0,58.02,57.81,59.37,59.24,61662.0
2017-08-11,58.04,6962121.0,58.04,57.58,58.25,57.85,52522.0
2017-08-14,59.06,7561812.0,59.06,58.271,59.2763,58.61,45534.0
2017-08-15,59.69,6483473.0,59.69,59.23,59.98,59.3,37778.0
2017-08-16,60.29,5746963.0,60.29,59.6,60.7,59.95,41448.0
2017-08-17,59.29,6825820.0,59.29,59.29,60.28,60.15,47108.0
2017-08-18,59.44,4653341.0,59.44,58.94,59.82,59.36,32705.0
2017-08-21,59.4,4243191.0,59.4,58.755,59.65,59.33,32057.0
2017-08-22,60.84,5835707.0,60.84,59.44,61.0,59.72,40946.0
2017-08-23,60.05,4531978.0,60.05,59.82,60.51,60.3,34816.0
2017-08-24,60.0,4045282.0,60.0,59.11,60.43,60.22,30120.0
2017-08-25,59.97,4087413.0,59.97,59.61,60.58,60.33,32449.0
2017-08-28,60.53,4660643.0,60.53,59.81,60.53,60.31,27347.0
2017-08-29,61.01,4359466.0,61.01,59.63,61.16,59.82,34805.0
2017-08-30,61.77,5695990.0,61.77,60.89,61.86,61.05,39187.0
2017-08-31,61.68,6145817.0,61.68,61.17,62.029,62.0,44893.0
2017-09-01,61.46,3440389.0,61.46,61.3831,62.23,61.98,28091.0
2017-09-05,61.27,5719134.0,61.27,60.58,61.75,61.26,42231.0
2017-09-06,61.24,5350878.0,61.24,60.9,61.99,61.74,36028.0
2017-09-07,62.0,5022747.0,62.0,61.28,62.13,61.33,33465.0
2017-09-08,61.13,4942551.0,61.13,61.1,62.0,61.94,38364.0
2017-09-11,62.64,8266266.0,62.64,61.62,63.26,61.73,44647.0
2017-09-12,62.56,6276588.0,62.56,62.15,63.12,62.95,38717.0
2017-09-13,62.04,6380899.0,62.04,61.58,62.75,62.47,42043.0
2017-09-14,62.24,5697912.0,62.24,61.71,62.37,62.04,35934.0
2017-09-15,62.5,9940945.0,62.5,61.96,62.8,62.27,41450.0
2017-09-18,62.92,7688047.0,62.92,62.52,63.5299,62.62,44362.0
2017-09-19,63.83,7773975.0,63.83,62.96,63.925,63.01,50574.0
2017-09-20,64.74,11903623.0,64.74,63.83,64.87,63.99,72152.0
2017-09-21,64.63,6727318.0,64.63,63.905,64.95,64.67,61146.0
2017-09-22,65.08,6743757.0,65.08,64.11,65.24,64.33,42914.0
