YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,65.4,9519918.0,65.4,64.601,66.14,65.86,64702.0
2017-01-04,65.47,6221655.0,65.47,65.26,65.95,65.67,46908.0
2017-01-05,65.55,5998898.0,65.55,65.05,65.9764,65.32,41291.0
2017-01-06,65.53,6749352.0,65.53,64.8601,65.87,65.48,48081.0
2017-01-09,65.65,4769160.0,65.65,65.49,66.265,65.53,37344.0
2017-01-10,65.63,6076032.0,65.63,65.57,66.155,65.95,43449.0
2017-01-11,66.1,8349761.0,66.1,65.42,66.11,65.75,60213.0
2017-01-12,66.12,6113613.0,66.12,65.0546,66.18,65.35,49056.0
2017-01-13,66.88,6177365.0,66.88,66.16,67.08,66.25,45711.0
2017-01-17,64.19,22426510.0,64.19,63.15,66.97,66.71,135321.0
2017-01-18,65.13,15883201.0,65.13,63.81,66.09,64.67,93933.0
2017-01-19,64.44,9429206.0,64.44,64.36,65.4,64.97,63172.0
2017-01-20,62.88,20936881.0,62.88,62.62,65.74,65.19,118431.0
2017-01-23,54.88,94436001.0,54.88,53.77,58.67,58.67,448811.0
2017-01-24,55.0,41754510.0,55.0,54.7,55.7699,55.02,182792.0
2017-01-25,56.9,27970706.0,56.9,55.5,56.98,56.1,152807.0
2017-01-26,54.05,37888167.0,54.05,53.5,55.49,55.35,200113.0
2017-01-27,54.24,23474453.0,54.24,54.0,54.76,54.65,119846.0
2017-01-30,53.61,14858278.0,53.61,53.55,54.4,54.39,81187.0
2017-01-31,53.43,13995448.0,53.43,52.83,53.64,53.61,81238.0
2017-02-01,53.15,16102109.0,53.15,52.86,53.8192,53.64,99786.0
2017-02-02,52.66,14481351.0,52.66,52.37,53.0992,52.95,88290.0
2017-02-03,52.98,10965266.0,52.98,52.75,53.22,52.95,63620.0
2017-02-06,52.88,8215133.0,52.88,52.82,53.41,53.31,52476.0
2017-02-07,53.27,10374100.0,53.27,52.76,53.28,53.22,63932.0
2017-02-08,52.89,9229045.0,52.89,52.72,53.39,53.39,60400.0
2017-02-09,52.88,7615138.0,52.88,52.76,53.1,52.91,47520.0
2017-02-10,54.0,14042202.0,54.0,52.93,54.2825,53.1,86645.0
2017-02-13,54.93,14516176.0,54.93,54.26,55.13,54.58,83216.0
2017-02-14,55.48,13071979.0,55.48,54.82,55.52,55.428,85839.0
2017-02-15,56.49,14149193.0,56.49,55.49,56.5,55.63,84233.0
2017-02-16,56.88,11622895.0,56.88,56.445,56.9,56.58,72970.0
2017-02-17,56.46,12456638.0,56.46,56.05,56.94,56.85,70806.0
2017-02-21,56.75,9885802.0,56.75,56.58,57.19,56.83,59307.0
2017-02-22,57.1,8558537.0,57.1,56.48,57.1,56.78,50534.0
2017-02-23,57.14,10152814.0,57.14,56.77,57.305,57.01,61935.0
2017-02-24,57.22,10644787.0,57.22,56.5,57.23,57.02,62953.0
2017-02-27,56.73,7127599.0,56.73,56.31,56.98,56.56,47541.0
2017-02-28,56.48,10588223.0,56.48,55.89,56.52,56.49,53502.0
2017-03-01,57.01,11082396.0,57.01,56.27,57.08,56.93,59025.0
2017-03-02,56.37,8456235.0,56.37,56.24,57.153,56.95,53165.0
2017-03-03,56.44,6984526.0,56.44,56.0,56.57,56.52,47750.0
2017-03-06,56.45,7241631.0,56.45,56.07,56.56,56.27,48256.0
2017-03-07,56.73,7131737.0,56.73,56.19,56.82,56.6,48818.0
2017-03-08,57.77,13201652.0,57.77,56.8,58.08,56.92,76872.0
2017-03-09,57.97,9875608.0,57.97,57.4027,58.1,57.65,58891.0
2017-03-10,58.64,9751987.0,58.64,58.3,58.79,58.36,56954.0
2017-03-13,58.46,7737879.0,58.46,58.2,59.04,59.03,56680.0
2017-03-14,58.22,6276935.0,58.22,57.72,58.375,58.375,44697.0
2017-03-15,58.52,8334453.0,58.52,58.18,58.75,58.42,51622.0
2017-03-16,58.35,7206192.0,58.35,58.16,58.73,58.3,50372.0
2017-03-17,57.55,20057782.0,57.55,57.51,58.61,58.57,57385.0
2017-03-20,57.81,7498218.0,57.81,57.59,58.07,57.79,50459.0
