YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,83.87,1739482.0,83.87,82.72,84.57,82.72,
2017-01-04,84.5,1691293.0,84.5,83.52,85.2,83.92,
2017-01-05,85.0,1409480.0,85.0,84.46,85.5,84.6,
2017-01-06,84.33,1451059.0,84.33,84.235,85.38,85.28,
2017-01-09,84.55,1333520.0,84.55,84.05,85.11,84.36,
2017-01-10,85.93,1531155.0,85.93,84.36,86.78,84.77,
2017-01-11,86.62,1121795.0,86.62,85.02,86.67,85.9,
2017-01-12,85.89,1370464.0,85.89,84.78,86.47,86.43,
2017-01-13,85.09,1108394.0,85.09,84.89,86.03,85.63,
2017-01-17,84.99,1015839.0,84.99,84.03,85.11,84.88,
2017-01-18,85.51,1401501.0,85.51,84.05,86.35,84.9,
2017-01-19,84.56,1759170.0,84.56,84.26,85.94,84.72,
2017-01-20,85.04,2201689.0,85.04,84.5,86.54,84.83,
2017-01-23,84.96,2373939.0,84.96,84.52,85.18,84.97,
2017-01-24,86.03,3030881.0,86.03,85.16,86.36,85.22,
2017-01-25,87.67,3403365.0,87.67,86.48,88.23,86.75,
2017-01-26,95.64,7610481.0,95.64,92.28,96.09,93.05,
2017-01-27,94.56,3285812.0,94.56,93.79,95.6,95.52,
2017-01-30,94.4,2137329.0,94.4,93.62,95.74,95.23,
2017-01-31,93.63,1884717.0,93.63,92.65,94.46,94.42,
2017-02-01,94.33,2154880.0,94.33,93.63,95.02,93.94,
2017-02-02,94.03,1336668.0,94.03,93.61,94.82,94.21,
2017-02-03,94.52,1578223.0,94.52,93.96,95.28,94.01,
2017-02-06,94.81,1226020.0,94.81,94.08,95.14,94.18,
2017-02-07,95.03,1131355.0,95.03,94.57,95.5,95.21,
2017-02-08,94.97,1495891.0,94.97,94.58,95.37,94.99,
2017-02-09,95.37,1348190.0,95.37,94.7711,95.47,95.13,
2017-02-10,95.84,1341050.0,95.84,94.94,96.22,95.43,
2017-02-13,96.5,1177461.0,96.5,96.1,97.03,96.49,
2017-02-14,96.52,906714.0,96.52,96.22,97.07,96.44,
2017-02-15,96.75,1357007.0,96.75,95.68,97.42,96.14,
2017-02-16,95.93,1303085.0,95.93,95.42,96.85,96.68,
2017-02-17,95.21,1495032.0,95.21,94.43,95.82,95.7,
2017-02-21,95.49,1632842.0,95.49,94.93,96.05,95.22,
2017-02-22,95.95,2058303.0,95.95,95.0,96.21,95.46,
2017-02-23,95.53,1487550.0,95.53,95.42,97.39,96.55,
2017-02-24,96.15,1215616.0,96.15,94.65,96.15,95.63,
2017-02-27,96.69,1403533.0,96.69,95.57,96.89,95.96,
2017-02-28,96.1,1284841.0,96.1,96.08,97.15,96.65,
