YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,14.43,15937831.0,14.43,14.23,14.72,14.56,
2017-01-04,14.62,9759691.0,14.62,14.47,14.69,14.53,
2017-01-05,14.43,12715517.0,14.43,14.21,14.685,14.54,
2017-01-06,14.48,8194546.0,14.48,14.4,14.63,14.55,
2017-01-09,14.37,9540217.0,14.37,14.21,14.465,14.34,
2017-01-10,14.56,15784919.0,14.56,14.32,14.67,14.46,
2017-01-11,14.52,15381880.0,14.52,14.275,14.52,14.4,
2017-01-12,14.43,15692169.0,14.43,14.16,14.47,14.45,
2017-01-13,14.68,26587335.0,14.68,14.54,14.93,14.54,
2017-01-17,13.78,26022985.0,13.78,13.76,14.51,14.51,
2017-01-18,14.03,20628181.0,14.03,13.65,14.04,13.88,
2017-01-19,13.98,12778909.0,13.98,13.91,14.3,14.08,
2017-01-20,14.04,20038236.0,14.04,13.9,14.14,13.97,
2017-01-23,13.91,13191108.0,13.91,13.78,14.08,13.89,
2017-01-24,14.24,16160229.0,14.24,13.945,14.34,13.96,
2017-01-25,14.62,14882831.0,14.62,14.37,14.65,14.45,
2017-01-26,14.7,13194747.0,14.7,14.55,14.81,14.65,
2017-01-27,14.54,9361511.0,14.54,14.45,14.67,14.66,
2017-01-30,14.45,16119416.0,14.45,14.21,14.52,14.4,
2017-01-31,14.41,15317303.0,14.41,14.28,14.6356,14.4,
2017-02-01,14.46,14411928.0,14.46,14.44,14.74,14.55,
2017-02-02,14.25,12731634.0,14.25,14.2,14.425,14.29,
2017-02-03,14.62,14251013.0,14.62,14.36,14.71,14.52,
2017-02-06,14.63,10411452.0,14.63,14.48,14.74,14.52,
2017-02-07,14.58,16867089.0,14.58,14.56,14.86,14.7,
2017-02-08,14.49,14423761.0,14.49,14.24,14.51,14.43,
2017-02-09,14.99,17083241.0,14.99,14.55,14.99,14.59,
2017-02-10,14.99,17501165.0,14.99,14.9101,15.17,15.01,
2017-02-13,15.15,11738863.0,15.15,15.12,15.34,15.12,
2017-02-14,15.49,12495411.0,15.49,15.11,15.57,15.16,
2017-02-15,15.56,14434674.0,15.56,15.35,15.66,15.65,
2017-02-16,15.59,19147590.0,15.59,15.32,15.62,15.62,
2017-02-17,15.38,11504434.0,15.38,15.21,15.405,15.38,
2017-02-21,15.43,11857758.0,15.43,15.325,15.5701,15.495,
2017-02-22,15.32,13662358.0,15.32,15.27,15.46,15.29,
2017-02-23,15.34,15193596.0,15.34,15.07,15.38,15.34,
2017-02-24,15.2,15315565.0,15.2,15.07,15.295,15.16,
2017-02-27,15.31,9942209.0,15.31,15.17,15.36,15.23,
2017-02-28,15.27,13345864.0,15.27,15.12,15.3,15.25,
