YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,69.68,598642.0,69.68,69.09,70.96,70.38,
2017-01-04,72.31,972173.0,72.31,69.6968,72.38,70.09,
2017-01-05,73.59,1312968.0,73.59,72.36,73.65,72.66,
2017-01-06,74.66,1049783.0,74.66,73.5311,74.73,73.95,
2017-01-09,73.65,709250.0,73.65,73.3511,74.3,74.26,
2017-01-10,74.43,587523.0,74.43,73.405,74.65,74.0,
2017-01-11,74.9,892658.0,74.9,73.88,74.94,74.41,
2017-01-12,73.82,497610.0,73.82,72.7301,74.43,74.43,
2017-01-13,74.38,461364.0,74.38,73.95,75.16,74.43,
2017-01-17,72.13,421783.0,72.13,71.96,73.93,73.73,
2017-01-18,72.83,755845.0,72.83,70.74,72.87,72.28,
2017-01-19,72.21,311996.0,72.21,71.915,73.35,73.05,
2017-01-20,72.7,332151.0,72.7,71.96,72.74,72.21,
2017-01-23,72.93,399146.0,72.93,72.0,73.04,72.11,
2017-01-24,74.25,682964.0,74.25,72.96,74.63,73.09,
2017-01-25,75.61,857736.0,75.61,74.6901,75.67,75.24,
2017-01-26,77.16,953088.0,77.16,74.62,77.79,74.62,
2017-01-27,75.99,906842.0,75.99,75.59,77.44,77.37,
2017-01-30,75.56,706651.0,75.56,73.95,75.69,75.66,
2017-01-31,74.93,681887.0,74.93,74.1,75.72,75.32,
2017-02-01,75.48,575331.0,75.48,75.0501,76.9,75.83,
2017-02-02,74.43,780556.0,74.43,73.839,75.24,74.5,
2017-02-03,76.35,506862.0,76.35,75.22,76.72,75.4,
2017-02-06,76.57,499241.0,76.57,75.78,76.835,75.82,
2017-02-07,76.9,749855.0,76.9,76.5201,77.25,76.96,
2017-02-08,76.45,539783.0,76.45,75.33,76.53,76.38,
2017-02-09,77.55,412859.0,77.55,76.61,77.74,76.95,
2017-02-10,76.9,411158.0,76.9,76.88,78.0,78.0,
2017-02-13,77.58,528825.0,77.58,77.43,78.08,77.48,
2017-02-14,78.27,882274.0,78.27,77.09,78.64,77.28,
2017-02-15,79.06,349925.0,79.06,78.1901,79.22,78.77,
2017-02-16,79.07,519478.0,79.07,78.41,79.27,79.27,
2017-02-17,78.86,403466.0,78.86,77.91,78.94,78.16,
2017-02-21,79.24,500919.0,79.24,78.8,79.42,79.16,
2017-02-22,79.65,560413.0,79.65,78.66,80.05,78.66,
2017-02-23,78.53,624320.0,78.53,78.3,79.59,79.59,
2017-02-24,78.49,544915.0,78.49,77.57,78.77,77.57,
2017-02-27,79.41,400647.0,79.41,78.04,79.43,78.5,
2017-02-28,78.56,679740.0,78.56,77.59,79.2,79.15,
2017-03-01,81.04,862640.0,81.04,79.81,81.915,79.81,
2017-03-02,79.51,522775.0,79.51,79.4,81.13,81.13,
2017-03-03,79.79,375439.0,79.79,78.94,80.09,79.47,
2017-03-06,79.17,457503.0,79.17,78.69,79.6632,79.1,
2017-03-07,78.69,481801.0,78.69,78.44,79.32,79.13,
2017-03-08,78.67,427099.0,78.67,78.64,80.1,79.84,
2017-03-09,79.22,415430.0,79.22,78.76,79.62,79.06,
2017-03-10,79.3,511046.0,79.3,78.36,79.71,79.15,
2017-03-13,79.07,1608685.0,79.07,78.95,80.39,80.15,
2017-03-14,78.23,841372.0,78.23,77.28,78.88,78.83,
2017-03-15,77.21,1655685.0,77.21,76.73,78.71,78.56,
2017-03-16,77.91,1389876.0,77.91,77.19,78.45,77.6,
2017-03-17,77.9,23045057.0,77.9,77.13,78.03,77.77,
2017-03-20,77.65,1886073.0,77.65,77.0,78.53,77.9,
2017-03-21,73.91,1269577.0,73.91,73.7,77.88,77.88,
2017-03-22,74.31,1066469.0,74.31,72.71,74.7499,73.25,
2017-03-23,74.85,1079629.0,74.85,74.1707,75.61,74.2,
2017-03-24,74.68,885865.0,74.68,74.13,75.51,75.02,
2017-03-27,73.76,1006185.0,73.76,72.13,73.83,72.86,
2017-03-28,75.11,651309.0,75.11,73.59,75.59,73.59,
2017-03-29,74.94,595395.0,74.94,74.24,75.15,75.07,
2017-03-30,76.09,583719.0,76.09,74.75,76.12,74.75,
2017-03-31,76.26,950013.0,76.26,75.6801,76.76,75.98,
2017-04-03,76.26,1163491.0,76.26,75.07,76.56,76.29,
2017-04-04,75.92,733454.0,75.92,75.65,76.55,76.01,
2017-04-05,74.51,897677.0,74.51,74.41,76.81,76.6,
2017-04-06,75.64,645530.0,75.64,73.87,75.94,74.65,
2017-04-07,75.82,891860.0,75.82,74.63,76.24,75.07,
2017-04-10,75.36,533745.0,75.36,74.7,76.22,75.74,
2017-04-11,74.75,822654.0,74.75,73.72,75.06,74.8,
2017-04-12,73.76,791466.0,73.76,73.55,74.85,74.7,
2017-04-13,72.62,972370.0,72.62,72.6,74.07,73.26,
2017-04-17,73.72,452863.0,73.72,72.34,73.79,72.87,
2017-04-18,73.07,648363.0,73.07,72.18,73.98,73.06,
2017-04-19,72.82,1468454.0,72.82,72.71,74.265,73.81,
2017-04-20,74.16,1336094.0,74.16,72.49,74.29,73.45,
2017-04-21,73.21,681700.0,73.21,72.89,74.4899,74.0,
2017-04-24,75.08,751198.0,75.08,74.72,75.46,75.14,
