YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,90.63,1434366.0,90.63,90.56,93.05,91.27,
2017-01-04,90.62,1528624.0,90.62,90.15,92.49,91.0,
2017-01-05,89.05,2110534.0,89.05,87.07,89.12,88.62,
2017-01-06,88.58,1699690.0,88.58,87.55,89.4506,89.27,
2017-01-09,87.25,975644.0,87.25,87.22,88.94,88.94,
2017-01-10,87.94,1723000.0,87.94,87.51,88.84,87.91,
2017-01-11,86.64,1111417.0,86.64,85.95,88.29,87.75,
2017-01-12,86.39,877705.0,86.39,85.9,86.91,86.08,
2017-01-13,86.32,806306.0,86.32,85.79,87.36,86.75,
2017-01-17,89.58,2393579.0,89.58,86.83,90.13,87.0,
2017-01-18,89.29,1400974.0,89.29,87.76,89.61,89.57,
2017-01-19,88.2,973211.0,88.2,87.67,90.31,89.38,
2017-01-20,88.9,926314.0,88.9,87.71,89.455,88.38,
2017-01-23,89.29,800624.0,89.29,87.49,89.4,88.46,
2017-01-24,90.11,638037.0,90.11,89.431,90.5,89.77,
2017-01-25,91.15,1375414.0,91.15,90.57,92.1,90.67,
2017-01-26,90.01,860298.0,90.01,89.4905,91.25,90.77,
2017-01-27,87.97,1088398.0,87.97,87.81,90.63,90.46,
2017-01-30,88.44,939022.0,88.44,87.2801,88.83,87.7,
2017-01-31,88.43,2011008.0,88.43,85.91,88.66,86.76,
2017-02-01,87.37,2174739.0,87.37,86.53,88.47,88.12,
2017-02-02,76.61,17508098.0,76.61,76.18,81.0,80.51,
2017-02-03,76.17,6439942.0,76.17,75.9,77.62,75.96,
2017-02-06,76.53,5378267.0,76.53,75.62,77.23,76.18,
2017-02-07,75.98,2082280.0,75.98,75.92,77.14,77.01,
2017-02-08,77.5,3074548.0,77.5,75.8,77.67,76.28,
2017-02-09,77.98,1604288.0,77.98,77.54,78.29,77.7,
2017-02-10,79.61,2330145.0,79.61,78.4,80.13,78.41,
2017-02-13,79.34,1648964.0,79.34,79.28,80.16,80.04,
2017-02-14,79.49,1848969.0,79.49,78.91,80.25,78.97,
2017-02-15,79.17,1761467.0,79.17,78.74,79.99,79.68,
2017-02-16,78.47,2069514.0,78.47,78.36,79.9,79.25,
2017-02-17,78.39,1802185.0,78.39,78.06,79.09,78.06,
2017-02-21,78.19,2495540.0,78.19,78.08,79.22,78.81,
2017-02-22,78.11,2068558.0,78.11,76.75,78.17,77.82,
2017-02-23,78.65,1476645.0,78.65,78.11,79.35,78.69,
2017-02-24,79.21,1075121.0,79.21,78.37,79.93,78.62,
2017-02-27,79.79,1019915.0,79.79,78.77,79.99,79.08,
2017-02-28,79.33,1821326.0,79.33,78.9,79.83,79.78,
2017-03-01,80.57,1550944.0,80.57,78.92,80.6,80.06,
2017-03-02,80.71,1757260.0,80.71,79.85,81.08,80.15,
2017-03-03,79.79,1227685.0,79.79,79.25,81.19,80.65,
2017-03-06,79.73,1130600.0,79.73,79.0,80.03,79.79,
2017-03-07,79.14,1437348.0,79.14,78.374,79.58,79.3,
2017-03-08,80.43,1323279.0,80.43,79.12,80.69,79.33,
2017-03-09,79.68,978682.0,79.68,79.41,80.37,80.26,
2017-03-10,80.3,778150.0,80.3,79.57,80.7,79.81,
2017-03-13,79.59,1052725.0,79.59,78.87,80.68,80.43,
2017-03-14,80.03,702378.0,80.03,79.22,80.34,79.69,
2017-03-15,81.25,1041144.0,81.25,79.99,81.5699,79.99,
2017-03-16,81.04,610224.0,81.04,80.63,81.65,80.96,
2017-03-17,80.7,1586419.0,80.7,79.96,81.34,81.25,
2017-03-20,79.46,1021806.0,79.46,79.21,80.71,80.71,
2017-03-21,78.23,1440073.0,78.23,77.47,79.87,79.76,
2017-03-22,78.21,907722.0,78.21,77.3884,78.38,77.92,
2017-03-23,79.22,1027909.0,79.22,78.72,79.96,79.57,
2017-03-24,79.74,1069422.0,79.74,78.92,80.18,79.17,
2017-03-27,80.42,878155.0,80.42,78.785,80.52,78.93,
2017-03-28,81.65,846342.0,81.65,80.17,81.92,80.41,
2017-03-29,82.97,1278051.0,82.97,80.88,83.26,80.88,
2017-03-30,81.9,1071755.0,81.9,81.685,83.58,82.75,
2017-03-31,81.62,990726.0,81.62,81.27,82.28,82.02,
2017-04-03,81.37,1475001.0,81.37,80.97,82.08,81.83,
2017-04-04,77.74,2182929.0,77.74,76.69,81.37,81.0,
2017-04-05,79.52,2002512.0,79.52,77.87,80.41,77.93,
2017-04-06,80.71,1536922.0,80.71,79.85,82.31,79.85,
2017-04-07,79.28,1421473.0,79.28,79.13,80.5,80.46,
2017-04-10,80.53,1126670.0,80.53,79.5,81.76,79.5,
2017-04-11,80.33,638940.0,80.33,79.2,80.95,80.62,
2017-04-12,80.18,732809.0,80.18,79.86,80.685,80.35,
2017-04-13,79.15,660524.0,79.15,78.96,80.5,80.42,
2017-04-17,80.0,505441.0,80.0,78.9,80.05,79.21,
2017-04-18,79.53,432272.0,79.53,79.36,79.98,79.52,
2017-04-19,80.0,1390231.0,80.0,79.26,80.5,79.85,
2017-04-20,79.72,1329936.0,79.72,79.095,80.32,79.3,
2017-04-21,78.92,1363405.0,78.92,78.29,79.67,79.67,
2017-04-24,79.61,1442185.0,79.61,79.26,80.1,79.8,
2017-04-25,80.57,890997.0,80.57,79.38,80.6,79.75,
2017-04-26,81.18,868806.0,81.18,80.61,81.87,80.8,
2017-04-27,82.42,995953.0,82.42,80.745,82.57,81.5,
2017-04-28,80.72,688894.0,80.72,80.46,82.26,82.26,
2017-05-01,79.31,608782.0,79.31,79.28,80.91,80.91,
2017-05-02,80.81,936013.0,80.81,79.41,80.99,79.59,
2017-05-03,79.87,1654280.0,79.87,79.195,80.93,80.69,
2017-05-04,80.34,1599978.0,80.34,79.44,80.7,80.0,
2017-05-05,82.11,1465314.0,82.11,80.5,82.69,80.5,
2017-05-08,82.1,935787.0,82.1,81.95,84.0,82.52,
2017-05-09,84.05,1697526.0,84.05,82.17,84.47,82.24,
2017-05-10,83.07,1185172.0,83.07,82.97,84.43,83.88,
2017-05-11,79.23,2055134.0,79.23,78.6,82.39,82.39,
2017-05-12,76.4,2792436.0,76.4,76.24,79.025,78.94,
2017-05-15,76.55,1879253.0,76.55,76.0,77.61,76.02,
2017-05-16,73.94,2826641.0,73.94,73.82,76.57,76.57,
2017-05-17,72.75,4010473.0,72.75,71.51,73.77,73.41,
2017-05-18,71.38,4456200.0,71.38,70.47,75.49,75.0,
2017-05-19,69.29,4195636.0,69.29,68.23,71.6699,71.24,
2017-05-22,68.24,2602359.0,68.24,68.07,70.1899,69.39,
2017-05-23,67.7,1792640.0,67.7,67.5612,68.48,68.48,
2017-05-24,66.68,1970163.0,66.68,66.2599,67.7099,67.64,
2017-05-25,66.52,1890597.0,66.52,66.4503,67.6872,67.27,
2017-05-26,66.11,1452314.0,66.11,66.06,66.79,66.62,
2017-05-30,67.34,2296004.0,67.34,66.06,67.58,66.33,
2017-05-31,67.8,2065566.0,67.8,66.53,67.845,67.24,
2017-06-01,69.5,2147019.0,69.5,67.97,69.71,68.16,
2017-06-02,69.17,2261162.0,69.17,68.72,69.92,69.7,
2017-06-05,69.16,2651492.0,69.16,68.75,69.72,69.14,
2017-06-06,69.02,2286008.0,69.02,68.37,69.4599,68.66,
2017-06-07,69.13,2261808.0,69.13,68.59,69.58,69.16,
2017-06-08,69.2,2186401.0,69.2,68.87,70.42,69.97,
2017-06-09,70.15,1413208.0,70.15,68.5,70.28,68.99,
2017-06-12,69.7,2212634.0,69.7,69.5,72.0,70.0,
2017-06-13,70.03,1551140.0,70.03,68.78,70.32,69.62,
2017-06-14,70.59,1306567.0,70.59,69.56,70.73,70.57,
2017-06-15,71.57,2158389.0,71.57,69.98,72.45,70.14,
2017-06-16,72.08,2435346.0,72.08,71.06,72.12,71.51,
2017-06-19,71.43,1773158.0,71.43,71.265,72.11,72.02,
2017-06-20,70.66,1340561.0,70.66,70.45,71.8,71.57,
