YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,138.54,1329489.0,138.54,135.18,138.66,135.9,
2017-01-04,137.96,850964.0,137.96,137.29,139.49,138.77,
2017-01-05,137.74,822555.0,137.74,135.87,139.395,137.67,
2017-01-06,138.51,659430.0,138.51,137.689,139.61,138.36,
2017-01-09,138.31,828136.0,138.31,138.29,139.99,139.0,
2017-01-10,139.53,883949.0,139.53,138.28,140.08,139.0,
2017-01-11,141.66,1147955.0,141.66,139.735,142.54,140.02,
2017-01-12,140.76,714587.0,140.76,138.97,141.52,141.19,
2017-01-13,141.99,559771.0,141.99,140.835,142.24,140.95,
2017-01-17,139.64,1126886.0,139.64,139.38,141.33,141.33,
2017-01-18,139.96,919349.0,139.96,139.4,140.45,140.14,
2017-01-19,140.0,1154622.0,140.0,139.69,141.29,140.25,
2017-01-20,140.56,1754286.0,140.56,139.63,141.47,140.99,
2017-01-23,140.02,1058687.0,140.02,139.51,140.98,140.8,
2017-01-24,142.03,1678247.0,142.03,139.72,143.74,140.43,
2017-01-25,153.01,4675489.0,153.01,149.54,155.44,151.64,
2017-01-26,152.92,2337438.0,152.92,152.07,154.91,153.67,
2017-01-27,150.75,1636760.0,150.75,150.7,152.7,152.44,
2017-01-30,149.31,1964569.0,149.31,147.79,150.33,150.33,
2017-01-31,147.99,2036930.0,147.99,147.42,149.64,149.28,
2017-02-01,147.76,1343500.0,147.76,146.76,149.14,148.32,
2017-02-02,147.65,918733.0,147.65,146.37,148.35,146.87,
2017-02-03,149.73,1151355.0,149.73,147.55,150.2,148.13,
2017-02-06,149.96,745585.0,149.96,148.455,149.96,149.11,
2017-02-07,149.41,902456.0,149.41,149.23,152.62,150.49,
2017-02-08,148.63,815092.0,148.63,147.67,149.5,149.5,
2017-02-09,150.35,950018.0,150.35,148.29,150.5999,149.17,
2017-02-10,151.45,1060954.0,151.45,150.11,151.78,151.22,
2017-02-13,152.01,1362322.0,152.01,151.69,153.68,151.69,
2017-02-14,152.21,1215331.0,152.21,151.22,152.44,151.51,
2017-02-15,152.49,836632.0,152.49,151.53,152.77,151.53,
2017-02-16,151.88,859458.0,151.88,151.0,152.375,151.92,
2017-02-17,151.92,691558.0,151.92,149.7,151.93,150.6,
2017-02-21,151.83,1292708.0,151.83,150.98,152.63,152.36,
2017-02-22,152.88,1022609.0,152.88,150.755,153.25,150.9,
2017-02-23,151.47,1163822.0,151.47,149.89,153.88,153.52,
2017-02-24,151.14,1005316.0,151.14,149.96,151.54,150.41,
2017-02-27,151.26,765278.0,151.26,150.66,151.73,151.26,
2017-02-28,151.1,949726.0,151.1,150.1,151.68,151.26,
2017-03-01,155.48,1541609.0,155.48,153.07,156.11,153.68,
2017-03-02,153.05,916418.0,153.05,153.0,155.72,155.35,
2017-03-03,153.01,802000.0,153.01,151.57,154.11,153.18,
2017-03-06,153.19,665821.0,153.19,151.1,153.47,152.49,
