YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,184.93,421459.0,184.93,183.74,185.71,184.82,
2017-01-04,185.29,436885.0,185.29,184.45,186.43,185.31,
2017-01-05,185.27,342690.0,185.27,184.3,186.99,184.68,
2017-01-06,187.87,647801.0,187.87,186.42,189.19,187.15,
2017-01-09,186.31,285264.0,186.31,185.97,188.04,188.04,
2017-01-10,186.0,500668.0,186.0,184.55,186.43,185.63,
2017-01-11,188.97,670536.0,188.97,185.06,189.79,185.71,
2017-01-12,187.66,446325.0,187.66,185.63,188.76,188.76,
2017-01-13,188.5,622466.0,188.5,188.12,190.01,189.51,
2017-01-17,186.02,381979.0,186.02,185.43,188.39,188.05,
2017-01-18,186.91,709590.0,186.91,185.33,189.09,186.72,
2017-01-19,185.42,341516.0,185.42,185.1,188.22,187.65,
2017-01-20,186.22,464140.0,186.22,185.11,186.87,186.12,
2017-01-23,186.36,668994.0,186.36,185.12,186.71,185.85,
2017-01-24,187.88,491182.0,187.88,186.01,188.48,186.7,
2017-01-25,190.58,602854.0,190.58,188.2,190.9,188.55,
2017-01-26,190.44,457091.0,190.44,189.5,191.935,191.01,
2017-01-27,190.75,289948.0,190.75,189.52,191.12,191.12,
2017-01-30,190.4,436155.0,190.4,188.36,190.482,190.11,
2017-01-31,191.85,739679.0,191.85,189.575,191.94,190.16,
2017-02-01,191.36,493027.0,191.36,190.45,192.75,192.14,
2017-02-02,191.76,352478.0,191.76,189.74,191.9,190.36,
2017-02-03,192.86,566244.0,192.86,191.44,192.92,192.21,
2017-02-06,192.7,376459.0,192.7,191.32,192.99,192.29,
2017-02-07,192.35,427997.0,192.35,191.67,193.34,193.27,
2017-02-08,193.01,483760.0,193.01,191.22,193.11,192.49,
2017-02-09,202.2,1325002.0,202.2,194.03,205.69,195.08,
2017-02-10,204.56,849322.0,204.56,203.01,205.78,203.5,
2017-02-13,205.74,573482.0,205.74,204.63,207.38,205.91,
2017-02-14,205.37,461508.0,205.37,204.96,206.69,205.49,
2017-02-15,206.74,413444.0,206.74,203.84,207.6,204.21,
2017-02-16,206.81,497831.0,206.81,204.47,207.13,206.95,
2017-02-17,207.14,1076865.0,207.14,205.28,207.22,206.49,
2017-02-21,207.38,497016.0,207.38,205.97,207.87,207.62,
2017-02-22,207.87,402418.0,207.87,206.65,208.97,206.65,
2017-02-23,209.45,557129.0,209.45,207.33,210.165,209.83,
2017-02-24,209.91,624931.0,209.91,208.46,210.0,209.22,
2017-02-27,210.04,845007.0,210.04,208.73,210.56,209.83,
2017-02-28,209.2,645330.0,209.2,208.34,211.99,210.04,
2017-03-01,212.96,506327.0,212.96,210.67,213.33,211.68,
2017-03-02,212.78,342412.0,212.78,211.59,213.39,212.83,
2017-03-03,212.85,290916.0,212.85,211.265,213.05,211.43,
2017-03-06,212.33,282215.0,212.33,211.23,213.24,211.93,
2017-03-07,211.75,598311.0,211.75,211.32,212.96,211.86,
2017-03-08,210.28,637251.0,210.28,210.05,211.87,211.2,
2017-03-09,210.62,443707.0,210.62,210.12,211.69,210.52,
2017-03-10,211.37,369222.0,211.37,209.77,212.55,210.83,
2017-03-13,211.16,699256.0,211.16,210.09,211.74,211.01,
2017-03-14,211.3,453332.0,211.3,209.89,211.54,210.49,
2017-03-15,213.93,526605.0,213.93,211.14,214.41,211.5,
