YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,56.87,1174706.0,56.87,56.58,57.2,57.11,
2017-01-04,56.97,1348602.0,56.97,56.96,57.41,57.09,
2017-01-05,57.21,1113141.0,57.21,56.95,57.545,56.99,
2017-01-06,57.03,1147549.0,57.03,56.93,57.31,57.1,
2017-01-09,56.42,1374947.0,56.42,56.405,57.21,57.07,
2017-01-10,56.69,1210824.0,56.69,56.17,56.74,56.24,
2017-01-11,56.91,1261200.0,56.91,56.52,57.06,56.62,
2017-01-12,57.1,1081875.0,57.1,56.65,57.13,56.91,
2017-01-13,57.24,962729.0,57.24,57.08,57.48,57.15,
2017-01-17,56.91,877449.0,56.91,56.83,57.23,57.11,
2017-01-18,57.36,943854.0,57.36,56.88,57.38,56.93,
2017-01-19,57.31,1239418.0,57.31,56.99,57.46,56.99,
2017-01-20,57.36,985396.0,57.36,57.16,57.59,57.43,
2017-01-23,57.24,1278509.0,57.24,57.01,57.55,57.41,
2017-01-24,57.54,968096.0,57.54,57.14,57.59,57.26,
2017-01-25,57.82,2194621.0,57.82,57.55,58.08,57.6,
2017-01-26,57.65,1181846.0,57.65,57.58,58.08,57.91,
2017-01-27,57.51,917999.0,57.51,57.46,57.97,57.85,
2017-01-30,57.45,748542.0,57.45,57.34,57.6,57.6,
2017-01-31,57.38,994829.0,57.38,57.29,57.78,57.48,
2017-02-01,56.9,1877204.0,56.9,56.83,57.66,57.37,
2017-02-02,57.35,1638952.0,57.35,56.92,57.41,56.99,
2017-02-03,57.58,1736757.0,57.58,57.44,57.9,57.61,
2017-02-06,57.36,903658.0,57.36,57.31,57.76,57.67,
2017-02-07,57.65,1134901.0,57.65,57.37,57.92,57.4,
2017-02-08,57.74,1260289.0,57.74,57.53,57.79,57.6,
2017-02-09,57.86,957521.0,57.86,57.65,57.98,57.78,
2017-02-10,57.96,1154917.0,57.96,57.74,58.35,57.78,
2017-02-13,58.49,1114384.0,58.49,58.08,58.64,58.08,
2017-02-14,58.43,989429.0,58.43,58.15,58.58,58.21,
2017-02-15,59.11,1299787.0,59.11,58.06,59.19,58.09,
2017-02-16,59.05,1923111.0,59.05,58.68,59.12,58.92,
2017-02-17,60.75,2822494.0,60.75,58.6,60.7851,59.22,
2017-02-21,61.22,1821657.0,61.22,60.47,61.53,60.5,
2017-02-22,61.68,1402102.0,61.68,61.195,61.72,61.35,
2017-02-23,61.57,1337847.0,61.57,61.25,61.98,61.84,
2017-02-24,61.35,1992917.0,61.35,61.16,61.64,61.55,
2017-02-27,61.75,980862.0,61.75,61.38,61.8,61.38,
2017-02-28,61.95,1314944.0,61.95,61.65,62.0,61.69,
