YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,110.83,2739627.0,110.83,110.0,110.96,110.39,
2017-01-04,110.9,3091396.0,110.9,110.58,111.698,111.46,
2017-01-05,111.35,3344920.0,111.35,110.56,111.94,111.17,
2017-01-06,112.55,2622291.0,112.55,111.06,112.83,111.42,
2017-01-09,111.5,2434378.0,111.5,111.2706,112.7,112.7,
2017-01-10,111.26,1800921.0,111.26,111.06,111.83,111.75,
2017-01-11,111.0,2746199.0,111.0,110.58,111.62,111.62,
2017-01-12,110.82,2644682.0,110.82,109.705,111.14,111.14,
2017-01-13,110.22,2880618.0,110.22,109.85,111.26,110.93,
2017-01-17,109.97,2240147.0,109.97,109.4,110.27,109.78,
2017-01-18,110.42,2600332.0,110.42,109.82,110.89,110.2,
2017-01-19,110.73,2828243.0,110.73,110.02,111.6,111.03,
2017-01-20,110.79,3134293.0,110.79,110.03,111.1,110.95,
2017-01-23,110.34,2296594.0,110.34,109.98,111.3,110.84,
2017-01-24,111.61,3240027.0,111.61,110.34,111.69,110.68,
2017-01-25,110.96,5054022.0,110.96,108.78,112.51,111.87,
2017-01-26,110.36,3996330.0,110.36,109.53,111.49,110.8,
2017-01-27,109.7,2829980.0,109.7,109.61,110.9,110.15,
2017-01-30,109.17,2909899.0,109.17,108.25,109.6,109.31,
2017-01-31,109.67,3945675.0,109.67,108.39,109.81,109.04,
2017-02-01,108.18,4670143.0,108.18,107.9,109.905,109.63,
2017-02-02,108.36,4714506.0,108.36,106.85,108.68,108.08,
2017-02-03,109.65,3411707.0,109.65,108.5,109.78,108.53,
2017-02-06,110.68,4229572.0,110.68,109.675,111.25,109.81,
2017-02-07,111.25,2774432.0,111.25,110.965,111.73,111.38,
2017-02-08,110.4,2073053.0,110.4,110.351,111.09,111.09,
2017-02-09,110.09,2653958.0,110.09,110.0,110.72,110.28,
2017-02-10,111.05,2679214.0,111.05,110.08,111.26,110.25,
2017-02-13,112.02,2831001.0,112.02,111.42,112.1,111.61,
2017-02-14,111.57,2771931.0,111.57,111.45,112.32,111.99,
2017-02-15,111.91,2624996.0,111.91,111.06,112.08,111.13,
2017-02-16,112.07,2802060.0,112.07,111.81,112.33,112.14,
2017-02-17,112.15,2531804.0,112.15,111.61,112.33,111.93,
2017-02-21,112.5,2136895.0,112.5,112.04,112.8,112.19,
2017-02-22,112.66,2205614.0,112.66,111.72,112.71,112.35,
2017-02-23,112.09,3471711.0,112.09,111.97,112.8805,112.7,
