YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,55.35,7809307.0,55.35,55.04,55.95,55.91,56043.0
2017-01-04,55.99,7796290.0,55.99,55.38,56.195,55.56,54319.0
2017-01-05,56.46,7602321.0,56.46,55.8099,56.53,56.08,54492.0
2017-01-06,57.13,8587812.0,57.13,56.08,57.27,56.63,57990.0
2017-01-09,58.2,12640515.0,58.2,57.25,58.335,57.26,74587.0
2017-01-10,57.88,6672024.0,57.88,57.83,58.26,58.22,44820.0
2017-01-11,58.1,6027960.0,58.1,57.59,58.12,57.8,45517.0
2017-01-12,58.03,4733015.0,58.03,57.64,58.13,58.0,35109.0
2017-01-13,57.85,4745840.0,57.85,57.65,58.1,58.03,31580.0
2017-01-17,58.0,5734666.0,58.0,57.41,58.25,57.62,39662.0
2017-01-18,58.45,7375725.0,58.45,58.03,58.58,58.32,47067.0
2017-01-19,57.89,7850480.0,57.89,57.715,58.45,58.31,48064.0
2017-01-20,57.66,7651562.0,57.66,57.41,58.2,58.14,47033.0
2017-01-23,57.76,6814368.0,57.76,57.15,57.9,57.42,48566.0
2017-01-24,58.44,10716103.0,58.44,57.76,58.5,57.93,60564.0
2017-01-25,58.7,7124547.0,58.7,58.45,58.93,58.67,50435.0
2017-01-26,58.46,12382416.0,58.46,58.26,59.0,58.7,78208.0
2017-01-27,56.12,28880019.0,56.12,55.65,56.59,55.75,150401.0
2017-01-30,55.9,13326533.0,55.9,55.58,56.24,56.0,74001.0
2017-01-31,55.22,14348125.0,55.22,54.88,55.87,55.8,73872.0
2017-02-01,53.9,18796871.0,53.9,53.81,55.5,55.49,100998.0
2017-02-02,53.87,15289650.0,53.87,53.85,54.39,54.04,84599.0
2017-02-03,55.06,14161693.0,55.06,54.01,55.1,54.21,71890.0
2017-02-06,55.73,13029829.0,55.73,54.9,55.75,55.01,73287.0
2017-02-07,55.24,9910498.0,55.24,55.1801,55.84,55.79,64357.0
2017-02-08,55.22,11681938.0,55.22,55.1,55.4957,55.19,58046.0
2017-02-09,55.81,11106757.0,55.81,55.21,56.12,55.23,59721.0
2017-02-10,56.22,11178950.0,56.22,55.56,56.395,55.73,62846.0
2017-02-13,56.11,8027939.0,56.11,56.03,56.66,56.5,45881.0
2017-02-14,56.58,8896747.0,56.58,56.02,56.61,56.02,50582.0
2017-02-15,56.86,6967179.0,56.86,56.305,56.88,56.56,47819.0
2017-02-16,56.73,8524519.0,56.73,56.53,56.99,56.96,52258.0
2017-02-17,57.35,11008366.0,57.35,56.71,57.57,56.8,49817.0
2017-02-21,57.54,8289185.0,57.54,57.4,57.81,57.41,54845.0
2017-02-22,57.57,7876599.0,57.57,57.35,57.85,57.52,51201.0
2017-02-23,57.64,7178627.0,57.64,57.39,57.79,57.6,48730.0
2017-02-24,57.48,7807890.0,57.48,57.145,57.71,57.61,53581.0
2017-02-27,56.78,7702400.0,56.78,56.66,57.3,57.24,53478.0
2017-02-28,56.87,8750656.0,56.87,56.55,57.06,56.71,55315.0
2017-03-01,57.14,7199096.0,57.14,56.94,57.4,57.27,51839.0
2017-03-02,57.12,6595419.0,57.12,56.85,57.19,57.07,43713.0
2017-03-03,57.1,7738064.0,57.1,56.7,57.26,56.7,46878.0
2017-03-06,56.68,9160283.0,56.68,56.33,56.81,56.78,56268.0
2017-03-07,56.2,10890313.0,56.2,56.02,56.75,56.58,61853.0
2017-03-08,55.74,13075582.0,55.74,55.54,56.35,56.15,80642.0
2017-03-09,55.19,17844248.0,55.19,54.81,55.8,55.75,107656.0
2017-03-10,54.53,13886431.0,54.53,54.415,55.4,55.39,81080.0
2017-03-13,54.63,9090230.0,54.63,54.4,54.8847,54.57,48527.0
2017-03-14,54.27,7892888.0,54.27,54.19,54.74,54.62,45760.0
2017-03-15,54.54,8712006.0,54.54,54.09,54.65,54.39,53231.0
2017-03-16,54.8,8074278.0,54.8,54.66,54.985,54.85,51030.0
2017-03-17,55.78,15822141.0,55.78,54.95,56.13,55.04,68219.0
2017-03-20,55.81,7948425.0,55.81,55.51,56.05,55.87,46847.0
2017-03-21,55.54,8030642.0,55.54,55.485,56.45,56.05,58631.0
2017-03-22,55.89,8452070.0,55.89,55.51,56.04,55.68,51851.0
2017-03-23,55.85,7402207.0,55.85,55.78,56.425,56.15,46986.0
2017-03-24,56.81,15763000.0,56.81,55.9,57.38,56.11,94982.0
2017-03-27,57.23,8861799.0,57.23,56.46,57.45,56.66,57748.0
2017-03-28,57.35,8331644.0,57.35,57.025,57.52,57.1,56598.0
2017-03-29,57.54,7001635.0,57.54,57.13,57.85,57.17,46574.0
2017-03-30,58.16,8677916.0,58.16,57.42,58.3,57.45,54199.0
2017-03-31,58.39,9156707.0,58.39,58.06,58.66,58.105,53100.0
2017-04-03,58.44,8989831.0,58.44,57.89,58.47,58.28,57506.0
2017-04-04,58.32,6474781.0,58.32,58.01,58.41,58.37,41669.0
2017-04-05,58.22,13656221.0,58.22,57.81,59.27,57.96,85540.0
2017-04-06,57.92,9112533.0,57.92,57.73,58.36,58.13,54830.0
2017-04-07,58.02,6773752.0,58.02,57.55,58.25,57.8,45656.0
2017-04-10,57.95,5266312.0,57.95,57.73,58.21,58.0,36891.0
2017-04-11,57.88,6057591.0,57.88,57.38,58.16,57.84,43225.0
2017-04-12,57.58,5450298.0,57.58,57.48,57.895,57.88,40258.0
2017-04-13,57.51,4871717.0,57.51,57.45,57.79,57.61,36470.0
2017-04-17,58.08,5626042.0,58.08,57.68,58.25,57.68,39545.0
2017-04-18,58.35,5451139.0,58.35,57.59,58.48,57.59,38028.0
2017-04-19,59.04,12000639.0,59.04,58.5,59.49,58.6,69649.0
2017-04-20,60.08,12445862.0,60.08,59.56,60.335,59.71,82413.0
2017-04-21,60.61,8799985.0,60.61,60.15,60.69,60.2,57272.0
2017-04-24,61.11,10721276.0,61.11,60.89,61.38,61.0,65611.0
2017-04-25,60.96,11031475.0,60.96,59.9237,61.21,60.65,74798.0
2017-04-26,61.56,8525499.0,61.56,60.98,61.75,61.23,60008.0
2017-04-27,61.3,15285342.0,61.3,61.19,61.94,61.63,88516.0
2017-04-28,60.06,25046130.0,60.06,58.99,60.18,59.41,130562.0
2017-05-01,60.18,10910341.0,60.18,59.7619,60.6,60.0,67658.0
2017-05-02,60.5,9152521.0,60.5,60.04,60.52,60.15,52267.0
2017-05-03,60.59,7706367.0,60.59,60.255,60.665,60.52,50070.0
2017-05-04,60.83,6874286.0,60.83,60.39,60.85,60.65,36851.0
2017-05-05,60.95,6460809.0,60.95,60.58,60.99,60.86,38761.0
2017-05-08,60.94,5588371.0,60.94,60.7,61.07,61.07,35926.0
2017-05-09,60.98,5806889.0,60.98,60.57,61.08,60.58,39761.0
2017-05-10,60.66,7198414.0,60.66,60.21,60.98,60.88,40950.0
2017-05-11,60.27,5516893.0,60.27,60.03,60.51,60.45,33814.0
2017-05-12,59.93,5647531.0,59.93,59.83,60.34,60.28,37762.0
2017-05-15,60.45,5904094.0,60.45,60.125,60.49,60.42,40746.0
2017-05-16,59.98,6303480.0,59.98,59.88,60.7,60.68,47162.0
2017-05-17,59.73,7584530.0,59.73,59.55,60.3239,59.97,49159.0
2017-05-18,59.82,8602411.0,59.82,58.87,59.94,59.73,58524.0
2017-05-19,61.36,12530995.0,61.36,59.94,61.92,59.94,68702.0
2017-05-22,61.23,6392124.0,61.23,61.03,61.72,61.03,39212.0
2017-05-23,61.15,5622524.0,61.15,60.86,61.5,61.4,35542.0
2017-05-24,61.89,7283789.0,61.89,60.94,62.0,61.4,42748.0
2017-05-25,62.9,8931804.0,62.9,61.9,63.11,62.01,55962.0
2017-05-26,63.3,6097990.0,63.3,62.97,63.42,63.01,38062.0
2017-05-30,63.26,7094586.0,63.26,63.01,63.41,63.07,37530.0
2017-05-31,63.61,7314634.0,63.61,63.08,63.61,63.27,37305.0
2017-06-01,63.75,6058263.0,63.75,63.35,63.82,63.51,40166.0
2017-06-02,64.57,7840581.0,64.57,63.7,64.68,63.88,46474.0
2017-06-05,64.27,6809284.0,64.27,64.18,64.87,64.85,40006.0
2017-06-06,64.16,5448439.0,64.16,64.05,64.35,64.22,29909.0
2017-06-07,63.5,8364994.0,63.5,63.34,64.295,64.13,46807.0
2017-06-08,62.24,11289266.0,62.24,62.02,63.58,63.44,65714.0
2017-06-09,62.19,11240487.0,62.19,61.8745,62.48,62.37,64902.0
2017-06-12,61.29,11071593.0,61.29,60.63,61.99,61.8,68493.0
2017-06-13,60.92,9385006.0,60.92,60.59,61.255,61.12,54400.0
2017-06-14,60.27,9703332.0,60.27,59.86,60.82,60.67,68097.0
2017-06-15,60.09,7515980.0,60.09,59.51,60.28,59.92,46035.0
2017-06-16,60.14,11522438.0,60.14,59.47,60.16,59.89,48866.0
2017-06-19,60.9,6778024.0,60.9,60.11,61.0,60.35,47023.0
2017-06-20,59.86,6985666.0,59.86,59.7,61.0,60.98,46672.0
2017-06-21,59.96,6027647.0,59.96,59.71,60.31,60.0,39153.0
2017-06-22,59.51,5602002.0,59.51,59.4,60.1,60.09,34370.0
2017-06-23,59.81,6469495.0,59.81,59.58,60.17,59.76,39913.0
2017-06-26,59.64,5674637.0,59.64,59.33,60.15,60.02,40085.0
2017-06-27,58.96,5652429.0,58.96,58.81,59.69,59.54,41515.0
2017-06-28,59.18,5419202.0,59.18,58.8,59.25,59.06,37691.0
2017-06-29,58.36,7421177.0,58.36,57.955,59.18,59.17,50774.0
2017-06-30,58.31,8117081.0,58.31,58.29,58.95,58.68,43505.0
2017-07-03,58.25,4575268.0,58.25,58.25,58.99,58.9,29663.0
2017-07-05,57.94,7773566.0,57.94,57.8,58.5,58.43,46436.0
