YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,40.2,6951679.0,40.2,39.72,40.65,40.05,
2017-01-04,41.22,8892852.0,41.22,40.34,41.34,40.4,
2017-01-05,40.97,6336234.0,40.97,40.5,41.479,40.97,
2017-01-06,41.23,5639831.0,41.23,40.66,41.52,41.3,
2017-01-09,41.12,4413636.0,41.12,40.64,41.25,41.0,
2017-01-10,41.19,5197946.0,41.19,40.99,41.49,41.19,
2017-01-11,41.32,4778287.0,41.32,40.82,41.42,41.14,
2017-01-12,41.26,6946398.0,41.26,40.42,41.33,41.06,
2017-01-13,41.41,7671798.0,41.41,41.3,41.845,41.55,
2017-01-17,40.33,11114861.0,40.33,40.26,41.33,41.07,
2017-01-18,41.1,13651664.0,41.1,39.14,41.255,40.07,
2017-01-19,41.44,10399267.0,41.44,40.95,41.6,41.38,
2017-01-20,41.31,7369284.0,41.31,40.94,41.74,41.52,
2017-01-23,41.19,4866162.0,41.19,40.75,41.32,41.11,
2017-01-24,41.8,5451697.0,41.8,41.23,42.11,41.43,
2017-01-25,42.29,7747738.0,42.29,41.93,42.4454,42.25,
2017-01-26,42.45,5146653.0,42.45,42.19,42.61,42.48,
2017-01-27,42.31,4052153.0,42.31,42.11,42.54,42.5,
2017-01-30,41.83,6281585.0,41.83,41.405,42.04,42.04,
2017-01-31,41.24,8055306.0,41.24,41.09,41.82,41.62,
2017-02-01,41.34,10398102.0,41.34,41.12,41.98,41.67,
2017-02-02,39.17,20291322.0,39.17,39.03,40.55,39.87,
2017-02-03,40.17,12348670.0,40.17,39.69,40.68,39.87,
2017-02-06,39.74,7212652.0,39.74,39.51,40.08,39.75,
2017-02-07,39.68,5612343.0,39.68,39.62,40.13,39.93,
2017-02-08,39.44,8493222.0,39.44,39.19,39.6445,39.42,
2017-02-09,40.08,7484857.0,40.08,39.55,40.3,39.74,
2017-02-10,39.94,6789913.0,39.94,39.905,40.37,40.3,
2017-02-13,40.72,7576310.0,40.72,40.2,40.99,40.23,
2017-02-14,41.26,7895938.0,41.26,40.445,41.49,40.69,
2017-02-15,42.16,11623374.0,42.16,41.31,42.46,41.63,
2017-02-16,41.55,4987197.0,41.55,41.2442,42.15,42.08,
2017-02-17,41.55,4713579.0,41.55,41.0,41.59,41.17,
2017-02-21,41.78,4933286.0,41.78,41.665,42.125,41.82,
2017-02-22,41.62,5368760.0,41.62,41.32,41.94,41.33,
2017-02-23,41.24,4494640.0,41.24,40.84,41.61,41.61,
2017-02-24,41.11,5223556.0,41.11,40.54,41.11,40.75,
2017-02-27,41.73,5547192.0,41.73,41.09,41.9,41.09,
2017-02-28,40.41,22639196.0,40.41,39.78,40.91,40.13,
2017-03-01,42.99,15066494.0,42.99,41.4,43.36,41.5,
2017-03-02,42.23,8817492.0,42.23,42.03,42.99,42.98,
2017-03-03,42.45,7623231.0,42.45,42.09,42.75,42.17,
2017-03-06,42.11,6600294.0,42.11,41.8,42.29,42.08,
2017-03-07,41.66,6561273.0,41.66,41.6,42.21,42.07,
2017-03-08,41.86,6715928.0,41.86,41.82,42.65,42.27,
2017-03-09,42.25,5263415.0,42.25,41.96,42.385,42.07,
2017-03-10,42.48,5615705.0,42.48,42.1,42.82,42.54,
2017-03-13,42.98,5034377.0,42.98,42.51,43.21,42.63,
2017-03-14,42.67,6257070.0,42.67,42.13,42.98,42.88,
2017-03-15,42.72,8169826.0,42.72,42.39,43.3,42.92,
2017-03-16,43.53,7391634.0,43.53,42.78,43.64,42.88,
2017-03-17,42.86,8913912.0,42.86,42.81,43.65,43.62,
2017-03-20,42.25,6191388.0,42.25,42.22,42.885,42.74,
2017-03-21,40.44,10427916.0,40.44,40.32,42.6,42.56,
2017-03-22,40.16,8935033.0,40.16,39.54,40.54,40.22,
2017-03-23,40.17,7387849.0,40.17,39.98,40.69,40.03,
2017-03-24,40.02,7528339.0,40.02,39.715,40.425,40.35,
2017-03-27,39.42,13739537.0,39.42,37.62,39.46,38.34,
2017-03-28,40.49,8934358.0,40.49,39.26,40.87,39.39,
2017-03-29,40.45,5261278.0,40.45,40.0699,40.575,40.33,
2017-03-30,41.14,5817230.0,41.14,40.38,41.34,40.42,
2017-03-31,40.81,5280797.0,40.81,40.79,41.235,40.95,
2017-04-03,40.57,8765644.0,40.57,39.83,40.96,40.83,
2017-04-04,40.23,6447475.0,40.23,40.02,40.64,40.45,
2017-04-05,39.48,8835393.0,39.48,39.43,40.78,40.5,
2017-04-06,40.06,6634645.0,40.06,39.21,40.29,39.47,
2017-04-07,39.9,9337372.0,39.9,39.38,40.24,39.66,
2017-04-10,39.3,6916406.0,39.3,39.12,40.1325,39.82,
2017-04-11,38.93,9730044.0,38.93,38.18,39.1,39.04,
2017-04-12,38.4,10462356.0,38.4,38.135,38.9,38.9,
2017-04-13,37.53,10215720.0,37.53,37.51,38.56,38.19,
2017-04-17,38.14,7836348.0,38.14,37.47,38.22,37.64,
2017-04-18,37.91,15029082.0,37.91,37.16,38.55,38.1,
2017-04-19,38.28,10364582.0,38.28,38.05,38.76,38.33,
2017-04-20,38.68,8466428.0,38.68,38.38,38.94,38.65,
2017-04-21,38.33,7074491.0,38.33,38.01,38.74,38.68,
2017-04-24,39.19,10924540.0,39.19,39.06,39.66,39.46,
2017-04-25,39.62,8126554.0,39.62,39.43,39.91,39.64,
2017-04-26,40.06,12762076.0,40.06,39.475,40.58,39.51,
2017-04-27,39.25,7836877.0,39.25,39.22,40.12,40.06,
2017-04-28,38.85,7001596.0,38.85,38.78,39.23,39.23,
2017-05-01,39.73,9400625.0,39.73,39.09,39.87,39.1,
2017-05-02,40.03,7735227.0,40.03,39.62,40.05,39.79,
2017-05-03,40.4,8754769.0,40.4,39.68,40.47,39.82,
2017-05-04,40.16,5618939.0,40.16,39.87,40.82,40.64,
2017-05-05,40.13,5266167.0,40.13,39.82,40.3,40.25,
2017-05-08,40.41,5508804.0,40.41,39.905,40.42,40.16,
2017-05-09,40.5,5813652.0,40.5,40.35,40.81,40.44,
2017-05-10,40.15,6334313.0,40.15,39.875,40.33,40.24,
2017-05-11,40.02,7988889.0,40.02,39.5901,40.14,39.89,
2017-05-12,39.61,5451791.0,39.61,39.25,39.89,39.78,
2017-05-15,40.54,6196556.0,40.54,39.72,40.57,39.72,
2017-05-16,40.67,5698291.0,40.67,40.18,40.74,40.69,
2017-05-17,38.12,13063868.0,38.12,37.725,39.83,39.79,
2017-05-18,38.33,8607677.0,38.33,37.86,38.64,38.49,
2017-05-19,38.26,8656148.0,38.26,38.21,38.71,38.46,
2017-05-22,38.52,5755238.0,38.52,38.13,38.7,38.7,
2017-05-23,38.87,4586519.0,38.87,38.1803,39.125,38.5,
2017-05-24,39.01,5538890.0,39.01,38.81,39.22,39.03,
2017-05-25,39.41,4565924.0,39.41,39.07,39.51,39.27,
2017-05-26,39.52,4325951.0,39.52,39.12,39.63,39.3,
2017-05-30,38.66,7104195.0,38.66,38.62,39.34,39.3,
