YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,274.54,890339.0,274.54,270.29,274.62,270.72,
2017-01-04,276.4,632628.0,276.4,274.73,277.53,275.08,
2017-01-05,276.18,831896.0,276.18,271.98,277.29,273.63,
2017-01-06,278.99,777085.0,278.99,275.66,280.34,275.98,
2017-01-09,278.76,671233.0,278.76,277.23,279.48,278.98,
2017-01-10,278.88,877548.0,278.88,276.14,279.22,277.46,
2017-01-11,283.76,841087.0,283.76,277.61,284.32,277.61,
2017-01-12,283.54,649935.0,283.54,280.16,284.23,281.94,
2017-01-13,285.1,580121.0,285.1,280.8,285.32,283.76,
2017-01-17,284.36,740054.0,284.36,282.46,285.72,284.57,
2017-01-18,286.96,787786.0,286.96,283.17,287.36,284.72,
2017-01-19,283.09,1152955.0,283.09,281.45,287.99,286.86,
2017-01-20,283.62,915944.0,283.62,281.79,284.92,284.29,
2017-01-23,284.0,1065197.0,284.0,282.98,285.13,283.63,
2017-01-24,280.77,1539544.0,280.77,280.54,285.9,284.41,
2017-01-25,283.42,2351631.0,283.42,280.14,283.42,282.46,
2017-01-26,305.0,3013917.0,305.0,298.5,308.93,301.56,
2017-01-27,305.2,1501385.0,305.2,303.6,310.0,304.82,
2017-01-30,304.83,1165154.0,304.83,302.31,306.75,304.65,
2017-01-31,303.81,912695.0,303.81,300.175,304.89,302.76,
2017-02-01,306.18,770505.0,306.18,301.69,306.58,302.2,
2017-02-02,303.86,737904.0,303.86,303.57,307.36,306.74,
2017-02-03,304.0,587658.0,304.0,303.0,306.74,306.74,
2017-02-06,301.97,585555.0,301.97,301.75,304.66,303.49,
2017-02-07,302.05,477347.0,302.05,301.51,303.98,302.82,
2017-02-08,305.36,431634.0,305.36,302.0101,305.46,302.22,
2017-02-09,306.49,525413.0,306.49,305.1,306.97,305.76,
2017-02-10,306.47,406804.0,306.47,305.255,307.71,306.64,
2017-02-13,309.62,743937.0,309.62,306.0,309.68,307.0,
2017-02-14,309.9,815645.0,309.9,306.82,310.0,308.43,
2017-02-15,309.91,570327.0,309.91,307.32,310.1,309.22,
2017-02-16,311.17,588858.0,311.17,308.335,312.44,309.92,
2017-02-17,311.35,474456.0,311.35,310.57,312.17,311.25,
2017-02-21,312.52,583154.0,312.52,310.52,313.74,311.34,
2017-02-22,312.46,408944.0,312.46,310.89,313.33,311.85,
2017-02-23,310.2,365180.0,310.2,309.89,312.34,311.67,
2017-02-24,312.65,488089.0,312.65,308.77,312.65,308.77,
2017-02-27,310.2,349447.0,310.2,309.625,313.36,312.99,
2017-02-28,308.54,612256.0,308.54,307.5,310.28,309.27,
2017-03-01,315.36,838249.0,315.36,310.93,316.66,311.98,
2017-03-02,312.97,435631.0,312.97,312.32,314.7,314.54,
2017-03-03,311.93,386863.0,311.93,310.52,313.6,312.82,
2017-03-06,311.31,408390.0,311.31,310.375,312.79,311.19,
2017-03-07,310.58,419569.0,310.58,310.38,311.925,310.53,
2017-03-08,311.0,681798.0,311.0,309.43,315.49,310.0,
2017-03-09,310.21,548398.0,310.21,309.87,311.76,310.63,
2017-03-10,311.9,398872.0,311.9,310.66,313.3,311.5,
2017-03-13,311.89,320482.0,311.89,310.17,312.43,311.49,
2017-03-14,310.14,429418.0,310.14,308.26,311.26,310.27,
2017-03-15,312.6,581799.0,312.6,309.615,313.14,310.51,
2017-03-16,311.33,448253.0,311.33,310.37,313.73,312.76,
2017-03-17,313.38,739374.0,313.38,311.8,313.9,312.67,
2017-03-20,312.13,383000.0,312.13,310.6,313.5,313.5,
2017-03-21,307.95,908652.0,307.95,307.61,313.29,311.63,
2017-03-22,311.66,591300.0,311.66,305.7,311.99,308.37,
2017-03-23,310.75,470881.0,310.75,309.21,313.25,310.94,
2017-03-24,309.45,342682.0,309.45,308.34,312.16,310.95,
2017-03-27,309.47,631771.0,309.47,306.1644,310.07,306.88,
2017-03-28,310.94,327763.0,310.94,309.03,311.97,309.21,
2017-03-29,310.14,587853.0,310.14,308.63,312.17,310.71,
2017-03-30,310.21,384109.0,310.21,309.295,311.6799,310.09,
2017-03-31,310.19,280126.0,310.19,309.43,311.28,309.93,
2017-04-03,308.61,519771.0,308.61,306.05,311.77,309.9,
2017-04-04,308.38,517263.0,308.38,306.385,310.1,309.06,
2017-04-05,309.28,518526.0,309.28,307.275,312.23,308.38,
2017-04-06,310.47,404902.0,310.47,308.76,311.68,309.38,
2017-04-07,313.07,456067.0,313.07,310.49,313.38,310.86,
2017-04-10,311.85,252993.0,311.85,311.17,313.75,312.94,
2017-04-11,312.4,345171.0,312.4,309.5,312.56,310.58,
2017-04-12,312.96,498483.0,312.96,311.53,313.7,312.35,
2017-04-13,308.35,435672.0,308.35,308.3,312.95,311.97,
2017-04-17,310.85,342347.0,310.85,309.03,311.37,309.63,
2017-04-18,311.07,431753.0,311.07,309.65,311.55,309.8,
2017-04-19,311.54,645815.0,311.54,310.17,312.43,312.05,
2017-04-20,324.02,1621085.0,324.02,317.19,325.51,321.12,
2017-04-21,324.6,769622.0,324.6,322.09,325.17,323.44,
2017-04-24,327.73,669379.0,327.73,325.38,329.64,328.93,
2017-04-25,331.18,534521.0,331.18,328.02,331.43,330.0,
2017-04-26,330.94,613738.0,330.94,328.0,331.97,330.83,
2017-04-27,335.57,589925.0,335.57,330.0,336.38,331.24,
2017-04-28,334.68,715807.0,334.68,333.04,338.0,337.47,
2017-05-01,332.55,444782.0,332.55,332.55,336.06,333.28,
2017-05-02,334.7,440328.0,334.7,332.52,335.36,333.1,
2017-05-03,334.18,372117.0,334.18,332.17,337.3275,336.04,
2017-05-04,338.61,773940.0,338.61,333.8935,338.89,334.89,
2017-05-05,338.24,462385.0,338.24,336.21,339.56,339.48,
2017-05-08,337.75,356052.0,337.75,337.101,339.36,338.5,
2017-05-09,338.38,361764.0,338.38,336.62,339.62,337.04,
2017-05-10,337.7,313545.0,337.7,336.63,338.98,338.41,
2017-05-11,334.64,395479.0,334.64,332.2,336.79,336.28,
2017-05-12,334.05,256970.0,334.05,333.57,335.78,334.59,
2017-05-15,333.93,406843.0,333.93,333.4,335.5,333.76,
2017-05-16,336.88,582538.0,336.88,333.61,336.93,334.03,
2017-05-17,328.47,708240.0,328.47,328.41,335.24,334.4,
2017-05-18,331.22,702420.0,331.22,326.905,332.7,328.0,
2017-05-19,332.37,517575.0,332.37,330.28,333.72,331.81,
2017-05-22,331.45,473040.0,331.45,329.625,333.92,333.92,
2017-05-23,331.91,454413.0,331.91,331.02,333.57,331.78,
2017-05-24,332.78,362149.0,332.78,330.63,334.49,331.91,
2017-05-25,334.09,527346.0,334.09,331.71,334.55,333.82,
2017-05-26,334.95,404837.0,334.95,333.05,335.42,333.52,
2017-05-30,335.36,454523.0,335.36,334.13,335.96,334.95,
2017-05-31,331.77,1035240.0,331.77,330.94,336.0,335.64,
2017-06-01,338.94,837066.0,338.94,331.73,339.25,332.51,
2017-06-02,345.4,736056.0,345.4,338.65,346.86,339.83,
2017-06-05,342.26,420469.0,342.26,340.93,345.36,345.28,
2017-06-06,340.32,612627.0,340.32,340.0,343.25,342.09,
2017-06-07,340.26,314080.0,340.26,338.12,341.66,341.17,
2017-06-08,345.97,885607.0,345.97,340.48,347.96,342.01,
2017-06-09,352.91,1284598.0,352.91,346.3,354.63,346.3,
2017-06-12,347.94,1164376.0,347.94,346.255,354.03,352.51,
2017-06-13,353.25,608173.0,353.25,348.61,354.16,349.17,
2017-06-14,352.69,676416.0,352.69,347.73,354.64,354.58,
2017-06-15,351.5,447424.0,351.5,348.5,351.69,349.2,
2017-06-16,350.55,870128.0,350.55,348.55,351.89,351.72,
2017-06-19,357.0,794950.0,357.0,352.33,357.0,352.61,
2017-06-20,357.96,707992.0,357.96,357.0,360.58,357.0,
2017-06-21,355.4,530255.0,355.4,354.88,359.67,357.32,
2017-06-22,354.75,352251.0,354.75,353.0801,355.69,354.88,
2017-06-23,357.1,597656.0,357.1,354.08,357.23,356.05,
2017-06-26,358.98,606905.0,358.98,357.19,359.6,358.0,
2017-06-27,358.16,470513.0,358.16,357.18,361.55,359.34,
2017-06-28,361.03,509896.0,361.03,359.98,362.57,360.09,
2017-06-29,352.64,702753.0,352.64,352.41,362.11,360.87,
2017-06-30,350.96,984891.0,350.96,350.57,354.73,353.71,
2017-07-03,353.23,306820.0,353.23,351.405,355.87,353.79,
2017-07-05,351.08,789135.0,351.08,349.86,354.01,353.5,
2017-07-06,349.83,691900.0,349.83,346.88,350.87,349.4,
2017-07-07,352.03,566722.0,352.03,348.01,353.345,349.68,
2017-07-10,351.93,403904.0,351.93,350.77,353.4,351.76,
2017-07-11,353.27,550143.0,353.27,350.2,353.87,352.0,
2017-07-12,355.96,600788.0,355.96,352.76,357.1,355.0,
2017-07-13,355.15,379630.0,355.15,354.93,357.8,356.7,
2017-07-14,356.47,452487.0,356.47,354.94,357.24,355.36,
2017-07-17,359.4,494364.0,359.4,357.0,361.27,357.65,
2017-07-18,358.17,612757.0,358.17,356.62,359.56,358.76,
2017-07-19,359.72,620642.0,359.72,357.91,360.85,359.49,
2017-07-20,350.78,3082113.0,350.78,337.78,357.6,352.09,
2017-07-21,352.17,907793.0,352.17,347.29,353.43,350.01,
2017-07-24,351.65,587360.0,351.65,350.041,353.31,351.74,
2017-07-25,352.22,501211.0,352.22,349.93,353.93,353.09,
2017-07-26,350.6,417583.0,350.6,350.03,354.03,352.79,
2017-07-27,345.58,877939.0,345.58,343.44,351.235,350.63,
2017-07-28,342.38,788679.0,342.38,340.99,345.725,345.58,
2017-07-31,337.27,893614.0,337.27,337.15,342.83,342.45,
2017-08-01,337.09,1083777.0,337.09,334.32,340.13,337.15,
2017-08-02,337.07,767336.0,337.07,335.36,339.46,337.4,
