YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,128.97,652666.0,128.97,128.1401,129.9175,128.51,
2017-01-04,128.53,786918.0,128.53,128.33,130.24,130.24,
2017-01-05,129.18,661267.0,129.18,128.32,129.63,128.53,
2017-01-06,129.04,534584.0,129.04,128.19,129.53,128.97,
2017-01-09,128.01,642166.0,128.01,127.53,129.13,129.11,
2017-01-10,128.74,1411339.0,128.74,127.0,128.99,127.52,
2017-01-11,130.65,2052990.0,130.65,128.66,131.47,128.75,
2017-01-12,130.56,1169067.0,130.56,130.29,131.3,130.43,
2017-01-13,131.0,780704.0,131.0,130.33,131.47,130.73,
2017-01-17,132.26,887698.0,132.26,130.44,132.33,131.01,
2017-01-18,133.0,983743.0,133.0,132.21,133.21,132.45,
2017-01-19,132.86,1122031.0,132.86,132.28,133.35,132.55,
2017-01-20,133.57,886494.0,133.57,132.8,133.9,133.38,
2017-01-23,133.49,1040522.0,133.49,132.75,134.4,133.27,
2017-01-24,134.51,1022393.0,134.51,133.0,134.78,133.38,
2017-01-25,135.01,1001253.0,135.01,134.39,135.15,134.54,
2017-01-26,135.82,1206339.0,135.82,134.765,135.88,135.01,
2017-01-27,135.59,964383.0,135.59,134.71,136.13,135.81,
2017-01-30,134.12,1103701.0,134.12,133.09,135.98,135.98,
2017-01-31,135.85,1590776.0,135.85,133.77,135.91,133.77,
2017-02-01,135.5,1684157.0,135.5,134.7,136.47,134.99,
2017-02-02,137.58,1787152.0,137.58,135.5,138.55,136.09,
2017-02-03,138.78,1036474.0,138.78,137.21,139.64,138.45,
2017-02-06,138.0,926132.0,138.0,137.61,139.2492,139.02,
2017-02-07,139.66,941057.0,139.66,137.75,139.95,137.75,
2017-02-08,137.19,1318841.0,137.19,137.0,139.0,138.19,
2017-02-09,137.7,682081.0,137.7,137.1,138.19,137.49,
2017-02-10,138.02,494387.0,138.02,137.0096,138.68,137.5,
2017-02-13,138.79,1531611.0,138.79,137.0101,139.08,138.05,
2017-02-14,137.93,1340024.0,137.93,137.17,138.53,138.06,
2017-02-15,138.53,1161694.0,138.53,137.261,138.73,137.51,
2017-02-16,137.84,2461336.0,137.84,137.0105,138.76,138.26,
2017-02-17,135.95,3590309.0,135.95,130.01,137.03,132.42,
2017-02-21,141.92,3228428.0,141.92,135.23,143.68,135.96,
2017-02-22,140.73,1193555.0,140.73,140.47,141.89,141.06,
2017-02-23,140.83,1293746.0,140.83,140.72,141.9,141.37,
2017-02-24,141.18,792747.0,141.18,139.92,141.29,141.19,
2017-02-27,140.96,1769317.0,140.96,139.96,141.59,141.18,
2017-02-28,141.73,1285963.0,141.73,140.6,143.45,141.04,
2017-03-01,140.69,1841817.0,140.69,140.45,142.035,141.28,
2017-03-02,140.95,798529.0,140.95,140.5342,141.53,140.76,
2017-03-03,140.49,1107191.0,140.49,140.13,141.22,140.85,
2017-03-06,139.99,865133.0,139.99,139.43,140.555,139.8,
2017-03-07,139.17,981225.0,139.17,139.06,140.35,140.0,
2017-03-08,138.44,2051379.0,138.44,138.44,139.3,138.94,
2017-03-09,139.69,1480253.0,139.69,138.76,139.96,138.96,
2017-03-10,139.49,1236629.0,139.49,139.195,140.44,140.43,
2017-03-13,139.11,1152182.0,139.11,138.62,139.59,139.49,
2017-03-14,138.92,922581.0,138.92,138.36,139.24,139.05,
2017-03-15,139.14,1215863.0,139.14,138.64,140.04,139.01,
