YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,84.8,6667050.0,84.8,83.71,85.11,84.86,
2017-01-04,85.43,4655393.0,85.43,84.54,85.7099,85.0,
2017-01-05,85.3,4543006.0,85.3,85.19,85.87,85.58,
2017-01-06,86.48,5689898.0,86.48,84.84,86.83,85.48,
2017-01-09,85.77,4336479.0,85.77,85.425,86.4,85.99,
2017-01-10,84.6,4306226.0,84.6,84.58,85.7076,85.69,
2017-01-11,85.66,4149615.0,85.66,84.62,85.81,84.99,
2017-01-12,85.33,4287013.0,85.33,84.65,85.7,85.69,
2017-01-13,84.82,5117597.0,84.82,84.78,85.74,84.95,
2017-01-17,86.43,5795345.0,86.43,84.8,86.53,84.81,
2017-01-18,87.48,8744867.0,87.48,85.79,87.54,85.79,
2017-01-19,87.2,7261442.0,87.2,86.91,87.84,87.05,
2017-01-20,86.49,10368649.0,86.49,85.5675,87.78,87.12,
2017-01-23,84.27,6870220.0,84.27,83.9,85.93,85.85,
2017-01-24,84.58,6027354.0,84.58,83.8,84.9,84.39,
2017-01-25,85.51,5939483.0,85.51,84.65,85.69,85.08,
2017-01-26,84.88,5624393.0,84.88,84.43,86.05,85.93,
2017-01-27,84.5,4758177.0,84.5,84.31,85.19,84.86,
2017-01-30,83.61,5550729.0,83.61,83.195,84.47,84.17,
2017-01-31,83.71,4567889.0,83.71,83.11,84.25,83.9,
2017-02-01,83.17,5193648.0,83.17,82.695,84.44,84.06,
2017-02-02,82.44,8857699.0,82.44,81.565,83.61,83.6,
2017-02-03,82.5,5083988.0,82.5,82.39,83.21,82.64,
2017-02-06,81.69,5958031.0,81.69,81.46,82.97,82.55,
2017-02-07,81.07,5841749.0,81.07,80.49,81.74,81.21,
2017-02-08,81.12,5366434.0,81.12,79.52,81.19,80.61,
2017-02-09,81.21,6119033.0,81.21,81.16,81.76,81.69,
2017-02-10,82.16,6199901.0,82.16,81.85,82.71,81.98,
2017-02-13,81.82,4135773.0,81.82,81.49,82.13,81.75,
2017-02-14,82.46,4672319.0,82.46,81.54,82.5,82.04,
2017-02-15,81.75,4947576.0,81.75,81.62,82.37,82.0,
2017-02-16,81.13,5097946.0,81.13,81.0,82.17,82.13,
2017-02-17,80.65,4346033.0,80.65,80.54,81.12,80.95,
2017-02-21,80.68,4746114.0,80.68,80.6,81.55,81.43,
2017-02-22,79.7,5905356.0,79.7,79.66,80.54,80.38,
2017-02-23,80.47,5754105.0,80.47,79.88,80.71,80.47,
2017-02-24,80.15,5464147.0,80.15,79.48,80.4,79.66,
2017-02-27,81.06,8033030.0,81.06,80.16,81.82,80.23,
2017-02-28,80.36,7842032.0,80.36,80.0,80.86,80.86,
2017-03-01,82.27,6692409.0,82.27,80.6,82.6901,80.91,
