YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,28.45,180801.0,28.45,28.125,28.75,28.25,2281.0
2017-01-04,28.85,253231.0,28.85,28.4,29.0,28.5,2440.0
2017-01-05,28.55,119610.0,28.55,28.2,29.0,28.7,1220.0
2017-01-06,28.45,142008.0,28.45,28.3,29.0,28.75,1354.0
2017-01-09,28.25,138332.0,28.25,28.25,28.9,28.45,1102.0
2017-01-10,28.6,210909.0,28.6,28.25,28.65,28.4,1944.0
2017-01-11,28.55,213078.0,28.55,28.1,28.55,28.5,1819.0
2017-01-12,27.55,393503.0,27.55,27.4,28.35,28.35,4001.0
2017-01-13,28.2,538533.0,28.2,27.65,28.35,27.65,3803.0
2017-01-17,27.1,442605.0,27.1,26.8,28.2,28.2,3941.0
2017-01-18,27.3,271218.0,27.3,26.95,27.4,27.15,2803.0
2017-01-19,27.15,211041.0,27.15,26.9,27.55,27.4,2067.0
2017-01-20,27.65,554357.0,27.65,27.55,28.1,27.8,4381.0
2017-01-23,27.85,485505.0,27.85,27.475,28.125,27.6,4388.0
2017-01-24,27.75,495809.0,27.75,27.7,28.5,27.95,4414.0
2017-01-25,28.45,364115.0,28.45,27.95,28.7,27.95,3325.0
2017-01-26,28.55,390293.0,28.55,28.05,28.65,28.45,3187.0
2017-01-27,26.7,1410027.0,26.7,26.55,31.745,31.5,10656.0
2017-01-30,25.5,894374.0,25.5,24.85,26.55,26.25,7984.0
2017-01-31,26.45,739789.0,26.45,25.15,26.65,25.5,6137.0
2017-02-01,25.6,468931.0,25.6,25.5,27.0,26.75,4137.0
2017-02-02,25.5,327665.0,25.5,25.3,25.75,25.45,2453.0
2017-02-03,25.8,292991.0,25.8,25.45,26.05,25.8,2769.0
2017-02-06,25.65,348057.0,25.65,25.5,26.15,25.8,2649.0
2017-02-07,26.1,326455.0,26.1,25.65,26.35,25.75,3103.0
2017-02-08,26.25,300607.0,26.25,25.75,26.7,25.9,2853.0
2017-02-09,26.45,269450.0,26.45,26.15,26.7,26.3,2536.0
2017-02-10,26.6,219810.0,26.6,26.375,26.95,26.5,1986.0
2017-02-13,26.7,190179.0,26.7,26.55,27.0,26.8,1818.0
2017-02-14,27.05,285976.0,27.05,26.45,27.4,26.55,2343.0
2017-02-15,27.05,246525.0,27.05,26.95,27.225,26.95,2297.0
2017-02-16,27.05,381894.0,27.05,26.9,27.45,27.0,2638.0
2017-02-17,27.05,187955.0,27.05,26.95,27.1,26.95,1479.0
2017-02-21,27.05,287678.0,27.05,26.7,27.1,27.0,2341.0
2017-02-22,27.1,224017.0,27.1,26.75,27.175,26.85,1911.0
2017-02-23,27.4,307730.0,27.4,27.0,27.45,27.1,2209.0
2017-02-24,27.0,764488.0,27.0,25.65,27.15,26.0,5636.0
