YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,171.15,342188.0,171.15,170.06,173.2,171.78,
2017-01-04,172.77,326415.0,172.77,171.23,174.3,171.49,
2017-01-05,171.7,228702.0,171.7,169.8,173.54,172.31,
2017-01-06,173.19,228884.0,173.19,171.24,173.99,172.0,
2017-01-09,173.99,338242.0,173.99,173.08,174.28,173.5,
2017-01-10,176.27,464172.0,176.27,173.61,176.77,173.61,
2017-01-11,177.41,396358.0,177.41,175.62,177.62,176.36,
2017-01-12,177.47,410886.0,177.47,174.9,177.68,177.36,
2017-01-13,177.13,231589.0,177.13,176.39,178.57,177.91,
2017-01-17,174.42,370144.0,174.42,173.5389,176.785,176.38,
2017-01-18,175.2,241661.0,175.2,174.37,176.2,174.91,
2017-01-19,174.87,233450.0,174.87,174.25,176.52,175.05,
2017-01-20,174.84,235893.0,174.84,173.835,175.97,175.63,
2017-01-23,173.65,223739.0,173.65,172.34,175.53,174.84,
2017-01-24,177.38,316851.0,177.38,174.27,177.97,174.27,
2017-01-25,179.01,333041.0,179.01,176.45,179.12,178.65,
2017-01-26,180.02,465189.0,180.02,177.76,180.46,178.96,
2017-01-27,180.61,432684.0,180.61,179.32,180.74,180.58,
2017-01-30,181.48,495369.0,181.48,179.46,181.56,181.24,
2017-01-31,181.53,818942.0,181.53,178.225,181.61,180.77,
2017-02-01,180.3,898059.0,180.3,178.05,181.73,181.73,
2017-02-02,166.98,2264402.0,166.98,164.27,178.415,175.75,
2017-02-03,169.78,1233834.0,169.78,168.02,173.415,169.95,
2017-02-06,167.85,802643.0,167.85,166.545,170.7,170.43,
2017-02-07,166.82,565408.0,166.82,166.41,168.4554,168.23,
2017-02-08,166.61,448354.0,166.61,165.73,167.17,167.02,
2017-02-09,168.7,838080.0,168.7,166.25,169.92,166.67,
2017-02-10,169.89,348978.0,169.89,168.81,170.115,169.27,
2017-02-13,171.86,404932.0,171.86,170.73,172.6,171.0,
2017-02-14,172.92,576779.0,172.92,169.61,173.16,172.0,
2017-02-15,175.35,553152.0,175.35,172.24,175.78,172.5,
2017-02-16,173.31,585933.0,173.31,172.35,175.97,175.73,
2017-02-17,172.57,480907.0,172.57,172.0,173.66,172.72,
2017-02-21,172.39,517179.0,172.39,171.61,173.71,172.89,
2017-02-22,170.99,568195.0,170.99,170.21,172.09,171.49,
2017-02-23,171.03,272905.0,171.03,169.93,171.94,171.66,
2017-02-24,171.36,494392.0,171.36,168.66,171.36,170.0,
2017-02-27,171.1,351859.0,171.1,170.29,172.1,171.38,
2017-02-28,169.67,372842.0,169.67,168.9,171.05,170.65,
2017-03-01,172.85,584893.0,172.85,171.58,174.5,172.24,
2017-03-02,171.08,350238.0,171.08,170.73,173.5,173.37,
2017-03-03,170.49,435273.0,170.49,169.0,171.07,171.07,
2017-03-06,169.01,369784.0,169.01,168.61,170.1,169.57,
2017-03-07,168.46,245651.0,168.46,168.35,169.98,169.15,
2017-03-08,169.01,269296.0,169.01,168.45,170.06,168.7,
2017-03-09,168.34,300437.0,168.34,167.66,170.22,169.01,
2017-03-10,169.84,310338.0,169.84,168.47,170.19,168.49,
2017-03-13,170.76,460751.0,170.76,169.075,170.83,169.31,
2017-03-14,169.45,297051.0,169.45,168.9,170.51,169.8,
2017-03-15,172.25,342959.0,172.25,169.92,173.14,169.96,
2017-03-16,172.89,338700.0,172.89,172.42,173.75,172.72,
2017-03-17,172.88,341196.0,172.88,172.22,173.63,173.52,
2017-03-20,171.74,224911.0,171.74,171.57,173.0,172.88,
2017-03-21,169.55,357827.0,169.55,168.89,173.26,172.63,
2017-03-22,167.18,816164.0,167.18,165.87,169.0,169.0,
2017-03-23,166.36,673505.0,166.36,166.1101,168.81,167.93,
2017-03-24,165.52,588942.0,165.52,164.7,167.36,166.85,
2017-03-27,164.91,589404.0,164.91,162.235,165.24,164.62,
2017-03-28,167.75,326330.0,167.75,164.17,168.245,164.68,
2017-03-29,167.27,283161.0,167.27,167.2,168.51,167.48,
2017-03-30,168.31,260137.0,168.31,166.7,168.93,167.19,
2017-03-31,168.67,596985.0,168.67,167.715,169.36,167.97,
2017-04-03,167.22,454348.0,167.22,165.6205,169.1486,168.67,
2017-04-04,164.74,501889.0,164.74,164.23,167.76,167.24,
2017-04-05,163.14,455747.0,163.14,162.9,166.49,165.18,
2017-04-06,164.41,447420.0,164.41,163.01,165.57,163.48,
2017-04-07,164.38,522721.0,164.38,164.09,165.755,164.2,
2017-04-10,164.37,316781.0,164.37,163.87,165.37,164.39,
2017-04-11,165.19,530715.0,165.19,163.22,165.23,164.1,
2017-04-12,162.63,799095.0,162.63,162.09,165.74,165.12,
2017-04-13,161.39,489692.0,161.39,161.37,162.94,162.38,
2017-04-17,163.51,671140.0,163.51,161.07,163.51,161.91,
2017-04-18,163.31,808575.0,163.31,159.91,163.6195,162.63,
2017-04-19,163.77,957061.0,163.77,161.95,165.53,164.5,
2017-04-20,173.13,1732059.0,173.13,165.36,173.98,165.36,
2017-04-21,175.21,838728.0,175.21,173.02,176.26,173.02,
2017-04-24,175.26,657253.0,175.26,174.01,177.8,177.56,
2017-04-25,174.9,522334.0,174.9,174.7,176.92,176.19,
2017-04-26,170.23,1114506.0,170.23,170.1,175.12,175.12,
2017-04-27,170.32,619622.0,170.32,170.01,171.2727,170.37,
2017-04-28,167.53,780779.0,167.53,166.79,170.98,170.49,
2017-05-01,167.49,740831.0,167.49,166.7,168.38,168.38,
2017-05-02,168.85,552996.0,168.85,167.34,168.86,167.57,
2017-05-03,167.24,627160.0,167.24,166.82,168.85,168.85,
2017-05-04,169.76,455718.0,169.76,167.48,170.0,167.49,
2017-05-05,170.45,317508.0,170.45,168.04,170.48,170.26,
2017-05-08,170.5,297424.0,170.5,169.69,171.13,169.69,
2017-05-09,170.69,310865.0,170.69,170.19,171.57,170.75,
2017-05-10,170.84,322354.0,170.84,170.34,171.78,170.68,
2017-05-11,171.32,365930.0,171.32,168.43,171.72,170.45,
2017-05-12,170.0,865603.0,170.0,169.2,171.24,170.84,
2017-05-15,170.92,446462.0,170.92,170.0,171.37,170.0,
2017-05-16,170.68,649195.0,170.68,169.4,171.3207,171.04,
2017-05-17,164.17,633709.0,164.17,164.1,169.55,168.34,
2017-05-18,164.32,695624.0,164.32,161.96,165.429,164.17,
2017-05-19,165.71,553119.0,165.71,163.12,166.26,164.68,
2017-05-22,163.9,595286.0,163.9,163.425,166.76,166.0,
2017-05-23,163.21,501988.0,163.21,162.76,164.3099,163.85,
2017-05-24,162.17,442339.0,162.17,161.33,163.59,163.59,
2017-05-25,160.2,916303.0,160.2,159.001,162.455,162.33,
2017-05-26,160.71,493284.0,160.71,158.39,160.78,159.69,
2017-05-30,159.65,380140.0,159.65,159.02,161.1,159.62,
2017-05-31,161.66,836311.0,161.66,158.55,162.36,159.94,
2017-06-01,163.44,548843.0,163.44,160.99,164.26,161.98,
2017-06-02,162.75,572821.0,162.75,162.53,165.44,164.22,
2017-06-05,163.06,413714.0,163.06,161.5,163.74,162.08,
2017-06-06,162.38,400970.0,162.38,162.1,163.77,163.26,
2017-06-07,160.89,417673.0,160.89,160.34,162.59,162.52,
2017-06-08,156.88,1335575.0,156.88,154.72,160.115,160.08,
2017-06-09,157.51,1105742.0,157.51,154.51,158.0,156.86,
2017-06-12,157.47,493409.0,157.47,155.62,159.51,158.0,
2017-06-13,157.76,531903.0,157.76,156.9001,158.505,157.8,
2017-06-14,157.02,577281.0,157.02,155.95,158.0,158.0,
2017-06-15,156.16,561841.0,156.16,154.82,157.0,155.96,
2017-06-16,157.96,660099.0,157.96,155.85,158.0,156.19,
2017-06-19,157.64,587382.0,157.64,155.89,158.47,158.0,
2017-06-20,156.39,428466.0,156.39,156.35,157.59,157.0,
2017-06-21,153.24,731374.0,153.24,152.92,156.11,156.1,
2017-06-22,154.77,567421.0,154.77,152.49,155.68,153.23,
2017-06-23,154.47,1266628.0,154.47,154.06,156.28,155.08,
2017-06-26,156.05,352504.0,156.05,154.56,156.86,154.85,
2017-06-27,154.9,445455.0,154.9,154.81,156.5,155.92,
2017-06-28,155.92,569732.0,155.92,154.91,156.56,155.18,
2017-06-29,156.51,795796.0,156.51,155.48,157.64,156.4,
2017-06-30,158.0,771397.0,158.0,156.65,158.92,156.7,
2017-07-03,158.83,401348.0,158.83,157.91,159.74,158.75,
2017-07-05,156.96,759111.0,156.96,154.76,159.43,159.26,
2017-07-06,154.32,861162.0,154.32,153.87,156.75,156.05,
2017-07-07,155.99,549004.0,155.99,154.09,156.5084,154.55,
2017-07-10,154.14,605002.0,154.14,154.04,155.99,155.12,
2017-07-11,153.48,920407.0,153.48,152.79,154.5,154.0,
2017-07-12,152.94,670248.0,152.94,152.6,155.13,154.0,
2017-07-13,154.28,1019288.0,154.28,152.495,154.34,153.0,
2017-07-14,155.74,645954.0,155.74,154.14,156.26,154.39,
2017-07-17,159.02,931254.0,159.02,156.0,159.75,156.44,
2017-07-18,156.69,887465.0,156.69,156.35,159.12,158.57,
2017-07-19,157.71,1155512.0,157.71,156.08,157.96,156.7,
2017-07-20,150.34,2289696.0,150.34,149.5,162.49,160.0,
2017-07-21,150.0,1522415.0,150.0,148.655,152.5,150.48,
2017-07-24,147.51,1285904.0,147.51,146.47,150.0,149.87,
2017-07-25,149.94,1092133.0,149.94,147.01,150.03,147.76,
2017-07-26,150.04,1300195.0,150.04,149.1538,150.87,150.2,
2017-07-27,154.88,1697373.0,154.88,149.07,155.05,150.08,
2017-07-28,152.43,1209955.0,152.43,152.32,155.62,154.0,
2017-07-31,154.2,726064.0,154.2,150.63,154.47,152.75,
2017-08-01,152.96,742731.0,152.96,152.21,156.45,154.64,
2017-08-02,152.99,464228.0,152.99,151.535,153.92,152.95,
2017-08-03,152.85,470676.0,152.85,152.55,154.31,152.99,
2017-08-04,152.76,409873.0,152.76,151.75,153.3442,152.84,
2017-08-07,154.95,481613.0,154.95,153.04,155.87,154.02,
2017-08-08,154.23,543564.0,154.23,153.9,155.88,155.0,
2017-08-09,155.2,670393.0,155.2,154.28,155.85,154.7,
2017-08-10,152.77,575455.0,152.77,152.04,155.085,154.16,
2017-08-11,152.46,603067.0,152.46,152.35,154.3,152.49,
2017-08-14,153.76,496025.0,153.76,152.14,153.97,153.45,
2017-08-15,151.52,503279.0,151.52,150.98,153.825,153.76,
2017-08-16,151.52,506797.0,151.52,149.55,151.58,150.93,
2017-08-17,148.82,425407.0,148.82,148.75,152.2,151.31,
2017-08-18,147.96,757656.0,147.96,147.88,149.16,148.07,
2017-08-21,141.7,1854233.0,141.7,141.24,146.78,145.83,
2017-08-22,142.0,1291320.0,142.0,140.83,142.78,141.95,
2017-08-23,141.51,871685.0,141.51,141.36,143.42,141.75,
2017-08-24,142.83,640076.0,142.83,141.36,142.99,141.87,
2017-08-25,144.91,655680.0,144.91,142.8,146.76,142.88,
2017-08-28,144.76,320351.0,144.76,144.07,145.47,145.32,
2017-08-29,145.7,620103.0,145.7,143.84,146.45,144.18,
2017-08-30,146.15,512569.0,146.15,144.46,146.16,145.68,
2017-08-31,147.57,442279.0,147.57,146.25,148.01,146.47,
2017-09-01,146.01,425137.0,146.01,145.92,148.075,148.0,
2017-09-05,144.67,613383.0,144.67,144.185,145.98,145.98,
2017-09-06,145.7,411131.0,145.7,144.18,146.5,145.3,
2017-09-07,146.34,341425.0,146.34,145.04,146.45,145.55,
2017-09-08,147.0,298755.0,147.0,145.6051,147.3968,146.01,
2017-09-11,147.21,378421.0,147.21,146.48,148.0,148.0,
2017-09-12,149.37,369420.0,149.37,147.03,149.48,147.57,
2017-09-13,148.97,436911.0,148.97,148.61,149.86,149.05,
2017-09-14,147.01,611805.0,147.01,146.68,148.97,148.97,
2017-09-15,146.66,780286.0,146.66,145.58,147.17,146.72,
2017-09-18,146.66,565404.0,146.66,146.09,147.3,147.11,
2017-09-19,146.8,476763.0,146.8,146.23,147.92,146.86,
2017-09-20,149.06,577364.0,149.06,146.64,149.36,147.14,
2017-09-21,148.58,453813.0,148.58,148.43,149.69,149.18,
2017-09-22,149.32,423695.0,149.32,148.09,149.5,148.59,
2017-09-25,149.06,746945.0,149.06,148.76,149.445,149.32,
2017-09-26,149.63,431481.0,149.63,147.97,150.3106,149.21,
2017-09-27,150.05,541838.0,150.05,148.81,150.3799,150.15,
2017-09-28,147.39,808803.0,147.39,147.04,150.0,149.79,
2017-09-29,149.01,496031.0,149.01,147.3,149.21,147.3,
2017-10-02,147.9,843380.0,147.9,147.61,149.39,149.15,
2017-10-03,150.65,711381.0,150.65,146.47,150.66,148.03,
2017-10-04,151.44,518714.0,151.44,150.1,151.88,150.5,
2017-10-05,148.59,867567.0,148.59,148.0,151.91,151.61,
2017-10-06,149.27,778365.0,149.27,147.3601,149.31,148.3,
2017-10-09,150.94,374631.0,150.94,149.25,151.19,149.43,
2017-10-10,150.25,368858.0,150.25,150.01,151.81,151.32,
2017-10-11,150.94,432479.0,150.94,149.74,151.17,150.2,
2017-10-12,151.61,517304.0,151.61,150.63,152.28,150.97,
2017-10-13,152.01,481760.0,152.01,151.73,153.21,152.06,
2017-10-16,152.02,641169.0,152.02,150.46,152.17,151.85,
2017-10-17,152.25,478728.0,152.25,151.46,152.94,151.92,
2017-10-18,153.52,1055688.0,153.52,152.26,155.285,152.26,
2017-10-19,156.19,1399988.0,156.19,148.59,156.94,155.91,
2017-10-20,160.12,2093171.0,160.12,155.63,160.78,156.57,
2017-10-23,162.15,1368094.0,162.15,160.66,162.89,161.71,
2017-10-24,162.32,1146895.0,162.32,161.66,163.06,162.9,
2017-10-25,159.92,788138.0,159.92,158.18,162.18,161.9,
2017-10-26,159.47,768054.0,159.47,158.85,161.2,160.21,
2017-10-27,158.45,1060813.0,158.45,157.37,159.94,159.39,
2017-10-30,157.09,557015.0,157.09,155.97,158.485,158.27,
2017-10-31,157.78,390879.0,157.78,156.92,158.72,157.32,
2017-11-01,158.36,526419.0,158.36,156.3841,158.61,158.17,
2017-11-02,158.5,364211.0,158.5,157.28,159.23,158.33,
2017-11-03,158.22,462039.0,158.22,157.965,159.005,158.48,
2017-11-06,159.15,475524.0,159.15,157.33,160.09,157.83,
2017-11-07,158.55,571364.0,158.55,157.55,159.78,159.57,
2017-11-08,157.33,1191222.0,157.33,155.568,158.37,158.33,
2017-11-09,156.81,427730.0,156.81,155.97,157.4,156.71,
2017-11-10,155.87,357921.0,155.87,155.21,156.96,156.17,
2017-11-13,156.07,388406.0,156.07,155.54,158.09,155.54,
2017-11-14,156.68,370398.0,156.68,155.12,156.7,156.49,
2017-11-15,156.69,390387.0,156.69,155.13,157.73,155.98,
2017-11-16,157.07,281957.0,157.07,155.78,157.5,156.28,
2017-11-17,157.02,331972.0,157.02,156.57,157.74,156.57,
2017-11-20,159.42,399630.0,159.42,156.61,159.54,157.0,
2017-11-21,161.12,621216.0,161.12,159.24,161.68,159.63,
2017-11-22,161.37,590437.0,161.37,160.57,161.76,161.46,
2017-11-24,159.7,126112.0,159.7,159.54,162.0,161.74,
2017-11-27,161.29,330727.0,161.29,159.2663,161.34,159.66,
2017-11-28,164.07,507632.0,164.07,160.55,164.12,161.37,
2017-11-29,167.22,457458.0,167.22,164.12,167.93,164.35,
2017-11-30,169.43,934309.0,169.43,166.83,171.8,167.47,
2017-12-01,168.25,617251.0,168.25,166.29,169.38,169.21,
2017-12-04,173.32,846620.0,173.32,169.21,174.06,169.43,
2017-12-05,171.17,418169.0,171.17,170.93,173.46,173.46,
2017-12-06,168.62,423741.0,168.62,168.43,171.47,171.2,
2017-12-07,170.93,323858.0,170.93,168.41,171.1,168.82,
2017-12-08,172.19,395220.0,172.19,170.6,172.5935,171.86,
2017-12-11,171.33,666131.0,171.33,170.89,173.68,172.83,
2017-12-12,170.78,350274.0,170.78,170.29,171.93,171.45,
2017-12-13,170.28,415004.0,170.28,170.06,172.09,170.45,
2017-12-14,165.5,702928.0,165.5,165.45,170.37,170.37,
2017-12-15,168.2,761858.0,168.2,166.09,168.97,166.71,
2017-12-18,172.62,656043.0,172.62,169.3,173.25,169.3,
2017-12-19,172.35,584847.0,172.35,170.11,173.49,172.66,
2017-12-20,174.94,742191.0,174.94,173.46,175.27,173.58,
2017-12-21,175.55,619588.0,175.55,174.02,176.1,174.9,
2017-12-22,174.7,359729.0,174.7,174.5,176.3799,175.98,
2017-12-26,174.82,193247.0,174.82,174.43,175.86,175.15,
2017-12-27,175.41,258543.0,175.41,174.83,175.95,175.09,
2017-12-28,175.88,275024.0,175.88,173.86,176.08,175.51,
2017-12-29,174.3,326255.0,174.3,174.22,176.75,176.75,
