YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,108.39,1569341.0,108.39,107.87,109.005,108.41,
2017-01-04,111.74,1470255.0,111.74,108.49,112.2,108.7,
2017-01-05,112.59,1816692.0,112.59,111.025,113.67,111.24,
2017-01-06,114.6,2203850.0,114.6,112.66,115.96,112.66,
2017-01-09,113.28,1491704.0,113.28,112.81,114.41,114.3,
2017-01-10,111.35,1572841.0,111.35,110.83,112.98,112.98,
2017-01-11,111.97,1296628.0,111.97,110.54,112.09,111.47,
2017-01-12,112.59,1155332.0,112.59,110.91,113.06,111.89,
2017-01-13,112.42,838213.0,112.42,111.96,113.61,112.92,
2017-01-17,113.94,1649427.0,113.94,111.94,114.4,111.94,
2017-01-18,114.4,1706817.0,114.4,112.94,114.62,114.42,
2017-01-19,114.4,1027572.0,114.4,114.23,115.27,114.24,
2017-01-20,116.0,1450517.0,116.0,114.41,116.16,114.85,
2017-01-23,116.11,902982.0,116.11,114.9,116.35,115.9,
2017-01-24,116.92,1100997.0,116.92,115.56,117.22,116.38,
2017-01-25,120.43,1502653.0,120.43,117.0,120.54,117.42,
2017-01-26,121.12,1495942.0,121.12,120.64,122.21,120.64,
2017-01-27,120.69,718552.0,120.69,120.42,121.11,121.04,
2017-01-30,120.62,754208.0,120.62,119.05,120.97,120.97,
2017-01-31,120.18,1283185.0,120.18,119.66,121.28,120.37,
2017-02-01,119.57,764477.0,119.57,119.07,120.81,120.67,
2017-02-02,120.42,782877.0,120.42,118.795,120.55,119.16,
2017-02-03,122.6,1118404.0,122.6,121.1101,122.965,121.59,
2017-02-06,122.88,1164616.0,122.88,121.89,123.17,122.12,
2017-02-07,125.84,2341737.0,125.84,125.0,128.49,125.25,
2017-02-08,125.08,917887.0,125.08,124.64,126.75,126.0,
2017-02-09,126.21,850334.0,126.21,125.0205,126.46,125.21,
2017-02-10,126.29,1056246.0,126.29,125.46,126.5605,126.21,
2017-02-13,126.53,1016643.0,126.53,126.07,127.37,126.94,
2017-02-14,126.92,1254885.0,126.92,126.205,127.425,126.36,
2017-02-15,128.33,908024.0,128.33,126.3,128.68,126.52,
2017-02-16,128.61,832139.0,128.61,127.45,128.96,128.24,
2017-02-17,130.39,1339162.0,130.39,128.06,130.42,128.38,
2017-02-21,130.76,1273529.0,130.76,129.93,131.25,130.32,
2017-02-22,130.78,906394.0,130.78,129.93,130.84,129.99,
2017-02-23,130.78,713414.0,130.78,129.39,131.26,130.38,
2017-02-24,130.82,971038.0,130.82,129.5,130.96,130.02,
2017-02-27,129.99,946656.0,129.99,129.7501,130.74,130.43,
2017-02-28,129.47,1432736.0,129.47,129.22,130.16,130.0,
2017-03-01,130.0,2468476.0,130.0,129.82,131.2,131.1,
2017-03-02,130.0,2024651.0,130.0,129.7001,130.69,130.15,
2017-03-03,129.64,1239226.0,129.64,129.46,130.5399,130.11,
2017-03-06,130.43,796810.0,130.43,129.12,130.83,129.12,
2017-03-07,130.69,773605.0,130.69,130.26,131.2,130.26,
2017-03-08,130.58,655630.0,130.58,130.34,131.29,131.06,
2017-03-09,131.06,705320.0,131.06,130.5,131.52,130.74,
2017-03-10,131.69,1166533.0,131.69,130.65,132.08,131.5,
2017-03-13,132.59,871887.0,132.59,131.95,132.95,132.0,
2017-03-14,132.17,619261.0,132.17,131.57,133.08,132.34,
2017-03-15,130.35,2640596.0,130.35,128.92,132.25,131.75,
2017-03-16,131.74,1035691.0,131.74,130.53,131.845,130.53,
2017-03-17,129.99,2153129.0,129.99,129.87,131.63,131.3,
2017-03-20,129.69,1261416.0,129.69,129.21,130.23,129.92,
2017-03-21,128.2,1063631.0,128.2,127.77,130.99,130.51,
2017-03-22,128.49,2042672.0,128.49,127.28,128.6909,128.25,
2017-03-23,129.15,858652.0,129.15,127.88,130.04,128.54,
2017-03-24,129.69,982362.0,129.69,128.89,130.8,129.48,
2017-03-27,128.45,1147761.0,128.45,127.97,129.08,128.54,
2017-03-28,128.72,774961.0,128.72,127.835,129.22,128.31,
2017-03-29,128.31,774203.0,128.31,127.75,128.685,128.61,
2017-03-30,129.4,641943.0,129.4,128.05,129.5,128.32,
2017-03-31,130.74,1408046.0,130.74,128.88,131.52,129.16,
2017-04-03,129.35,1628138.0,129.35,128.66,131.72,130.48,
2017-04-04,128.82,1365385.0,128.82,127.6,128.9828,128.87,
2017-04-05,130.17,1494262.0,130.17,128.495,131.64,129.46,
2017-04-06,129.96,895809.0,129.96,129.17,130.66,130.05,
2017-04-07,130.05,976925.0,130.05,129.38,130.58,129.72,
2017-04-10,129.59,821471.0,129.59,128.85,130.34,130.05,
2017-04-11,129.2,806624.0,129.2,128.51,129.61,129.46,
2017-04-12,128.93,650093.0,128.93,128.42,129.91,129.91,
2017-04-13,128.28,610390.0,128.28,128.26,129.26,128.53,
2017-04-17,130.76,820696.0,130.76,129.19,130.86,129.42,
2017-04-18,130.52,796738.0,130.52,129.78,131.1,130.13,
2017-04-19,130.57,1002204.0,130.57,130.31,131.18,131.08,
2017-04-20,131.87,985392.0,131.87,130.84,132.19,130.84,
2017-04-21,131.52,1274221.0,131.52,131.39,132.83,131.9,
2017-04-24,133.9,2049153.0,133.9,132.66,134.57,133.29,
2017-04-25,135.61,2012912.0,135.61,132.81,136.75,134.39,
2017-04-26,134.23,1110748.0,134.23,134.17,136.0,135.97,
2017-04-27,135.09,839384.0,135.09,134.24,135.28,134.67,
