YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,101.13,1113877.0,101.13,99.85,101.26,100.93,
2017-01-04,102.0,1389056.0,102.0,101.17,103.14,101.39,
2017-01-05,101.76,2008573.0,101.76,100.12,102.26,102.0,
2017-01-06,102.92,934812.0,102.92,101.21,103.16,101.45,
2017-01-09,101.38,1005383.0,101.38,101.28,103.63,102.93,
2017-01-10,101.06,929748.0,101.06,100.09,101.7,101.04,
2017-01-11,102.13,1469994.0,102.13,100.8,102.52,100.92,
2017-01-12,101.84,806865.0,101.84,101.28,102.9,102.14,
2017-01-13,101.77,635987.0,101.77,101.17,102.33,101.59,
2017-01-17,103.4,772175.0,103.4,101.68,103.48,101.99,
2017-01-18,103.78,1015435.0,103.78,103.41,104.25,103.5,
2017-01-19,102.08,740200.0,102.08,101.77,103.62,103.62,
2017-01-20,102.44,789851.0,102.44,101.6,102.95,102.22,
2017-01-23,102.2,1207715.0,102.2,101.98,103.48,102.62,
2017-01-24,102.67,1228929.0,102.67,101.87,102.89,102.1,
2017-01-25,102.57,1013414.0,102.57,101.59,102.69,102.65,
2017-01-26,102.28,845607.0,102.28,101.6,103.01,102.39,
2017-01-27,101.44,576128.0,101.44,101.115,102.585,102.58,
2017-01-30,100.82,1151642.0,100.82,99.71,101.78,101.78,
2017-01-31,102.39,947568.0,102.39,100.6416,102.51,100.93,
2017-02-01,101.42,681022.0,101.42,100.79,102.22,101.59,
2017-02-02,102.72,636966.0,102.72,100.8,102.76,101.59,
2017-02-03,102.79,571929.0,102.79,102.64,103.23,102.97,
2017-02-06,102.6,461901.0,102.6,101.955,103.275,103.0,
2017-02-07,102.55,533319.0,102.55,102.09,102.96,102.65,
2017-02-08,104.21,795768.0,104.21,102.5,104.43,102.5,
2017-02-09,103.65,751078.0,103.65,103.495,104.64,104.28,
2017-02-10,104.35,632195.0,104.35,103.35,104.52,103.35,
2017-02-13,105.16,538624.0,105.16,104.29,105.22,104.39,
2017-02-14,104.33,576716.0,104.33,103.81,105.17,104.76,
2017-02-15,104.32,690842.0,104.32,103.19,104.37,103.34,
2017-02-16,105.9,662117.0,105.9,104.45,105.92,104.55,
2017-02-17,105.85,893862.0,105.85,104.88,106.14,105.91,
2017-02-21,106.48,777646.0,106.48,105.299,106.72,105.62,
2017-02-22,107.15,637340.0,107.15,106.21,107.57,106.63,
2017-02-23,108.51,921028.0,108.51,107.32,109.12,107.63,
2017-02-24,109.09,1082837.0,109.09,108.37,109.325,108.37,
2017-02-27,108.81,879638.0,108.81,108.33,109.1,109.09,
2017-02-28,110.29,2057898.0,110.29,108.67,110.95,109.11,
2017-03-01,109.65,1182576.0,109.65,108.73,110.65,109.86,
2017-03-02,109.75,1152404.0,109.75,108.96,110.28,109.28,
2017-03-03,109.23,773174.0,109.23,108.34,109.82,109.82,
2017-03-06,109.94,1033544.0,109.94,108.63,109.96,108.94,
2017-03-07,110.58,1122735.0,110.58,109.52,111.02,109.79,
2017-03-08,108.44,859074.0,108.44,108.26,109.76,109.29,
2017-03-09,108.05,756160.0,108.05,107.89,109.39,108.52,
2017-03-10,109.4,812066.0,109.4,108.34,109.54,108.91,
2017-03-13,109.76,645915.0,109.76,109.07,109.92,109.4,
2017-03-14,109.16,524441.0,109.16,108.85,109.86,109.26,
2017-03-15,111.23,916592.0,111.23,109.46,111.83,109.66,
2017-03-16,110.16,791115.0,110.16,109.67,111.56,111.56,
2017-03-17,110.76,1361369.0,110.76,110.4,111.51,110.44,
2017-03-20,110.39,901533.0,110.39,109.8,111.25,110.91,
2017-03-21,111.26,1002040.0,111.26,109.23,111.58,109.65,
2017-03-22,111.94,1104331.0,111.94,111.385,112.5699,111.62,
2017-03-23,111.58,976660.0,111.58,111.19,113.08,112.03,
2017-03-24,112.47,940106.0,112.47,111.4,112.79,111.63,
2017-03-27,111.6,769887.0,111.6,111.25,113.15,112.23,
2017-03-28,112.07,786911.0,112.07,111.33,112.18,111.5,
2017-03-29,111.28,812246.0,111.28,111.1,112.0,111.76,
2017-03-30,110.23,886243.0,110.23,110.09,110.88,110.79,
2017-03-31,110.5,1271278.0,110.5,110.09,111.16,110.09,
2017-04-03,109.86,1301508.0,109.86,109.16,110.78,110.48,
2017-04-04,110.38,858693.0,110.38,109.7201,110.85,109.99,
2017-04-05,109.44,2483049.0,109.44,107.86,110.65,110.5,
2017-04-06,109.75,1431677.0,109.75,108.7,109.86,109.26,
2017-04-07,109.68,1339544.0,109.68,109.61,110.92,109.98,
2017-04-10,110.65,1107093.0,110.65,109.36,110.87,109.68,
2017-04-11,110.48,792101.0,110.48,109.74,110.85,110.5,
