YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,79.25,1815219.0,79.25,78.26,79.93,79.0,
2017-01-04,82.27,3318906.0,82.27,80.5,82.39,80.74,
2017-01-05,81.68,2841614.0,81.68,80.96,82.89,82.21,
2017-01-06,82.44,2350312.0,82.44,80.94,82.68,81.94,
2017-01-09,81.37,1960403.0,81.37,81.18,82.51,81.87,
2017-01-10,81.3,2398134.0,81.3,81.01,82.08,81.42,
2017-01-11,82.85,3030989.0,82.85,80.82,82.89,81.05,
2017-01-12,82.09,2411830.0,82.09,81.14,82.99,82.99,
2017-01-13,82.93,2191358.0,82.93,82.49,83.49,82.55,
2017-01-17,80.2,2014733.0,80.2,80.14,82.39,82.12,
2017-01-18,80.15,2372678.0,80.15,78.87,80.385,80.22,
2017-01-19,78.75,2242080.0,78.75,78.38,80.4,80.22,
2017-01-20,79.01,1614649.0,79.01,78.46,79.41,79.06,
2017-01-23,78.56,1073626.0,78.56,77.951,79.16,78.75,
2017-01-24,80.52,2736073.0,80.52,78.23,80.87,78.88,
2017-01-25,77.8,6598966.0,77.8,74.4501,78.4,75.0,
2017-01-26,76.58,4242362.0,76.58,75.98,77.66,77.1,
2017-01-27,76.0,2299350.0,76.0,75.89,76.57,76.5,
2017-01-30,76.2,2077535.0,76.2,75.14,76.32,75.81,
2017-01-31,76.2,2481364.0,76.2,75.56,76.42,75.96,
2017-02-01,76.34,2515917.0,76.34,76.01,77.43,76.88,
2017-02-02,75.97,2535650.0,75.97,75.08,76.27,75.62,
2017-02-03,77.54,2280682.0,77.54,76.5,77.54,77.03,
2017-02-06,77.32,1354700.0,77.32,76.715,77.78,77.02,
2017-02-07,77.5,2158524.0,77.5,77.04,77.71,77.68,
2017-02-08,77.35,2589475.0,77.35,76.0,77.5,76.81,
2017-02-09,77.94,1814843.0,77.94,77.04,78.25,77.54,
2017-02-10,78.11,1952175.0,78.11,77.33,78.25,78.22,
2017-02-13,79.29,1546163.0,79.29,78.53,79.75,78.53,
2017-02-14,81.45,3357369.0,81.45,79.29,81.78,79.29,
2017-02-15,81.91,1792953.0,81.91,81.49,82.31,81.73,
2017-02-16,80.76,2366674.0,80.76,80.46,81.35,80.59,
2017-02-17,80.67,1214219.0,80.67,79.76,80.74,79.93,
2017-02-21,80.53,2186581.0,80.53,80.17,81.27,80.8,
2017-02-22,80.21,2175068.0,80.21,79.5,80.3618,80.0,
2017-02-23,79.82,1502135.0,79.82,79.461,80.6,80.53,
2017-02-24,78.95,2135431.0,78.95,78.52,79.43,78.92,
2017-02-27,79.21,2206170.0,79.21,78.87,79.45,78.95,
2017-02-28,79.71,2754199.0,79.71,78.46,79.91,78.66,
2017-03-01,81.65,4164409.0,81.65,81.18,82.62,81.18,
2017-03-02,80.37,2139594.0,80.37,80.33,81.85,81.85,
2017-03-03,80.22,1820265.0,80.22,79.77,80.64,79.8,
2017-03-06,79.62,1526807.0,79.62,79.2986,79.93,79.65,
2017-03-07,79.6,2051895.0,79.6,79.32,79.97,79.7,
2017-03-08,79.92,2093084.0,79.92,79.86,80.96,80.65,
2017-03-09,79.91,2350510.0,79.91,79.76,80.56,80.43,
