YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,154.0408,770.0,154.0408,153.81,155.55,154.61,
2017-01-03,154.75,1991448.0,154.75,153.31,155.31,155.01,
2017-01-04,156.89,1941.0,156.89,156.89,157.0012,156.89,
2017-01-04,157.99,2972285.0,157.99,156.26,158.3499,157.15,
2017-01-05,147.969,1186.0,147.969,147.969,149.49,149.49,
2017-01-05,146.75,10511832.0,146.75,144.0,151.35,150.55,
2017-01-06,149.16,982.0,149.16,148.6,149.16,148.6,
2017-01-06,149.44,4441941.0,149.44,146.4,150.07,146.99,
2017-01-09,150.29,720.0,150.29,150.29,150.2902,150.2902,
2017-01-09,150.27,2129903.0,150.27,149.1,150.9,150.0,
2017-01-10,149.55,217.0,149.55,149.55,149.55,149.55,
2017-01-10,149.24,2152805.0,149.24,149.08,150.27,150.0,
2017-01-11,149.55,626.0,149.55,149.55,149.55,149.55,
2017-01-11,149.0,1836206.0,149.0,148.42,150.15,149.0,
2017-01-12,148.235,0.0,,,,,
2017-01-12,147.53,1973774.0,147.53,146.71,148.5,148.5,
2017-01-13,150.0,0.0,,,,,
2017-01-13,149.28,1721698.0,149.28,147.35,149.69,147.71,
2017-01-17,153.94,220.0,153.94,153.94,153.94,153.94,
2017-01-17,153.73,3708594.0,153.73,151.29,156.75,151.29,
2017-01-18,153.31,702.0,153.31,153.31,153.95,153.95,
2017-01-18,150.48,2263148.0,150.48,150.34,154.19,153.65,
2017-01-19,150.325,0.0,,,,,
2017-01-19,149.59,1560563.0,149.59,149.08,150.93,150.93,
2017-01-20,149.8,253.0,149.8,149.8,149.8,149.8,
2017-01-20,150.08,1973760.0,150.08,148.32,150.34,149.54,
2017-01-23,151.74,680.0,151.74,151.74,153.15,153.0,
2017-01-23,151.55,2470165.0,151.55,150.05,153.66,150.1,
2017-01-24,155.9,7517.0,155.9,151.67,155.9,151.79,
2017-01-24,153.05,1899522.0,153.05,150.59,153.37,151.29,
2017-01-25,154.2918,688.0,154.2918,154.2918,155.79,155.79,
2017-01-25,154.09,2178003.0,154.09,152.698,154.36,153.38,
2017-01-26,150.715,0.0,,,,,
2017-01-26,149.97,2790487.0,149.97,149.8,154.61,153.78,
2017-01-27,151.36,711.0,151.36,151.0,151.36,151.0,
2017-01-27,148.92,2712809.0,148.92,148.0,150.0,149.1,
2017-01-30,147.9516,166.0,147.9516,147.9516,147.9516,147.9516,
2017-01-30,148.34,1566279.0,148.34,146.99,149.36,149.36,
2017-01-31,151.28,1014.0,151.28,149.9,151.28,150.38,
2017-01-31,149.76,1793903.0,149.76,147.92,150.05,148.0,
2017-02-01,151.27,0.0,,,,,
2017-02-01,149.85,1700768.0,149.85,148.73,151.93,151.76,
2017-02-02,150.93,1409.0,150.93,150.0,150.93,150.0,
2017-02-02,149.27,1290696.0,149.27,149.0,151.19,150.5,
2017-02-03,150.495,0.0,,,,,
2017-02-03,149.07,1671462.0,149.07,148.77,150.18,149.9,
2017-02-06,149.77,820.0,149.77,149.75,149.77,149.75,
2017-02-06,149.77,940231.0,149.77,148.38,150.12,148.88,
2017-02-07,152.05,600.0,152.05,152.0,152.05,152.0,
2017-02-07,152.0,1116502.0,152.0,150.2,152.33,150.2,
2017-02-08,153.99,276.0,153.99,153.99,154.221,154.221,
2017-02-08,154.58,2274940.0,154.58,152.01,154.82,152.01,
