YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,75.15,2609426.0,75.15,74.4,76.24,75.22,23442.0
2017-01-04,74.99,1683879.0,74.99,74.5,75.655,75.46,16597.0
2017-01-05,74.57,1832555.0,74.57,73.94,75.38,74.66,15801.0
2017-01-06,74.96,1609218.0,74.96,74.32,75.48,74.82,15148.0
2017-01-09,75.65,2331287.0,75.65,75.23,76.96,75.96,21070.0
2017-01-10,77.31,1768561.0,77.31,75.66,77.52,75.69,16566.0
2017-01-11,78.41,2119898.0,78.41,76.51,78.72,77.33,18900.0
2017-01-12,76.75,4265199.0,76.75,74.67,76.91,76.2,33621.0
2017-01-13,78.33,1963387.0,78.33,76.69,78.49,76.91,17504.0
2017-01-17,76.89,2392146.0,76.89,76.485,78.43,77.64,20430.0
2017-01-18,79.27,3106093.0,79.27,77.16,79.27,77.39,24273.0
2017-01-19,78.46,4062382.0,78.46,78.1805,79.45,78.87,30377.0
2017-01-20,88.67,15776664.0,88.67,84.69,88.9,85.0,106716.0
2017-01-23,90.17,6523246.0,90.17,87.72,91.07,88.87,48602.0
2017-01-24,92.27,4553330.0,92.27,90.31,92.74,90.31,37655.0
2017-01-25,91.87,3223492.0,91.87,91.32,93.78,93.0,27866.0
2017-01-26,91.01,2344718.0,91.01,90.94,92.64,92.0,22250.0
2017-01-27,92.01,1706221.0,92.01,91.25,92.44,91.55,14409.0
2017-01-30,92.99,2482193.0,92.99,90.22,93.08,91.43,21549.0
2017-01-31,91.74,2486505.0,91.74,90.28,92.479,92.32,21200.0
2017-02-01,91.74,3804797.0,91.74,91.31,94.49,93.54,31527.0
2017-02-02,91.11,2524583.0,91.11,90.06,91.535,90.8,22476.0
2017-02-03,91.56,1272523.0,91.56,90.88,91.91,91.32,12602.0
2017-02-06,91.39,1458764.0,91.39,90.71,91.58,91.45,11306.0
2017-02-07,91.78,1305566.0,91.78,91.17,92.2,91.4,12607.0
2017-02-08,91.69,1861650.0,91.69,90.94,92.34,91.61,17259.0
2017-02-09,92.47,2753403.0,92.47,91.24,93.1299,92.07,25289.0
2017-02-10,92.21,1947332.0,92.21,91.41,92.75,92.73,16816.0
2017-02-13,92.63,1290117.0,92.63,92.27,93.3,92.69,12574.0
2017-02-14,91.8,1610538.0,91.8,90.53,92.48,92.32,15099.0
2017-02-15,92.13,1561061.0,92.13,91.25,92.61,92.02,13258.0
2017-02-16,92.43,1287095.0,92.43,91.6,92.56,92.34,11366.0
2017-02-17,96.35,5406554.0,96.35,91.92,96.67,92.24,40623.0
2017-02-21,96.57,2578203.0,96.57,95.7,97.51,96.63,22488.0
