YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,37.06,6058653.0,37.06,36.59,37.17,36.75,
2017-01-04,37.93,6040128.0,37.93,37.145,38.055,37.3,
2017-01-05,36.91,6850843.0,36.91,36.4,37.74,37.66,
2017-01-06,37.13,5110239.0,37.13,36.88,37.48,37.09,
2017-01-09,36.9,3955523.0,36.9,36.52,37.075,36.91,
2017-01-10,36.96,5033296.0,36.96,36.725,37.49,37.03,
2017-01-11,36.36,11639127.0,36.36,35.66,36.81,36.81,
2017-01-12,36.13,6484263.0,36.13,35.6,36.195,36.16,
2017-01-13,36.32,4401247.0,36.32,36.065,36.83,36.34,
2017-01-17,35.51,4701335.0,35.51,35.37,36.23,36.1,
2017-01-18,35.9,3943596.0,35.9,35.17,35.92,35.79,
2017-01-19,35.61,6150013.0,35.61,35.56,36.14,35.96,
2017-01-20,36.24,8954517.0,36.24,35.85,36.85,35.98,
2017-01-23,35.77,6846600.0,35.77,35.61,36.49,36.03,
2017-01-24,36.08,4117791.0,36.08,35.88,36.37,35.97,
2017-01-25,35.91,6387239.0,35.91,35.75,36.495,36.39,
2017-01-26,36.69,7572173.0,36.69,35.88,36.7,36.02,
2017-01-27,36.63,5956661.0,36.63,36.35,36.79,36.69,
2017-01-30,36.47,4665115.0,36.47,36.0,36.53,36.45,
2017-01-31,35.82,5993091.0,35.82,35.56,36.535,36.3,
2017-02-01,36.0,5257973.0,36.0,35.885,36.58,36.06,
2017-02-02,35.34,5637092.0,35.34,35.19,35.81,35.64,
2017-02-03,36.51,7493442.0,36.51,35.65,36.735,35.95,
2017-02-06,36.45,4385608.0,36.45,36.16,36.55,36.25,
2017-02-07,36.05,5583418.0,36.05,35.96,36.78,36.64,
2017-02-08,35.77,4228879.0,35.77,35.38,35.88,35.88,
2017-02-09,36.49,4838572.0,36.49,35.68,36.595,35.83,
2017-02-10,36.22,5527093.0,36.22,36.15,36.8,36.73,
2017-02-13,36.65,7151666.0,36.65,36.32,36.79,36.43,
2017-02-14,37.32,4626192.0,37.32,36.54,37.4,36.63,
2017-02-15,37.28,4296926.0,37.28,37.17,37.75,37.33,
2017-02-16,36.85,3616544.0,36.85,36.55,37.29,37.19,
2017-02-17,36.68,5916970.0,36.68,36.055,36.76,36.58,
2017-02-21,36.86,3842853.0,36.86,36.86,37.34,37.11,
2017-02-22,36.78,2659873.0,36.78,36.54,37.03,36.59,
2017-02-23,36.63,3122337.0,36.63,36.28,36.92,36.86,
2017-02-24,36.48,4575047.0,36.48,36.11,36.48,36.25,
2017-02-27,36.94,4196150.0,36.94,35.95,36.96,36.5,
2017-02-28,36.24,7566944.0,36.24,35.75,36.8534,36.77,
2017-03-01,36.89,5994455.0,36.89,36.711,37.415,37.18,
2017-03-02,35.97,6618947.0,35.97,35.92,36.98,36.88,
2017-03-03,36.05,5091931.0,36.05,35.69,36.17,35.9,
2017-03-06,35.58,5115870.0,35.58,35.32,35.81,35.8,
2017-03-07,35.6,4149434.0,35.6,35.36,35.9399,35.57,
2017-03-08,35.71,3679850.0,35.71,35.64,36.1,35.9,
2017-03-09,35.85,3208046.0,35.85,35.68,36.15,35.92,
2017-03-10,36.01,4307316.0,36.01,35.78,36.2,36.08,
2017-03-13,36.03,3894115.0,36.03,35.72,36.17,35.99,
2017-03-14,35.92,3580011.0,35.92,35.645,35.98,35.75,
2017-03-15,35.8,6428659.0,35.8,35.68,36.18,36.03,
2017-03-16,35.83,4818372.0,35.83,35.705,36.085,36.01,
2017-03-17,35.12,10581403.0,35.12,34.86,35.73,35.73,
2017-03-20,34.2,9393672.0,34.2,34.19,35.2,35.08,
2017-03-21,33.02,11892966.0,33.02,32.94,34.5,34.39,
2017-03-22,33.08,8907135.0,33.08,32.48,33.53,32.9,
2017-03-23,33.43,6455728.0,33.43,32.93,33.82,33.07,
2017-03-24,33.31,4682455.0,33.31,33.03,33.69,33.56,
2017-03-27,32.74,8790087.0,32.74,32.24,32.97,32.59,
2017-03-28,33.66,6438023.0,33.66,32.6,33.9,32.81,
2017-03-29,33.78,4487143.0,33.78,33.5501,33.93,33.64,
2017-03-30,34.43,5122565.0,34.43,33.78,34.585,33.82,
2017-03-31,34.3,5031422.0,34.3,34.125,34.53,34.27,
2017-04-03,33.76,6171290.0,33.76,33.275,34.54,34.45,
2017-04-04,33.73,2555999.0,33.73,33.58,33.91,33.58,
2017-04-05,33.26,5021029.0,33.26,33.14,34.36,34.24,
2017-04-06,33.23,10510542.0,33.23,32.945,33.59,33.23,
2017-04-07,33.16,3734693.0,33.16,32.87,33.42,32.96,
2017-04-10,32.87,6846201.0,32.87,32.815,33.465,33.19,
2017-04-11,33.05,6759719.0,33.05,32.25,33.1177,32.55,
