YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,119.43,1831460.0,119.43,117.86,119.86,119.81,
2017-01-04,120.1,1504802.0,120.1,119.355,120.65,119.64,
2017-01-05,118.78,1772185.0,118.78,118.4,120.4,120.1,
2017-01-06,117.75,2464191.0,117.75,116.5,118.38,117.5,
2017-01-09,119.02,1355726.0,119.02,117.64,119.65,117.88,
2017-01-10,121.9,2310404.0,121.9,119.05,122.72,119.56,
2017-01-11,123.66,3140919.0,123.66,122.575,127.23,123.49,
2017-01-12,123.26,1417455.0,123.26,121.84,123.37,122.86,
2017-01-13,122.92,1665234.0,122.92,122.6,124.0,123.22,
2017-01-17,122.55,1923857.0,122.55,121.68,122.99,122.12,
2017-01-18,122.4,1195539.0,122.4,122.15,123.09,122.93,
2017-01-19,122.13,1016056.0,122.13,121.39,122.62,122.0,
2017-01-20,121.75,1196611.0,121.75,121.45,123.08,122.52,
2017-01-23,121.41,1391688.0,121.41,120.84,122.29,121.56,
2017-01-24,121.5,1546496.0,121.5,120.64,122.36,121.51,
2017-01-25,121.11,2562291.0,121.11,121.05,124.95,122.18,
2017-01-26,120.83,1891565.0,120.83,119.17,121.11,121.11,
2017-01-27,123.29,1497598.0,123.29,120.73,123.67,121.03,
2017-01-30,122.51,1249298.0,122.51,121.94,123.27,123.27,
2017-01-31,123.53,1148541.0,123.53,122.0,123.59,122.13,
2017-02-01,123.12,1586901.0,123.12,122.42,123.82,123.43,
2017-02-02,123.39,1330908.0,123.39,122.295,123.47,122.88,
2017-02-03,123.36,985962.0,123.36,122.78,124.245,123.72,
2017-02-06,122.33,1171320.0,122.33,121.86,123.29,123.08,
2017-02-07,122.51,1726431.0,122.51,122.16,122.84,122.36,
2017-02-08,122.41,689562.0,122.41,122.01,122.95,122.34,
2017-02-09,123.32,1492652.0,123.32,122.28,123.58,122.62,
2017-02-10,123.31,842225.0,123.31,122.78,123.71,123.28,
2017-02-13,124.33,1121244.0,124.33,123.34,124.755,123.44,
2017-02-14,125.26,1125201.0,125.26,123.84,125.51,124.43,
2017-02-15,125.76,1039023.0,125.76,124.605,125.98,124.7,
2017-02-16,125.75,887602.0,125.75,124.89,125.77,125.59,
2017-02-17,126.34,863137.0,126.34,125.12,126.37,125.65,
2017-02-21,127.16,1358184.0,127.16,126.0,127.79,126.01,
2017-02-22,127.29,805991.0,127.29,126.84,127.96,127.05,
2017-02-23,128.67,1082819.0,128.67,127.01,128.72,127.5,
2017-02-24,129.27,770746.0,129.27,128.29,129.3,128.56,
2017-02-27,128.58,1005613.0,128.58,128.41,129.66,129.0,
2017-02-28,128.56,1196762.0,128.56,127.19,129.2,128.74,
2017-03-01,131.05,1271982.0,131.05,128.78,131.36,129.35,
2017-03-02,130.79,940446.0,130.79,129.855,131.31,130.94,
2017-03-03,130.2,1133782.0,130.2,129.6531,130.85,130.51,
2017-03-06,129.69,1373343.0,129.69,129.19,130.16,129.54,
2017-03-07,129.14,1724918.0,129.14,128.79,129.81,129.35,
2017-03-08,129.34,651004.0,129.34,128.95,129.87,129.54,
2017-03-09,129.81,1023280.0,129.81,129.0341,130.15,129.17,
2017-03-10,130.0,1642317.0,130.0,129.29,130.69,130.3,
2017-03-13,131.38,1334335.0,131.38,129.59,131.46,130.21,
2017-03-14,130.97,1487209.0,130.97,130.48,131.35,130.82,
2017-03-15,132.83,1110737.0,132.83,131.0,132.99,131.31,
2017-03-16,131.5,1675128.0,131.5,130.51,132.62,132.62,
2017-03-17,132.66,2050705.0,132.66,131.0,133.02,131.56,
2017-03-20,132.59,714862.0,132.59,132.14,132.91,132.62,
2017-03-21,132.38,966911.0,132.38,131.41,133.59,132.79,
2017-03-22,132.45,789748.0,132.45,131.61,133.24,132.71,
2017-03-23,131.59,1247889.0,131.59,131.28,132.77,132.38,
2017-03-24,132.51,1236950.0,132.51,131.54,133.16,131.83,
2017-03-27,132.49,698186.0,132.49,131.73,132.62,132.0,
2017-03-28,132.7,750885.0,132.7,131.44,132.89,132.22,
