YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,55.0,3876968.0,55.0,54.46,55.65,55.32,
2017-01-04,55.17,2986699.0,55.17,54.72,55.33,54.72,
2017-01-05,54.99,3629471.0,54.99,54.9,55.299,54.9,
2017-01-06,55.38,4776599.0,55.38,54.77,55.66,54.86,
2017-01-09,55.68,3933308.0,55.68,55.46,55.95,55.5,
2017-01-10,55.33,2932844.0,55.33,55.15,55.65,55.56,
2017-01-11,55.29,2866390.0,55.29,54.91,55.4,55.17,
2017-01-12,54.9,2362648.0,54.9,54.67,55.29,55.12,
2017-01-13,54.97,1794219.0,54.97,54.82,55.14,55.0,
2017-01-17,54.88,2605511.0,54.88,54.59,55.12,54.65,
2017-01-18,55.25,3412711.0,55.25,54.79,55.295,55.0,
2017-01-19,53.62,6507815.0,53.62,53.51,55.35,55.34,
2017-01-20,53.81,3789994.0,53.81,53.66,54.27,53.88,
2017-01-23,53.52,2564481.0,53.52,53.35,53.8,53.8,
2017-01-24,53.52,3681808.0,53.52,53.3,53.89,53.68,
2017-01-25,53.05,2617971.0,53.05,53.01,53.87,53.59,
2017-01-26,53.03,4063928.0,53.03,52.785,53.2,53.15,
2017-01-27,52.7,3189047.0,52.7,52.66,53.24,53.17,
2017-01-30,52.74,3992394.0,52.74,52.45,52.92,52.69,
2017-01-31,52.46,4758170.0,52.46,52.41,52.965,52.73,
2017-02-01,52.05,3448755.0,52.05,52.04,52.63,52.18,
2017-02-02,52.38,3898465.0,52.38,52.18,52.6993,52.47,
2017-02-03,52.54,4546646.0,52.54,52.21,52.86,52.59,
2017-02-06,51.2,9488311.0,51.2,49.895,53.21,53.2,
2017-02-07,52.23,7421343.0,52.23,51.83,53.02,52.2,
2017-02-08,51.83,3457911.0,51.83,51.67,52.13,52.05,
2017-02-09,52.25,3741782.0,52.25,51.75,52.26,51.75,
2017-02-10,52.62,3475869.0,52.62,52.02,52.695,52.19,
2017-02-13,52.81,5567075.0,52.81,52.54,52.945,52.62,
2017-02-14,52.73,3867358.0,52.73,52.43,52.82,52.7,
2017-02-15,52.75,4361148.0,52.75,52.22,52.86,52.61,
2017-02-16,52.63,3569573.0,52.63,52.42,52.79,52.74,
2017-02-17,52.35,3766874.0,52.35,52.035,52.61,52.37,
2017-02-21,52.81,2977188.0,52.81,52.51,52.87,52.51,
2017-02-22,52.75,2677372.0,52.75,52.53,52.79,52.6,
2017-02-23,52.89,2233169.0,52.89,52.62,53.02,52.84,
2017-02-24,53.2,2482177.0,53.2,52.83,53.39,52.86,
2017-02-27,52.85,2091111.0,52.85,52.76,53.22,53.05,
2017-02-28,52.72,3764065.0,52.72,52.625,52.98,52.76,
2017-03-01,53.15,3935790.0,53.15,52.6,53.305,53.11,
2017-03-02,52.78,2593507.0,52.78,52.69,53.17,52.88,
2017-03-03,52.19,3480792.0,52.19,51.87,52.7,52.62,
2017-03-06,52.16,3191105.0,52.16,51.78,52.21,51.87,
2017-03-07,52.3,2367548.0,52.3,52.14,52.53,52.15,
2017-03-08,52.33,2829209.0,52.33,52.1,52.55,52.12,
2017-03-09,52.42,2839040.0,52.42,52.13,52.635,52.35,
2017-03-10,52.16,2339020.0,52.16,52.09,52.8,52.73,
2017-03-13,51.88,2934086.0,51.88,51.505,52.2,52.05,
2017-03-14,51.87,2548510.0,51.87,51.42,51.9,51.87,
2017-03-15,52.58,3069169.0,52.58,51.89,52.69,52.02,
2017-03-16,52.31,2495935.0,52.31,52.09,52.56,52.43,
2017-03-17,52.74,8964737.0,52.74,52.135,53.025,52.45,
2017-03-20,52.12,3730365.0,52.12,51.97,52.84,52.69,
2017-03-21,51.8,2914516.0,51.8,51.76,52.24,52.05,
2017-03-22,52.53,2363873.0,52.53,51.6699,52.56,51.84,
2017-03-23,52.65,2928855.0,52.65,52.23,53.01,52.43,
2017-03-24,52.81,2941903.0,52.81,52.42,52.93,52.65,
2017-03-27,52.04,2706846.0,52.04,51.78,52.69,52.58,
2017-03-28,52.2,2255327.0,52.2,51.67,52.315,51.92,
2017-03-29,51.81,2822700.0,51.81,51.61,52.08,52.06,
2017-03-30,52.02,1921531.0,52.02,51.63,52.2599,51.7,
2017-03-31,51.92,2105992.0,51.92,51.91,52.17,51.94,
2017-04-03,51.69,2185902.0,51.69,51.49,52.11,52.06,
2017-04-04,51.61,2688627.0,51.61,51.4,51.7,51.6,
2017-04-05,51.56,3046999.0,51.56,51.46,51.98,51.54,
2017-04-06,51.64,2371399.0,51.64,51.47,51.83,51.58,
2017-04-07,51.79,2242063.0,51.79,51.55,51.88,51.66,
2017-04-10,52.03,1956990.0,52.03,51.59,52.29,51.7,
2017-04-11,52.08,2709870.0,52.08,51.88,52.19,52.0,
2017-04-12,52.21,2385912.0,52.21,51.6625,52.3,51.79,
2017-04-13,51.9,1503882.0,51.9,51.9,52.32,52.18,
2017-04-17,52.12,1870653.0,52.12,51.88,52.195,51.96,
2017-04-18,52.4,2279002.0,52.4,51.96,52.61,52.02,
2017-04-19,52.11,2150472.0,52.11,52.1,52.6,52.48,
2017-04-20,52.45,2015255.0,52.45,52.0,52.555,52.12,
2017-04-21,52.2,2332155.0,52.2,52.2,52.59,52.42,
2017-04-24,52.86,1921521.0,52.86,52.47,52.925,52.58,
2017-04-25,53.13,1809023.0,53.13,52.82,53.2,52.95,
2017-04-26,53.21,2191906.0,53.21,53.085,53.46,53.2,
2017-04-27,53.43,1708850.0,53.43,53.15,53.71,53.22,
2017-04-28,52.87,2810104.0,52.87,52.67,53.28,53.28,
2017-05-01,52.85,1948136.0,52.85,52.63,53.14,52.93,
2017-05-02,52.87,2277034.0,52.87,52.77,53.01,52.91,
2017-05-03,52.91,2158424.0,52.91,52.5,53.05,52.84,
2017-05-04,54.6,4491207.0,54.6,53.43,54.625,53.51,
2017-05-05,55.31,4491609.0,55.31,54.66,55.38,54.78,
2017-05-08,54.9,3908971.0,54.9,54.01,56.1,54.48,
2017-05-09,54.91,3207132.0,54.91,54.81,55.22,55.0,
2017-05-10,54.54,3266772.0,54.54,54.51,55.12,54.83,
2017-05-11,55.01,3337118.0,55.01,54.21,55.25,54.37,
2017-05-12,53.95,2379592.0,53.95,53.75,54.97,54.78,
2017-05-15,54.04,2113908.0,54.04,53.68,54.17,53.75,
2017-05-16,54.19,2458492.0,54.19,54.13,54.47,54.25,
2017-05-17,54.4,3155372.0,54.4,53.8,54.64,53.96,
2017-05-18,54.43,2735906.0,54.43,54.05,54.62,54.4,
2017-05-19,54.58,5176199.0,54.58,54.2,54.69,54.41,
2017-05-22,54.95,1846730.0,54.95,54.595,55.09,54.61,
2017-05-23,54.23,3483853.0,54.23,54.13,54.94,54.84,
2017-05-24,54.22,2165224.0,54.22,54.03,54.45,54.16,
2017-05-25,54.28,2826168.0,54.28,53.92,54.441,54.3,
2017-05-26,54.43,1707704.0,54.43,54.17,54.49,54.27,
2017-05-30,54.2,2116554.0,54.2,53.95,54.38,54.36,
2017-05-31,54.56,3648861.0,54.56,54.01,54.59,54.33,
2017-06-01,55.4,2648183.0,55.4,54.62,55.4,54.73,
2017-06-02,55.73,2412650.0,55.73,55.36,55.84,55.48,
2017-06-05,55.47,2117481.0,55.47,55.37,55.73,55.57,
2017-06-06,55.1,2660490.0,55.1,54.92,55.435,55.25,
2017-06-07,54.75,2459915.0,54.75,54.51,55.15,55.07,
2017-06-08,54.99,2775703.0,54.99,54.555,55.035,54.87,
2017-06-09,55.19,1656262.0,55.19,54.87,55.285,55.0,
2017-06-12,55.32,2338664.0,55.32,55.17,55.51,55.24,
2017-06-13,55.38,1537953.0,55.38,55.09,55.505,55.23,
2017-06-14,55.42,1705000.0,55.42,55.27,55.67,55.51,
2017-06-15,55.53,2477103.0,55.53,54.92,55.68,55.03,
2017-06-16,54.38,10213439.0,54.38,52.59,55.03,55.03,
2017-06-19,54.5,4110925.0,54.5,53.97,54.65,54.61,
2017-06-20,53.86,3641603.0,53.86,53.84,54.65,54.34,
2017-06-21,53.35,2133057.0,53.35,53.23,54.08,53.85,
2017-06-22,52.78,2535265.0,52.78,52.69,53.43,53.38,
2017-06-23,49.92,11250281.0,49.92,49.5,52.0299,51.72,
2017-06-26,49.95,4781769.0,49.95,49.605,50.4,50.26,
2017-06-27,49.27,3761791.0,49.27,49.22,50.09,49.93,
