YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,124.0,128558.0,124.0,123.02,124.69,124.0,
2017-01-04,124.07,216781.0,124.07,123.995,125.19,124.0,
2017-01-05,123.36,124175.0,123.36,122.72,125.5,123.9,
2017-01-06,122.61,92432.0,122.61,122.34,123.9,123.61,
2017-01-09,121.11,123009.0,121.11,120.71,122.08,122.08,
2017-01-10,122.74,99620.0,122.74,121.14,123.195,121.66,
2017-01-11,123.01,97691.0,123.01,121.27,123.1,122.69,
2017-01-12,122.61,89878.0,122.61,120.06,122.76,122.61,
2017-01-13,124.26,108897.0,124.26,121.84,124.6,123.2,
2017-01-17,121.47,84782.0,121.47,121.21,123.58,123.58,
2017-01-18,122.81,75978.0,122.81,119.67,122.99,121.9,
2017-01-19,123.12,109370.0,123.12,122.12,124.835,123.0,
2017-01-20,123.06,79477.0,123.06,122.56,123.51,123.42,
2017-01-23,122.41,54894.0,122.41,121.325,123.5,122.95,
2017-01-24,123.38,148577.0,123.38,121.66,124.07,122.98,
2017-01-25,124.15,107943.0,124.15,122.97,124.44,124.19,
2017-01-26,122.75,293050.0,122.75,122.72,124.975,124.27,
2017-01-27,122.67,203175.0,122.67,122.26,123.67,122.42,
2017-01-30,122.02,129908.0,122.02,119.69,122.46,121.85,
2017-01-31,122.87,128964.0,122.87,119.74,123.03,121.57,
2017-02-01,123.05,140543.0,123.05,122.01,124.23,123.82,
2017-02-02,128.74,290739.0,128.74,125.26,129.5,127.0,
2017-02-03,130.22,189654.0,130.22,128.2,131.14,129.43,
2017-02-06,128.31,152160.0,128.31,127.78,129.54,129.15,
2017-02-07,128.43,170799.0,128.43,126.88,129.86,126.88,
2017-02-08,127.83,138820.0,127.83,127.12,128.25,127.67,
2017-02-09,128.69,139846.0,128.69,128.1019,129.8999,128.46,
2017-02-10,130.66,116990.0,130.66,128.2925,130.69,128.75,
2017-02-13,131.07,95325.0,131.07,130.76,132.35,131.1,
2017-02-14,131.11,88749.0,131.11,129.6001,131.49,130.32,
2017-02-15,132.34,85078.0,132.34,130.42,132.43,130.42,
2017-02-16,132.79,160425.0,132.79,131.07,133.14,132.42,
