YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,68.96,1942009.0,68.96,68.46,69.895,69.6,
2017-01-04,68.67,2208860.0,68.67,67.71,69.14,67.8,
2017-01-05,67.84,1491317.0,67.84,67.755,68.97,68.72,
2017-01-06,68.3,1178469.0,68.3,67.72,68.61,68.11,
2017-01-09,67.31,2795561.0,67.31,66.2,68.39,68.26,
2017-01-10,67.6,1258793.0,67.6,67.46,68.0,67.47,
2017-01-11,68.52,2437522.0,68.52,67.47,68.53,67.51,
2017-01-12,69.15,1582338.0,69.15,67.8,69.21,68.66,
2017-01-13,69.61,931765.0,69.61,69.13,69.85,69.13,
2017-01-17,69.13,1224889.0,69.13,68.82,69.775,69.1,
2017-01-18,69.82,1130029.0,69.82,69.22,69.97,69.41,
2017-01-19,69.6,1050221.0,69.6,69.3,70.3253,69.82,
2017-01-20,69.92,1528355.0,69.92,69.41,70.255,69.84,
2017-01-23,70.52,2798375.0,70.52,69.43,70.68,69.72,
2017-01-24,71.68,3670944.0,71.68,70.58,72.71,70.78,
2017-01-25,75.17,2854523.0,75.17,74.18,76.46,74.18,
2017-01-26,74.73,2554235.0,74.73,74.59,75.55,75.29,
2017-01-27,74.5,1379949.0,74.5,74.01,74.93,74.13,
2017-01-30,74.26,1312392.0,74.26,72.72,74.285,74.12,
2017-01-31,74.35,1455310.0,74.35,73.44,74.44,74.26,
2017-02-01,74.62,1613900.0,74.62,73.65,75.13,74.91,
2017-02-02,74.51,1333072.0,74.51,73.9,74.68,74.3,
2017-02-03,75.38,1637775.0,75.38,74.65,75.48,74.65,
2017-02-06,75.51,1860576.0,75.51,74.94,75.7,75.29,
2017-02-07,75.71,2229407.0,75.71,75.62,76.49,75.95,
2017-02-08,74.88,1654680.0,74.88,74.73,75.61,75.41,
2017-02-09,75.31,2247196.0,75.31,75.14,75.69,75.21,
2017-02-10,75.11,1914501.0,75.11,74.89,75.77,75.46,
2017-02-13,75.44,1268763.0,75.44,75.22,75.76,75.29,
2017-02-14,75.42,1302109.0,75.42,74.98,75.47,75.2,
2017-02-15,75.58,1553857.0,75.58,75.245,76.14,75.51,
2017-02-16,75.23,1461359.0,75.23,74.91,76.0,75.63,
2017-02-17,75.21,1547593.0,75.21,74.47,75.21,75.03,
2017-02-21,75.73,1386328.0,75.73,75.33,75.88,75.5,
2017-02-22,75.27,1780126.0,75.27,74.74,75.55,75.38,
2017-02-23,74.21,2011068.0,74.21,73.96,75.56,75.46,
2017-02-24,74.3,2099045.0,74.3,73.64,74.3,74.0,
2017-02-27,74.79,1112232.0,74.79,74.12,74.83,74.3,
2017-02-28,74.47,1958467.0,74.47,74.17,74.86,74.74,
2017-03-01,76.13,1825470.0,76.13,74.68,76.3,74.68,
2017-03-02,75.53,1210702.0,75.53,75.36,76.27,76.0,
2017-03-03,75.52,1362446.0,75.52,75.07,75.6,75.56,
2017-03-06,74.16,2120382.0,74.16,73.48,74.79,74.74,
2017-03-07,74.36,1553373.0,74.36,73.64,74.59,74.38,
2017-03-08,74.55,1073063.0,74.55,74.3,74.81,74.46,
2017-03-09,74.29,1091651.0,74.29,74.0,74.7758,74.39,
2017-03-10,74.61,1427878.0,74.61,74.12,75.11,74.12,
2017-03-13,75.14,2137623.0,75.14,74.45,75.3278,74.64,
2017-03-14,74.83,903940.0,74.83,74.09,74.958,74.8,
2017-03-15,76.53,1835323.0,76.53,75.33,76.73,75.5,
2017-03-16,76.11,1041738.0,76.11,76.02,76.77,76.77,
2017-03-17,76.13,1716957.0,76.13,75.75,76.38,76.38,
2017-03-20,75.73,1489965.0,75.73,75.66,76.23,76.23,
2017-03-21,73.6,2233348.0,73.6,73.51,76.19,76.02,
2017-03-22,74.49,3167557.0,74.49,73.46,74.6,73.64,
2017-03-23,74.42,2144432.0,74.42,74.04,75.1999,74.4,
2017-03-24,74.32,963770.0,74.32,74.03,75.2,74.74,
2017-03-27,74.46,1417466.0,74.46,73.14,74.72,73.45,
2017-03-28,75.03,1321667.0,75.03,74.05,75.37,74.34,
2017-03-29,74.57,989362.0,74.57,74.53,75.12,74.88,
2017-03-30,74.87,1427495.0,74.87,74.35,74.99,74.48,
2017-03-31,74.55,1627623.0,74.55,74.44,74.87,74.64,
2017-04-03,73.67,2065557.0,73.67,73.06,74.87,74.67,
2017-04-04,73.45,1873175.0,73.45,73.1,73.86,73.61,
2017-04-05,72.86,1537784.0,72.86,72.73,74.36,73.83,
2017-04-06,73.11,1260185.0,73.11,72.51,73.52,72.92,
2017-04-07,72.99,1254688.0,72.99,72.64,73.22,72.95,
2017-04-10,73.5,1674150.0,73.5,72.91,73.86,72.93,
2017-04-11,73.29,1189472.0,73.29,72.44,73.5,73.39,
2017-04-12,72.42,1236145.0,72.42,72.21,73.153,73.0,
2017-04-13,71.93,782394.0,71.93,71.93,72.74,72.27,
2017-04-17,72.77,1096840.0,72.77,72.06,72.78,72.22,
2017-04-18,73.08,1007419.0,73.08,72.44,73.21,72.52,
2017-04-19,73.18,1060095.0,73.18,73.01,73.98,73.49,
2017-04-20,74.12,978334.0,74.12,73.14,74.34,73.51,
2017-04-21,73.61,2348244.0,73.61,72.95,73.845,73.54,
2017-04-24,75.21,1898748.0,75.21,74.47,75.25,74.82,
2017-04-25,75.6,2928688.0,75.6,74.75,75.8,74.77,
2017-04-26,76.65,2649485.0,76.65,76.17,79.69,79.21,
2017-04-27,76.99,1729985.0,76.99,76.75,77.91,77.42,
2017-04-28,77.37,1416409.0,77.37,76.67,77.72,77.22,
2017-05-01,76.7,1716457.0,76.7,76.5,77.72,77.72,
2017-05-02,75.62,1945661.0,75.62,74.9505,77.16,76.97,
2017-05-03,75.07,1703551.0,75.07,74.8,75.84,75.48,
2017-05-04,75.65,1106220.0,75.65,75.18,75.81,75.28,
2017-05-05,75.45,1163250.0,75.45,75.125,76.85,75.95,
2017-05-08,75.82,951636.0,75.82,75.2,75.87,75.27,
2017-05-09,75.81,920891.0,75.81,75.58,76.1609,75.7,
2017-05-10,76.26,1104201.0,76.26,75.58,76.26,75.77,
2017-05-11,76.47,1121610.0,76.47,75.49,76.49,75.81,
2017-05-12,75.67,1646938.0,75.67,75.31,76.87,76.48,
2017-05-15,75.99,1161288.0,75.99,75.64,76.5601,75.94,
2017-05-16,76.43,1394689.0,76.43,75.81,76.47,76.32,
2017-05-17,73.95,1333293.0,73.95,73.89,75.57,75.45,
2017-05-18,73.89,1316386.0,73.89,73.01,74.25,73.59,
2017-05-19,74.67,1337275.0,74.67,74.14,75.06,74.43,
2017-05-22,75.46,857495.0,75.46,74.71,75.525,74.88,
2017-05-23,75.97,1200065.0,75.97,75.06,76.26,75.48,
2017-05-24,76.85,1718312.0,76.85,75.8,76.9,75.9,
2017-05-25,78.17,2077339.0,78.17,76.8152,78.32,77.13,
2017-05-26,78.01,1251855.0,78.01,77.68,78.32,77.93,
2017-05-30,79.01,2500232.0,79.01,77.5,79.15,78.0,
2017-05-31,78.85,2075782.0,78.85,78.62,79.5,79.14,
2017-06-01,79.82,1692775.0,79.82,78.8,79.95,79.17,
2017-06-02,79.47,1034939.0,79.47,79.41,79.95,79.94,
2017-06-05,79.88,1370862.0,79.88,79.51,80.33,79.69,
2017-06-06,79.43,1313247.0,79.43,79.03,79.63,79.35,
2017-06-07,79.73,1716347.0,79.73,79.24,79.92,79.64,
2017-06-08,79.95,1899393.0,79.95,79.1,80.28,79.91,
2017-06-09,79.59,1343217.0,79.59,79.0,80.7,80.05,
2017-06-12,78.34,1953181.0,78.34,77.65,79.415,79.22,
2017-06-13,78.77,1497324.0,78.77,77.93,78.9739,78.6,
2017-06-14,78.71,853485.0,78.71,78.22,79.34,79.0,
2017-06-15,78.84,1134942.0,78.84,78.0001,79.09,78.17,
2017-06-16,78.71,1610218.0,78.71,78.19,79.14,78.94,
2017-06-19,80.03,1534223.0,80.03,78.73,80.1,79.09,
2017-06-20,79.3,1078404.0,79.3,79.28,80.12,79.82,
2017-06-21,78.97,1261029.0,78.97,78.82,79.92,79.48,
2017-06-22,78.81,1826016.0,78.81,78.47,79.19,78.98,
2017-06-23,78.77,1006722.0,78.77,78.59,79.24,78.9,
2017-06-26,78.65,1214311.0,78.65,78.26,79.45,79.1,
2017-06-27,77.95,1090598.0,77.95,77.95,78.97,78.58,
2017-06-28,78.91,1259333.0,78.91,78.17,79.22,78.57,
2017-06-29,78.09,1028412.0,78.09,77.58,79.16,78.96,
2017-06-30,78.68,1772258.0,78.68,78.13,79.07,78.36,
2017-07-03,78.15,1421114.0,78.15,78.09,79.18,78.98,
2017-07-05,78.84,1398032.0,78.84,77.5,78.97,78.57,
2017-07-06,78.24,2214729.0,78.24,77.91,78.75,78.2,
2017-07-07,79.08,1691371.0,79.08,78.58,79.46,78.66,
2017-07-10,79.43,1042144.0,79.43,78.88,79.58,79.0,
2017-07-11,79.24,1427154.0,79.24,78.72,79.66,79.58,
2017-07-12,81.19,1877122.0,81.19,79.51,81.38,79.84,
2017-07-13,81.22,1404011.0,81.22,80.7702,81.86,81.16,
2017-07-14,81.49,779420.0,81.49,80.95,81.7,81.22,
2017-07-17,81.6,662602.0,81.6,81.14,81.84,81.44,
2017-07-18,81.8,894151.0,81.8,81.05,81.81,81.35,
2017-07-19,83.11,1377474.0,83.11,81.64,83.165,82.0,
2017-07-20,82.59,1080432.0,82.59,82.255,83.36,83.09,
2017-07-21,82.03,1354269.0,82.03,81.52,82.5,82.29,
2017-07-24,81.67,1570765.0,81.67,81.3601,82.18,81.99,
2017-07-25,83.22,2223860.0,83.22,81.66,83.37,82.09,
2017-07-26,80.65,3415220.0,80.65,79.25,85.2,84.65,
2017-07-27,80.57,2314400.0,80.57,79.94,81.67,80.67,
2017-07-28,81.89,2041961.0,81.89,80.15,82.06,80.25,
2017-07-31,80.39,1371655.0,80.39,80.33,82.3,82.09,
