YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,158.86,453571.0,158.86,157.8,161.32,161.32,
2017-01-04,162.85,326702.0,162.85,159.64,163.07,159.68,
2017-01-05,162.06,271216.0,162.06,161.57,163.805,162.85,
2017-01-06,165.32,564277.0,165.32,163.62,166.65,165.8,
2017-01-09,164.97,199792.0,164.97,163.79,166.14,164.91,
2017-01-10,167.88,381626.0,167.88,164.83,168.87,164.83,
2017-01-11,167.99,331298.0,167.99,167.06,169.77,167.18,
2017-01-12,167.68,253005.0,167.68,165.8,167.79,166.5,
2017-01-13,169.37,181620.0,169.37,168.18,170.52,168.64,
2017-01-17,167.16,418520.0,167.16,166.8445,169.12,167.26,
2017-01-18,166.42,266584.0,166.42,165.48,168.38,167.95,
2017-01-19,166.03,215723.0,166.03,164.79,166.96,166.56,
2017-01-20,165.4,230460.0,165.4,164.91,167.42,166.03,
2017-01-23,163.72,202441.0,163.72,162.99,166.1499,164.85,
2017-01-24,164.53,293923.0,164.53,163.67,165.18,163.67,
2017-01-25,166.51,210488.0,166.51,164.61,166.86,164.61,
2017-01-26,164.64,198070.0,164.64,164.26,166.98,165.93,
2017-01-27,166.19,225782.0,166.19,164.17,166.405,165.05,
2017-01-30,165.55,177873.0,165.55,162.79,165.63,164.87,
2017-01-31,167.73,212656.0,167.73,164.61,167.76,164.61,
2017-02-01,167.77,275919.0,167.77,165.95,169.0,169.0,
2017-02-02,169.09,235636.0,169.09,165.95,169.3,167.4,
2017-02-03,170.84,119681.0,170.84,169.15,170.99,170.63,
2017-02-06,170.12,235550.0,170.12,169.15,171.76,170.62,
2017-02-07,172.23,257141.0,172.23,169.825,172.61,170.49,
2017-02-08,172.03,161910.0,172.03,170.54,172.33,171.48,
2017-02-09,172.89,195763.0,172.89,171.285,174.37,171.82,
2017-02-10,172.9,149843.0,172.9,172.09,173.84,172.67,
2017-02-13,175.8,186356.0,175.8,173.91,176.09,173.91,
2017-02-14,176.89,224926.0,176.89,175.0,177.34,175.0,
2017-02-15,177.02,225424.0,177.02,175.685,177.58,176.07,
2017-02-16,178.05,255760.0,178.05,176.48,178.38,176.84,
2017-02-17,179.91,203641.0,179.91,176.79,179.99,177.98,
2017-02-21,184.52,342452.0,184.52,178.6,184.94,180.21,
2017-02-22,184.01,375622.0,184.01,183.415,186.57,183.51,
2017-02-23,183.92,557481.0,183.92,182.315,188.24,183.98,
2017-02-24,189.79,527907.0,189.79,183.92,189.9,184.48,
2017-02-27,192.81,397538.0,192.81,189.51,193.95,190.07,
2017-02-28,191.18,295997.0,191.18,191.0,194.1,192.0,
2017-03-01,194.97,432345.0,194.97,192.01,196.18,192.03,
2017-03-02,193.99,276897.0,193.99,193.31,198.89,195.54,
2017-03-03,194.35,144475.0,194.35,192.88,194.54,193.12,
2017-03-06,193.01,228999.0,193.01,191.34,193.66,192.86,
2017-03-07,192.13,242043.0,192.13,191.21,194.66,193.11,
2017-03-08,191.7,220416.0,191.7,191.175,193.06,192.79,
2017-03-09,193.82,199066.0,193.82,191.7,194.37,191.7,
2017-03-10,193.59,245172.0,193.59,191.27,194.84,194.0,
2017-03-13,195.6,196544.0,195.6,193.305,195.99,193.63,
2017-03-14,194.11,232183.0,194.11,194.05,196.06,195.03,
2017-03-15,197.1,264246.0,197.1,194.47,197.66,194.47,
2017-03-16,195.27,146166.0,195.27,193.8434,196.64,196.64,
2017-03-17,196.12,499381.0,196.12,194.1,196.61,195.27,
