YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,75.45,3821859.0,75.45,74.94,75.93,75.56,
2017-01-04,76.62,3347719.0,76.62,75.79,76.73,75.81,
2017-01-05,76.15,4979296.0,76.15,74.99,76.52,75.4,
2017-01-06,75.98,3474463.0,75.98,75.81,76.5468,76.04,
2017-01-09,76.1,3218887.0,76.1,75.86,76.58,75.86,
2017-01-10,76.69,3845396.0,76.69,75.81,77.21,75.91,
2017-01-11,76.23,2903492.0,76.23,75.53,76.843,76.59,
2017-01-12,75.93,3390091.0,75.93,75.22,76.1,75.98,
2017-01-13,75.93,2616985.0,75.93,75.78,76.46,75.82,
2017-01-17,76.75,3432122.0,76.75,76.0,77.2,76.08,
2017-01-18,76.68,3215457.0,76.68,76.26,77.07,76.98,
2017-01-19,75.08,4199376.0,75.08,75.05,76.7,76.51,
2017-01-20,75.49,4136195.0,75.49,74.59,75.545,75.31,
2017-01-23,74.49,3052461.0,74.49,74.39,75.3737,75.18,
2017-01-24,74.59,3983238.0,74.59,74.29,74.94,74.72,
2017-01-25,75.43,3308534.0,75.43,74.64,75.52,74.92,
2017-01-26,75.06,2373155.0,75.06,75.0,75.7,75.48,
2017-01-27,74.26,2593223.0,74.26,73.97,75.4661,75.3,
2017-01-30,74.04,2676451.0,74.04,73.39,74.32,74.27,
2017-01-31,74.92,5027749.0,74.92,73.25,74.99,73.45,
2017-02-01,74.68,3817438.0,74.68,74.311,75.28,75.07,
2017-02-02,74.93,4334591.0,74.93,74.3,75.53,74.64,
2017-02-03,75.47,4247646.0,75.47,74.69,75.83,74.76,
2017-02-06,75.33,3734629.0,75.33,74.94,75.64,75.05,
2017-02-07,75.23,2336135.0,75.23,75.0,75.5,75.17,
2017-02-08,75.51,3998864.0,75.51,75.05,75.77,75.12,
2017-02-09,76.11,3175813.0,76.11,75.62,76.525,75.7,
2017-02-10,77.05,3671558.0,77.05,75.92,77.2,76.24,
2017-02-13,76.9,3486091.0,76.9,76.61,77.6,77.31,
2017-02-14,78.08,4043359.0,78.08,76.64,78.15,76.8,
2017-02-15,78.23,3382854.0,78.23,77.71,78.47,78.24,
2017-02-16,76.83,5498706.0,76.83,76.62,78.08,78.05,
2017-02-17,77.19,6142925.0,77.19,76.38,77.45,76.63,
2017-02-21,76.24,8893854.0,76.24,76.025,77.41,77.4,
2017-02-22,76.35,9135297.0,76.35,75.45,77.7,77.08,
