YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,143.67,1966906.0,143.67,142.23,143.83,142.39,
2017-01-04,145.16,2167219.0,145.16,143.29,146.06,143.95,
2017-01-05,145.38,1683578.0,145.38,144.78,145.77,145.38,
2017-01-06,147.27,2016228.0,147.27,145.14,147.49,145.28,
2017-01-09,147.49,1967207.0,147.49,147.01,148.64,147.01,
2017-01-10,147.78,1806625.0,147.78,147.3,149.32,147.8,
2017-01-11,146.22,2764303.0,146.22,143.865,148.33,147.79,
2017-01-12,145.97,2239606.0,145.97,145.1301,146.99,146.18,
2017-01-13,146.29,1839728.0,146.29,145.52,147.025,146.09,
2017-01-17,145.05,1651515.0,145.05,144.55,145.87,145.67,
2017-01-18,144.66,1377132.0,144.66,143.56,146.0,145.84,
2017-01-19,144.32,1435920.0,144.32,143.44,144.72,144.38,
2017-01-20,143.51,1750006.0,143.51,143.32,145.14,144.91,
2017-01-23,142.79,1508582.0,142.79,142.57,144.42,143.16,
2017-01-24,140.98,2988471.0,140.98,140.0,143.66,143.23,
2017-01-25,142.43,2224918.0,142.43,140.77,143.02,141.5,
2017-01-26,143.1,2934176.0,143.1,141.97,143.47,142.52,
2017-01-27,145.45,2107766.0,145.45,143.76,145.86,144.01,
2017-01-30,143.29,3158625.0,143.29,142.66,145.56,145.53,
2017-01-31,152.39,5340687.0,152.39,146.08,152.5,146.65,
2017-02-01,152.94,3601963.0,152.94,151.48,155.1,152.27,
2017-02-02,151.67,1751819.0,151.67,150.23,152.41,152.41,
2017-02-03,151.43,1817142.0,151.43,150.39,152.3733,152.15,
2017-02-06,152.08,1624932.0,152.08,150.42,152.15,151.06,
2017-02-07,153.01,1479308.0,153.01,151.79,153.2,152.12,
2017-02-08,153.5,1467821.0,153.5,151.69,154.23,152.38,
2017-02-09,154.74,1505007.0,154.74,153.3801,155.27,153.6,
2017-02-10,154.89,1482866.0,154.89,154.27,155.49,154.68,
2017-02-13,156.35,1636548.0,156.35,154.49,156.799,155.0,
2017-02-14,157.28,1429800.0,157.28,155.42,157.33,155.94,
2017-02-15,158.26,1423317.0,158.26,156.48,158.37,156.49,
2017-02-16,157.71,1252905.0,157.71,157.44,158.55,158.01,
2017-02-17,158.64,1207502.0,158.64,157.385,159.3,157.62,
2017-02-21,158.63,1242218.0,158.63,157.96,159.41,158.64,
2017-02-22,158.02,1282983.0,158.02,157.69,159.1,158.34,
2017-02-23,158.73,1124977.0,158.73,157.7,159.12,158.59,
2017-02-24,158.98,832828.0,158.98,157.58,158.98,158.34,
2017-02-27,158.48,1220207.0,158.48,158.02,159.29,158.36,
2017-02-28,157.68,1674213.0,157.68,157.52,159.25,158.2,
2017-03-01,159.82,1722556.0,159.82,158.91,160.89,159.47,
2017-03-02,159.2,1414396.0,159.2,158.9845,160.0,160.0,
2017-03-03,160.16,1204035.0,160.16,158.66,160.42,158.72,
2017-03-06,157.71,1413379.0,157.71,157.55,159.29,158.71,
2017-03-07,157.26,1166721.0,157.26,156.59,157.94,156.99,
2017-03-08,157.5,1105385.0,157.5,156.64,157.96,157.39,
2017-03-09,157.78,1102589.0,157.78,157.08,158.24,157.72,
2017-03-10,159.33,1206266.0,159.33,158.15,159.47,158.18,
2017-03-13,159.04,1324287.0,159.04,157.66,159.31,159.31,
2017-03-14,158.34,1036534.0,158.34,157.955,158.7,158.49,
2017-03-15,161.05,2548153.0,161.05,158.36,161.6599,158.59,
2017-03-16,158.02,3208734.0,158.02,156.85,159.5,158.03,
2017-03-17,157.89,2654091.0,157.89,156.38,159.09,158.54,
2017-03-20,156.74,1280593.0,156.74,156.36,158.4,158.14,
2017-03-21,155.54,1593396.0,155.54,154.36,157.7,157.47,
2017-03-22,155.33,1309578.0,155.33,154.33,156.5,155.79,
2017-03-23,154.65,1643432.0,154.65,154.02,155.95,155.3,
2017-03-24,154.04,1938975.0,154.04,153.69,155.67,154.43,
2017-03-27,154.59,1418568.0,154.59,152.61,155.35,153.44,
2017-03-28,154.64,1113892.0,154.64,153.54,155.3833,154.64,
2017-03-29,153.98,1075037.0,153.98,152.94,154.585,154.35,
2017-03-30,153.91,1054176.0,153.91,153.45,154.71,154.1,
2017-03-31,153.6,1219626.0,153.6,153.22,154.15,153.39,
2017-04-03,154.58,2084836.0,154.58,153.5,155.21,153.6,
2017-04-04,152.72,2701327.0,152.72,152.51,154.96,154.47,
2017-04-05,152.76,2012985.0,152.76,152.63,154.09,153.27,
2017-04-06,152.95,2430973.0,152.95,152.2,153.52,152.78,
2017-04-07,153.11,1323729.0,153.11,152.565,153.71,153.07,
2017-04-10,153.45,1019550.0,153.45,153.22,154.76,153.22,
2017-04-11,152.87,985987.0,152.87,151.91,153.69,152.89,
2017-04-12,152.46,1253664.0,152.46,151.74,152.95,152.86,
2017-04-13,152.18,934603.0,152.18,151.77,152.96,151.94,
2017-04-17,153.7,1274616.0,153.7,152.33,153.9199,152.77,
2017-04-18,153.27,886616.0,153.27,152.3,153.88,153.04,
2017-04-19,154.46,1291133.0,154.46,152.92,154.66,153.97,
2017-04-20,155.36,1592737.0,155.36,153.8185,155.86,154.77,
2017-04-21,155.04,1992271.0,155.04,154.59,155.83,155.27,
2017-04-24,157.34,1198329.0,157.34,156.03,157.64,156.53,
2017-04-25,158.81,2171285.0,158.81,158.12,159.43,158.43,
2017-04-26,168.01,4182918.0,168.01,160.99,168.12,162.13,
2017-04-27,166.7,2287878.0,166.7,166.0,168.76,168.68,
2017-04-28,165.33,1507040.0,165.33,164.77,166.6,166.53,
2017-05-01,166.62,1431186.0,166.62,166.02,167.54,166.37,
2017-05-02,167.25,1562420.0,167.25,165.75,167.5,166.6,
2017-05-03,168.32,1785191.0,168.32,166.91,168.61,167.25,
2017-05-04,170.12,1247439.0,170.12,168.11,170.235,168.36,
2017-05-05,171.06,1681257.0,171.06,169.64,171.15,170.08,
2017-05-08,170.39,3636198.0,170.39,169.79,171.67,171.43,
2017-05-09,172.12,1806536.0,172.12,171.0,173.21,171.67,
2017-05-10,170.97,1860097.0,170.97,170.2,172.67,170.94,
2017-05-11,171.01,1126898.0,171.01,169.46,171.07,169.88,
2017-05-12,171.52,1107444.0,171.52,170.41,172.06,170.7,
2017-05-15,172.26,2280780.0,172.26,171.38,173.53,171.5,
2017-05-16,172.27,1482308.0,172.27,171.78,172.76,172.34,
2017-05-17,170.97,1367983.0,170.97,170.84,173.0,171.2,
2017-05-18,171.74,1553223.0,171.74,170.87,173.26,171.03,
2017-05-19,171.53,1130920.0,171.53,171.23,172.7,172.12,
2017-05-22,172.1,1044510.0,172.1,170.8,172.38,171.35,
2017-05-23,171.83,1078676.0,171.83,171.75,173.64,173.39,
2017-05-24,172.33,827903.0,172.33,171.28,172.44,171.81,
2017-05-25,172.9,764475.0,172.9,171.96,173.07,172.47,
2017-05-26,173.42,683280.0,173.42,172.88,173.56,173.31,
2017-05-30,173.25,1114235.0,173.25,172.42,173.58,173.17,
2017-05-31,172.79,1836450.0,172.79,172.78,174.375,173.78,
2017-06-01,174.82,1014538.0,174.82,172.33,174.82,172.79,
2017-06-02,176.39,1075195.0,176.39,174.17,176.39,175.0,
2017-06-05,176.44,874253.0,176.44,175.305,176.85,176.26,
2017-06-06,176.07,1443047.0,176.07,175.74,176.58,176.0,
2017-06-07,176.34,897834.0,176.34,175.52,176.51,176.09,
2017-06-08,174.81,2016352.0,174.81,173.85,176.36,176.06,
2017-06-09,174.93,1238363.0,174.93,174.07,175.97,175.3,
2017-06-12,173.38,1695224.0,173.38,172.04,175.19,174.99,
2017-06-13,174.93,912184.0,174.93,173.33,175.1,173.52,
2017-06-14,174.57,1337309.0,174.57,173.78,175.34,175.34,
2017-06-15,174.13,1150402.0,174.13,172.58,174.24,173.82,
2017-06-16,174.86,1944695.0,174.86,174.0,175.31,174.56,
2017-06-19,176.25,1154833.0,176.25,175.09,176.71,175.62,
2017-06-20,175.67,1299607.0,175.67,175.26,176.92,176.04,
2017-06-21,175.6,1348035.0,175.6,175.08,176.88,176.49,
2017-06-22,175.47,964527.0,175.47,174.3,176.37,176.03,
2017-06-23,174.44,1633704.0,174.44,173.2,175.75,175.75,
2017-06-26,173.23,1297056.0,173.23,172.94,175.0,174.99,
2017-06-27,173.7,1207950.0,173.7,172.13,174.3,172.97,
2017-06-28,175.77,1009910.0,175.77,173.765,176.27,174.62,
2017-06-29,173.89,1252062.0,173.89,173.2,176.1,175.6,
2017-06-30,174.47,819727.0,174.47,173.98,175.205,174.42,
2017-07-03,174.41,612254.0,174.41,174.41,176.2,175.33,
2017-07-05,175.74,1186823.0,175.74,174.23,176.44,174.6,
2017-07-06,175.04,2290556.0,175.04,174.29,175.79,174.78,
2017-07-07,177.49,1345748.0,177.49,175.4,177.99,175.8,
2017-07-10,177.67,1492518.0,177.67,176.74,178.29,177.8,
2017-07-11,178.64,2127065.0,178.64,176.8862,179.14,177.65,
2017-07-12,180.2,1101632.0,180.2,179.06,180.72,179.21,
2017-07-13,180.03,927411.0,180.03,179.31,180.7,180.57,
