YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,35.51,3166383.0,35.51,34.84,35.9,34.84,
2017-01-04,36.24,3889772.0,36.24,35.61,36.85,35.68,
2017-01-05,35.29,4949445.0,35.29,34.41,35.42,35.01,
2017-01-06,35.54,2601903.0,35.54,35.04,35.66,35.39,
2017-01-09,34.99,2857814.0,34.99,34.89,35.6,35.58,
2017-01-10,35.48,2680514.0,35.48,35.04,35.82,35.11,
2017-01-11,35.14,3091669.0,35.14,34.95,35.6,35.54,
2017-01-12,35.11,1801447.0,35.11,34.85,35.301,34.94,
2017-01-13,35.08,1685462.0,35.08,34.89,35.33,35.21,
2017-01-17,35.73,2659443.0,35.73,35.24,36.15,35.28,
2017-01-18,35.35,2501391.0,35.35,35.05,35.64,35.64,
2017-01-19,35.1,1835616.0,35.1,34.94,35.56,35.47,
2017-01-20,35.31,2618548.0,35.31,34.71,35.34,35.25,
2017-01-23,35.44,2565095.0,35.44,34.33,35.62,34.95,
2017-01-24,36.75,4368776.0,36.75,35.77,36.8,35.78,
2017-01-25,36.26,4043166.0,36.26,36.19,36.9,36.75,
2017-01-26,35.9,2354262.0,35.9,35.85,36.49,36.12,
2017-01-27,35.58,2880177.0,35.58,35.41,35.99,35.92,
2017-01-30,35.98,4491674.0,35.98,35.26,36.12,35.46,
2017-01-31,37.35,13016446.0,37.35,35.63,37.58,36.33,
2017-02-01,37.81,8912876.0,37.81,36.95,38.295,37.86,
2017-02-02,36.99,4768325.0,36.99,36.925,38.07,38.02,
2017-02-03,36.77,3949945.0,36.77,36.61,37.2,36.97,
2017-02-06,37.16,4792168.0,37.16,36.51,37.18,36.69,
2017-02-07,36.88,3835196.0,36.88,36.75,37.16,36.78,
2017-02-08,37.47,2810366.0,37.47,36.69,37.49,36.8,
2017-02-09,37.53,2871782.0,37.53,37.4625,37.95,37.62,
2017-02-10,38.07,4263917.0,38.07,37.58,38.18,37.71,
2017-02-13,38.13,2568631.0,38.13,38.05,38.64,38.15,
2017-02-14,38.1,3906112.0,38.1,38.04,38.55,38.04,
2017-02-15,38.15,3206091.0,38.15,37.94,38.26,38.0,
2017-02-16,37.96,3794468.0,37.96,37.615,38.45,38.19,
2017-02-17,38.21,4967322.0,38.21,37.75,38.24,37.77,
2017-02-21,38.66,2932913.0,38.66,38.36,38.96,38.45,
2017-02-22,38.63,2536968.0,38.63,38.43,38.71,38.66,
2017-02-23,37.95,3378218.0,37.95,37.86,38.78,38.67,
2017-02-24,38.02,2983724.0,38.02,37.535,38.29,37.89,
2017-02-27,38.71,3340954.0,38.71,37.9,38.86,38.0,
2017-02-28,38.09,3788983.0,38.09,37.92,38.77,38.59,
2017-03-01,38.39,3795346.0,38.39,37.8,38.43,38.29,
2017-03-02,38.43,2571249.0,38.43,38.35,38.77,38.47,
2017-03-03,38.07,2482295.0,38.07,37.73,38.59,38.55,
2017-03-06,38.02,2489768.0,38.02,37.62,38.09,38.03,
2017-03-07,37.82,3268238.0,37.82,37.53,38.02,37.97,
2017-03-08,38.7,3438968.0,38.7,37.55,38.795,37.68,
2017-03-09,38.48,2633629.0,38.48,38.331,38.7,38.61,
2017-03-10,39.27,4348167.0,39.27,38.6075,39.3,38.63,
2017-03-13,38.91,4047277.0,38.91,38.74,39.49,39.26,
2017-03-14,38.97,2011011.0,38.97,38.73,39.08,38.8,
2017-03-15,39.86,5054353.0,39.86,39.05,40.15,39.05,
2017-03-16,39.67,2759939.0,39.67,39.44,39.99,39.79,
2017-03-17,39.74,3658945.0,39.74,39.28,39.81,39.69,
2017-03-20,39.15,2103117.0,39.15,38.91,39.81,39.79,
2017-03-21,38.68,3045787.0,38.68,38.15,39.25,39.19,
2017-03-22,38.54,3055611.0,38.54,37.92,38.58,38.54,
2017-03-23,38.88,1552635.0,38.88,38.725,39.145,38.93,
2017-03-24,39.09,2065281.0,39.09,38.84,39.28,39.16,
2017-03-27,40.03,4166020.0,40.03,38.78,40.06,38.79,
2017-03-28,40.91,4951407.0,40.91,39.85,41.0,40.0,
2017-03-29,41.39,4831857.0,41.39,40.755,41.56,40.77,
2017-03-30,41.69,3854331.0,41.69,41.08,41.7,41.14,
2017-03-31,41.33,3602327.0,41.33,41.175,41.65,41.62,
2017-04-03,40.62,3915735.0,40.62,40.53,41.37,41.32,
