YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,57.98,1799705.0,57.98,56.4702,58.27,57.16,
2017-01-04,58.27,1339194.0,58.27,57.06,58.29,58.04,
2017-01-05,58.99,1393898.0,58.99,58.19,59.14,58.49,
2017-01-06,59.41,1720523.0,59.41,58.76,59.97,59.09,
2017-01-09,58.6,2407364.0,58.6,58.47,59.92,58.85,
2017-01-10,57.02,1975251.0,57.02,56.63,58.67,58.67,
2017-01-11,57.43,2374463.0,57.43,56.81,57.85,57.43,
2017-01-12,57.35,1473941.0,57.35,56.6,58.64,57.76,
2017-01-13,57.95,1365798.0,57.95,56.92,58.0,56.92,
2017-01-17,59.68,1262154.0,59.68,58.12,59.77,58.52,
2017-01-18,60.0,1821537.0,60.0,59.25,60.28,59.49,
2017-01-19,59.89,1155701.0,59.89,59.6,61.14,60.36,
2017-01-20,60.05,1635779.0,60.05,59.7,61.25,60.6,
2017-01-23,57.77,5912462.0,57.77,57.53,58.88,58.4,
2017-01-24,59.4,3113674.0,59.4,58.07,59.82,58.25,
2017-01-25,59.46,2078752.0,59.46,59.04,59.9,59.8,
2017-01-26,59.66,1321807.0,59.66,59.43,60.74,60.36,
2017-01-27,58.55,1630832.0,58.55,57.795,59.74,59.71,
2017-01-30,57.17,2384444.0,57.17,56.37,57.82,57.55,
2017-01-31,57.62,1902274.0,57.62,57.13,58.23,57.72,
2017-02-01,59.05,2346535.0,59.05,57.26,59.07,58.12,
2017-02-02,59.88,1571890.0,59.88,58.65,60.055,59.3,
2017-02-03,60.9,1986524.0,60.9,59.64,61.04,60.1,
2017-02-06,61.35,1764454.0,61.35,60.53,61.45,61.17,
2017-02-07,58.66,1980145.0,58.66,58.48,61.83,61.23,
2017-02-08,59.11,1998525.0,59.11,57.75,59.11,58.16,
2017-02-09,59.31,1228713.0,59.31,58.95,59.95,59.66,
2017-02-10,59.34,2052610.0,59.34,59.177,60.15,60.15,
2017-02-13,59.56,1505464.0,59.56,58.81,59.85,59.37,
2017-02-14,59.3,1525267.0,59.3,59.03,59.98,59.76,
