YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,30.27,1697885.0,30.27,30.02,30.81,30.37,10409.0
2017-01-04,30.97,1374904.0,30.97,30.25,31.11,30.3,11027.0
2017-01-05,30.49,1415543.0,30.49,30.38,31.05,30.9,8461.0
2017-01-06,30.44,949696.0,30.44,30.27,30.6,30.56,5698.0
2017-01-09,30.25,992546.0,30.25,30.155,30.619,30.46,7841.0
2017-01-10,30.31,1161556.0,30.31,30.16,30.425,30.26,9197.0
2017-01-11,30.35,1102997.0,30.35,30.175,30.425,30.29,8355.0
2017-01-12,30.59,636626.0,30.59,29.87,30.62,30.26,6038.0
2017-01-13,30.95,717434.0,30.95,30.11,30.97,30.52,5568.0
2017-01-17,30.33,806415.0,30.33,30.26,30.84,30.84,7043.0
2017-01-18,30.49,554293.0,30.49,30.22,30.8,30.45,4536.0
2017-01-19,29.96,1065211.0,29.96,29.865,30.83,30.5,9343.0
2017-01-20,29.95,1303703.0,29.95,29.775,30.24,30.08,10913.0
2017-01-23,29.55,1663803.0,29.55,29.4,29.96,29.8,12355.0
2017-01-24,29.95,1505894.0,29.95,29.51,30.11,29.7,11842.0
2017-01-25,30.09,1481546.0,30.09,29.93,30.38,30.13,12166.0
2017-01-26,29.77,1290782.0,29.77,29.55,30.25,30.05,10075.0
2017-01-27,29.97,574470.0,29.97,29.73,30.1,29.87,6730.0
2017-01-30,29.34,1740657.0,29.34,28.61,29.43,29.43,12631.0
2017-01-31,29.62,1108615.0,29.62,29.08,29.68,29.29,8830.0
2017-02-01,29.62,832815.0,29.62,29.19,29.91,29.84,7361.0
2017-02-02,29.84,989605.0,29.84,29.4,29.91,29.5,8281.0
2017-02-03,30.26,780110.0,30.26,29.99,30.42,30.0,7498.0
2017-02-06,29.89,636999.0,29.89,29.72,30.2,30.12,5500.0
2017-02-07,30.05,953209.0,30.05,29.735,30.11,29.92,6807.0
2017-02-08,30.24,1441180.0,30.24,29.71,30.24,30.01,11287.0
2017-02-09,31.7,2153388.0,31.7,30.59,32.1875,30.59,17156.0
2017-02-10,31.34,1471556.0,31.34,31.28,32.06,31.92,12127.0
2017-02-13,31.41,1188947.0,31.41,31.21,31.92,31.36,9533.0
2017-02-14,31.3,817560.0,31.3,31.02,31.5,31.3,8361.0
2017-02-15,31.0,985762.0,31.0,30.88,31.27,31.26,9355.0
2017-02-16,30.86,1088563.0,30.86,30.6,31.03,31.0,8303.0
2017-02-17,31.18,1864758.0,31.18,30.59,31.18,30.59,10657.0
2017-02-21,31.46,1034607.0,31.46,31.2,31.54,31.3,6973.0
2017-02-22,31.46,856822.0,31.46,31.21,31.46,31.4,6722.0
2017-02-23,31.42,740644.0,31.42,31.2,31.535,31.5,6231.0
2017-02-24,31.4,632582.0,31.4,31.07,31.4,31.07,5950.0
2017-02-27,31.48,1387870.0,31.48,31.17,31.49,31.4,7482.0
2017-02-28,31.03,1406906.0,31.03,30.99,31.49,31.4,10165.0
2017-03-01,32.01,1302917.0,32.01,31.23,32.03,31.5,10908.0
2017-03-02,31.8,1094831.0,31.8,31.64,32.02,32.0,10560.0
2017-03-03,31.8,827155.0,31.8,31.53,31.84,31.71,7507.0
2017-03-06,31.67,881352.0,31.67,31.41,31.75,31.51,7270.0
2017-03-07,31.52,937914.0,31.52,31.34,31.74,31.66,7906.0
2017-03-08,31.57,943292.0,31.57,31.4,31.66,31.66,8206.0
2017-03-09,31.37,1032137.0,31.37,31.33,31.7,31.6,9287.0
2017-03-10,31.48,1375161.0,31.48,31.4,31.74,31.61,7515.0
2017-03-13,31.58,557574.0,31.58,31.1181,31.69,31.57,5916.0
2017-03-14,31.51,501649.0,31.51,31.22,31.6,31.45,4996.0
2017-03-15,31.8,981580.0,31.8,31.55,31.97,31.65,8750.0
2017-03-16,31.81,628279.0,31.81,31.69,32.11,31.85,5734.0
2017-03-17,31.72,2314006.0,31.72,31.5,31.91,31.88,9639.0
2017-03-20,31.73,784476.0,31.73,31.39,31.75,31.67,5632.0
2017-03-21,31.05,1397993.0,31.05,30.94,31.91,31.91,10172.0
2017-03-22,31.17,697824.0,31.17,30.85,31.195,30.96,6111.0
2017-03-23,31.24,746320.0,31.24,30.91,31.4537,31.18,6071.0
2017-03-24,31.32,761339.0,31.32,31.15,31.735,31.33,7219.0
2017-03-27,31.35,739885.0,31.35,30.87,31.42,30.87,6077.0
2017-03-28,31.71,707118.0,31.71,31.26,31.84,31.35,6916.0
2017-03-29,31.67,529233.0,31.67,31.51,31.79,31.75,4869.0
2017-03-30,32.2,1004686.0,32.2,31.7046,32.34,31.71,8359.0
2017-03-31,32.01,1479930.0,32.01,31.85,32.16,32.11,9012.0
2017-04-03,31.75,991756.0,31.75,31.44,32.19,32.07,7849.0
2017-04-04,31.27,1801374.0,31.27,31.09,31.88,31.56,11156.0
2017-04-05,31.0,1386798.0,31.0,30.97,31.66,31.44,9649.0
2017-04-06,31.38,413545.0,31.38,30.9,31.4766,31.06,3963.0
2017-04-07,31.21,697274.0,31.21,31.15,31.47,31.29,3949.0
2017-04-10,31.25,495590.0,31.25,31.08,31.6836,31.38,4133.0
2017-04-11,31.45,934983.0,31.45,30.92,31.46,31.12,6598.0
2017-04-12,30.84,649046.0,30.84,30.76,31.39,31.39,5366.0
2017-04-13,30.46,814968.0,30.46,30.45,31.07,30.79,7260.0
2017-04-17,30.69,808095.0,30.69,30.53,30.835,30.58,5528.0
2017-04-18,30.87,594358.0,30.87,30.55,30.9,30.55,4961.0
2017-04-19,30.91,587515.0,30.91,30.76,31.18,31.02,5457.0
2017-04-20,31.1,962809.0,31.1,30.82,31.33,31.12,7456.0
2017-04-21,30.95,1270032.0,30.95,30.92,31.27,31.19,8820.0
2017-04-24,32.05,1092114.0,32.05,31.22,32.07,31.45,8847.0
2017-04-25,32.74,1525448.0,32.74,32.24,32.92,32.35,10324.0
2017-04-26,32.34,763373.0,32.34,32.2699,32.75,32.75,6798.0
2017-04-27,32.62,1160168.0,32.62,32.29,32.73,32.43,9076.0
2017-04-28,35.43,4177941.0,35.43,33.97,35.66,34.04,28744.0
2017-05-01,35.83,1563674.0,35.83,35.43,36.06,35.47,12367.0
2017-05-02,36.04,2109687.0,36.04,35.61,36.15,35.7,15878.0
2017-05-03,35.61,1569582.0,35.61,35.485,36.095,35.72,13102.0
2017-05-04,35.67,1193193.0,35.67,35.435,35.89,35.61,9954.0
2017-05-05,36.0,1209781.0,36.0,35.48,36.02,35.69,8099.0
2017-05-08,35.91,1280140.0,35.91,35.66,36.14,35.92,8250.0
2017-05-09,35.67,1057973.0,35.67,35.6,36.1301,35.91,8478.0
2017-05-10,35.83,920450.0,35.83,35.59,35.89,35.67,8555.0
2017-05-11,35.65,1016893.0,35.65,35.31,35.8799,35.69,8043.0
2017-05-12,35.58,691367.0,35.58,35.36,35.69,35.55,6144.0
2017-05-15,35.63,1088600.0,35.63,35.455,35.84,35.71,9178.0
2017-05-16,35.59,987193.0,35.59,35.19,35.72,35.65,8448.0
2017-05-17,34.46,995474.0,34.46,34.41,35.29,35.06,8560.0
2017-05-18,34.35,1780722.0,34.35,33.83,34.48,34.24,12665.0
2017-05-19,35.53,1355405.0,35.53,34.37,35.81,34.63,10008.0
2017-05-22,35.67,712274.0,35.67,34.5117,35.898,35.58,6231.0
2017-05-23,35.86,698008.0,35.86,35.4182,35.93,35.77,6605.0
2017-05-24,35.69,534521.0,35.69,35.59,36.02,35.98,4682.0
2017-05-25,35.79,476843.0,35.79,35.65,36.03,35.8,4715.0
2017-05-26,35.76,476850.0,35.76,35.61,35.92,35.81,4758.0
2017-05-30,35.86,405944.0,35.86,35.5,35.98,35.67,4241.0
2017-05-31,36.04,1166020.0,36.04,35.28,36.28,36.0,10372.0
2017-06-01,36.47,831458.0,36.47,35.91,36.48,36.11,7721.0
2017-06-02,36.74,911653.0,36.74,36.23,36.86,36.54,7482.0
2017-06-05,37.0,978554.0,37.0,36.55,37.15,36.6,8147.0
2017-06-06,36.78,960519.0,36.78,36.1,37.01,36.72,8601.0
2017-06-07,36.91,866755.0,36.91,36.62,37.0,36.8,6322.0
2017-06-08,36.78,742321.0,36.78,36.54,36.93,36.88,6493.0
2017-06-09,36.32,880699.0,36.32,35.87,37.1,36.88,7629.0
2017-06-12,36.31,921931.0,36.31,35.6584,36.32,36.26,7893.0
2017-06-13,36.52,738917.0,36.52,36.3,36.78,36.5,7510.0
2017-06-14,36.74,866306.0,36.74,36.0506,37.09,36.69,8146.0
2017-06-15,36.39,539762.0,36.39,36.06,36.65,36.37,5413.0
2017-06-16,36.6,1754348.0,36.6,35.795,36.75,36.42,6678.0
2017-06-19,37.15,603854.0,37.15,36.63,37.18,36.84,6150.0
2017-06-20,36.51,684151.0,36.51,36.45,37.37,37.09,6599.0
2017-06-21,36.33,618981.0,36.33,36.1946,36.87,36.64,6462.0
2017-06-22,36.56,547164.0,36.56,36.0,36.72,36.32,5214.0
2017-06-23,36.45,1092550.0,36.45,36.43,36.75,36.58,6277.0
2017-06-26,36.51,513856.0,36.51,36.39,36.91,36.64,5035.0
2017-06-27,35.8,485346.0,35.8,35.78,36.49,36.4,4604.0
2017-06-28,36.13,746496.0,36.13,35.77,36.33,36.09,7129.0
2017-06-29,35.72,656740.0,35.72,35.31,36.08,36.08,7072.0
2017-06-30,35.67,875668.0,35.67,35.5766,36.02,35.97,7401.0
2017-07-03,35.79,608581.0,35.79,35.67,36.24,35.96,6156.0
2017-07-05,35.92,888007.0,35.92,35.75,36.3,35.89,7924.0
2017-07-06,35.69,918125.0,35.69,35.625,36.14,35.64,7052.0
2017-07-07,36.69,755063.0,36.69,35.76,36.99,35.76,6139.0
2017-07-10,36.74,849722.0,36.74,36.63,37.13,36.73,6722.0
