YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,75.84,1664410.0,75.84,75.46,76.77,76.34,16398.0
2017-01-04,76.97,1281912.0,76.97,75.85,77.08,76.2,12878.0
2017-01-05,76.37,1033820.0,76.37,75.23,76.87,76.87,11568.0
2017-01-06,75.62,1667142.0,75.62,75.37,76.756,76.49,15366.0
2017-01-09,72.83,3979390.0,72.83,72.59,75.66,75.29,35737.0
2017-01-10,73.48,2469316.0,73.48,72.03,73.93,72.88,23802.0
2017-01-11,74.02,1438578.0,74.02,73.09,74.02,73.51,13062.0
2017-01-12,73.53,1195120.0,73.53,72.4,73.8544,73.64,12932.0
2017-01-13,73.68,876183.0,73.68,73.47,74.43,73.83,9101.0
2017-01-17,73.05,1764236.0,73.05,72.64,73.43,73.15,16741.0
2017-01-18,73.29,1825221.0,73.29,72.6,73.34,73.23,15957.0
2017-01-19,72.75,1665166.0,72.75,72.42,73.49,73.49,13749.0
2017-01-20,73.7,1782593.0,73.7,72.39,73.7,72.87,14549.0
2017-01-23,73.45,1342677.0,73.45,72.83,73.62,73.35,12307.0
2017-01-24,73.84,1196467.0,73.84,73.11,74.08,73.49,11655.0
2017-01-25,74.18,1894336.0,74.18,73.52,74.56,74.36,18986.0
2017-01-26,70.26,7648931.0,70.26,68.09,72.61,71.91,52943.0
2017-01-27,69.39,4582104.0,69.39,67.81,69.905,69.82,38888.0
2017-01-30,67.96,3038561.0,67.96,67.7,69.28,69.15,25860.0
2017-01-31,67.44,3669229.0,67.44,67.17,68.04,67.64,25505.0
2017-02-01,66.77,2988044.0,66.77,66.59,68.43,68.09,27258.0
2017-02-02,66.45,3702355.0,66.45,65.33,66.8,66.6,32012.0
2017-02-03,67.71,2869393.0,67.71,67.01,68.27,67.23,24447.0
2017-02-06,67.33,1867728.0,67.33,66.7,67.995,66.7,15094.0
2017-02-07,67.55,1446298.0,67.55,67.18,67.84,67.56,14060.0
2017-02-08,67.57,1912878.0,67.57,67.32,67.89,67.5,18075.0
2017-02-09,68.45,1744563.0,68.45,67.58,68.679,68.03,17283.0
2017-02-10,69.4,2106574.0,69.4,68.5,69.4,68.63,18453.0
2017-02-13,69.82,2018137.0,69.82,69.01,69.9966,69.71,20867.0
2017-02-14,69.86,1780211.0,69.86,69.44,70.08,69.65,13883.0
2017-02-15,71.55,2266420.0,71.55,69.7,71.6522,69.91,19406.0
2017-02-16,71.32,1419464.0,71.32,71.0,71.785,71.0,14817.0
2017-02-17,71.1,1261032.0,71.1,70.31,71.11,70.75,12068.0
2017-02-21,71.2,1415143.0,71.2,70.9,71.65,71.43,13232.0
2017-02-22,71.46,1202785.0,71.46,70.81,71.48,70.81,11322.0
2017-02-23,71.96,1667989.0,71.96,71.43,71.97,71.75,13601.0
2017-02-24,71.95,1018776.0,71.95,71.24,71.965,71.56,11146.0
2017-02-27,72.08,1089541.0,72.08,71.865,72.505,71.95,11740.0
