YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,120.9,1955430.0,120.9,120.26,123.07,123.07,
2017-01-04,120.25,1780156.0,120.25,120.22,121.74,120.87,
2017-01-05,118.33,2696487.0,118.33,117.28,119.5,119.29,
2017-01-06,118.27,1532295.0,118.27,117.62,118.71,117.83,
2017-01-09,117.32,1526223.0,117.32,117.3,118.25,118.15,
2017-01-10,117.18,1758807.0,117.18,116.45,117.72,116.69,
2017-01-11,117.65,1433626.0,117.65,117.19,118.15,117.22,
2017-01-12,116.75,1679167.0,116.75,115.88,117.27,117.25,
2017-01-13,117.05,1543846.0,117.05,116.7,117.85,117.27,
2017-01-17,117.46,1607915.0,117.46,116.62,118.16,117.01,
2017-01-18,118.54,1486815.0,118.54,117.14,118.59,118.08,
2017-01-19,117.99,994748.0,117.99,117.42,118.95,118.91,
2017-01-20,118.02,1222280.0,118.02,117.63,118.89,118.57,
2017-01-23,118.04,1593340.0,118.04,117.43,118.259,118.16,
2017-01-24,116.84,3038258.0,116.84,116.16,119.15,118.55,
2017-01-25,117.67,1536121.0,117.67,117.33,118.65,117.33,
2017-01-26,118.13,1360824.0,118.13,117.65,118.43,117.65,
2017-01-27,118.1,961452.0,118.1,117.43,118.43,118.4,
2017-01-30,117.51,1200979.0,117.51,117.16,118.02,118.02,
2017-01-31,117.78,1478048.0,117.78,117.01,117.81,117.54,
2017-02-01,116.54,1402592.0,116.54,116.25,118.24,117.69,
2017-02-02,117.63,1081967.0,117.63,116.55,117.81,116.55,
2017-02-03,117.78,1355201.0,117.78,117.6,118.65,118.42,
2017-02-06,117.67,987950.0,117.67,116.46,117.94,116.46,
2017-02-07,117.76,1161710.0,117.76,117.4,118.22,118.1,
2017-02-08,117.81,905125.0,117.81,117.36,117.98,117.49,
2017-02-09,118.78,1099914.0,118.78,117.854,119.17,117.89,
2017-02-10,119.73,1203168.0,119.73,118.99,120.21,119.0,
2017-02-13,119.71,1519190.0,119.71,117.29,120.1,117.37,
2017-02-14,120.24,1397061.0,120.24,119.49,120.32,119.71,
2017-02-15,120.98,1416088.0,120.98,120.11,120.99,120.65,
2017-02-16,121.79,1502915.0,121.79,120.73,121.79,121.05,
2017-02-17,121.95,1334680.0,121.95,121.08,122.0,121.72,
2017-02-21,121.55,1245572.0,121.55,121.06,122.45,121.81,
2017-02-22,121.9,1184887.0,121.9,121.27,122.42,121.42,
2017-02-23,122.36,1134121.0,122.36,121.71,123.08,122.41,
2017-02-24,122.27,1698631.0,122.27,121.74,122.68,122.36,
2017-02-27,122.04,914370.0,122.04,121.61,122.76,121.86,
2017-02-28,122.24,1966038.0,122.24,121.79,122.96,122.05,
2017-03-01,124.99,2619558.0,124.99,122.98,125.16,123.81,
2017-03-02,124.52,1531378.0,124.52,124.47,125.49,125.49,
2017-03-03,124.13,1519150.0,124.13,123.99,125.16,124.79,
2017-03-06,122.32,2417939.0,122.32,122.29,124.28,124.03,
2017-03-07,122.14,1773937.0,122.14,121.68,122.63,122.63,
2017-03-08,121.24,2193455.0,121.24,121.05,122.76,122.35,
2017-03-09,121.9,1707311.0,121.9,121.36,122.3,121.65,
2017-03-10,122.83,1281900.0,122.83,121.75,122.86,122.32,
2017-03-13,122.15,1069149.0,122.15,121.81,122.92,122.54,
2017-03-14,122.62,903619.0,122.62,121.75,122.85,121.77,
2017-03-15,122.99,1117836.0,122.99,122.31,123.15,123.0,
2017-03-16,122.74,1166606.0,122.74,122.28,123.52,122.98,
2017-03-17,123.14,3103637.0,123.14,122.17,123.17,122.95,
2017-03-20,122.36,1485856.0,122.36,122.01,122.98,122.98,
2017-03-21,121.69,1240214.0,121.69,121.4,122.85,122.79,
2017-03-22,122.03,996369.0,122.03,121.17,122.18,121.92,
2017-03-23,121.29,1054211.0,121.29,121.13,122.28,121.64,
2017-03-24,120.77,1334242.0,120.77,120.24,121.41,121.38,
2017-03-27,121.01,1087729.0,121.01,120.0101,121.11,120.17,
2017-03-28,121.8,1187291.0,121.8,120.44,121.89,120.76,
2017-03-29,120.53,1133677.0,120.53,120.5,121.58,121.51,
2017-03-30,121.03,1093148.0,121.03,120.36,121.26,120.36,
2017-03-31,120.54,1114709.0,120.54,120.17,120.995,120.93,
2017-04-03,120.38,1135511.0,120.38,119.8,120.805,120.57,
2017-04-04,120.61,901835.0,120.61,120.2,120.79,120.64,
