YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,75.9,1253422.0,75.9,75.73,77.25,76.9,12729.0
2017-01-04,76.79,1415042.0,76.79,75.41,77.16,75.81,13378.0
2017-01-05,75.63,1514973.0,75.63,74.94,77.13,76.33,15822.0
2017-01-06,75.16,1464486.0,75.16,75.08,76.03,75.81,14785.0
2017-01-09,75.37,877730.0,75.37,74.68,75.63,75.21,10012.0
2017-01-10,76.35,962614.0,76.35,75.12,76.84,75.2,10047.0
2017-01-11,76.5,715499.0,76.5,75.66,76.94,76.59,9085.0
2017-01-12,75.95,608002.0,75.95,75.32,76.67,76.5,7544.0
2017-01-13,76.05,1299121.0,76.05,75.8901,77.37,77.13,12076.0
2017-01-17,77.36,1062618.0,77.36,76.03,78.25,76.03,12040.0
2017-01-18,76.41,1154797.0,76.41,75.65,77.74,77.36,11045.0
2017-01-19,74.79,1465518.0,74.79,74.26,76.72,76.19,13597.0
2017-01-20,75.22,1265747.0,75.22,74.26,75.35,75.0,12015.0
2017-01-23,74.71,1090569.0,74.71,74.049,75.14,74.85,10558.0
2017-01-24,75.16,1650446.0,75.16,74.11,75.28,75.0,14931.0
2017-01-25,75.23,1171952.0,75.23,74.38,76.12,75.66,10657.0
2017-01-26,74.99,899795.0,74.99,74.46,75.81,75.27,10421.0
2017-01-27,74.36,853471.0,74.36,74.1,75.19,75.18,9170.0
2017-01-30,74.48,1715535.0,74.48,73.27,74.545,74.2,16582.0
2017-01-31,73.67,2112525.0,73.67,72.71,74.39,74.13,20631.0
2017-02-01,72.37,4076846.0,72.37,71.61,74.06,73.27,33338.0
2017-02-02,73.71,6506603.0,73.71,73.02,76.0,75.12,52482.0
2017-02-03,73.28,2283663.0,73.28,72.0,73.75,73.46,21105.0
2017-02-06,73.28,1459360.0,73.28,72.54,73.93,73.17,15688.0
2017-02-07,73.18,1254365.0,73.18,72.81,73.91,73.35,12958.0
2017-02-08,73.03,2955495.0,73.03,72.01,73.66,73.13,21436.0
2017-02-09,73.54,3385279.0,73.54,72.56,74.15,73.0,25212.0
2017-02-10,74.25,1593616.0,74.25,73.32,74.62,73.57,15747.0
2017-02-13,73.16,1050285.0,73.16,73.06,74.55,74.48,11588.0
2017-02-14,73.4,894984.0,73.4,73.11,73.695,73.14,9812.0
2017-02-15,72.73,1847873.0,72.73,72.65,73.6669,73.36,15338.0
2017-02-16,70.85,3179855.0,70.85,70.49,73.06,72.88,25972.0
2017-02-17,72.18,3440232.0,72.18,70.49,72.29,70.8,26521.0
2017-02-21,72.92,2529768.0,72.92,71.61,73.0,72.9,19980.0
2017-02-22,72.3,1561999.0,72.3,72.23,73.43,73.0,14614.0
2017-02-23,71.0,1637397.0,71.0,70.91,72.86,72.5,16326.0
2017-02-24,71.17,2849376.0,71.17,70.72,71.895,71.37,23449.0
2017-02-27,71.32,2696996.0,71.32,70.53,72.26,71.23,20046.0
2017-02-28,70.91,2128432.0,70.91,70.12,71.74,71.36,18810.0
2017-03-01,71.92,2517611.0,71.92,71.03,72.2839,71.67,23626.0
2017-03-02,72.59,2209373.0,72.59,71.78,72.995,72.01,14347.0
2017-03-03,72.39,1502010.0,72.39,71.64,72.525,72.4,13209.0
2017-03-06,71.78,1522315.0,71.78,71.08,72.39,72.39,13905.0
2017-03-07,71.43,1067721.0,71.43,71.26,71.87,71.58,11274.0
2017-03-08,72.7,1448153.0,72.7,71.4,73.08,71.55,13632.0
2017-03-09,71.97,1597799.0,71.97,71.95,72.78,72.59,15007.0
2017-03-10,72.51,1066792.0,72.51,71.89,72.63,72.02,11399.0
2017-03-13,71.7,2330170.0,71.7,70.22,72.76,72.51,17859.0
2017-03-14,71.74,1312211.0,71.74,70.81,72.26,70.81,13404.0
2017-03-15,72.26,1509378.0,72.26,71.42,72.525,72.18,11253.0
2017-03-16,71.91,1822224.0,71.91,71.83,73.13,72.25,15348.0
2017-03-17,71.37,2148520.0,71.37,71.19,72.86,72.42,15252.0
2017-03-20,70.92,1994933.0,70.92,70.48,71.615,71.29,14686.0
2017-03-21,68.17,3916847.0,68.17,68.08,71.165,70.98,29188.0
2017-03-22,68.78,1701687.0,68.78,67.73,68.905,68.1,14876.0
2017-03-23,69.3,1374203.0,69.3,68.75,69.64,69.15,11839.0
2017-03-24,69.02,1504531.0,69.02,68.9,69.7453,69.3,12274.0
2017-03-27,68.42,1724486.0,68.42,68.18,68.99,68.52,12505.0
2017-03-28,67.97,2083218.0,67.97,67.7,68.55,68.33,16318.0
2017-03-29,68.47,1592763.0,68.47,67.77,68.71,68.02,14685.0
2017-03-30,68.65,1074156.0,68.65,68.2,68.82,68.38,10229.0
2017-03-31,68.97,1159330.0,68.97,68.5,69.27,68.54,11274.0
2017-04-03,68.18,2117331.0,68.18,68.09,69.25,68.93,17464.0
2017-04-04,68.99,2920957.0,68.99,67.54,69.23,67.99,19388.0
2017-04-05,68.25,2063252.0,68.25,68.2,69.97,69.19,19120.0
2017-04-06,69.53,2452823.0,69.53,68.275,69.905,68.47,19526.0
2017-04-07,69.94,1515657.0,69.94,69.21,70.11,69.52,13997.0
2017-04-10,70.41,3230941.0,70.41,69.94,71.5299,70.0,23278.0
2017-04-11,70.47,1694723.0,70.47,69.44,71.4195,70.17,15847.0
2017-04-12,64.61,9102440.0,64.61,64.57,67.4,67.11,67292.0
2017-04-13,63.54,3469869.0,63.54,63.51,65.29,64.35,31452.0
2017-04-17,63.55,2322051.0,63.55,63.06,63.97,63.86,21274.0
2017-04-18,63.71,2174171.0,63.71,63.23,64.4,63.53,19560.0
2017-04-19,64.05,1644418.0,64.05,63.76,64.43,63.81,14995.0
2017-04-20,64.91,1997600.0,64.91,64.46,65.28,64.46,17920.0
2017-04-21,65.6,2076725.0,65.6,64.97,65.7,65.19,17283.0
2017-04-24,65.56,2398284.0,65.56,65.52,67.0,66.16,18048.0
2017-04-25,64.96,2031448.0,64.96,64.61,65.57,65.5,18047.0
2017-04-26,65.3,2446703.0,65.3,65.13,65.77,65.27,22369.0
2017-04-27,62.17,6597072.0,62.17,61.12,64.49,64.23,52010.0
2017-04-28,61.91,3230281.0,61.91,61.365,62.3,62.23,22888.0
2017-05-01,61.4,1881341.0,61.4,61.13,62.14,62.14,17666.0
2017-05-02,62.64,2442370.0,62.64,61.22,62.65,61.35,21548.0
2017-05-03,62.6,2336423.0,62.6,62.08,63.14,62.48,22262.0
2017-05-04,61.54,2679779.0,61.54,61.06,62.18,62.0,22808.0
2017-05-05,61.95,1361748.0,61.95,61.29,61.98,61.9,11821.0
2017-05-08,61.66,1477111.0,61.66,61.4,62.35,62.34,13017.0
2017-05-09,61.84,1273056.0,61.84,61.36,61.95,61.83,12672.0
2017-05-10,60.95,1509620.0,60.95,60.87,61.93,61.93,13404.0
2017-05-11,60.26,1690860.0,60.26,59.8,60.92,60.71,13978.0
2017-05-12,60.07,1654077.0,60.07,59.45,60.19,60.06,14362.0
2017-05-15,59.25,2031214.0,59.25,59.21,60.64,60.28,16936.0
2017-05-16,58.69,1617882.0,58.69,58.45,59.6,59.52,13824.0
2017-05-17,57.73,2053801.0,57.73,57.715,59.11,58.34,19182.0
2017-05-18,57.97,1952392.0,57.97,57.47,58.38,57.57,17619.0
2017-05-19,57.57,2364515.0,57.57,57.42,58.43,58.07,15412.0
2017-05-22,56.3,2278697.0,56.3,56.23,57.719,57.61,18298.0
2017-05-23,54.29,4363947.0,54.29,54.09,56.405,56.35,28635.0
2017-05-24,53.12,3062337.0,53.12,52.85,54.55,54.5,23471.0
2017-05-25,54.38,2723624.0,54.38,53.18,54.81,53.2,20027.0
2017-05-26,54.88,2648025.0,54.88,54.01,55.13,54.58,18299.0
2017-05-30,54.82,2636278.0,54.82,54.54,55.3,54.67,20110.0
2017-05-31,55.15,2204574.0,55.15,53.93,55.17,54.92,18733.0
2017-06-01,56.11,2704425.0,56.11,54.98,56.18,55.37,20985.0
2017-06-02,55.61,2669075.0,55.61,54.72,56.14,55.79,22037.0
2017-06-05,55.9,2829208.0,55.9,55.05,56.19,55.72,23389.0
2017-06-06,55.02,2267285.0,55.02,54.76,55.82,55.59,19074.0
2017-06-07,54.49,2852947.0,54.49,54.2891,55.8,55.03,19610.0
2017-06-08,54.44,3950596.0,54.44,54.29,56.64,54.75,28915.0
2017-06-09,57.02,3529502.0,57.02,54.27,57.47,54.69,25645.0
2017-06-12,57.72,3654848.0,57.72,57.06,59.29,57.08,30098.0
2017-06-13,57.15,2377037.0,57.15,56.59,58.24,57.56,20153.0
2017-06-14,56.12,2287874.0,56.12,55.77,57.7491,57.26,18928.0
2017-06-15,55.83,1572547.0,55.83,55.17,56.36,56.05,13705.0
2017-06-16,55.47,3242475.0,55.47,54.52,55.68,55.58,20988.0
2017-06-19,55.63,2050923.0,55.63,54.97,56.079,55.71,16591.0
2017-06-20,53.64,2515715.0,53.64,53.59,55.85,55.69,19844.0
2017-06-21,52.82,1789977.0,52.82,52.78,53.9899,53.66,19617.0
2017-06-22,52.53,2227675.0,52.53,52.48,53.12,52.86,14696.0
2017-06-23,52.65,2716815.0,52.65,52.11,52.87,52.53,16659.0
2017-06-26,52.85,1891590.0,52.85,52.09,53.08,52.65,16811.0
2017-06-27,53.76,1840715.0,53.76,52.785,54.2,52.85,14595.0
2017-06-28,53.13,1385838.0,53.13,53.1,54.3,53.97,11536.0
2017-06-29,53.08,1351647.0,53.08,52.92,53.84,53.13,13707.0
2017-06-30,54.21,1541404.0,54.21,53.03,54.41,53.46,13735.0
2017-07-03,54.96,1098266.0,54.96,54.45,55.39,54.68,10474.0
2017-07-05,53.0,2824917.0,53.0,52.97,55.2,54.83,23115.0
2017-07-06,51.5,3083490.0,51.5,51.43,53.14,52.97,26036.0
2017-07-07,51.06,3382613.0,51.06,50.92,51.8075,51.52,18420.0
2017-07-10,50.66,2536991.0,50.66,50.58,51.38,51.0,20199.0
2017-07-11,50.05,2386606.0,50.05,49.88,50.61,50.52,19324.0
