YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,62.58,4199529.0,62.58,61.88,63.34,62.48,
2017-01-04,63.47,2615336.0,63.47,62.61,63.6201,62.75,
2017-01-05,63.8,2474537.0,63.8,62.89,64.0,63.51,
2017-01-06,63.32,2726430.0,63.32,63.12,63.77,63.64,
2017-01-09,62.65,3964066.0,62.65,61.715,63.15,63.12,
2017-01-10,61.21,3908332.0,61.21,61.08,62.56,62.55,
2017-01-11,61.46,2438036.0,61.46,61.0,61.77,61.35,
2017-01-12,61.69,2158805.0,61.69,61.11,61.85,61.68,
2017-01-13,61.99,1466583.0,61.99,61.5972,62.12,61.67,
2017-01-17,62.32,1935245.0,62.32,61.77,62.56,61.95,
2017-01-18,62.74,1908737.0,62.74,62.21,62.93,62.53,
2017-01-19,62.34,2174999.0,62.34,61.84,62.79,62.61,
2017-01-20,62.57,2192239.0,62.57,61.8703,63.076,62.66,
2017-01-23,61.75,1651351.0,61.75,61.54,62.5,62.5,
2017-01-24,62.36,1949627.0,62.36,61.557,62.51,61.92,
2017-01-25,62.63,1845126.0,62.63,62.31,62.83,62.51,
2017-01-26,61.71,2172518.0,61.71,61.67,62.66,62.65,
2017-01-27,62.77,1325454.0,62.77,61.48,62.8,61.72,
2017-01-30,62.57,1795245.0,62.57,62.05,62.82,62.57,
2017-01-31,62.79,2315381.0,62.79,62.21,62.99,62.62,
2017-02-01,64.3,2790504.0,64.3,62.28,64.54,62.56,
2017-02-02,65.18,3505013.0,65.18,64.02,65.545,64.3,
2017-02-03,65.39,4047146.0,65.39,64.94,66.09,65.54,
2017-02-06,63.13,9131210.0,63.13,62.1,67.14,67.0,
2017-02-07,64.65,6439992.0,64.65,63.15,66.28,63.41,
2017-02-08,65.05,3491642.0,65.05,64.44,65.21,64.58,
2017-02-09,65.39,2735953.0,65.39,64.74,65.94,64.78,
2017-02-10,65.06,2686406.0,65.06,64.75,65.4897,65.48,
2017-02-13,65.3,1748498.0,65.3,65.0,65.47,65.28,
2017-02-14,65.0,2001742.0,65.0,64.69,65.46,65.0,
2017-02-15,65.33,2342923.0,65.33,64.81,65.43,65.01,
2017-02-16,64.9,3814992.0,64.9,63.85,65.36,65.24,
2017-02-17,65.26,2850572.0,65.26,64.28,65.4,64.71,
2017-02-21,63.31,6414478.0,63.31,63.16,65.87,65.37,
2017-02-22,63.22,4538115.0,63.22,62.64,64.01,63.35,
2017-02-23,62.82,2389492.0,62.82,62.49,63.59,63.26,
2017-02-24,62.68,2895588.0,62.68,62.12,63.25,62.44,
2017-02-27,62.36,2888637.0,62.36,62.02,62.82,62.63,
2017-02-28,62.56,2875241.0,62.56,62.16,62.9297,62.2,
2017-03-01,64.2,3967027.0,64.2,62.6,64.32,62.63,
2017-03-02,63.1,2810005.0,63.1,63.03,64.36,64.36,
2017-03-03,63.6,2265389.0,63.6,62.71,63.64,63.08,
2017-03-06,61.99,4862001.0,61.99,61.01,62.3,61.7,
2017-03-07,61.89,3232609.0,61.89,61.76,62.56,61.84,
2017-03-08,61.92,2702435.0,61.92,61.7,62.8,62.02,
2017-03-09,62.29,1495896.0,62.29,61.94,62.39,62.14,
2017-03-10,63.55,2478460.0,63.55,62.39,63.66,62.39,
2017-03-13,63.6,3591857.0,63.6,63.27,63.93,63.69,
2017-03-14,62.67,2060754.0,62.67,62.25,63.73,63.61,
2017-03-15,63.1,2005224.0,63.1,62.31,63.46,62.89,
2017-03-16,62.0,4253602.0,62.0,61.21,62.9,62.9,
2017-03-17,61.84,4124965.0,61.84,61.62,62.28,62.06,
2017-03-20,62.36,2123989.0,62.36,61.55,62.475,61.84,
2017-03-21,62.26,2470302.0,62.26,61.56,62.34,62.29,
2017-03-22,62.72,1999946.0,62.72,61.69,62.82,62.27,
2017-03-23,62.33,1695877.0,62.33,62.23,63.05,62.51,
2017-03-24,62.57,1664179.0,62.57,62.31,62.79,62.51,
2017-03-27,61.84,1892052.0,61.84,61.73,62.87,62.09,
2017-03-28,61.82,2129733.0,61.82,61.2599,61.98,61.73,
2017-03-29,61.88,1699448.0,61.88,61.611,62.21,61.88,
2017-03-30,61.64,1557008.0,61.64,61.585,62.0699,61.87,
2017-03-31,61.71,2473859.0,61.71,61.575,62.1,61.63,
2017-04-03,61.98,1562077.0,61.98,61.695,62.35,61.96,
2017-04-04,62.07,2837140.0,62.07,61.5,62.11,61.93,
2017-04-05,61.95,2159192.0,61.95,61.72,62.59,62.08,
2017-04-06,62.62,2277260.0,62.62,61.78,62.73,61.91,
2017-04-07,62.16,2473612.0,62.16,62.07,62.71,62.6,
2017-04-10,62.65,1726289.0,62.65,62.02,62.88,62.26,
2017-04-11,62.86,1643997.0,62.86,62.37,62.86,62.47,
2017-04-12,64.26,3886834.0,64.26,62.54,64.39,62.67,
2017-04-13,63.47,2100238.0,63.47,63.44,64.44,64.38,
2017-04-17,64.46,2509606.0,64.46,63.4,64.81,63.64,
2017-04-18,65.24,4011303.0,65.24,64.21,65.6,64.41,
2017-04-19,64.63,2171132.0,64.63,64.55,65.34,65.19,
2017-04-20,65.04,2431556.0,65.04,64.6,65.45,64.67,
2017-04-21,65.14,3073440.0,65.14,64.68,65.52,65.14,
2017-04-24,65.39,2436704.0,65.39,64.93,65.78,65.66,
2017-04-25,65.13,4976512.0,65.13,64.79,66.87,66.44,
2017-04-26,64.53,2108662.0,64.53,64.47,65.145,65.12,
2017-04-27,64.61,1492440.0,64.61,64.43,65.08,64.66,
2017-04-28,64.26,2511742.0,64.26,64.01,64.55,64.36,
2017-05-01,63.87,1702214.0,63.87,63.8,64.53,64.51,
2017-05-02,63.22,1847441.0,63.22,62.97,64.06,64.01,
2017-05-03,62.65,1984812.0,62.65,62.36,63.41,63.41,
2017-05-04,62.97,2115904.0,62.97,62.29,63.21,62.67,
2017-05-05,63.33,2772790.0,63.33,63.06,63.68,63.15,
2017-05-08,59.48,10076481.0,59.48,59.1,62.01,62.01,
2017-05-09,57.88,5751886.0,57.88,57.81,59.58,59.51,
2017-05-10,58.04,4429653.0,58.04,57.56,58.17,58.0,
2017-05-11,58.05,3557933.0,58.05,57.46,58.2,57.87,
2017-05-12,58.24,2759604.0,58.24,58.01,59.0,58.76,
2017-05-15,58.07,2485315.0,58.07,57.77,58.25,58.22,
2017-05-16,57.85,2913449.0,57.85,57.65,58.24,58.13,
2017-05-17,58.02,2463771.0,58.02,57.59,58.25,57.67,
2017-05-18,57.83,3400144.0,57.83,57.44,58.1893,57.88,
2017-05-19,58.56,2334014.0,58.56,57.62,58.59,57.88,
2017-05-22,58.44,2378884.0,58.44,58.26,58.81,58.58,
2017-05-23,58.42,3218696.0,58.42,58.01,58.61,58.54,
2017-05-24,58.43,1681658.0,58.43,58.18,58.66,58.23,
2017-05-25,58.1,1943911.0,58.1,57.82,58.73,58.49,
2017-05-26,58.34,1712420.0,58.34,57.931,58.67,58.1,
2017-05-30,57.94,2120449.0,57.94,57.51,58.27,58.11,
2017-05-31,57.34,3546234.0,57.34,57.26,58.08,58.03,
2017-06-01,58.48,3088568.0,58.48,57.2,58.57,57.52,
2017-06-02,57.89,2731863.0,57.89,57.7,58.95,58.41,
2017-06-05,58.27,1948810.0,58.27,57.7,58.39,57.9,
2017-06-06,59.37,2970967.0,59.37,58.27,59.66,58.46,
2017-06-07,60.47,3412816.0,60.47,59.13,60.61,59.24,
2017-06-08,60.52,3822816.0,60.52,60.36,61.57,60.66,
2017-06-09,60.75,2296803.0,60.75,60.23,61.36,60.52,
2017-06-12,61.27,2975733.0,61.27,61.03,61.99,61.11,
2017-06-13,62.38,2340099.0,62.38,61.25,62.49,61.86,
2017-06-14,62.51,2469708.0,62.51,62.12,63.03,62.6,
2017-06-15,61.96,2732382.0,61.96,61.875,62.73,62.44,
2017-06-16,61.61,4269108.0,61.61,60.53,61.93,61.85,
2017-06-19,61.56,1913332.0,61.56,60.62,61.66,61.61,
2017-06-20,61.39,1877844.0,61.39,61.33,62.18,61.61,
2017-06-21,61.38,1408585.0,61.38,60.96,61.62,61.43,
2017-06-22,61.72,2510629.0,61.72,60.94,62.0,61.47,
2017-06-23,62.79,7281390.0,62.79,61.6,63.14,61.6,
2017-06-26,62.76,3241529.0,62.76,62.41,63.79,63.28,
2017-06-27,61.7,2162552.0,61.7,61.53,62.64,62.48,
2017-06-28,61.57,2345085.0,61.57,61.54,62.36,61.97,
2017-06-29,61.57,2960606.0,61.57,61.2801,62.15,61.65,
2017-06-30,62.63,2835518.0,62.63,61.7,62.92,61.7,
2017-07-03,62.58,1584406.0,62.58,62.16,63.13,62.75,
2017-07-05,61.57,2505300.0,61.57,61.3,62.81,62.67,
2017-07-06,60.21,2578280.0,60.21,60.19,61.67,61.45,
2017-07-07,60.22,2563467.0,60.22,60.02,60.63,60.4,
2017-07-10,59.28,3529614.0,59.28,59.08,60.44,60.2,
2017-07-11,58.58,4924046.0,58.58,58.36,59.625,59.26,
2017-07-12,59.92,2799418.0,59.92,58.845,59.96,58.85,
2017-07-13,60.89,2693908.0,60.89,59.87,60.94,59.94,
2017-07-14,61.39,2476907.0,61.39,61.04,61.59,61.04,
2017-07-17,61.67,1799856.0,61.67,61.25,61.91,61.4,
2017-07-18,60.84,1671296.0,60.84,60.58,61.32,61.27,
2017-07-19,61.13,2261941.0,61.13,60.4802,61.25,60.94,
2017-07-20,60.93,3533737.0,60.93,60.71,61.37,61.13,
2017-07-21,61.88,1747119.0,61.88,60.81,61.9,60.84,
2017-07-24,61.61,1222579.0,61.61,61.47,62.22,61.89,
2017-07-25,62.72,1878225.0,62.72,61.595,62.9101,61.96,
2017-07-26,63.03,1341984.0,63.03,62.75,63.8,62.93,
2017-07-27,63.36,1633046.0,63.36,62.77,63.575,62.98,
2017-07-28,63.0,1012162.0,63.0,62.84,63.475,63.32,
2017-07-31,63.36,1610439.0,63.36,62.95,63.43,63.1,
2017-08-01,62.9,1987723.0,62.9,62.62,63.65,63.53,
2017-08-02,63.63,1935030.0,63.63,62.22,63.69,62.8,
2017-08-03,63.24,2486924.0,63.24,63.22,64.4,63.7,
2017-08-04,63.3,2818664.0,63.3,63.03,63.69,63.47,
2017-08-07,66.9,7091692.0,66.9,65.42,67.73,65.77,
2017-08-08,65.02,6011536.0,65.02,65.01,66.865,66.61,
2017-08-09,64.66,3666071.0,64.66,63.93,65.17,64.74,
2017-08-10,64.87,3295286.0,64.87,63.78,65.26,64.27,
2017-08-11,65.55,2783319.0,65.55,64.74,66.17,64.99,
2017-08-14,65.85,2568636.0,65.85,65.83,66.57,65.87,
2017-08-15,65.96,2457275.0,65.96,65.44,66.25,66.05,
2017-08-16,65.65,2604679.0,65.65,65.57,66.41,66.0,
2017-08-17,64.9,2221892.0,64.9,64.89,65.97,65.58,
2017-08-18,65.14,2465295.0,65.14,64.61,65.26,64.96,
2017-08-21,65.11,1579462.0,65.11,64.93,65.45,65.16,
2017-08-22,64.95,2734481.0,64.95,64.2,65.405,65.08,
2017-08-23,64.56,2612291.0,64.56,64.43,65.21,64.91,
2017-08-24,63.86,2519886.0,63.86,63.81,64.67,64.47,
2017-08-25,63.25,2691718.0,63.25,63.245,64.68,64.28,
2017-08-28,62.55,2425122.0,62.55,62.36,63.4,63.26,
2017-08-29,62.18,2287820.0,62.18,62.01,62.86,62.59,
2017-08-30,62.49,1987886.0,62.49,61.97,62.56,61.97,
2017-08-31,63.3,3244449.0,63.3,62.3,63.6,62.3,
2017-09-01,64.53,2893900.0,64.53,63.3,64.56,63.53,
2017-09-05,64.47,2528108.0,64.47,64.29,65.3,64.5,
2017-09-06,64.95,2949890.0,64.95,64.15,65.3,64.57,
2017-09-07,64.65,3265215.0,64.65,64.43,65.78,64.92,
2017-09-08,65.39,2334077.0,65.39,64.295,65.5,64.61,
2017-09-11,65.5,1789180.0,65.5,65.12,65.8,65.5,
2017-09-12,65.82,1606816.0,65.82,64.84,66.0,65.54,
2017-09-13,65.95,1790942.0,65.95,65.17,66.04,65.82,
2017-09-14,66.32,3238599.0,66.32,65.66,66.365,65.94,
2017-09-15,66.87,3695190.0,66.87,66.03,67.19,66.31,
2017-09-18,67.41,2684058.0,67.41,66.5,67.53,66.96,
2017-09-19,66.21,1735050.0,66.21,66.16,67.41,67.41,
2017-09-20,65.78,2303539.0,65.78,65.28,66.01,65.9,
2017-09-21,65.33,1170373.0,65.33,65.1,66.035,65.84,
2017-09-22,65.41,1454754.0,65.41,65.28,66.36,65.53,
