YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,35.95,1862978.0,35.95,35.695,36.785,36.67,
2017-01-04,36.31,1815411.0,36.31,35.74,36.58,36.03,
2017-01-05,36.43,2907433.0,36.43,35.6,36.49,36.13,
2017-01-06,36.43,1415421.0,36.43,35.97,36.59,36.09,
2017-01-09,36.05,1370327.0,36.05,36.035,36.61,36.49,
2017-01-10,35.73,889553.0,35.73,35.72,36.02,35.94,
2017-01-11,35.52,1383381.0,35.52,35.45,35.795,35.7,
2017-01-12,35.93,1296309.0,35.93,35.22,35.96,35.55,
2017-01-13,35.63,788934.0,35.63,35.62,35.98,35.8,
2017-01-17,35.93,1268550.0,35.93,35.68,36.03,35.7,
2017-01-18,36.07,813423.0,36.07,35.83,36.29,35.98,
2017-01-19,35.71,1061835.0,35.71,35.61,36.03,35.9,
2017-01-20,36.07,1513894.0,36.07,35.7801,36.2,35.96,
2017-01-23,36.05,1607899.0,36.05,35.81,36.13,36.06,
2017-01-24,35.82,1647208.0,35.82,35.68,36.31,36.08,
2017-01-25,35.26,1615609.0,35.26,35.24,35.89,35.78,
2017-01-26,35.01,1951585.0,35.01,34.99,35.47,35.39,
2017-01-27,34.92,1825545.0,34.92,34.68,35.23,35.21,
2017-01-30,34.65,2128552.0,34.65,34.58,35.61,35.61,
2017-01-31,34.95,3500275.0,34.95,34.83,35.74,34.83,
2017-02-01,34.48,2430261.0,34.48,34.44,35.015,34.83,
2017-02-02,34.97,2999677.0,34.97,34.48,35.06,34.48,
2017-02-03,34.66,2388273.0,34.66,34.51,35.23,35.2,
2017-02-06,34.76,1114867.0,34.76,34.41,34.86,34.63,
2017-02-07,34.92,1403897.0,34.92,34.65,35.04,34.89,
2017-02-08,35.71,2734228.0,35.71,34.83,35.71,34.93,
2017-02-09,35.4,1062859.0,35.4,35.355,35.71,35.66,
2017-02-10,35.7,766087.0,35.7,35.175,35.75,35.28,
2017-02-13,35.31,1718899.0,35.31,34.825,35.72,35.72,
2017-02-14,35.36,1212827.0,35.36,34.78,35.41,35.26,
2017-02-15,35.26,1160198.0,35.26,34.76,35.4,35.21,
2017-02-16,35.47,1164161.0,35.47,35.08,35.54,35.11,
2017-02-17,35.59,1183450.0,35.59,35.275,35.71,35.63,
2017-02-21,35.95,920765.0,35.95,35.39,36.04,35.44,
2017-02-22,35.68,1087597.0,35.68,35.435,36.12,36.06,
2017-02-23,36.19,1367501.0,36.19,35.76,36.27,35.82,
2017-02-24,36.2,765929.0,36.2,35.94,36.24,36.16,
2017-02-27,36.36,796133.0,36.36,36.22,36.57,36.28,
2017-02-28,36.5,1577950.0,36.5,36.145,36.585,36.38,
2017-03-01,36.44,1500333.0,36.44,36.0,36.64,36.21,
2017-03-02,36.38,1286443.0,36.38,36.2,36.57,36.43,
2017-03-03,35.9,1751530.0,35.9,35.45,36.22,36.22,
2017-03-06,36.14,1189592.0,36.14,35.69,36.19,35.77,
