YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,256.68,662200.0,256.68,255.61,260.58,256.2,8573.0
2017-01-04,260.92,678325.0,260.92,257.08,261.83,257.08,8018.0
2017-01-05,264.14,1279511.0,264.14,258.416,266.06,259.84,11632.0
2017-01-06,263.3,710515.0,263.3,262.281,266.8008,264.64,8987.0
2017-01-09,260.79,433499.0,260.79,259.53,265.31,263.18,6761.0
2017-01-10,262.5,431410.0,262.5,260.78,264.14,260.98,6277.0
2017-01-11,262.15,393142.0,262.15,260.4244,264.38,262.5,5672.0
2017-01-12,260.95,403566.0,260.95,259.0,262.07,262.03,5542.0
2017-01-13,261.4,409688.0,261.4,259.71,262.25,260.74,5437.0
2017-01-17,263.06,412236.0,263.06,259.5,264.875,260.95,6212.0
2017-01-18,265.5,638735.0,265.5,261.75,265.71,264.04,6818.0
2017-01-19,266.12,829213.0,266.12,264.975,267.96,265.76,11292.0
2017-01-20,266.22,634686.0,266.22,265.34,267.22,267.13,7614.0
2017-01-23,266.02,446516.0,266.02,263.81,266.4175,265.9,6033.0
2017-01-24,268.81,501149.0,268.81,265.55,269.1155,266.43,6460.0
2017-01-25,272.01,654943.0,272.01,268.73,272.52,269.97,7854.0
2017-01-26,272.42,503707.0,272.42,271.18,273.99,271.89,6973.0
2017-01-27,271.44,365536.0,271.44,270.115,272.36,272.36,5651.0
2017-01-30,270.18,680866.0,270.18,267.25,271.42,270.76,7739.0
2017-01-31,272.28,820936.0,272.28,266.4,273.17,270.17,10867.0
2017-02-01,269.54,443158.0,269.54,269.24,273.75,272.38,7134.0
2017-02-02,270.75,462881.0,270.75,267.2501,271.04,268.85,7222.0
2017-02-03,272.06,442797.0,272.06,270.6,274.75,272.0,6845.0
2017-02-06,273.08,721736.0,273.08,271.22,274.75,272.31,6467.0
2017-02-07,272.49,427963.0,272.49,271.63,274.28,273.05,5898.0
2017-02-08,272.82,444062.0,272.82,271.08,272.99,272.54,6591.0
2017-02-09,272.87,492101.0,272.87,272.08,273.95,273.75,7132.0
2017-02-10,269.84,671380.0,269.84,269.31,273.47,273.04,9353.0
2017-02-13,268.12,613411.0,268.12,267.75,271.3,270.8,8097.0
2017-02-14,271.46,620953.0,271.46,267.77,271.49,268.2,7362.0
2017-02-15,273.64,520093.0,273.64,270.45,273.87,270.99,6683.0
2017-02-16,272.09,395892.0,272.09,271.0,273.98,273.6,5302.0
2017-02-17,275.15,449624.0,275.15,270.71,276.33,271.96,5793.0
2017-02-21,277.26,505487.0,277.26,275.58,278.45,275.95,6699.0
2017-02-22,277.19,313052.0,277.19,276.01,278.06,277.53,4275.0
2017-02-23,274.6,487380.0,274.6,273.735,277.99,277.82,6966.0
2017-02-24,276.33,465618.0,276.33,272.52,277.255,274.19,6539.0
2017-02-27,275.69,398208.0,275.69,275.5875,277.61,277.0,5693.0
2017-02-28,273.43,425338.0,273.43,272.73,276.35,275.35,5961.0
2017-03-01,274.83,588362.0,274.83,274.46,277.7792,276.59,7943.0
2017-03-02,277.45,509064.0,277.45,274.83,277.75,274.83,7232.0
2017-03-03,278.15,463225.0,278.15,275.28,278.34,277.38,6264.0
2017-03-06,275.59,1079238.0,275.59,273.49,281.165,280.24,12849.0
2017-03-07,269.92,1641595.0,269.92,268.23,275.16,274.75,16215.0
2017-03-08,275.47,823437.0,275.47,270.5,275.86,270.5,10045.0
2017-03-09,273.77,1726447.0,273.77,272.65,277.25,276.5,19744.0
2017-03-10,286.42,4577517.0,286.42,270.5,287.19,271.0,43215.0
2017-03-13,286.91,1086792.0,286.91,283.71,288.59,286.47,12832.0
2017-03-14,285.38,616464.0,285.38,283.8,286.69,285.21,6768.0
2017-03-15,287.78,548145.0,287.78,284.45,288.55,286.0,6938.0
2017-03-16,286.32,487389.0,286.32,285.09,289.13,287.73,6136.0
2017-03-17,288.81,665208.0,288.81,286.075,289.27,287.63,6808.0
