YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,102.52,3824319.0,102.52,102.07,105.29,104.48,
2017-01-04,103.14,3668252.0,103.14,102.51,104.31,102.89,
2017-01-05,102.13,4180402.0,102.13,101.22,103.36,103.03,
2017-01-06,103.19,3862483.0,103.19,101.2,103.77,102.03,
2017-01-09,102.42,2968866.0,102.42,101.9,103.74,103.73,
2017-01-10,103.42,3563134.0,103.42,101.91,104.24,102.56,
2017-01-11,104.27,2864793.0,104.27,103.03,104.83,103.35,
2017-01-12,104.7,2396981.0,104.7,103.35,104.96,104.27,
2017-01-13,105.25,2744027.0,105.25,104.28,105.45,104.51,
2017-01-17,103.37,3401751.0,103.37,102.85,104.82,104.7,
2017-01-18,103.77,5363940.0,103.77,101.53,104.37,102.26,
2017-01-19,106.24,10103890.0,106.24,105.44,108.98,108.21,
2017-01-20,108.6,6439985.0,108.6,106.61,108.64,106.83,
2017-01-23,107.99,3932165.0,107.99,106.93,108.64,108.64,
2017-01-24,108.72,4564911.0,108.72,107.6,109.2505,108.15,
2017-01-25,110.42,5137933.0,110.42,109.01,111.0,109.29,
2017-01-26,110.15,4607237.0,110.15,109.48,111.38,110.25,
2017-01-27,109.2,3555413.0,109.2,108.14,110.36,110.35,
2017-01-30,108.0,5334240.0,108.0,106.34,108.96,108.94,
2017-01-31,106.58,4534644.0,106.58,106.22,108.58,108.13,
2017-02-01,107.7,4374556.0,107.7,106.4,108.07,107.04,
2017-02-02,107.3,4225899.0,107.3,105.9,107.58,107.2,
2017-02-03,108.51,3249621.0,108.51,107.35,108.84,107.48,
2017-02-06,107.69,2858095.0,107.69,107.58,108.69,108.36,
2017-02-07,107.65,3493417.0,107.65,107.35,108.76,108.19,
2017-02-08,107.34,3901384.0,107.34,106.27,107.925,107.52,
2017-02-09,107.42,3603917.0,107.42,107.12,107.88,107.58,
2017-02-10,107.87,2777986.0,107.87,107.7076,108.49,107.88,
2017-02-13,108.32,2640583.0,108.32,107.89,109.3,108.09,
2017-02-14,109.16,2890490.0,109.16,107.74,109.16,108.07,
2017-02-15,109.78,3352946.0,109.78,108.17,109.99,108.53,
2017-02-16,109.39,2811146.0,109.39,108.5,110.0,109.48,
2017-02-17,109.82,4246454.0,109.82,107.96,109.82,109.43,
2017-02-21,109.67,4169786.0,109.67,109.35,110.82,110.0,
