YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,70.42,4425039.0,70.42,68.84,71.4,69.55,
2017-01-04,67.89,7431035.0,67.89,67.39,69.91,69.54,
2017-01-05,67.68,6450632.0,67.68,66.54,68.39,68.39,
2017-01-06,66.66,3771723.0,66.66,66.63,67.88,67.7,
2017-01-09,66.37,5132604.0,66.37,65.45,66.6,66.22,
2017-01-10,66.53,5433399.0,66.53,66.02,67.66,66.32,
2017-01-11,67.08,3391045.0,67.08,66.27,67.24,66.78,
2017-01-12,66.52,4530147.0,66.52,65.37,66.94,66.24,
2017-01-13,66.39,3366737.0,66.39,65.941,66.84,66.21,
2017-01-17,66.19,4942176.0,66.19,65.78,68.19,66.93,
2017-01-18,66.75,4252098.0,66.75,66.16,67.365,66.2,
2017-01-19,66.07,3642165.0,66.07,65.53,66.77,66.68,
2017-01-20,66.24,2911178.0,66.24,65.68,66.635,66.35,
2017-01-23,66.25,4049567.0,66.25,65.675,66.52,66.52,
2017-01-24,67.86,3893732.0,67.86,66.17,68.02,66.45,
2017-01-25,68.33,4606237.0,68.33,67.3,68.4,68.23,
2017-01-26,67.37,4006340.0,67.37,67.2,68.49,68.38,
2017-01-27,67.31,4628178.0,67.31,66.71,68.54,67.62,
2017-01-30,68.23,8413949.0,68.23,66.61,68.3,67.37,
2017-01-31,65.76,11657679.0,65.76,64.45,67.825,67.8,
2017-02-01,65.37,5204470.0,65.37,64.81,66.74,66.53,
2017-02-02,65.42,6193179.0,65.42,64.62,66.08,65.02,
2017-02-03,65.51,4416379.0,65.51,64.83,65.7,65.48,
2017-02-06,65.11,4297823.0,65.11,64.91,66.12,65.51,
2017-02-07,65.44,4968517.0,65.44,64.85,66.25,65.16,
2017-02-08,67.08,4428117.0,67.08,65.0,67.14,65.27,
2017-02-09,67.62,2805912.0,67.62,67.2,67.89,67.27,
2017-02-10,67.47,2653911.0,67.47,67.25,68.0,67.87,
2017-02-13,67.04,3367526.0,67.04,66.65,67.43,66.75,
2017-02-14,67.62,2512323.0,67.62,66.91,67.69,67.23,
2017-02-15,67.76,2572705.0,67.76,67.19,67.9599,67.67,
2017-02-16,66.6,5266519.0,66.6,66.395,67.61,67.57,
2017-02-17,65.49,4808766.0,65.49,65.11,66.505,66.32,
2017-02-21,66.27,4499580.0,66.27,65.53,66.47,65.98,
2017-02-22,66.01,4240404.0,66.01,65.74,66.545,66.13,
2017-02-23,67.03,4208181.0,67.03,66.54,67.39,66.58,
2017-02-24,66.72,3670673.0,66.72,65.83,66.9,66.55,
2017-02-27,67.24,3129406.0,67.24,66.34,67.45,66.66,
2017-02-28,67.95,9074708.0,67.95,67.22,69.41,67.28,
2017-03-01,68.48,4921856.0,68.48,68.19,69.84,68.51,
2017-03-02,66.45,7342972.0,66.45,65.93,68.38,68.22,
2017-03-03,66.08,4054091.0,66.08,66.0,67.2,66.89,
2017-03-06,66.44,3315268.0,66.44,65.43,66.635,65.89,
2017-03-07,65.62,5504104.0,65.62,65.42,66.98,66.44,
2017-03-08,66.87,7446438.0,66.87,65.83,67.48,66.0,
2017-03-09,66.48,4720291.0,66.48,65.58,66.76,66.76,
2017-03-10,66.57,4471559.0,66.57,66.25,67.37,66.68,
2017-03-13,67.66,4970722.0,67.66,66.51,67.88,66.51,
2017-03-14,67.44,2955367.0,67.44,66.83,67.7,67.32,
2017-03-15,68.73,4751235.0,68.73,67.13,69.0,67.73,
2017-03-16,68.55,3654241.0,68.55,68.47,69.2,68.93,
2017-03-17,68.9,9529901.0,68.9,68.26,68.98,68.75,
2017-03-20,68.53,3175135.0,68.53,68.18,69.12,68.74,
2017-03-21,67.15,4068049.0,67.15,66.73,68.7,68.6,
2017-03-22,67.57,3123491.0,67.57,66.8,67.87,67.16,
2017-03-23,67.1,3298752.0,67.1,67.02,67.94,67.63,
2017-03-24,65.78,4372045.0,65.78,65.7,67.04,66.84,
2017-03-27,66.23,2799341.0,66.23,65.45,66.53,65.56,
2017-03-28,66.29,3443381.0,66.29,65.651,66.64,66.52,
2017-03-29,67.14,3326870.0,67.14,66.11,67.4,66.2,
2017-03-30,66.23,7512752.0,66.23,66.2,67.31,67.28,
2017-03-31,66.29,3622057.0,66.29,66.06,66.67,66.23,
2017-04-03,66.23,3319449.0,66.23,65.66,66.59,66.59,
2017-04-04,65.81,3101537.0,65.81,65.37,66.3,65.75,
2017-04-05,65.09,3236739.0,65.09,65.0,66.7,66.12,
2017-04-06,65.07,3378058.0,65.07,64.71,65.59,65.11,
2017-04-07,65.57,3854615.0,65.57,65.0,66.1,65.07,
2017-04-10,65.35,3409388.0,65.35,65.3,66.245,65.6,
2017-04-11,65.63,3927450.0,65.63,64.78,65.66,65.27,
2017-04-12,65.13,4156219.0,65.13,65.07,66.25,65.9,
2017-04-13,64.68,3105204.0,64.68,64.58,65.63,65.17,
2017-04-17,65.19,2909848.0,65.19,64.65,65.195,64.74,
2017-04-18,64.15,4606085.0,64.15,63.58,65.1,64.93,
2017-04-19,63.49,4988347.0,63.49,63.26,64.37,64.22,
2017-04-20,64.1,2777836.0,64.1,63.56,64.71,63.68,
2017-04-21,65.23,5113234.0,65.23,64.2,65.63,64.59,
2017-04-24,66.82,7074976.0,66.82,65.7,67.21,65.7,
2017-04-25,65.83,7379746.0,65.83,65.01,67.69,67.15,
2017-04-26,64.9,6540483.0,64.9,64.81,65.75,65.41,
2017-04-27,65.32,4222844.0,65.32,63.85,65.49,64.68,
2017-04-28,64.61,4079246.0,64.61,64.41,65.64,65.62,
2017-05-01,64.36,5432870.0,64.36,63.96,64.87,64.82,
2017-05-02,64.49,4476255.0,64.49,64.16,64.83,64.79,
2017-05-03,64.9,2993619.0,64.9,64.07,65.155,64.28,
2017-05-04,64.37,3068340.0,64.37,63.96,64.94,64.53,
2017-05-05,65.34,4668899.0,65.34,64.308,65.52,64.59,
2017-05-08,66.11,3472896.0,66.11,65.32,66.2661,65.38,
2017-05-09,66.63,3836294.0,66.63,66.17,67.16,66.31,
2017-05-10,66.68,3410253.0,66.68,65.91,67.03,66.75,
2017-05-11,66.35,2847543.0,66.35,66.115,66.93,66.87,
2017-05-12,66.42,3549592.0,66.42,66.16,66.76,66.28,
2017-05-15,65.55,3294950.0,65.55,65.16,66.15,66.15,
2017-05-16,64.54,6322456.0,64.54,63.96,65.35,65.12,
2017-05-17,63.8,4529820.0,63.8,63.48,64.79,64.27,
2017-05-18,63.54,3385934.0,63.54,63.03,64.07,63.49,
2017-05-19,63.87,3396116.0,63.87,63.17,64.163,63.69,
2017-05-22,63.84,2742453.0,63.84,63.56,64.29,64.26,
2017-05-23,64.12,2945595.0,64.12,63.29,64.36,63.71,
2017-05-24,63.81,3001282.0,63.81,63.51,64.61,64.17,
2017-05-25,63.19,3786245.0,63.19,63.05,64.19,63.63,
2017-05-26,62.45,3718744.0,62.45,62.13,63.5,63.19,
2017-05-30,62.09,6566649.0,62.09,60.69,62.79,61.61,
2017-05-31,61.47,4655909.0,61.47,60.91,62.17,61.83,
2017-06-01,62.12,3541383.0,62.12,61.07,62.44,61.37,
2017-06-02,62.1,2788894.0,62.1,62.0,62.72,62.43,
2017-06-05,62.4,3897147.0,62.4,61.79,62.67,61.91,
2017-06-06,62.29,2579818.0,62.29,61.86,62.56,62.14,
2017-06-07,62.3,4378186.0,62.3,61.59,62.48,61.82,
2017-06-08,63.18,5021336.0,63.18,62.17,64.15,62.17,
2017-06-09,65.26,6201156.0,65.26,62.885,65.76,63.01,
2017-06-12,65.92,6725913.0,65.92,65.55,66.83,65.55,
2017-06-13,66.53,4336426.0,66.53,65.54,66.98,65.83,
2017-06-14,64.75,6431033.0,64.75,64.12,66.53,66.42,
2017-06-15,64.69,3974119.0,64.69,64.15,65.0,64.46,
2017-06-16,65.8,6522493.0,65.8,64.64,66.04,65.0,
2017-06-19,66.61,4078321.0,66.61,65.745,66.95,65.76,
2017-06-20,65.65,3634080.0,65.65,65.15,66.37,65.95,
2017-06-21,64.68,5566133.0,64.68,63.77,65.65,65.3,
2017-06-22,64.82,3801388.0,64.82,64.77,65.66,65.66,
2017-06-23,65.98,4915246.0,65.98,64.58,66.08,64.72,
2017-06-26,66.04,3376758.0,66.04,65.76,66.48,66.18,
2017-06-27,66.81,5447333.0,66.81,65.965,67.84,66.1,
2017-06-28,67.47,3336411.0,67.47,66.97,68.14,67.14,
2017-06-29,67.09,3282872.0,67.09,66.77,68.39,67.79,
2017-06-30,67.46,2972006.0,67.46,66.87,67.77,67.55,
2017-07-03,68.02,2159962.0,68.02,67.66,68.44,67.81,
2017-07-05,67.07,3938059.0,67.07,66.96,68.25,68.0,
2017-07-06,66.46,3332080.0,66.46,66.18,67.18,66.99,
2017-07-07,68.18,5083561.0,68.18,66.25,68.42,66.44,
2017-07-10,68.09,3718199.0,68.09,67.941,68.49,68.05,
2017-07-11,67.93,2188193.0,67.93,67.73,68.45,68.03,
2017-07-12,68.03,4206132.0,68.03,67.44,68.55,68.48,
2017-07-13,67.78,2883729.0,67.78,67.04,68.38,67.87,
2017-07-14,68.04,2194732.0,68.04,67.41,68.33,67.84,
2017-07-17,67.43,2868806.0,67.43,67.32,68.0,67.82,
2017-07-18,67.51,2816047.0,67.51,67.2,67.76,67.72,
2017-07-19,68.03,3481850.0,68.03,67.54,68.69,67.6,
2017-07-20,67.52,2914831.0,67.52,67.3,68.43,68.39,
2017-07-21,67.78,2725709.0,67.78,67.01,67.87,67.52,
2017-07-24,67.68,2318781.0,67.68,67.54,68.09,67.63,
2017-07-25,68.44,3131122.0,68.44,67.945,68.72,67.98,
2017-07-26,67.99,3356842.0,67.99,67.8,68.53,68.51,
2017-07-27,67.59,4377800.0,67.59,66.61,68.829,68.0,
