YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,124.64,1015206.0,124.64,123.48,127.0599,126.04,
2017-01-04,127.79,840487.0,127.79,124.06,127.97,124.45,
2017-01-05,127.44,789762.0,127.44,126.31,128.6499,127.43,
2017-01-06,123.8,1104371.0,123.8,123.37,127.1055,126.5,
2017-01-09,122.72,892373.0,122.72,122.571,123.799,123.58,
2017-01-10,123.61,687505.0,123.61,122.39,123.8,123.03,
2017-01-11,123.48,489732.0,123.48,122.5,123.75,123.75,
2017-01-12,122.54,833221.0,122.54,120.791,123.48,123.39,
2017-01-13,124.4,898331.0,124.4,122.69,124.5,122.72,
2017-01-17,123.66,750973.0,123.66,121.53,124.37,124.37,
2017-01-18,127.3,1572189.0,127.3,122.81,127.62,123.77,
2017-01-19,126.3,1315127.0,126.3,125.18,128.3899,127.53,
2017-01-20,129.87,1304247.0,129.87,126.83,130.32,126.83,
2017-01-23,129.53,1107000.0,129.53,128.12,130.52,130.06,
2017-01-24,132.35,1146705.0,132.35,129.71,133.35,130.35,
2017-01-25,135.28,1574210.0,135.28,134.131,136.24,134.28,
2017-01-26,135.25,955366.0,135.25,134.35,136.82,135.94,
2017-01-27,134.36,507768.0,134.36,133.91,136.0,135.88,
2017-01-30,130.73,1739230.0,130.73,129.73,133.9,133.9,
2017-01-31,128.33,1485904.0,128.33,126.83,131.6,130.77,
2017-02-01,128.32,1247165.0,128.32,127.49,129.77,128.97,
2017-02-02,128.01,1221187.0,128.01,127.56,130.15,128.5,
2017-02-03,128.88,841776.0,128.88,128.11,129.895,128.97,
2017-02-06,128.08,1271239.0,128.08,126.69,129.12,128.73,
2017-02-07,121.8,4258974.0,121.8,120.6,125.0,120.74,
2017-02-08,120.29,2892043.0,120.29,118.57,122.979,121.4,
2017-02-09,120.5,2188674.0,120.5,119.78,121.39,120.75,
2017-02-10,122.6,2229470.0,122.6,121.2701,124.41,121.48,
2017-02-13,122.46,2054021.0,122.46,122.37,129.25,124.47,
2017-02-14,122.74,1607132.0,122.74,120.5,122.78,121.99,
2017-02-15,123.11,1331624.0,123.11,122.35,123.97,122.78,
2017-02-16,120.4,1563890.0,120.4,119.8,123.52,123.21,
2017-02-17,119.33,1471913.0,119.33,118.27,120.57,120.25,
2017-02-21,121.32,1572431.0,121.32,119.8,122.42,119.96,
2017-02-22,120.14,1145364.0,120.14,120.0,122.17,121.3,
2017-02-23,116.35,3562534.0,116.35,114.8,120.76,120.33,
2017-02-24,117.82,1792304.0,117.82,114.1,118.42,114.78,
2017-02-27,120.6,1894306.0,120.6,116.82,122.77,117.27,
2017-02-28,120.61,1589995.0,120.61,119.8,121.87,120.97,
2017-03-01,124.38,2632213.0,124.38,122.54,125.3,123.17,
2017-03-02,121.32,1597153.0,121.32,121.0,124.27,124.25,
2017-03-03,121.47,1441028.0,121.47,120.57,122.34,121.55,
2017-03-06,120.22,998683.0,120.22,119.71,121.5,120.55,
2017-03-07,118.37,1313853.0,118.37,117.66,120.24,120.0,
2017-03-08,119.11,894023.0,119.11,118.37,120.33,118.63,
2017-03-09,116.9,1837444.0,116.9,115.48,119.95,118.92,
2017-03-10,118.75,1656454.0,118.75,116.9,120.26,118.17,
2017-03-13,119.59,1255746.0,119.59,118.18,119.73,118.87,
2017-03-14,117.94,803198.0,117.94,117.65,119.54,118.56,
2017-03-15,118.83,2084715.0,118.83,116.9,119.26,118.14,
2017-03-16,116.39,1955687.0,116.39,115.83,119.58,119.51,
2017-03-17,116.47,1759783.0,116.47,116.34,117.62,116.55,
2017-03-20,115.05,1370174.0,115.05,114.59,116.96,116.82,
2017-03-21,114.1,1298004.0,114.1,113.7,116.16,115.85,
2017-03-22,115.3,1231943.0,115.3,113.34,115.57,114.0,
2017-03-23,115.39,1193345.0,115.39,114.37,116.3,115.28,
2017-03-24,112.74,1661731.0,112.74,111.53,115.2293,114.95,
2017-03-27,112.5,1899746.0,112.5,108.95,113.05,110.0,
2017-03-28,114.6,1699474.0,114.6,112.14,115.44,112.25,
2017-03-29,118.16,2030762.0,118.16,114.92,118.78,115.3,
2017-03-30,117.69,2100540.0,117.69,116.86,121.6,120.51,
2017-03-31,120.48,1676742.0,120.48,117.25,121.04,117.34,
2017-04-03,119.36,1268959.0,119.36,117.88,120.69,120.13,
2017-04-04,119.25,1149126.0,119.25,118.36,119.95,119.33,
2017-04-05,118.22,1513476.0,118.22,118.0,121.165,119.77,
2017-04-06,119.35,1012571.0,119.35,118.4,120.26,118.5,
2017-04-07,123.99,2923925.0,123.99,120.95,124.29,120.95,
2017-04-10,121.34,1480789.0,121.34,121.0,123.76,123.76,
2017-04-11,121.19,893730.0,121.19,118.89,121.65,120.88,
2017-04-12,117.94,1217424.0,117.94,117.3,120.92,120.92,
2017-04-13,117.28,1262961.0,117.28,116.26,118.105,117.35,
2017-04-17,118.19,728718.0,118.19,117.29,118.62,117.46,
2017-04-18,116.9,752956.0,116.9,116.37,118.34,117.58,
2017-04-19,117.41,841783.0,117.41,116.93,118.9,117.76,
2017-04-20,119.83,793752.0,119.83,117.76,120.52,117.98,
2017-04-21,120.97,1193525.0,120.97,119.28,121.35,119.92,
2017-04-24,122.02,974372.0,122.02,121.45,122.77,122.12,
2017-04-25,121.45,1128555.0,121.45,121.18,123.44,122.75,
2017-04-26,120.73,898516.0,120.73,120.25,121.51,121.51,
2017-04-27,122.8,711738.0,122.8,119.92,122.98,120.85,
2017-04-28,120.88,759330.0,120.88,120.76,122.69,122.63,
2017-05-01,123.35,1513131.0,123.35,120.93,125.2,121.26,
2017-05-02,128.45,2596438.0,128.45,125.95,129.34,126.07,
2017-05-03,127.59,1160107.0,127.59,126.87,129.32,127.56,
2017-05-04,128.34,1095389.0,128.34,126.91,129.34,127.68,
2017-05-05,127.74,922164.0,127.74,127.31,128.87,128.34,
2017-05-08,126.67,967618.0,126.67,124.97,127.4,127.4,
2017-05-09,126.11,1376564.0,126.11,125.49,127.11,127.0,
2017-05-10,130.63,2414702.0,130.63,129.41,133.79,129.77,
2017-05-11,129.04,1576651.0,129.04,126.82,130.0,129.55,
2017-05-12,128.25,942269.0,128.25,127.255,129.0,129.0,
2017-05-15,130.71,1176269.0,130.71,126.8,130.83,128.42,
2017-05-16,128.33,767322.0,128.33,128.31,130.71,130.71,
2017-05-17,124.9,1652353.0,124.9,122.89,126.125,125.99,
2017-05-18,126.06,932231.0,126.06,123.39,126.98,124.39,
2017-05-19,125.95,774375.0,125.95,125.54,127.86,126.78,
2017-05-22,126.93,587851.0,126.93,125.75,127.43,126.18,
2017-05-23,126.65,769571.0,126.65,126.2443,128.45,127.06,
2017-05-24,125.12,1516408.0,125.12,123.35,126.42,126.2,
2017-05-25,127.75,1984598.0,127.75,125.53,130.1,125.74,
