YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,81.32,545814.0,81.32,81.05,82.08,81.59,7267.0
2017-01-04,81.96,651822.0,81.96,81.23,82.01,81.28,6547.0
2017-01-05,81.66,394756.0,81.66,81.51,82.23,81.69,4865.0
2017-01-06,82.38,515856.0,82.38,81.43,82.4,81.52,6572.0
2017-01-09,81.73,489648.0,81.73,81.55,82.248,82.03,5264.0
2017-01-10,82.26,594588.0,82.26,81.42,82.33,81.72,6777.0
2017-01-11,82.75,468967.0,82.75,81.89,82.75,82.06,5881.0
2017-01-12,82.32,557614.0,82.32,81.63,82.76,82.76,6789.0
2017-01-13,82.63,350637.0,82.63,82.28,82.71,82.45,3829.0
2017-01-17,81.55,553686.0,81.55,81.41,82.45,82.45,6638.0
2017-01-18,81.08,741953.0,81.08,80.21,81.16,81.0,8327.0
2017-01-19,80.92,609857.0,80.92,80.1965,81.48,80.95,7291.0
2017-01-20,81.36,500418.0,81.36,80.76,81.52,81.27,4157.0
2017-01-23,81.18,508975.0,81.18,80.85,81.48,81.23,4680.0
2017-01-24,82.17,466898.0,82.17,81.25,82.21,81.38,5518.0
2017-01-25,82.69,455029.0,82.69,82.42,83.02,82.5,5541.0
2017-01-26,82.53,296103.0,82.53,82.25,82.72,82.63,4182.0
2017-01-27,82.68,362377.0,82.68,82.13,82.79,82.21,4165.0
2017-01-30,82.74,362622.0,82.74,82.23,82.76,82.63,4351.0
2017-01-31,82.64,795284.0,82.64,81.95,83.0,83.0,7153.0
2017-02-01,81.76,544253.0,81.76,81.43,82.92,82.63,7463.0
2017-02-02,82.15,532053.0,82.15,81.31,82.2099,81.53,5586.0
2017-02-03,83.52,542276.0,83.52,82.6821,83.52,82.8,6632.0
2017-02-06,83.27,362940.0,83.27,82.95,83.32,83.18,4429.0
2017-02-07,83.01,471153.0,83.01,82.9,83.28,83.27,5784.0
2017-02-08,83.61,349742.0,83.61,82.81,83.76,82.88,4182.0
2017-02-09,84.07,571983.0,84.07,82.15,84.11,82.15,5785.0
2017-02-10,84.52,350568.0,84.52,83.77,84.69,84.28,4296.0
2017-02-13,84.96,407468.0,84.96,84.63,85.23,84.99,5835.0
2017-02-14,85.09,448392.0,85.09,84.69,85.1,84.8,6055.0
2017-02-15,83.77,762583.0,83.77,83.39,84.49,84.14,8625.0
2017-02-16,84.27,526252.0,84.27,83.53,84.99,84.08,6444.0
