YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,74.89,1761887.0,74.89,73.34,74.9899,74.43,17797.0
2017-01-04,77.05,1667701.0,77.05,74.87,78.09,75.22,16280.0
2017-01-05,79.06,2354722.0,79.06,76.15,79.61,77.15,18826.0
2017-01-06,79.39,1669750.0,79.39,77.56,79.7,78.94,16481.0
2017-01-09,82.86,4522498.0,82.86,77.09,83.62,79.8,37712.0
2017-01-10,82.93,2110457.0,82.93,81.69,83.47,82.6,23055.0
2017-01-11,81.93,2785209.0,81.93,80.38,85.37,83.17,27889.0
2017-01-12,82.39,1351806.0,82.39,80.5,82.675,81.61,13460.0
2017-01-13,83.17,1518581.0,83.17,81.71,84.41,82.4,14594.0
2017-01-17,81.55,1501513.0,81.55,79.78,82.545,82.35,16225.0
2017-01-18,82.52,1620727.0,82.52,81.58,82.87,81.88,16637.0
2017-01-19,80.91,1685002.0,80.91,80.51,82.72,82.55,17011.0
2017-01-20,81.37,1105561.0,81.37,80.89,82.46,81.47,10903.0
2017-01-23,81.4,1124756.0,81.4,80.06,81.75,81.09,11915.0
2017-01-24,82.24,1366588.0,82.24,80.55,82.6,81.42,13629.0
2017-01-25,85.19,2854597.0,85.19,82.35,85.62,82.55,23267.0
2017-01-26,85.33,2531671.0,85.33,84.05,87.91,85.75,21336.0
2017-01-27,87.37,1869832.0,87.37,85.1,87.5,85.62,14529.0
2017-01-30,84.38,1805728.0,84.38,83.78,87.07,87.07,17309.0
2017-01-31,85.87,2418422.0,85.87,82.66,85.95,83.77,21181.0
2017-02-01,86.24,1754741.0,86.24,84.33,86.43,85.98,18167.0
2017-02-02,86.72,1290809.0,86.72,85.16,86.9,85.99,12312.0
2017-02-03,86.73,1227304.0,86.73,85.77,87.27,87.1,11502.0
2017-02-06,87.42,1423781.0,87.42,85.73,87.975,86.22,12552.0
2017-02-07,86.84,1285437.0,86.84,86.07,88.12,87.29,11511.0
2017-02-08,87.72,1310129.0,87.72,85.79,87.8,86.27,12273.0
2017-02-09,89.27,1520037.0,89.27,87.695,89.42,87.83,13517.0
2017-02-10,88.15,1633837.0,88.15,87.89,89.64,89.21,12421.0
2017-02-13,87.72,1123459.0,87.72,87.25,88.64,88.39,10967.0
2017-02-14,88.91,2321559.0,88.91,87.34,89.26,87.89,13670.0
2017-02-15,89.37,1329771.0,89.37,88.34,89.46,88.69,12542.0
2017-02-16,87.7,1322193.0,87.7,87.05,89.94,89.62,15858.0
2017-02-17,88.33,1429046.0,88.33,86.9,88.98,87.69,11988.0
2017-02-21,86.55,1665274.0,86.55,86.01,89.0,88.34,15790.0
2017-02-22,85.79,1263166.0,85.79,85.72,87.325,86.55,13226.0
2017-02-23,85.73,890750.0,85.73,84.39,86.63,86.2,9946.0
2017-02-24,86.07,1406789.0,86.07,84.62,86.11,85.73,14313.0
2017-02-27,88.9,2073654.0,88.9,85.84,88.9499,86.19,17041.0
2017-02-28,90.62,2401894.0,90.62,88.79,91.95,89.17,19305.0
2017-03-01,90.31,2089382.0,90.31,89.83,92.26,91.8,20818.0
2017-03-02,89.89,1060890.0,89.89,89.57,91.06,89.94,12660.0
2017-03-03,90.19,1422569.0,90.19,88.95,90.39,89.54,15314.0
2017-03-06,90.91,1587733.0,90.91,88.87,91.68,89.75,16397.0
2017-03-07,91.32,1960731.0,91.32,89.77,91.7,90.14,21228.0
2017-03-08,92.18,1763195.0,92.18,91.11,93.4,91.11,18223.0
2017-03-09,93.57,1217095.0,93.57,91.96,93.6,92.45,11781.0
2017-03-10,93.98,1534220.0,93.98,92.95,94.22,94.15,13252.0
2017-03-13,92.95,897550.0,92.95,92.93,94.24,94.24,10238.0
2017-03-14,92.74,695178.0,92.74,92.16,93.09,92.6,8586.0
2017-03-15,94.57,1031369.0,94.57,93.13,95.0,93.21,11209.0
2017-03-16,92.36,1449700.0,92.36,91.7,94.8599,94.38,13408.0
2017-03-17,91.92,2501509.0,91.92,91.7601,93.5,92.97,17047.0
2017-03-20,91.31,1382494.0,91.31,91.23,92.61,92.0,11885.0
2017-03-21,89.5,1711789.0,89.5,89.44,91.825,91.81,18932.0
2017-03-22,90.04,1337153.0,90.04,89.059,90.25,89.95,12675.0
2017-03-23,89.05,1043598.0,89.05,88.94,90.7495,90.0,11764.0
2017-03-24,89.98,1064364.0,89.98,89.12,90.48,89.74,10860.0
2017-03-27,90.8,1383188.0,90.8,88.9,91.49,89.28,10958.0
2017-03-28,89.67,1561363.0,89.67,89.22,90.76,90.31,14767.0
2017-03-29,108.01,13681500.0,108.01,106.03,111.88,106.03,94827.0
2017-03-30,107.29,3024367.0,107.29,106.52,109.73,107.88,28166.0
2017-03-31,109.35,2849236.0,109.35,106.54,109.49,107.89,25408.0
2017-04-03,107.45,2040768.0,107.45,107.31,110.49,109.01,21018.0
2017-04-04,112.29,2914105.0,112.29,107.24,112.69,107.24,24971.0
2017-04-05,114.11,4032677.0,114.11,111.22,116.8558,112.35,35389.0
2017-04-06,114.26,1959774.0,114.26,113.17,114.88,114.11,19212.0
2017-04-07,115.88,2108064.0,115.88,114.07,117.65,114.35,17884.0
2017-04-10,114.06,2116554.0,114.06,112.94,116.66,115.66,18989.0
2017-04-11,114.23,1794271.0,114.23,111.32,114.35,113.42,19685.0
2017-04-12,114.86,1161945.0,114.86,113.69,115.8,114.23,13458.0
2017-04-13,113.8,1599960.0,113.8,113.22,116.105,114.7,15701.0
2017-04-17,114.81,1184295.0,114.81,113.95,115.225,114.39,11411.0
2017-04-18,114.65,1136516.0,114.65,113.83,115.48,114.62,12639.0
2017-04-19,114.63,1570444.0,114.63,114.29,116.63,115.55,16187.0
2017-04-20,117.26,1495498.0,117.26,114.13,117.99,115.2,14700.0
2017-04-21,116.7,2803925.0,116.7,115.92,117.69,117.17,14794.0
2017-04-24,117.66,1502994.0,117.66,117.31,118.79,117.66,13117.0
2017-04-25,117.27,1243008.0,117.27,116.92,118.41,117.79,13442.0
2017-04-26,116.34,1759118.0,116.34,116.07,118.08,118.08,17937.0
2017-04-27,117.42,1424441.0,117.42,116.0,118.26,116.0,16914.0
2017-04-28,118.3,3387189.0,118.3,115.45,120.5,119.5,25763.0
2017-05-01,120.62,2109563.0,120.62,117.99,120.73,118.98,17566.0
2017-05-02,118.47,2465422.0,118.47,116.4,121.96,120.82,24282.0
2017-05-03,119.05,1333324.0,119.05,117.88,119.36,118.52,12023.0
2017-05-04,116.39,1672738.0,116.39,115.91,119.95,119.59,17785.0
2017-05-05,114.84,2545057.0,114.84,113.66,116.7,116.54,22473.0
2017-05-08,115.06,1544391.0,115.06,113.81,115.65,114.56,14938.0
2017-05-09,116.63,1185243.0,116.63,114.381,117.0,115.5,11628.0
2017-05-10,115.35,1414006.0,115.35,114.22,116.55,116.55,12611.0
2017-05-11,115.36,1395069.0,115.36,113.84,115.54,115.41,13859.0
2017-05-12,114.6,986032.0,114.6,113.84,116.23,115.12,9542.0
2017-05-15,116.23,1101274.0,116.23,113.795,116.35,114.64,11200.0
2017-05-16,118.09,1320397.0,118.09,115.13,118.13,117.36,14141.0
2017-05-17,114.38,1717861.0,114.38,114.2,117.88,117.44,16327.0
2017-05-18,117.93,2155016.0,117.93,115.42,118.61,115.55,20272.0
2017-05-19,118.02,1564730.0,118.02,117.1,118.8159,117.77,14654.0
2017-05-22,118.94,1062021.0,118.94,117.51,119.27,118.57,10869.0
2017-05-23,116.59,1859970.0,116.59,115.87,119.27,118.94,16338.0
2017-05-24,117.8,1818349.0,117.8,115.1,118.44,116.86,15198.0
2017-05-25,118.6,1393410.0,118.6,117.38,119.415,118.0,10872.0
2017-05-26,119.92,1477802.0,119.92,118.05,120.82,118.1,12864.0
2017-05-30,120.39,1634758.0,120.39,119.19,120.99,119.52,12644.0
2017-05-31,123.6,2813594.0,123.6,120.605,123.78,120.95,19513.0
2017-06-01,127.16,3356339.0,127.16,123.54,127.89,124.0,26172.0
2017-06-02,129.9,2837882.0,129.9,126.99,130.0,128.44,20591.0
2017-06-05,130.17,2030081.0,130.17,127.22,130.69,127.85,15502.0
2017-06-06,127.72,1250626.0,127.72,127.51,129.86,129.38,12521.0
2017-06-07,124.99,2635934.0,124.99,122.93,128.905,128.27,23224.0
2017-06-08,125.91,1954776.0,125.91,124.07,126.16,125.0,17363.0
