YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,54.58,22891725.0,54.58,53.73,54.67,53.96,
2017-01-04,54.52,18316075.0,54.52,54.33,54.81,54.55,
2017-01-05,54.64,13840590.0,54.64,54.3,54.83,54.78,
2017-01-06,53.26,15615037.0,53.26,53.095,53.78,53.67,
2017-01-09,52.68,14097190.0,52.68,52.67,53.265,53.22,
2017-01-10,52.76,11787399.0,52.76,52.02,53.16,52.69,
2017-01-11,52.46,16142843.0,52.46,52.235,52.75,52.62,
2017-01-12,52.68,11052102.0,52.68,52.265,52.89,52.43,
2017-01-13,52.55,9458660.0,52.55,52.41,52.9,52.72,
2017-01-17,52.74,11383490.0,52.74,52.5,52.89,52.55,
2017-01-18,52.25,12930855.0,52.25,52.21,52.835,52.52,
2017-01-19,52.36,13286142.0,52.36,52.18,52.64,52.55,
2017-01-20,52.72,15473748.0,52.72,52.56,53.2,52.6,
2017-01-23,52.41,15695475.0,52.41,52.18,52.7,52.46,
2017-01-24,50.12,43484680.0,50.12,49.79,50.79,50.255,
2017-01-25,49.77,30398594.0,49.77,48.84,49.94,49.5,
2017-01-26,49.12,37877112.0,49.12,48.51,49.47,48.75,
2017-01-27,49.6,18369275.0,49.6,49.27,49.73,49.35,
2017-01-30,49.37,12148701.0,49.37,49.18,49.84,49.49,
2017-01-31,49.01,16844160.0,49.01,48.93,49.47,49.21,
2017-02-01,48.39,26004051.0,48.39,48.25,49.37,49.34,
2017-02-02,48.28,17787157.0,48.28,47.9,48.59,48.54,
2017-02-03,48.58,15166438.0,48.58,48.33,48.62,48.45,
2017-02-06,48.03,16151442.0,48.03,47.94,48.67,48.67,
2017-02-07,48.04,12771905.0,48.04,47.8,48.16,48.13,
2017-02-08,48.37,13962834.0,48.37,48.1,48.57,48.15,
2017-02-09,48.81,13577346.0,48.81,48.41,48.96,48.52,
2017-02-10,48.98,12317356.0,48.98,48.69,49.12,48.94,
2017-02-13,48.55,18305342.0,48.55,48.08,48.615,48.27,
2017-02-14,48.27,20847187.0,48.27,47.99,48.47,48.31,
2017-02-15,48.08,19297054.0,48.08,47.8,48.1,48.0,
2017-02-16,48.46,18706949.0,48.46,47.89,48.52,48.03,
2017-02-17,49.19,23190659.0,49.19,48.13,49.3,48.31,
2017-02-21,49.43,19205958.0,49.43,49.23,49.69,49.51,
2017-02-22,49.67,13653423.0,49.67,49.48,49.7,49.5,
2017-02-23,50.31,16211994.0,50.31,49.67,50.5,49.98,
2017-02-24,50.6,14357936.0,50.6,50.28,50.945,50.28,
2017-02-27,49.94,14029458.0,49.94,49.8,50.55,50.49,
2017-02-28,49.63,17699168.0,49.63,49.41,50.03,49.96,
2017-03-01,49.81,16095603.0,49.81,49.37,49.98,49.56,
2017-03-02,49.98,10773372.0,49.98,49.6,50.02,49.69,
2017-03-03,50.09,11075118.0,50.09,49.8,50.14,50.05,
2017-03-06,50.03,10827336.0,50.03,49.84,50.145,50.03,
2017-03-07,49.44,12896873.0,49.44,49.36,50.06,50.0,
2017-03-08,49.16,14206492.0,49.16,48.9,49.33,49.3,
2017-03-09,49.28,10590012.0,49.28,49.075,49.4499,49.22,
2017-03-10,49.35,11181598.0,49.35,49.1,49.52,49.5,
2017-03-13,49.47,10488812.0,49.47,49.13,49.53,49.33,
2017-03-14,49.36,8496589.0,49.36,49.25,49.625,49.44,
2017-03-15,50.14,12660774.0,50.14,49.26,50.25,49.26,
2017-03-16,50.04,10861242.0,50.04,49.85,50.25,50.02,
2017-03-17,50.39,21071260.0,50.39,50.02,50.425,50.19,
2017-03-20,50.24,9455972.0,50.24,50.14,50.61,50.42,
2017-03-21,50.16,15196517.0,50.16,50.12,50.63,50.48,
2017-03-22,49.71,14950443.0,49.71,49.405,50.275,50.13,
2017-03-23,49.64,9644949.0,49.64,49.42,49.88,49.75,
2017-03-24,49.68,9310665.0,49.68,49.5,49.83,49.7,
2017-03-27,49.14,13270862.0,49.14,48.92,49.76,49.68,
2017-03-28,49.3,12856251.0,49.3,48.67,49.345,49.01,
2017-03-29,49.13,11160787.0,49.13,49.03,49.37,49.28,
2017-03-30,49.06,11623010.0,49.06,48.9,49.24,49.0,
2017-03-31,48.75,19299124.0,48.75,48.75,49.1,49.1,
2017-04-03,49.18,14307412.0,49.18,48.59,49.25,48.73,
2017-04-04,49.31,8952835.0,49.31,48.88,49.32,49.1,
2017-04-05,49.02,14327569.0,49.02,49.01,49.55,49.43,
2017-04-06,48.43,18456149.0,48.43,48.17,48.6,48.52,
2017-04-07,48.66,17269561.0,48.66,48.26,48.92,48.48,
2017-04-10,48.54,10859384.0,48.54,48.45,48.88,48.72,
2017-04-11,48.7,13096177.0,48.7,48.295,48.75,48.51,
2017-04-12,48.92,10455754.0,48.92,48.34,48.94,48.53,
2017-04-13,48.62,9486987.0,48.62,48.57,48.92,48.8,
2017-04-17,48.81,10507780.0,48.81,48.68,49.1,48.68,
2017-04-18,49.22,19691292.0,49.22,48.54,49.49,48.62,
2017-04-19,48.94,18837325.0,48.94,48.89,49.55,49.44,
2017-04-20,48.41,30398242.0,48.41,47.71,48.62,47.92,
2017-04-21,47.25,31278325.0,47.25,47.13,48.17,47.92,
2017-04-24,47.05,23161886.0,47.05,46.96,47.36,47.13,
2017-04-25,46.7,30033457.0,46.7,46.58,47.27,46.96,
2017-04-26,47.36,29343781.0,47.36,46.62,47.53,46.75,
2017-04-27,46.67,16838540.0,46.67,46.66,47.39,47.36,
2017-04-28,45.91,25922757.0,45.91,45.89,46.64,46.64,
2017-05-01,45.88,14455200.0,45.88,45.88,46.15,46.06,
