YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,79.5,13785211.0,79.5,78.49,79.91,78.76,
2017-01-04,80.15,8033051.0,80.15,79.36,80.26,79.44,
2017-01-05,81.09,7805139.0,81.09,80.22,81.53,80.34,
2017-01-06,82.21,8898332.0,82.21,80.94,82.49,81.3,
2017-01-09,81.75,7305302.0,81.75,81.65,82.45,82.28,
2017-01-10,81.31,6017500.0,81.31,81.13,81.9,81.7,
2017-01-11,81.8,7499170.0,81.8,80.91,81.8,81.25,
2017-01-12,81.37,6884016.0,81.37,80.51,81.47,81.05,
2017-01-13,81.17,7291220.0,81.17,80.79,81.85,81.02,
2017-01-17,81.26,6326480.0,81.26,80.76,81.49,80.76,
2017-01-18,81.59,8512272.0,81.59,80.98,81.83,81.27,
2017-01-19,81.73,6479361.0,81.73,81.41,81.85,81.79,
2017-01-20,81.84,9048515.0,81.84,81.61,82.28,82.09,
2017-01-23,82.15,7414232.0,82.15,81.5,82.3,81.7,
2017-01-24,83.23,8397522.0,83.23,81.85,83.49,82.4,
2017-01-25,83.9,9360857.0,83.9,83.45,84.27,83.79,
2017-01-26,83.24,8428212.0,83.24,83.075,83.92,83.92,
2017-01-27,83.77,5445940.0,83.77,82.92,83.8,83.32,
2017-01-30,83.7,8792818.0,83.7,82.66,83.74,83.47,
2017-01-31,82.71,7479425.0,82.71,82.1,83.275,82.13,
2017-02-01,82.44,7534371.0,82.44,82.05,83.09,82.9,
2017-02-02,82.3,11142259.0,82.3,81.57,82.6979,82.14,
2017-02-03,86.08,28079568.0,86.08,85.11,86.82,85.74,
2017-02-06,85.83,9665269.0,85.83,85.51,86.1,86.07,
2017-02-07,85.78,8600299.0,85.78,85.67,86.35,85.96,
2017-02-08,85.09,7587713.0,85.09,85.08,85.84,85.8,
2017-02-09,85.58,6554731.0,85.58,84.88,85.77,85.37,
2017-02-10,85.9,10431983.0,85.9,85.23,86.14,85.8,
2017-02-13,86.44,6046310.0,86.44,86.0,86.7,86.2,
2017-02-14,86.85,5952016.0,86.85,86.26,86.97,86.52,
2017-02-15,87.54,8049742.0,87.54,86.7,87.54,87.02,
2017-02-16,87.41,8680571.0,87.41,86.7902,87.68,87.55,
2017-02-17,87.46,5887160.0,87.46,86.98,87.68,87.27,
2017-02-21,87.92,9301250.0,87.92,87.17,88.04,87.51,
2017-02-22,87.8,8389934.0,87.8,87.51,88.15,87.61,
2017-02-23,88.18,6040523.0,88.18,87.87,88.49,88.23,
2017-02-24,88.43,5151311.0,88.43,87.3,88.43,87.36,
2017-02-27,88.0,6131649.0,88.0,87.91,88.38,88.32,
2017-02-28,87.94,8565269.0,87.94,87.755,88.3811,88.16,
2017-03-01,88.99,11131368.0,88.99,88.42,89.14,88.74,
2017-03-02,88.53,10544171.0,88.53,88.1,89.13,89.0,
2017-03-03,88.79,5713897.0,88.79,88.18,88.91,88.31,
2017-03-06,88.94,7347648.0,88.94,88.27,89.27,88.53,
2017-03-07,89.06,5688364.0,89.06,88.85,89.3,88.99,
2017-03-08,88.96,5866775.0,88.96,88.87,89.3,89.17,
2017-03-09,89.11,5953875.0,89.11,88.71,89.5,89.02,
2017-03-10,89.73,12247187.0,89.73,89.1002,89.86,89.5,
2017-03-13,90.11,8944143.0,90.11,89.61,90.31,89.8,
2017-03-14,89.55,6009803.0,89.55,89.24,90.03,89.93,
2017-03-15,89.92,6350706.0,89.92,89.41,90.1,89.75,
2017-03-16,90.04,9174440.0,90.04,89.47,90.33,90.31,
2017-03-17,90.24,8613377.0,90.24,90.17,90.63,90.25,
2017-03-20,89.18,9438042.0,89.18,88.965,92.05,90.29,
2017-03-21,88.06,11092126.0,88.06,88.0,89.71,89.49,
2017-03-22,88.52,7828563.0,88.52,87.85,89.035,87.85,
2017-03-23,88.86,7710654.0,88.86,88.42,89.39,88.47,
2017-03-24,89.19,7597620.0,89.19,88.97,89.605,89.06,
2017-03-27,88.95,5230008.0,88.95,88.07,88.99,88.31,
2017-03-28,89.12,7045509.0,89.12,88.49,89.42,89.12,
2017-03-29,89.18,4737996.0,89.18,88.56,89.39,88.99,
2017-03-30,89.01,6227073.0,89.01,88.6046,89.095,89.08,
2017-03-31,88.87,6429764.0,88.87,88.87,89.35,88.98,
2017-04-03,89.36,9125775.0,89.36,88.4,89.46,89.14,
2017-04-04,88.78,4859944.0,88.78,88.66,89.33,89.01,
2017-04-05,89.03,7251617.0,89.03,88.95,90.2,89.13,
2017-04-06,89.09,8473909.0,89.09,88.78,89.26,89.0,
2017-04-07,88.74,5439513.0,88.74,88.52,89.24,88.97,
2017-04-10,88.86,5999394.0,88.86,88.52,89.25,88.62,
2017-04-11,88.85,7058509.0,88.85,88.13,88.85,88.6,
2017-04-12,88.68,5912460.0,88.68,88.56,89.21,88.7,
2017-04-13,88.87,7242743.0,88.87,88.43,89.775,88.47,
2017-04-17,89.81,6122795.0,89.81,88.75,89.9,89.09,
2017-04-18,89.73,6823460.0,89.73,89.24,89.92,89.64,
2017-04-19,89.75,7301338.0,89.75,89.6,90.62,90.09,
2017-04-20,91.15,12178320.0,91.15,89.9047,91.5,90.14,
2017-04-21,91.15,19442584.0,91.15,91.02,92.8,92.77,
2017-04-24,91.85,11705374.0,91.85,91.01,92.5,92.15,
2017-04-25,92.11,7769203.0,92.11,91.58,92.35,91.99,
2017-04-26,91.82,11295240.0,91.82,91.75,92.48,92.02,
2017-04-27,91.6,5856781.0,91.6,91.28,92.0,91.95,
2017-04-28,91.22,6888471.0,91.22,90.98,91.55,91.39,
2017-05-01,91.26,9042079.0,91.26,91.14,91.67,91.29,
2017-05-02,92.54,11627705.0,92.54,91.53,92.75,91.62,
2017-05-03,92.44,4908954.0,92.44,91.975,92.545,92.4,
2017-05-04,92.62,5257030.0,92.62,92.25,92.85,92.7,
2017-05-05,92.09,8844524.0,92.09,91.76,92.98,92.9,
2017-05-08,91.92,5223617.0,91.92,91.52,92.16,92.05,
2017-05-09,92.0,3969471.0,92.0,91.8343,92.14,91.9,
2017-05-10,92.25,6747589.0,92.25,91.68,92.41,91.7,
2017-05-11,92.1,7052203.0,92.1,91.62,92.31,92.12,
2017-05-12,92.73,5898827.0,92.73,91.98,92.78,92.19,
2017-05-15,93.23,7040087.0,93.23,92.72,93.4199,92.73,
2017-05-16,93.15,5497361.0,93.15,92.97,93.7249,93.35,
2017-05-17,91.76,8240166.0,91.76,91.71,92.76,92.48,
2017-05-18,91.71,8239825.0,91.71,91.36,92.48,91.36,
2017-05-19,92.48,9361292.0,92.48,91.71,92.81,91.98,
2017-05-22,93.31,9186208.0,93.31,92.43,93.6,92.53,
2017-05-23,93.86,7616088.0,93.86,93.47,94.07,93.56,
2017-05-24,94.81,6916568.0,94.81,94.02,94.99,94.02,
2017-05-25,95.04,7262356.0,95.04,94.89,95.38,95.09,
2017-05-26,94.67,4133942.0,94.67,94.39,95.12,95.0,
2017-05-30,94.72,6292726.0,94.72,94.34,94.88,94.66,
2017-05-31,95.23,9865986.0,95.23,94.46,95.53,95.08,
2017-06-01,95.4,8911894.0,95.4,94.61,95.45,95.4,
2017-06-02,96.15,8570164.0,96.15,95.41,96.19,95.41,
2017-06-05,96.55,14510542.0,96.55,96.11,96.59,96.32,
2017-06-06,95.79,7030305.0,95.79,95.56,96.6,96.27,
2017-06-07,96.09,6720346.0,96.09,95.76,96.22,96.03,
2017-06-08,96.09,7720313.0,96.09,95.29,96.12,95.87,
2017-06-09,94.56,16887075.0,94.56,93.71,96.249,96.09,
2017-06-12,93.5,15609984.0,93.5,92.8,94.04,93.69,
2017-06-13,95.08,8700111.0,95.08,93.97,95.34,94.0,
2017-06-14,95.32,6347039.0,95.32,94.95,96.0,95.32,
2017-06-15,94.17,12793864.0,94.17,93.53,94.53,94.44,
2017-06-16,94.17,14705134.0,94.17,93.74,94.44,94.31,
2017-06-19,94.79,5984287.0,94.79,94.25,94.85,94.75,
2017-06-20,94.38,5626703.0,94.38,94.33,94.955,94.79,
2017-06-21,94.54,5611354.0,94.54,94.07,94.77,94.61,
2017-06-22,93.95,5846460.0,93.95,93.871,94.51,94.49,
2017-06-23,95.58,11637316.0,95.58,93.89,95.65,94.16,
2017-06-26,95.22,6970841.0,95.22,95.0989,96.265,95.8,
2017-06-27,94.9,6283594.0,94.9,94.63,95.34,95.15,
2017-06-28,96.23,5571267.0,96.23,94.66,96.4001,95.15,
2017-06-29,94.42,8872547.0,94.42,94.01,95.79,95.79,
2017-06-30,93.78,9036622.0,93.78,93.78,94.62,94.38,
2017-07-03,93.35,6197656.0,93.35,93.35,94.41,94.38,
2017-07-05,94.01,9339609.0,94.01,93.72,94.4,93.75,
2017-07-06,93.25,8215653.0,93.25,93.19,93.97,93.45,
2017-07-07,93.92,6175766.0,93.92,93.5,94.41,93.5,
2017-07-10,95.09,8851817.0,95.09,94.15,95.37,94.15,
2017-07-11,95.41,5554107.0,95.41,94.93,95.63,95.08,
2017-07-12,96.18,5974765.0,96.18,95.63,96.45,95.98,
2017-07-13,95.94,6721737.0,95.94,95.77,96.65,96.42,
2017-07-14,96.93,6195768.0,96.93,96.12,97.37,96.14,
2017-07-17,96.83,5914864.0,96.83,96.59,97.29,97.11,
2017-07-18,97.58,7434969.0,97.58,96.61,97.75,96.85,
2017-07-19,98.25,6390351.0,98.25,97.55,98.33,97.64,
