YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,136.43,648782.0,136.43,134.68,136.86,135.05,
2017-01-04,135.49,815484.0,135.49,135.33,137.24,136.52,
2017-01-05,135.73,839388.0,135.73,134.69,135.86,135.21,
2017-01-06,139.98,1054345.0,139.98,137.1,141.9,137.1,
2017-01-09,139.18,890973.0,139.18,138.27,141.02,140.04,
2017-01-10,137.56,844103.0,137.56,137.34,139.355,138.98,
2017-01-11,139.13,868482.0,139.13,136.14,139.23,137.12,
2017-01-12,138.35,624391.0,138.35,137.56,138.93,138.93,
2017-01-13,141.32,730123.0,141.32,139.78,142.68,140.24,
2017-01-17,141.53,719073.0,141.53,140.14,142.14,140.3,
2017-01-18,143.1,650490.0,143.1,141.7001,143.3,142.72,
2017-01-19,141.74,665592.0,141.74,141.06,142.57,142.57,
2017-01-20,141.44,552702.0,141.44,140.59,142.27,142.23,
2017-01-23,145.28,1605562.0,145.28,141.645,146.51,141.92,
2017-01-24,142.15,2880190.0,142.15,137.72,149.75,146.65,
2017-01-25,144.13,1172942.0,144.13,141.9,145.03,142.42,
2017-01-26,142.82,692109.0,142.82,141.88,143.71,143.71,
2017-01-27,144.38,334563.0,144.38,143.28,144.58,143.52,
2017-01-30,140.95,978571.0,140.95,139.81,143.66,143.57,
2017-01-31,141.65,868025.0,141.65,140.93,143.99,141.41,
2017-02-01,145.73,1043628.0,145.73,141.46,146.02,142.04,
2017-02-02,145.05,520807.0,145.05,144.24,145.49,145.06,
2017-02-03,146.34,551630.0,146.34,144.97,146.74,145.98,
2017-02-06,145.87,367375.0,145.87,144.66,146.32,146.32,
2017-02-07,147.31,548113.0,147.31,146.31,147.94,146.31,
2017-02-08,147.58,381736.0,147.58,145.94,147.7,146.94,
2017-02-09,148.67,334622.0,148.67,147.2,148.96,147.58,
2017-02-10,149.2,374537.0,149.2,148.1375,149.81,148.7,
2017-02-13,149.73,524564.0,149.73,148.75,150.98,149.33,
2017-02-14,150.47,390907.0,150.47,148.72,150.65,149.06,
2017-02-15,153.41,882829.0,153.41,149.22,153.905,149.85,
2017-02-16,153.0,485215.0,153.0,151.645,153.36,153.36,
2017-02-17,154.33,398823.0,154.33,152.65,154.41,152.7,
2017-02-21,154.6,393354.0,154.6,153.42,155.29,154.3,
2017-02-22,154.68,430370.0,154.68,153.45,155.27,153.79,
2017-02-23,154.89,577623.0,154.89,153.36,155.01,154.79,
2017-02-24,156.4,421782.0,156.4,153.59,156.43,154.75,
2017-02-27,156.53,526057.0,156.53,155.82,157.32,156.75,
2017-02-28,154.99,616463.0,154.99,154.71,157.72,156.6,
2017-03-01,155.83,743010.0,155.83,155.395,157.91,156.12,
2017-03-02,154.19,598121.0,154.19,153.75,155.89,155.73,
2017-03-03,154.9,603261.0,154.9,153.2,154.99,154.0,
2017-03-06,153.42,642623.0,153.42,152.05,154.85,154.29,
2017-03-07,153.36,296756.0,153.36,152.3893,153.93,152.89,
2017-03-08,153.05,445805.0,153.05,152.48,153.97,153.34,
2017-03-09,154.61,520089.0,154.61,152.36,155.93,153.12,
2017-03-10,156.94,754343.0,156.94,154.96,157.44,155.56,
2017-03-13,157.16,322834.0,157.16,155.67,157.35,156.4,
2017-03-14,156.4,260967.0,156.4,155.75,157.37,157.02,
2017-03-15,158.31,395358.0,158.31,156.45,158.81,157.0,
2017-03-16,156.45,700203.0,156.45,154.2,156.93,156.5,
2017-03-17,156.59,605064.0,156.59,155.64,157.53,156.78,
2017-03-20,155.86,238513.0,155.86,155.84,157.05,156.5,
2017-03-21,155.49,327576.0,155.49,154.12,157.3,156.66,
2017-03-22,155.92,413114.0,155.92,154.665,156.36,156.12,
2017-03-23,155.63,264078.0,155.63,155.09,156.59,155.79,
2017-03-24,154.76,409330.0,154.76,154.29,156.68,155.66,
2017-03-27,155.91,373483.0,155.91,153.041,156.45,154.0,
2017-03-28,155.52,253219.0,155.52,154.75,156.75,155.44,
2017-03-29,155.61,169453.0,155.61,154.3,155.99,155.44,
2017-03-30,156.28,236052.0,156.28,153.915,156.63,155.36,
2017-03-31,156.31,248704.0,156.31,154.9365,157.0,155.96,
2017-04-03,156.7,567706.0,156.7,155.95,157.62,156.39,
2017-04-04,154.83,439330.0,154.83,154.15,157.06,156.68,
2017-04-05,155.37,684659.0,155.37,154.68,157.47,155.14,
2017-04-06,155.94,251079.0,155.94,154.59,156.41,155.37,
2017-04-07,156.81,396598.0,156.81,155.24,157.36,155.69,
2017-04-10,156.39,304037.0,156.39,156.19,157.61,156.42,
2017-04-11,155.88,267861.0,155.88,154.375,156.41,156.16,
2017-04-12,155.11,370188.0,155.11,154.86,156.54,156.28,
2017-04-13,155.69,317567.0,155.69,154.36,156.36,154.36,
2017-04-17,157.34,411768.0,157.34,155.38,158.11,156.25,
2017-04-18,157.26,372823.0,157.26,155.16,157.73,156.66,
2017-04-19,159.21,721315.0,159.21,157.06,161.985,158.16,
2017-04-20,158.99,615788.0,158.99,157.83,159.83,159.1,
2017-04-21,158.52,289499.0,158.52,157.84,159.66,159.0,
2017-04-24,160.27,835734.0,160.27,159.6,160.83,160.27,
2017-04-25,171.46,1428132.0,171.46,160.52,172.3474,167.0,
2017-04-26,170.94,1021211.0,170.94,170.72,174.68,172.0,
2017-04-27,170.73,529842.0,170.73,170.4,172.27,171.43,
2017-04-28,169.89,705825.0,169.89,169.23,170.96,170.96,
2017-05-01,173.05,733061.0,173.05,170.51,173.28,171.48,
2017-05-02,173.75,553337.0,173.75,172.99,174.79,173.82,
2017-05-03,172.48,487523.0,172.48,172.11,174.1899,172.86,
2017-05-04,173.7,362689.0,173.7,172.805,173.99,172.93,
2017-05-05,174.0,387904.0,174.0,172.73,174.17,173.94,
2017-05-08,173.07,346538.0,173.07,172.71,174.03,174.03,
2017-05-09,174.5,300610.0,174.5,173.0,174.78,173.56,
2017-05-10,174.11,656515.0,174.11,172.92,174.83,174.01,
2017-05-11,172.22,1004243.0,172.22,169.341,173.26,173.26,
2017-05-12,172.41,282566.0,172.41,172.0,173.02,172.25,
2017-05-15,174.71,581501.0,174.71,172.03,174.95,172.68,
2017-05-16,174.91,294768.0,174.91,173.985,175.255,174.93,
2017-05-17,174.39,619288.0,174.39,172.975,176.05,173.27,
2017-05-18,176.33,660894.0,176.33,173.96,176.98,174.02,
2017-05-19,175.5,426597.0,175.5,175.04,176.7818,176.68,
2017-05-22,175.55,490792.0,175.55,173.89,175.72,175.22,
2017-05-23,176.1,324695.0,176.1,175.64,178.45,176.5,
2017-05-24,177.54,384103.0,177.54,175.21,177.71,176.12,
2017-05-25,178.6,234224.0,178.6,177.0,179.07,178.25,
2017-05-26,178.07,274471.0,178.07,177.725,178.81,178.06,
2017-05-30,178.56,418908.0,178.56,177.63,178.95,177.81,
2017-05-31,179.62,909445.0,179.62,178.89,181.03,179.36,
2017-06-01,181.01,506571.0,181.01,179.3,181.21,180.55,
2017-06-02,183.96,524514.0,183.96,181.1,184.57,181.5,
2017-06-05,183.79,442951.0,183.79,183.65,184.83,184.46,
2017-06-06,183.59,244355.0,183.59,182.681,184.91,183.23,
2017-06-07,185.81,382439.0,185.81,184.0,186.1,184.32,
2017-06-08,186.33,658524.0,186.33,185.81,187.0,186.26,
2017-06-09,184.99,537376.0,184.99,184.045,187.65,186.11,
2017-06-12,183.35,536473.0,183.35,179.18,184.79,184.55,
2017-06-13,184.97,387240.0,184.97,183.34,186.23,183.34,
2017-06-14,184.97,317517.0,184.97,184.07,185.94,185.08,
2017-06-15,184.95,410239.0,184.95,183.05,185.0,184.34,
2017-06-16,184.16,611110.0,184.16,183.89,185.54,184.98,
2017-06-19,185.58,496912.0,185.58,184.32,185.7,184.86,
2017-06-20,184.28,747132.0,184.28,183.2,185.75,185.65,
2017-06-21,185.43,487089.0,185.43,184.27,185.65,184.3,
