YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,69.43,4479040.0,69.43,68.58,70.2996,68.95,32071.0
2017-01-04,70.54,3653169.0,70.54,69.55,71.58,69.58,29288.0
2017-01-05,70.55,3638318.0,70.55,70.13,72.13,71.06,28336.0
2017-01-06,70.38,3274293.0,70.38,69.96,71.19,70.48,23626.0
2017-01-09,71.86,3909563.0,71.86,70.43,72.3,70.9,29550.0
2017-01-10,70.84,3651239.0,70.84,70.78,72.2,71.82,29946.0
2017-01-11,71.45,4370652.0,71.45,70.57,72.56,71.17,31464.0
2017-01-12,70.75,3451275.0,70.75,69.1,71.03,70.93,28202.0
2017-01-13,71.0,2078365.0,71.0,70.59,71.82,70.59,16956.0
2017-01-17,71.62,4505724.0,71.62,70.73,72.34,70.74,33231.0
2017-01-18,73.24,4413117.0,73.24,71.58,73.47,71.99,33617.0
2017-01-19,71.67,4121292.0,71.67,71.63,73.11,72.06,26293.0
2017-01-20,72.63,3513040.0,72.63,72.2788,73.4024,72.39,26585.0
2017-01-23,72.65,4707168.0,72.65,71.1,73.0,72.95,35197.0
2017-01-24,76.01,6509245.0,76.01,73.93,76.52,74.01,46150.0
2017-01-25,80.02,13823802.0,80.02,79.1,81.26,79.78,91248.0
2017-01-26,78.47,9977845.0,78.47,78.36,81.6699,79.84,77628.0
2017-01-27,79.52,5244208.0,79.52,78.14,80.04,78.86,39033.0
2017-01-30,79.22,3845936.0,79.22,78.51,79.86,79.28,28812.0
2017-01-31,79.73,3617827.0,79.73,77.8,79.91,79.11,31023.0
2017-02-01,79.16,3897756.0,79.16,78.4605,80.7,80.47,31387.0
2017-02-02,79.23,2982651.0,79.23,78.8,79.93,79.18,26632.0
2017-02-03,79.13,2624911.0,79.13,78.98,79.85,79.38,21358.0
2017-02-06,78.94,2307417.0,78.94,78.55,79.6504,79.0,17481.0
2017-02-07,79.05,2629206.0,79.05,78.65,79.59,79.34,18981.0
2017-02-08,77.08,4499223.0,77.08,76.14,77.8867,77.75,33510.0
2017-02-09,78.05,2884854.0,78.05,77.35,78.58,77.74,22793.0
2017-02-10,77.36,2878201.0,77.36,76.84,78.45,78.2,24136.0
2017-02-13,78.47,2399929.0,78.47,77.8,78.67,78.0,19721.0
2017-02-14,76.41,5390393.0,76.41,75.98,77.47,77.35,36802.0
2017-02-15,76.01,3305142.0,76.01,75.81,77.0,76.5,26988.0
2017-02-16,75.95,2946385.0,75.95,75.78,77.7,76.5,22852.0
2017-02-17,74.91,4790741.0,74.91,74.26,75.81,75.75,35540.0
2017-02-21,74.9,3437549.0,74.9,74.64,75.55,74.94,23497.0
2017-02-22,74.47,2811394.0,74.47,74.26,75.47,74.72,22177.0
2017-02-23,74.59,2888147.0,74.59,74.3,75.39,74.91,21589.0
2017-02-24,74.65,4087518.0,74.65,72.75,74.66,73.12,31794.0
2017-02-27,76.1,4015522.0,76.1,74.04,76.21,74.59,28895.0
2017-02-28,76.88,5078057.0,76.88,75.7,77.62,75.9,36628.0
2017-03-01,78.32,4667790.0,78.32,76.6,78.5,78.13,36573.0
2017-03-02,76.28,4867104.0,76.28,76.08,79.145,78.43,39210.0
2017-03-03,77.54,3224947.0,77.54,76.66,78.22,76.67,25658.0
2017-03-06,76.8,3854957.0,76.8,75.4301,77.6,76.97,28952.0
2017-03-07,76.8,2123187.0,76.8,75.95,77.38,76.8,18274.0
2017-03-08,76.45,1649012.0,76.45,76.26,77.15,76.68,15115.0
2017-03-09,74.26,5024790.0,74.26,73.07,76.07,76.06,41597.0
2017-03-10,75.0,2747248.0,75.0,74.53,75.48,75.01,19393.0
