YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,56.0,22063790.0,56.0,55.46,56.35,55.67,
2017-01-04,56.05,15036148.0,56.05,55.611,56.3071,56.16,
2017-01-05,55.18,18831628.0,55.18,54.475,55.82,55.49,
2017-01-06,55.04,18715908.0,55.04,54.7,55.566,55.26,
2017-01-09,54.24,21794061.0,54.24,54.18,54.81,54.68,
2017-01-10,54.62,17978219.0,54.62,54.26,55.18,54.35,
2017-01-11,54.8,21100589.0,54.8,53.72,54.8,54.6,
2017-01-12,54.5,20566603.0,54.5,53.9,54.78,54.65,
2017-01-13,55.31,37231593.0,55.31,54.65,56.2,55.11,
2017-01-17,53.78,26974416.0,53.78,53.58,54.96,54.8,
2017-01-18,54.27,21186749.0,54.27,53.34,54.29,53.78,
2017-01-19,54.58,20906892.0,54.58,53.86,54.765,54.24,
2017-01-20,55.07,24160823.0,55.07,54.62,55.11,54.75,
2017-01-23,54.25,17227385.0,54.25,54.15,55.0,54.71,
2017-01-24,54.7,18523327.0,54.7,54.13,55.07,54.36,
2017-01-25,56.62,32252075.0,56.62,55.28,56.83,55.38,
2017-01-26,57.18,23769752.0,57.18,56.59,57.3262,56.61,
2017-01-27,56.59,17186210.0,56.59,56.41,57.11,57.03,
2017-01-30,56.08,15961389.0,56.08,55.75,56.321,56.12,
2017-01-31,56.33,22409081.0,56.33,55.8,56.38,55.98,
2017-02-01,55.91,21157698.0,55.91,55.77,57.07,56.54,
2017-02-02,55.75,13044449.0,55.75,55.4,55.96,55.565,
2017-02-03,57.27,19879774.0,57.27,56.43,57.285,56.88,
2017-02-06,56.55,13940158.0,56.55,56.49,57.41,57.08,
2017-02-07,56.34,14937421.0,56.34,56.2697,57.19,56.86,
2017-02-08,55.63,18592180.0,55.63,55.165,56.21,56.21,
2017-02-09,56.73,15907818.0,56.73,55.67,56.77,55.98,
2017-02-10,56.86,12268103.0,56.86,56.66,57.04,57.02,
2017-02-13,57.08,15325274.0,57.08,56.89,57.511,57.07,
2017-02-14,57.98,16382857.0,57.98,56.99,58.0,57.13,
2017-02-15,58.55,25350371.0,58.55,57.89,59.005,58.1,
2017-02-16,58.12,14694501.0,58.12,57.51,58.36,58.36,
2017-02-17,58.09,15783230.0,58.09,57.45,58.1,57.58,
2017-02-21,58.25,16916750.0,58.25,57.9,58.63,58.25,
2017-02-22,58.36,12344234.0,58.36,58.0,58.59,58.0,
2017-02-23,58.49,13841369.0,58.49,58.06,58.59,58.43,
2017-02-24,57.81,16379051.0,57.81,57.32,57.91,57.7,
2017-02-27,58.06,10101035.0,58.06,57.71,58.25,57.81,
2017-02-28,57.88,15558884.0,57.88,57.73,58.32,57.99,
2017-03-01,59.73,25912728.0,59.73,59.09,59.99,59.11,
2017-03-02,58.71,17578616.0,58.71,58.565,59.79,59.78,
2017-03-03,58.89,14753743.0,58.89,58.67,59.24,58.85,
2017-03-06,58.61,13225468.0,58.61,58.18,58.88,58.54,
2017-03-07,58.3,13099877.0,58.3,58.015,58.52,58.43,
2017-03-08,58.21,14711295.0,58.21,58.165,59.13,58.95,
2017-03-09,58.7,15721476.0,58.7,58.2,58.87,58.45,
2017-03-10,58.85,15120176.0,58.85,58.52,59.18,58.98,
2017-03-13,58.7,14063472.0,58.7,58.5151,59.03,58.83,
2017-03-14,58.76,10885031.0,58.76,58.245,58.8054,58.49,
2017-03-15,58.71,17777338.0,58.71,58.36,59.31,58.9,
2017-03-16,59.32,18468200.0,59.32,58.76,59.41,58.86,
2017-03-17,58.67,20985674.0,58.67,58.52,59.41,59.37,
2017-03-20,57.63,17663194.0,57.63,57.62,58.47,58.47,
2017-03-21,55.85,31766385.0,55.85,55.63,57.96,57.93,
2017-03-22,55.33,27740860.0,55.33,54.85,55.57,55.53,
2017-03-23,55.25,18999983.0,55.25,54.98,55.99,55.23,
2017-03-24,55.83,21127464.0,55.83,55.22,56.05,55.5,
2017-03-27,55.39,16854761.0,55.39,54.24,55.58,54.63,
2017-03-28,55.96,14878890.0,55.96,55.24,56.25,55.35,
2017-03-29,55.67,10329113.0,55.67,55.55,56.09,55.94,
2017-03-30,56.24,12106538.0,56.24,55.61,56.43,55.68,
2017-03-31,55.66,11864615.0,55.66,55.62,56.175,56.02,
2017-04-03,55.49,14550739.0,55.49,54.79,55.82,55.7,
2017-04-04,55.2,11937360.0,55.2,54.98,55.33,55.3,
2017-04-05,54.98,17411708.0,54.98,54.93,56.2,55.79,
2017-04-06,55.37,10387536.0,55.37,54.705,55.65,54.95,
2017-04-07,54.84,15848831.0,54.84,54.61,55.31,54.94,
2017-04-10,54.54,14607683.0,54.54,54.32,55.2499,54.99,
2017-04-11,54.16,28086812.0,54.16,53.265,54.26,54.23,
2017-04-12,53.12,25601266.0,53.12,53.05,54.02,53.95,
2017-04-13,51.35,47981952.0,51.35,51.35,52.75,51.8,
2017-04-17,52.72,31959061.0,52.72,51.255,52.76,51.64,
2017-04-18,52.45,22257525.0,52.45,52.09,52.665,52.36,
2017-04-19,52.15,17414622.0,52.15,52.05,53.14,52.88,
2017-04-20,53.5,31552904.0,53.5,52.43,53.59,52.72,
2017-04-21,53.0,26177343.0,53.0,52.95,53.84,53.39,
2017-04-24,53.65,23856688.0,53.65,53.59,54.34,54.15,
2017-04-25,54.56,27061299.0,54.56,54.29,55.087,54.33,
2017-04-26,54.54,15915542.0,54.54,54.36,55.07,54.6,
2017-04-27,54.44,13978030.0,54.44,53.91,54.65,54.54,
2017-04-28,53.84,16501919.0,53.84,53.73,54.58,54.33,
2017-05-01,54.46,13915807.0,54.46,53.97,54.75,54.1,
2017-05-02,54.54,15634864.0,54.54,54.06,54.61,54.46,
2017-05-03,54.85,15737118.0,54.85,53.95,54.89,54.01,
2017-05-04,55.18,17054067.0,55.18,54.87,55.6,55.27,
2017-05-05,55.11,13078783.0,55.11,54.88,55.385,55.25,
2017-05-08,55.04,14242805.0,55.04,54.75,55.29,55.12,
2017-05-09,54.68,14402868.0,54.68,54.45,55.37,55.14,
2017-05-10,54.72,15897244.0,54.72,54.36,54.91,54.43,
2017-05-11,53.74,32200089.0,53.74,53.06,54.42,54.28,
2017-05-12,53.02,29642325.0,53.02,52.54,53.32,53.3,
2017-05-15,53.32,15245047.0,53.32,53.02,53.415,53.06,
2017-05-16,53.26,12650066.0,53.26,52.95,53.44,53.4,
2017-05-17,52.24,33173088.0,52.24,51.65,52.65,52.04,
2017-05-18,52.38,19790140.0,52.38,51.95,52.96,52.31,
2017-05-19,53.06,16894978.0,53.06,52.39,53.34,52.57,
2017-05-22,53.01,13946952.0,53.01,52.5,53.32,53.27,
2017-05-23,53.39,11751719.0,53.39,52.85,53.5599,53.01,
2017-05-24,53.09,11363414.0,53.09,52.8024,53.61,53.49,
2017-05-25,52.78,16643765.0,52.78,52.57,53.25,53.25,
2017-05-26,52.41,14247740.0,52.41,52.37,52.81,52.63,
2017-05-30,52.16,19379725.0,52.16,51.9,52.5,52.16,
2017-05-31,51.14,30519660.0,51.14,50.83,52.25,52.23,
2017-06-01,52.08,21001799.0,52.08,51.06,52.21,51.53,
2017-06-02,51.81,19477314.0,51.81,51.53,52.24,51.67,
2017-06-05,51.72,13663770.0,51.72,51.665,52.18,51.71,
2017-06-06,51.81,14887538.0,51.81,51.24,52.03,51.32,
2017-06-07,52.09,17022350.0,52.09,51.7,52.31,51.84,
2017-06-08,52.56,22644201.0,52.56,51.88,53.03,52.0,
2017-06-09,53.8,25749954.0,53.8,52.8,53.95,52.86,
2017-06-12,54.09,22791380.0,54.09,53.94,54.585,53.98,
2017-06-13,54.45,17965974.0,54.45,54.28,54.69,54.35,
2017-06-14,54.53,16574994.0,54.53,53.57,54.64,54.09,
2017-06-15,53.9,17232258.0,53.9,53.81,54.45,54.04,
2017-06-16,53.89,23492702.0,53.89,53.65,54.24,53.93,
2017-06-19,54.24,15367253.0,54.24,54.12,54.64,54.31,
2017-06-20,53.46,13622247.0,53.46,53.425,54.095,54.06,
2017-06-21,52.98,12653747.0,52.98,52.8,53.48,53.47,
2017-06-22,52.49,15362168.0,52.49,52.22,52.89,52.8,
2017-06-23,52.45,21868452.0,52.45,52.32,52.825,52.7,
2017-06-26,52.9,12532812.0,52.9,52.59,53.43,52.73,
2017-06-27,53.16,13496348.0,53.16,52.905,53.655,53.02,
2017-06-28,54.33,20961669.0,54.33,53.52,54.42,53.61,
2017-06-29,55.78,32552121.0,55.78,55.21,56.6,55.65,
2017-06-30,55.41,16750704.0,55.41,55.16,56.05,56.03,
2017-07-03,55.78,11825311.0,55.78,55.71,56.45,55.81,
2017-07-05,55.78,14086881.0,55.78,55.34,56.02,55.97,
2017-07-06,55.56,14481179.0,55.56,55.5,56.32,55.98,
2017-07-07,55.74,11503450.0,55.74,55.245,55.829,55.78,
2017-07-10,55.59,10978963.0,55.59,55.34,55.81,55.53,
2017-07-11,55.04,14842691.0,55.04,54.82,55.7135,55.66,
2017-07-12,55.17,11951527.0,55.17,54.6,55.24,54.93,
2017-07-13,55.6,14201775.0,55.6,55.06,55.67,55.26,
2017-07-14,54.99,17949644.0,54.99,54.12,55.2,54.31,
2017-07-17,54.71,14953583.0,54.71,54.44,54.98,54.9,
2017-07-18,54.8,13603344.0,54.8,54.23,54.92,54.31,
2017-07-19,54.94,12366197.0,54.94,54.69,55.21,54.8,
2017-07-20,54.88,15123488.0,54.88,54.68,55.31,54.96,
2017-07-21,54.17,17384457.0,54.17,54.1,54.62,54.43,
2017-07-24,54.27,18489859.0,54.27,54.04,54.41,54.1,
2017-07-25,55.06,20167835.0,55.06,54.91,55.405,55.0,
2017-07-26,54.91,19686938.0,54.91,54.81,55.33,55.32,
2017-07-27,54.71,17352646.0,54.71,54.39,54.96,54.86,
2017-07-28,53.3,32590568.0,53.3,53.18,54.57,54.3,
2017-07-31,53.94,20378065.0,53.94,53.4,54.22,53.42,
2017-08-01,54.08,19350259.0,54.08,53.85,54.39,54.23,
2017-08-02,53.62,19422130.0,53.62,53.45,53.96,53.54,
2017-08-03,53.4,19374704.0,53.4,53.34,53.66,53.5,
2017-08-04,52.84,44664559.0,52.84,51.91,53.7,53.67,
2017-08-07,52.54,22673681.0,52.54,52.43,52.95,52.73,
2017-08-08,52.71,24877808.0,52.71,52.22,53.3,52.32,
2017-08-09,52.79,14631563.0,52.79,52.14,52.81,52.28,
2017-08-10,51.95,18373022.0,51.95,51.9201,52.72,52.39,
2017-08-11,51.94,14714450.0,51.94,51.74,52.21,51.83,
2017-08-14,52.84,16313225.0,52.84,52.34,53.09,52.37,
2017-08-15,52.85,11028101.0,52.85,52.83,53.3582,53.2,
2017-08-16,52.69,11224409.0,52.69,52.46,53.21,53.01,
2017-08-17,51.8,16814287.0,51.8,51.79,52.6335,52.47,
2017-08-18,51.68,17130641.0,51.68,51.38,52.14,51.63,
2017-08-21,51.82,13503090.0,51.82,51.4,51.91,51.74,
2017-08-22,52.22,12984102.0,52.22,51.92,52.27,51.95,
2017-08-23,52.03,10019524.0,52.03,51.8,52.48,51.83,
2017-08-24,52.16,12345029.0,52.16,52.035,52.5288,52.19,
2017-08-25,51.77,15307840.0,51.77,51.76,52.57,52.27,
2017-08-28,51.63,12425896.0,51.63,51.42,52.02,51.95,
2017-08-29,51.42,10715516.0,51.42,51.13,51.5,51.21,
2017-08-30,51.36,11427543.0,51.36,51.2,51.74,51.46,
2017-08-31,51.07,25231147.0,51.07,50.87,51.24,51.0,
2017-09-01,50.97,16217688.0,50.97,50.93,51.49,51.06,
2017-09-05,50.1,31251308.0,50.1,49.76,50.67,50.63,
2017-09-06,49.88,26854049.0,49.88,49.56,50.27,50.25,
2017-09-07,49.68,23367261.0,49.68,49.27,49.94,49.94,
2017-09-08,49.58,18975665.0,49.58,49.43,49.98,49.61,
2017-09-11,50.66,17987052.0,50.66,49.94,50.8,50.0,
2017-09-12,51.57,17129536.0,51.57,50.84,51.73,50.85,
2017-09-13,51.46,12617331.0,51.46,51.18,51.51,51.39,
2017-09-14,51.29,13739413.0,51.29,51.08,51.72,51.54,
2017-09-15,51.66,28494345.0,51.66,51.25,51.68,51.28,
2017-09-18,52.71,20943426.0,52.71,51.61,52.84,51.67,
2017-09-19,53.36,17046989.0,53.36,52.53,53.59,52.72,
2017-09-20,53.75,21560419.0,53.75,53.28,54.1139,53.39,
2017-09-21,54.06,16210868.0,54.06,53.52,54.24,53.55,
2017-09-22,54.25,18047820.0,54.25,53.75,54.36,53.92,
2017-09-25,54.03,11595884.0,54.03,53.55,54.325,54.07,
2017-09-26,53.8,12052460.0,53.8,53.76,54.28,54.1,
2017-09-27,54.21,15840785.0,54.21,54.055,54.53,54.47,
2017-09-28,54.25,14531655.0,54.25,53.74,54.33,54.29,
2017-09-29,55.15,20872334.0,55.15,54.09,55.23,54.25,
2017-10-02,55.47,11764416.0,55.47,54.855,55.47,55.16,
2017-10-03,55.58,17405089.0,55.58,54.85,55.62,55.33,
2017-10-04,54.96,14697750.0,54.96,54.895,55.35,55.31,
2017-10-05,55.39,14560658.0,55.39,54.78,55.77,55.0,
2017-10-06,55.58,11151225.0,55.58,55.22,55.68,55.48,
2017-10-09,55.14,11377035.0,55.14,54.92,55.7,55.62,
2017-10-10,55.61,12800536.0,55.61,55.15,55.72,55.37,
2017-10-11,55.66,12843107.0,55.66,55.26,55.71,55.44,
2017-10-12,55.21,15067498.0,55.21,55.06,55.71,55.69,
2017-10-13,53.69,35310028.0,53.69,52.84,53.71,53.49,
2017-10-16,53.8,22802389.0,53.8,53.42,53.97,53.65,
2017-10-17,53.19,18614716.0,53.19,53.12,53.9999,53.98,
2017-10-18,53.41,21604023.0,53.41,53.32,54.07,53.41,
2017-10-19,53.75,12669710.0,53.75,53.0,53.93,53.11,
2017-10-20,54.92,28407666.0,54.92,54.04,55.07,54.21,
2017-10-23,54.91,18102146.0,54.91,54.7,55.0401,54.75,
2017-10-24,55.42,18779387.0,55.42,55.0,55.56,55.0,
2017-10-25,55.25,17096879.0,55.25,54.87,55.58,55.49,
2017-10-26,55.62,15979177.0,55.62,55.45,56.17,55.45,
2017-10-27,55.87,17258583.0,55.87,55.13,56.04,55.23,
2017-10-30,55.85,12249199.0,55.85,55.31,55.96,55.45,
