YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,31.46,5750551.0,31.46,30.86,32.02,31.35,
2017-01-04,31.36,4273897.0,31.36,31.07,31.58,31.46,
2017-01-05,31.74,7443734.0,31.74,31.26,31.91,31.42,
2017-01-06,32.42,5847221.0,32.42,31.78,32.69,31.91,
2017-01-09,31.93,6145323.0,31.93,31.7,32.38,32.06,
2017-01-10,28.5,105692958.0,28.5,28.46,28.94,28.55,
2017-01-11,28.78,21372116.0,28.78,28.261,28.85,28.57,
2017-01-12,28.7,13638948.0,28.7,28.55,28.9214,28.84,
2017-01-13,28.56,7703767.0,28.56,28.495,28.81,28.62,
2017-01-17,28.44,9665888.0,28.44,27.99,28.75,28.75,
2017-01-18,28.34,9571972.0,28.34,28.0542,28.6,28.51,
2017-01-19,28.45,6709853.0,28.45,28.14,28.55,28.33,
2017-01-20,28.21,11521660.0,28.21,27.99,28.59,28.55,
2017-01-23,28.21,9476681.0,28.21,28.035,28.48,28.45,
2017-01-24,28.48,10927444.0,28.48,28.065,28.62,28.29,
2017-01-25,28.81,7551393.0,28.81,28.36,28.84,28.43,
2017-01-26,28.97,11390516.0,28.97,28.83,29.23,28.96,
2017-01-27,28.5,7952866.0,28.5,28.1,28.88,28.78,
2017-01-30,28.17,7033319.0,28.17,27.75,28.45,28.4,
2017-01-31,28.84,13708862.0,28.84,28.23,28.9,28.36,
2017-02-01,28.33,8535276.0,28.33,28.2,29.22,29.0,
2017-02-02,28.64,4914350.0,28.64,28.03,28.68,28.43,
2017-02-03,28.89,4755408.0,28.89,28.61,28.99,28.73,
2017-02-06,29.18,9897698.0,29.18,29.0,29.69,29.3,
2017-02-07,28.53,5653607.0,28.53,28.455,29.21,28.93,
2017-02-08,28.3,7744958.0,28.3,27.9,28.541,28.35,
2017-02-09,28.67,5639898.0,28.67,28.55,29.09,28.55,
2017-02-10,28.44,6219709.0,28.44,28.39,28.93,28.93,
2017-02-13,29.04,4798129.0,29.04,28.37,29.08,28.38,
2017-02-14,28.89,10654782.0,28.89,28.65,29.2242,29.01,
2017-02-15,28.99,5023455.0,28.99,28.75,29.105,28.84,
2017-02-16,27.99,11752910.0,27.99,27.96,29.2,29.1,
2017-02-17,28.2,6406274.0,28.2,27.95,28.47,27.96,
2017-02-21,28.87,7566189.0,28.87,28.3849,28.965,28.49,
2017-02-22,28.0,15363515.0,28.0,27.71,28.8,28.57,
2017-02-23,28.27,9522991.0,28.27,27.95,28.53,28.39,
2017-02-24,27.97,8715689.0,27.97,27.68,28.24,28.15,
2017-02-27,28.15,9119472.0,28.15,27.95,28.43,28.04,
2017-02-28,28.34,10093383.0,28.34,28.09,28.83,28.12,
2017-03-01,28.79,8215872.0,28.79,28.63,29.035,28.78,
2017-03-02,29.04,9408965.0,29.04,28.37,29.41,28.52,
2017-03-03,29.65,6797536.0,29.65,28.97,29.88,29.05,
2017-03-06,29.83,6454588.0,29.83,29.29,29.865,29.52,
2017-03-07,29.42,7527521.0,29.42,29.175,29.93,29.84,
2017-03-08,28.55,8697600.0,28.55,28.51,29.2,29.1,
2017-03-09,28.85,7369029.0,28.85,28.105,28.87,28.39,
2017-03-10,28.92,7794391.0,28.92,28.68,29.14,29.04,
2017-03-13,28.85,4649166.0,28.85,28.71,29.11,28.79,
2017-03-14,28.11,4882092.0,28.11,28.09,28.665,28.52,
2017-03-15,28.84,6635814.0,28.84,28.28,28.93,28.46,
2017-03-16,28.63,6554163.0,28.63,28.57,28.94,28.9,
2017-03-17,28.57,12353324.0,28.57,28.4733,28.85,28.66,
2017-03-20,28.74,5279228.0,28.74,28.45,29.02,28.49,
2017-03-21,28.36,7804052.0,28.36,28.0,29.08,28.88,
2017-03-22,28.44,5845765.0,28.44,28.1,28.63,28.38,
2017-03-23,28.4,4898274.0,28.4,28.24,28.59,28.45,
2017-03-24,28.69,4886256.0,28.69,28.505,28.92,28.58,
2017-03-27,28.66,4361080.0,28.66,28.25,28.71,28.4,
2017-03-28,28.59,10944920.0,28.59,28.39,28.98,28.82,
2017-03-29,29.34,8425484.0,29.34,28.515,29.51,28.59,
2017-03-30,29.06,13721493.0,29.06,29.03,29.48,29.48,
2017-03-31,29.59,9239803.0,29.59,29.06,29.69,29.06,
2017-04-03,29.84,8659061.0,29.84,29.27,29.85,29.6,
2017-04-04,29.92,4859490.0,29.92,29.54,29.99,29.86,
2017-04-05,29.66,7594432.0,29.66,29.572,30.33,30.03,
2017-04-06,30.25,5870014.0,30.25,29.6303,30.26,29.82,
2017-04-07,30.35,6736946.0,30.35,30.26,30.6,30.4,
2017-04-10,30.52,4685014.0,30.52,30.36,30.59,30.53,
2017-04-11,30.36,4207928.0,30.36,30.2,30.69,30.52,
2017-04-12,30.38,5303783.0,30.38,30.16,30.69,30.48,
2017-04-13,30.06,3898683.0,30.06,29.995,30.53,30.42,
2017-04-17,30.18,5114511.0,30.18,30.11,30.56,30.15,
2017-04-18,30.42,5411685.0,30.42,29.94,30.56,30.17,
2017-04-19,30.23,5757546.0,30.23,30.02,30.58,30.46,
2017-04-20,30.26,4967222.0,30.26,30.04,30.495,30.27,
2017-04-21,30.01,7497355.0,30.01,29.72,30.24,30.17,
2017-04-24,29.98,4966087.0,29.98,29.955,30.32,30.19,
2017-04-25,30.81,10917523.0,30.81,29.87,30.86,29.95,
2017-04-26,30.78,7149115.0,30.78,30.53,31.02,30.58,
2017-04-27,30.75,5240066.0,30.75,30.35,30.9,30.59,
2017-04-28,30.63,5962496.0,30.63,30.44,30.84,30.84,
2017-05-01,30.8,4483708.0,30.8,30.47,30.86,30.63,
2017-05-02,30.33,5965860.0,30.33,30.25,30.82,30.74,
2017-05-03,30.71,10180618.0,30.71,30.16,30.91,30.24,
2017-05-04,29.53,13769529.0,29.53,29.235,30.5,30.31,
2017-05-05,30.25,5970607.0,30.25,29.47,30.285,29.52,
2017-05-08,30.63,5142161.0,30.63,30.075,30.66,30.42,
2017-05-09,30.06,4637619.0,30.06,29.88,30.589,30.54,
2017-05-10,30.76,7436200.0,30.76,30.19,30.85,30.28,
2017-05-11,30.27,7316749.0,30.27,30.21,30.83,30.75,
2017-05-12,30.32,6050229.0,30.32,29.97,30.44,30.3,
2017-05-15,30.78,6649126.0,30.78,30.68,31.25,30.83,
2017-05-16,30.62,2899200.0,30.62,30.485,30.95,30.87,
2017-05-17,30.09,4518283.0,30.09,30.05,30.55,30.39,
2017-05-18,29.9,5336493.0,29.9,29.73,30.16,29.76,
2017-05-19,30.2,7059752.0,30.2,30.005,30.44,30.1,
2017-05-22,30.24,3610789.0,30.24,29.96,30.42,30.36,
2017-05-23,30.49,4019716.0,30.49,30.3,30.73,30.33,
2017-05-24,30.28,4757929.0,30.28,30.04,30.69,30.4,
2017-05-25,29.86,7004092.0,29.86,29.75,30.62,30.24,
2017-05-26,29.69,5106338.0,29.69,29.4,29.8999,29.88,
2017-05-30,28.69,7473742.0,28.69,28.65,29.56,29.45,
2017-05-31,28.6,10644564.0,28.6,28.1,28.68,28.45,
2017-06-01,28.81,3667948.0,28.81,28.6,29.02,28.6,
2017-06-02,28.88,5130810.0,28.88,28.48,28.9,28.72,
2017-06-05,28.99,4525750.0,28.99,28.62,29.11,28.72,
