YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,70.52,1743978.0,70.52,70.187,71.28,71.0,
2017-01-04,70.32,1606324.0,70.32,70.32,71.18,70.75,
2017-01-05,70.59,2464180.0,70.59,70.29,71.1046,70.37,
2017-01-06,70.19,1570683.0,70.19,70.18,70.8,70.41,
2017-01-09,69.78,2262522.0,69.78,69.665,70.48,70.35,
2017-01-10,69.49,2089923.0,69.49,69.18,69.98,69.58,
2017-01-11,70.13,1731907.0,70.13,69.35,70.27,69.46,
2017-01-12,69.89,1337763.0,69.89,69.39,70.11,69.96,
2017-01-13,69.79,1611451.0,69.79,69.725,70.29,70.11,
2017-01-17,69.48,1795012.0,69.48,69.38,69.72,69.54,
2017-01-18,69.59,1423055.0,69.59,69.43,69.67,69.43,
2017-01-19,69.57,1162073.0,69.57,69.25,69.69,69.37,
2017-01-20,69.66,1331271.0,69.66,69.45,69.83,69.72,
2017-01-23,69.34,1005048.0,69.34,69.23,69.87,69.69,
2017-01-24,69.56,1090857.0,69.56,69.0,69.62,69.35,
2017-01-25,69.67,1931793.0,69.67,69.56,69.98,69.56,
2017-01-26,69.73,1137098.0,69.73,69.6,69.85,69.69,
2017-01-27,69.64,1134767.0,69.64,69.54,69.85,69.85,
2017-01-30,69.6,1146193.0,69.6,69.3701,69.69,69.69,
2017-01-31,69.5,1374112.0,69.5,69.34,69.98,69.71,
2017-02-01,69.18,1718970.0,69.18,69.0,69.61,69.32,
2017-02-02,69.64,1613202.0,69.64,69.06,69.7,69.15,
2017-02-03,69.65,1351963.0,69.65,69.58,69.99,69.78,
2017-02-06,69.42,1006173.0,69.42,69.31,69.9299,69.81,
2017-02-07,69.9,1554793.0,69.9,69.4605,70.09,69.48,
2017-02-08,70.01,1604552.0,70.01,69.75,70.13,69.85,
2017-02-09,70.25,1512116.0,70.25,69.74,70.305,69.89,
2017-02-10,70.54,1617277.0,70.54,70.04,70.83,70.16,
2017-02-13,70.84,1548833.0,70.84,70.51,70.99,70.59,
2017-02-14,70.86,1230156.0,70.86,70.72,71.05,70.79,
2017-02-15,71.35,1499012.0,71.35,70.5,71.44,70.64,
2017-02-16,71.18,2252560.0,71.18,69.55,71.23,69.64,
2017-02-17,72.45,2436710.0,72.45,71.15,72.47,71.17,
2017-02-21,72.82,1717039.0,72.82,72.21,73.2,72.35,
2017-02-22,73.01,1319229.0,73.01,72.57,73.21,72.85,
2017-02-23,72.91,1490226.0,72.91,72.59,73.3,73.14,
2017-02-24,73.15,1150636.0,73.15,72.76,73.15,72.98,
2017-02-27,73.24,1144251.0,73.24,73.0,73.45,73.07,
2017-02-28,73.32,2115271.0,73.32,73.1301,73.53,73.21,
2017-03-01,73.37,1746832.0,73.37,72.85,73.65,73.35,
2017-03-02,73.28,1108206.0,73.28,73.06,73.55,73.15,
2017-03-03,72.83,2133808.0,72.83,72.68,73.294,73.27,
2017-03-06,73.01,1994603.0,73.01,72.43,73.075,72.58,
2017-03-07,72.7,1762511.0,72.7,72.68,73.26,72.85,
2017-03-08,72.19,1517431.0,72.19,72.01,72.58,72.21,
2017-03-09,72.3,1568252.0,72.3,71.94,72.405,72.21,
2017-03-10,73.0,1638927.0,73.0,72.51,73.1,72.54,
2017-03-13,73.1,1359607.0,73.1,72.668,73.15,72.87,
2017-03-14,72.98,1070110.0,72.98,72.72,73.22,73.09,
2017-03-15,73.78,1575566.0,73.78,72.86,73.865,73.03,
2017-03-16,73.11,1462395.0,73.11,72.94,73.9,73.65,
2017-03-17,73.54,3203339.0,73.54,73.17,73.79,73.36,
2017-03-20,73.11,1444768.0,73.11,73.065,73.61,73.58,
2017-03-21,72.52,2194418.0,72.52,72.41,73.37,73.35,
2017-03-22,72.65,1399219.0,72.65,72.54,72.95,72.78,
2017-03-23,72.56,1213824.0,72.56,72.465,72.89,72.56,
2017-03-24,72.32,1577953.0,72.32,72.15,72.87,72.6,
2017-03-27,71.88,1624514.0,71.88,71.56,72.18,72.18,
2017-03-28,72.34,1619799.0,72.34,71.53,72.46,71.62,
2017-03-29,72.15,1768501.0,72.15,71.82,72.43,71.85,
2017-03-30,72.93,1352056.0,72.93,72.15,72.94,72.19,
2017-03-31,72.92,1330977.0,72.92,72.68,73.14,72.72,
2017-04-03,72.59,1528701.0,72.59,72.5,73.09,73.08,
2017-04-04,72.53,2316324.0,72.53,72.43,72.92,72.67,
2017-04-05,73.27,1559183.0,73.27,72.78,73.73,72.78,
2017-04-06,73.09,1257094.0,73.09,72.74,73.26,73.15,
2017-04-07,73.21,1175032.0,73.21,73.05,73.516,73.19,
2017-04-10,72.89,1226932.0,72.89,72.76,73.24,73.11,
2017-04-11,72.87,1212117.0,72.87,72.51,72.97,72.88,
2017-04-12,72.3,1551509.0,72.3,72.1499,72.82,72.71,
2017-04-13,72.02,1927456.0,72.02,71.91,72.385,72.12,
2017-04-17,72.5,1241108.0,72.5,72.22,72.71,72.22,
2017-04-18,72.45,1322130.0,72.45,72.2313,72.55,72.4,
2017-04-19,72.71,1430411.0,72.71,72.4946,72.85,72.61,
2017-04-20,72.84,1138327.0,72.84,72.7,72.97,72.87,
