YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,84.07,566315.0,84.07,83.76,85.06,84.99,
2017-01-04,85.3,611429.0,85.3,84.5,85.5,84.66,
2017-01-05,85.03,446714.0,85.03,84.75,86.25,85.48,
2017-01-06,86.63,458293.0,86.63,84.92,87.03,84.92,
2017-01-09,86.84,303766.0,86.84,86.09,87.8,86.85,
2017-01-10,87.7,508089.0,87.7,86.35,88.3,86.77,
2017-01-11,85.97,291509.0,85.97,85.56,87.5,87.49,
2017-01-12,86.01,246325.0,86.01,84.95,86.17,85.41,
2017-01-13,85.87,206948.0,85.87,85.625,86.87,86.0,
2017-01-17,84.26,478981.0,84.26,83.85,85.51,85.08,
2017-01-18,84.35,337289.0,84.35,83.65,84.79,84.65,
2017-01-19,83.72,187368.0,83.72,83.38,84.12,84.12,
2017-01-20,83.54,196231.0,83.54,83.31,84.17,83.81,
2017-01-23,82.4,414445.0,82.4,81.91,83.79,83.42,
2017-01-24,84.3,387818.0,84.3,82.42,84.66,82.87,
2017-01-25,84.55,322140.0,84.55,84.22,85.43,84.9,
2017-01-26,83.79,244548.0,83.79,83.18,84.41,84.27,
2017-01-27,83.7,252944.0,83.7,83.51,84.085,84.0,
2017-01-30,83.43,212131.0,83.43,82.67,83.61,83.3,
2017-01-31,84.63,448502.0,84.63,83.56,84.78,83.58,
2017-02-01,84.5,292737.0,84.5,83.98,85.24,85.05,
2017-02-02,84.54,318001.0,84.54,83.73,85.18,83.92,
2017-02-03,86.43,474180.0,86.43,85.23,86.51,85.23,
2017-02-06,85.62,266702.0,85.62,85.22,86.34,86.34,
2017-02-07,85.66,152303.0,85.66,85.5,86.2,85.99,
2017-02-08,86.0,323847.0,86.0,84.92,86.01,85.14,
2017-02-09,86.0,249914.0,86.0,84.8658,86.4,86.03,
2017-02-10,85.91,163935.0,85.91,84.65,86.31,85.99,
2017-02-13,86.42,368923.0,86.42,85.92,86.82,86.3,
2017-02-14,86.93,193482.0,86.93,86.08,87.14,86.23,
2017-02-15,86.96,276405.0,86.96,86.61,87.35,86.8,
2017-02-16,82.06,973627.0,82.06,81.4,86.13,86.13,
2017-02-17,83.13,448311.0,83.13,80.59,83.235,81.34,
2017-02-21,83.47,511017.0,83.47,82.12,84.07,82.12,
2017-02-22,83.24,321610.0,83.24,83.15,84.16,83.82,
2017-02-23,83.77,306211.0,83.77,82.15,83.78,83.49,
2017-02-24,84.13,255938.0,84.13,83.3,84.2,83.3,
2017-02-27,83.75,269274.0,83.75,83.6,84.08,84.03,
2017-02-28,82.47,330262.0,82.47,82.45,83.72,83.69,
2017-03-01,84.44,515547.0,84.44,83.12,84.84,83.41,
2017-03-02,82.94,257901.0,82.94,82.85,84.33,84.33,
2017-03-03,81.71,417842.0,81.71,81.69,82.93,82.81,
2017-03-06,81.39,318281.0,81.39,81.11,81.77,81.23,
2017-03-07,81.19,216592.0,81.19,81.03,81.99,81.17,
2017-03-08,80.49,262427.0,80.49,80.35,81.44,81.44,
2017-03-09,81.29,390065.0,81.29,80.48,81.53,80.65,
2017-03-10,81.38,392306.0,81.38,80.858,81.95,81.65,
2017-03-13,81.96,331703.0,81.96,80.99,82.02,81.19,
2017-03-14,81.67,216358.0,81.67,81.13,81.91,81.91,
2017-03-15,82.94,343167.0,82.94,81.56,83.15,81.97,
2017-03-16,82.22,172061.0,82.22,81.6,83.03,83.03,
2017-03-17,82.71,500238.0,82.71,81.78,83.21,82.1,
2017-03-20,82.65,164739.0,82.65,82.31,83.02,82.71,
2017-03-21,80.13,692500.0,80.13,80.02,83.28,82.6,
2017-03-22,79.81,443923.0,79.81,79.06,80.08,79.87,
2017-03-23,79.58,440348.0,79.58,79.41,80.16,79.81,
2017-03-24,81.03,593618.0,81.03,79.53,81.64,79.53,
2017-03-27,81.1,257226.0,81.1,80.02,81.49,80.44,
2017-03-28,81.48,226142.0,81.48,80.93,81.61,80.97,
2017-03-29,81.69,142149.0,81.69,81.19,81.75,81.35,
2017-03-30,81.95,157529.0,81.95,81.19,82.02,81.65,
2017-03-31,81.61,386211.0,81.61,81.21,82.1599,81.79,
2017-04-03,81.99,323486.0,81.99,81.5,82.46,81.5,
2017-04-04,80.82,280094.0,80.82,80.5,82.06,81.92,
2017-04-05,80.15,538908.0,80.15,80.12,81.31,80.86,
2017-04-06,80.17,224466.0,80.17,79.57,80.39,80.37,
2017-04-07,79.55,343165.0,79.55,79.2,80.51,79.79,
2017-04-10,79.02,643591.0,79.02,78.46,79.835,79.37,
2017-04-11,79.32,636602.0,79.32,78.77,79.87,78.9,
2017-04-12,79.17,423859.0,79.17,78.62,79.41,79.34,
2017-04-13,78.61,348924.0,78.61,77.97,79.23,79.03,
2017-04-17,79.28,354332.0,79.28,78.2,79.42,78.37,
2017-04-18,79.85,464276.0,79.85,78.72,80.08,79.3,
2017-04-19,80.6,278102.0,80.6,79.81,80.95,80.12,
2017-04-20,81.87,339262.0,81.87,80.25,81.96,80.99,
2017-04-21,81.9,306882.0,81.9,81.56,82.27,81.88,
2017-04-24,82.44,232333.0,82.44,82.179,83.02,82.99,
2017-04-25,82.87,438432.0,82.87,82.52,83.35,82.91,
2017-04-26,84.0,626313.0,84.0,82.645,84.07,83.27,
2017-04-27,92.69,1199394.0,92.69,88.0,93.78,88.0,
2017-04-28,92.03,840671.0,92.03,90.72,93.5,92.57,
