YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,40.62,2065117.0,40.62,40.3197,40.83,40.74,
2017-01-04,40.8,2542594.0,40.8,40.6,40.98,40.71,
2017-01-05,40.8,2611884.0,40.8,40.48,40.99,40.87,
2017-01-06,40.92,1707393.0,40.92,40.61,41.06,40.64,
2017-01-09,40.3,1840817.0,40.3,40.27,41.17,41.13,
2017-01-10,40.29,1761342.0,40.29,40.04,40.375,40.37,
2017-01-11,40.69,1870548.0,40.69,40.25,40.74,40.34,
2017-01-12,40.85,2614017.0,40.85,40.44,40.91,40.68,
2017-01-13,40.65,2067953.0,40.65,40.43,40.82,40.66,
2017-01-17,41.2,1898273.0,41.2,40.76,41.305,40.87,
2017-01-18,41.33,2539635.0,41.33,41.01,41.43,41.1,
2017-01-19,40.89,2494578.0,40.89,40.815,41.37,41.09,
2017-01-20,41.07,2222266.0,41.07,40.72,41.14,41.0,
2017-01-23,40.81,2675115.0,40.81,40.77,41.24,41.17,
2017-01-24,40.79,2093610.0,40.79,40.635,40.91,40.77,
2017-01-25,40.77,2137653.0,40.77,40.5,40.81,40.62,
2017-01-26,40.91,2902667.0,40.91,40.68,41.115,40.75,
2017-01-27,40.72,2673074.0,40.72,40.64,41.11,41.01,
2017-01-30,40.73,2252581.0,40.73,40.5,40.89,40.84,
2017-01-31,41.32,3268536.0,41.32,40.75,41.34,40.86,
2017-02-01,40.63,2721490.0,40.63,40.539,41.245,40.98,
2017-02-02,41.39,3451439.0,41.39,40.43,41.47,40.7,
2017-02-03,41.45,2127396.0,41.45,41.345,41.7,41.46,
2017-02-06,41.5,2626749.0,41.5,41.315,41.65,41.53,
2017-02-07,41.66,2972149.0,41.66,41.44,41.7474,41.49,
2017-02-08,42.06,2678285.0,42.06,41.71,42.2,41.72,
2017-02-09,41.76,2631077.0,41.76,41.62,42.23,41.95,
2017-02-10,41.94,1897396.0,41.94,41.54,41.99,41.62,
2017-02-13,42.03,2351971.0,42.03,41.7699,42.14,41.98,
2017-02-14,41.72,2110946.0,41.72,41.49,42.02,42.02,
2017-02-15,41.61,1918452.0,41.61,41.16,41.645,41.5,
2017-02-16,41.89,2008565.0,41.89,41.58,41.92,41.67,
2017-02-17,42.0,2294991.0,42.0,41.7,42.08,41.93,
2017-02-21,42.43,1813488.0,42.43,41.77,42.5,41.95,
2017-02-22,42.49,2783253.0,42.49,42.24,42.65,42.33,
2017-02-23,42.95,3600606.0,42.95,42.525,42.99,42.71,
2017-02-24,43.34,3090433.0,43.34,42.95,43.54,43.34,
2017-02-27,43.31,2334698.0,43.31,43.17,43.5,43.39,
2017-02-28,43.71,2512817.0,43.71,43.19,43.815,43.22,
2017-03-01,43.5,3383097.0,43.5,43.01,43.76,43.05,
2017-03-02,43.85,2551219.0,43.85,43.24,44.095,43.35,
2017-03-03,43.72,2174244.0,43.72,43.36,43.87,43.87,
