YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,90.89,10360622.0,90.89,90.15,91.34,90.94,
2017-01-04,89.89,9434240.0,89.89,89.75,91.15,91.12,
2017-01-05,88.55,14443183.0,88.55,88.44,90.3,90.19,
2017-01-06,88.5,16518128.0,88.5,87.82,88.98,88.79,
2017-01-09,87.04,13762259.0,87.04,86.55,88.22,88.22,
2017-01-10,85.93,13283083.0,85.93,85.91,87.31,87.17,
2017-01-11,86.81,11183689.0,86.81,85.86,86.95,85.9,
2017-01-12,86.34,10407049.0,86.34,86.07,87.38,87.27,
2017-01-13,86.35,8415603.0,86.35,86.17,86.68,86.27,
2017-01-17,87.36,13237348.0,87.36,86.25,87.39,86.58,
2017-01-18,86.28,11831695.0,86.28,86.05,87.41,87.06,
2017-01-19,84.73,16382903.0,84.73,84.59,86.1,85.97,
2017-01-20,85.89,18739659.0,85.89,85.05,85.96,85.44,
2017-01-23,84.97,11433897.0,84.97,84.75,85.88,85.68,
2017-01-24,85.09,11858111.0,85.09,84.825,85.47,84.98,
2017-01-25,85.34,9578522.0,85.34,85.25,85.88,85.34,
2017-01-26,85.6,8779446.0,85.6,85.12,85.83,85.69,
2017-01-27,85.51,10947882.0,85.51,85.0441,85.75,85.3,
2017-01-30,84.86,12789183.0,84.86,84.175,85.45,85.42,
2017-01-31,83.89,19128106.0,83.89,83.13,85.07,85.04,
2017-02-01,82.94,15111832.0,82.94,82.54,84.16,84.0,
2017-02-02,83.45,12200100.0,83.45,82.55,83.53,83.21,
2017-02-03,83.54,12746286.0,83.54,82.9,83.72,83.7,
2017-02-06,83.31,9938198.0,83.31,82.93,83.65,83.55,
2017-02-07,82.77,11705199.0,82.77,82.45,83.62,83.23,
2017-02-08,81.48,14006281.0,81.48,81.17,82.12,81.99,
2017-02-09,81.84,9602988.0,81.84,81.665,82.05,81.8,
2017-02-10,82.52,8739814.0,82.52,82.13,82.77,82.26,
2017-02-13,83.0,9071638.0,83.0,82.35,83.1837,82.77,
2017-02-14,82.82,11370525.0,82.82,82.06,83.1,82.91,
2017-02-15,83.16,11768513.0,83.16,82.4634,83.18,82.64,
2017-02-16,82.3,10614956.0,82.3,82.17,83.42,83.12,
2017-02-17,81.76,15645973.0,81.76,81.44,82.19,82.09,
2017-02-21,81.89,16419612.0,81.89,81.3,82.15,82.12,
2017-02-22,80.93,12917374.0,80.93,80.87,81.7,81.65,
2017-02-23,81.78,13847038.0,81.78,81.03,82.22,81.42,
2017-02-24,81.08,11338715.0,81.08,80.76,81.8,81.6,
2017-02-27,81.54,13465948.0,81.54,80.81,81.71,81.13,
2017-02-28,81.32,16834163.0,81.32,81.05,81.99,81.53,
2017-03-01,83.02,17482122.0,83.02,81.7,83.33,81.7,
2017-03-02,83.3,14170309.0,83.3,82.79,84.25,82.8,
2017-03-03,82.46,12304096.0,82.46,82.26,83.6,83.56,
2017-03-06,82.83,9617240.0,82.83,82.331,82.9,82.44,
2017-03-07,82.52,12711508.0,82.52,82.14,83.29,83.11,
2017-03-08,81.03,16817743.0,81.03,81.01,82.38,82.35,
2017-03-09,81.67,14721795.0,81.67,80.31,81.72,80.64,
2017-03-10,81.61,11355151.0,81.61,81.155,82.47,82.44,
2017-03-13,81.42,9571361.0,81.42,81.05,81.94,81.5,
2017-03-14,80.99,11335678.0,80.99,80.44,81.229,81.0,
2017-03-15,82.0,11970300.0,82.0,81.045,82.06,81.35,
2017-03-16,82.07,9923804.0,82.07,81.67,82.2,82.03,
2017-03-17,82.0,18834129.0,82.0,81.82,82.26,82.03,
2017-03-20,82.0,7700258.0,82.0,81.44,82.04,81.72,
2017-03-21,81.83,13387665.0,81.83,81.6,82.35,82.16,
2017-03-22,81.76,11168417.0,81.76,81.43,82.09,81.96,
2017-03-23,81.86,8927991.0,81.86,81.46,82.22,81.63,
2017-03-24,81.23,9128489.0,81.23,81.149,82.03,82.03,
2017-03-27,81.25,8481162.0,81.25,80.791,81.43,80.82,
2017-03-28,81.84,11028598.0,81.84,80.96,82.02,81.32,
2017-03-29,82.02,8495457.0,82.02,81.547,82.2833,81.69,
2017-03-30,83.7,44704931.0,83.7,81.935,83.87,82.03,
2017-03-31,82.01,21750398.0,82.01,81.86,83.31,83.26,
2017-04-03,82.07,11438652.0,82.07,81.35,82.31,82.02,
2017-04-04,82.37,9270872.0,82.37,81.33,82.42,82.1,
2017-04-05,82.53,13809062.0,82.53,82.47,83.55,82.85,
2017-04-06,83.01,9554910.0,83.01,82.46,83.21,82.75,
2017-04-07,82.76,8909620.0,82.76,82.68,83.36,83.24,
2017-04-10,83.13,8885298.0,83.13,82.92,83.47,83.12,
2017-04-11,82.84,8576521.0,82.84,82.42,83.17,83.08,
2017-04-12,82.97,9516100.0,82.97,82.7,83.35,82.86,
2017-04-13,81.69,8667873.0,81.69,81.57,82.729,82.72,
2017-04-17,81.58,9577168.0,81.58,81.435,81.97,81.85,
2017-04-18,81.05,8821414.0,81.05,81.03,81.82,81.32,
2017-04-19,80.49,10764437.0,80.49,80.3,81.51,81.17,
2017-04-20,81.01,11649051.0,81.01,80.7,81.74,80.95,
2017-04-21,80.69,9816669.0,80.69,80.47,81.0,80.93,
2017-04-24,81.11,8729701.0,81.11,80.81,81.4,81.28,
2017-04-25,81.73,10733813.0,81.73,81.2801,81.9301,81.43,
2017-04-26,81.4,9445925.0,81.4,81.3901,82.33,81.52,
2017-04-27,81.26,12385262.0,81.26,80.94,81.3,81.07,
2017-04-28,81.65,12072169.0,81.65,81.56,82.49,82.46,
2017-05-01,82.06,8664074.0,82.06,81.48,82.21,81.51,
2017-05-02,82.05,9102893.0,82.05,81.9,82.59,82.14,
2017-05-03,82.7,10289047.0,82.7,81.91,83.0699,81.97,
2017-05-04,81.64,16164528.0,81.64,81.4,82.36,82.29,
2017-05-05,82.02,10213004.0,82.02,81.61,82.235,81.63,
2017-05-08,82.89,8097077.0,82.89,82.0,82.94,82.0,
2017-05-09,82.31,8647093.0,82.31,82.16,83.0,82.96,
2017-05-10,81.91,9520322.0,81.91,81.65,82.37,82.12,
2017-05-11,82.61,10047312.0,82.61,82.1,82.71,82.59,
2017-05-12,82.55,7480240.0,82.55,82.25,82.71,82.39,
2017-05-15,82.8,10881472.0,82.8,82.65,83.1829,83.0,
2017-05-16,82.55,9574192.0,82.55,82.45,83.23,82.9,
2017-05-17,81.99,11151066.0,81.99,81.96,83.04,82.3,
2017-05-18,81.75,9905799.0,81.75,81.42,82.15,81.77,
2017-05-19,81.93,13028511.0,81.93,81.695,82.09,82.0,
2017-05-22,82.29,9218736.0,82.29,81.93,82.33,82.11,
2017-05-23,82.58,6857205.0,82.58,82.24,82.885,82.32,
2017-05-24,82.29,8263795.0,82.29,82.01,82.54,82.42,
2017-05-25,81.75,12370873.0,81.75,81.52,82.71,82.33,
2017-05-26,81.55,8227074.0,81.55,80.83,81.8,81.61,
2017-05-30,81.1,8973580.0,81.1,81.04,81.34,81.28,
2017-05-31,80.5,13572313.0,80.5,80.47,80.95,80.94,
2017-06-01,80.7,9884090.0,80.7,80.19,80.9,80.37,
2017-06-02,79.5,21687305.0,79.5,79.26,80.68,80.59,
2017-06-05,80.12,11527068.0,80.12,79.4,80.39,79.44,
2017-06-06,81.21,12208648.0,81.21,80.22,81.32,80.3,
2017-06-07,80.91,13096541.0,80.91,80.34,81.4,81.05,
2017-06-08,80.62,11720670.0,80.62,80.49,81.08,80.51,
2017-06-09,82.13,13553887.0,82.13,80.69,82.14,81.15,
2017-06-12,82.93,18172938.0,82.93,82.64,83.69,82.67,
2017-06-13,82.96,12175524.0,82.96,82.57,83.27,82.85,
2017-06-14,82.07,13713956.0,82.07,81.56,82.82,82.81,
2017-06-15,82.26,11862610.0,82.26,81.58,82.4,81.78,
2017-06-16,83.49,39726069.0,83.49,82.2,83.54,82.61,
2017-06-19,82.76,10445743.0,82.76,82.55,83.45,83.22,
2017-06-20,82.31,13232586.0,82.31,81.41,82.466,82.07,
2017-06-21,81.44,11422346.0,81.44,81.14,82.63,82.04,
2017-06-22,81.08,8139916.0,81.08,80.9,81.58,81.45,
2017-06-23,81.61,10611159.0,81.61,80.76,81.69,80.85,
2017-06-26,81.24,7718724.0,81.24,80.9073,81.75,81.57,
2017-06-27,81.11,9221642.0,81.11,81.11,81.73,81.45,
2017-06-28,81.53,9189671.0,81.53,81.185,81.76,81.41,
2017-06-29,80.7,20525077.0,80.7,80.41,81.84,81.37,
2017-06-30,80.73,14000606.0,80.73,80.7,81.241,81.08,
2017-07-03,82.1,8422283.0,82.1,80.72,82.49,80.79,
2017-07-05,80.85,9830764.0,80.85,80.515,81.68,81.68,
2017-07-06,80.12,9822388.0,80.12,80.09,81.08,80.86,
2017-07-07,80.22,10777832.0,80.22,79.81,80.595,80.2,
2017-07-10,80.16,6338262.0,80.16,79.96,80.41,80.0,
2017-07-11,80.6,9681117.0,80.6,80.0399,80.7547,80.33,
2017-07-12,80.96,7973953.0,80.96,80.75,81.515,81.19,
2017-07-13,80.97,5582349.0,80.97,80.73,81.09,80.97,
2017-07-14,81.28,7497160.0,81.28,80.77,81.41,81.0,
2017-07-17,80.86,7914701.0,80.86,80.83,81.43,81.0,
2017-07-18,80.6,8046119.0,80.6,80.41,81.08,81.02,
2017-07-19,80.85,9393178.0,80.85,80.27,80.87,80.44,
2017-07-20,80.86,9680965.0,80.86,80.75,81.49,80.97,
2017-07-21,80.12,12268605.0,80.12,80.0,80.84,80.65,
2017-07-24,79.87,9402997.0,79.87,79.76,80.22,80.06,
2017-07-25,80.27,11465272.0,80.27,80.27,81.05,80.77,
2017-07-26,80.37,10465120.0,80.37,80.2,80.9,80.58,
2017-07-27,80.83,11149690.0,80.83,79.8966,80.88,80.24,
2017-07-28,79.6,22800785.0,79.6,78.27,79.92,79.65,
2017-07-31,80.04,12820175.0,80.04,79.6,80.39,79.83,
2017-08-01,80.17,10421212.0,80.17,79.97,80.54,80.16,
2017-08-02,80.6,10410075.0,80.6,79.8,80.64,79.9,
2017-08-03,80.49,10136708.0,80.49,80.2999,80.82,80.34,
2017-08-04,80.21,8292204.0,80.21,80.05,80.56,80.44,
2017-08-07,80.16,7893753.0,80.16,79.86,80.17,80.17,
2017-08-08,79.96,9028396.0,79.96,79.83,80.215,80.02,
2017-08-09,80.21,8087101.0,80.21,79.78,80.35,80.25,
2017-08-10,78.97,12580300.0,78.97,78.91,79.78,79.76,
2017-08-11,78.21,10192375.0,78.21,78.2,79.25,79.21,
2017-08-14,78.23,8862475.0,78.23,78.12,78.79,78.62,
2017-08-15,78.04,10350948.0,78.04,77.68,78.25,78.12,
2017-08-16,77.47,9117145.0,77.47,77.31,78.17,78.04,
2017-08-17,76.26,13400356.0,76.26,76.21,77.28,77.26,
2017-08-18,76.64,14324342.0,76.64,76.05,77.11,76.18,
2017-08-21,76.38,10084930.0,76.38,76.08,76.62,76.47,
2017-08-22,76.74,9503600.0,76.74,76.53,77.335,76.55,
2017-08-23,76.61,7054254.0,76.61,76.47,77.01,76.7,
2017-08-24,76.33,8678316.0,76.33,76.2,76.65,76.5,
2017-08-25,76.72,6844875.0,76.72,76.43,77.13,76.56,
2017-08-28,76.47,8229665.0,76.47,76.26,76.94,76.9,
2017-08-29,76.45,7060375.0,76.45,76.08,76.49,76.21,
2017-08-30,76.1,8217965.0,76.1,76.06,76.45,76.24,
2017-08-31,76.33,15641735.0,76.33,76.05,76.49,76.27,
2017-09-01,76.57,7361092.0,76.57,76.32,76.85,76.37,
2017-09-05,77.18,12784845.0,77.18,76.61,77.36,76.64,
2017-09-06,78.78,18574383.0,78.78,77.58,79.225,77.89,
2017-09-07,79.03,9836447.0,79.03,78.61,79.3299,79.02,
2017-09-08,78.82,8436033.0,78.82,78.63,79.04,79.01,
2017-09-11,79.25,12955773.0,79.25,78.9,79.42,79.41,
2017-09-12,79.5,7644403.0,79.5,79.24,79.69,79.4,
2017-09-13,79.77,8369659.0,79.77,79.38,79.77,79.5,
2017-09-14,80.09,9072627.0,80.09,79.77,80.23,79.85,
2017-09-15,80.07,16043707.0,80.07,79.55,80.21,80.12,
2017-09-18,80.09,8594362.0,80.09,79.7,80.14,79.79,
2017-09-19,80.22,9277072.0,80.22,79.985,80.39,80.06,
2017-09-20,80.55,10606860.0,80.55,80.26,80.66,80.28,
2017-09-21,79.89,11984170.0,79.89,79.76,80.53,80.49,
2017-09-22,79.92,10205789.0,79.92,79.67,80.3,79.72,
2017-09-25,80.98,10496637.0,80.98,79.98,81.0,80.03,
2017-09-26,80.89,8755080.0,80.89,80.56,80.995,80.71,
2017-09-27,81.43,9724511.0,81.43,80.79,81.45,80.89,
2017-09-28,82.19,15581727.0,82.19,81.56,82.45,81.63,
2017-09-29,81.98,9943991.0,81.98,81.575,82.055,81.94,
2017-10-02,81.63,6777857.0,81.63,81.245,81.819,81.3,
2017-10-03,81.76,6081997.0,81.76,81.3,81.97,81.41,
2017-10-04,81.79,6357088.0,81.79,81.45,81.87,81.8,
2017-10-05,82.02,7375872.0,82.02,81.59,82.24,81.72,
2017-10-06,81.71,6070620.0,81.71,81.355,81.89,81.77,
2017-10-09,82.03,7489884.0,82.03,81.76,82.18,81.84,
2017-10-10,82.26,7218534.0,82.26,82.09,82.735,82.34,
2017-10-11,82.6,7023706.0,82.6,82.14,82.74,82.16,
2017-10-12,82.43,6647544.0,82.43,82.17,82.5,82.31,
2017-10-13,82.41,7180046.0,82.41,82.36,83.08,82.73,
2017-10-16,82.81,5734007.0,82.81,82.54,82.95,82.7,
2017-10-17,82.96,6444106.0,82.96,82.54,82.97,82.63,
2017-10-18,82.76,6367060.0,82.76,82.54,83.391,82.96,
2017-10-19,82.74,7945461.0,82.74,82.33,83.05,82.35,
2017-10-20,83.11,9574086.0,83.11,82.62,83.13,82.85,
2017-10-23,83.24,9829896.0,83.24,83.0401,83.76,83.15,
2017-10-24,83.47,7551187.0,83.47,83.31,83.8065,83.55,
2017-10-25,83.17,9153318.0,83.17,82.9465,83.73,83.45,
2017-10-26,83.47,9154478.0,83.47,83.11,83.65,83.37,
2017-10-27,83.71,14866246.0,83.71,82.01,84.24,83.0,
2017-10-30,83.54,7811142.0,83.54,83.41,83.95,83.71,
2017-10-31,83.35,9754213.0,83.35,83.17,83.68,83.65,
2017-11-01,83.87,9429983.0,83.87,83.26,83.94,83.39,
2017-11-02,83.53,7775467.0,83.53,82.91,83.705,83.6,
