YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,53.59,3580369.0,53.59,53.335,54.38,53.88,
2017-01-04,54.11,3316309.0,54.11,53.1,54.18,53.72,
2017-01-05,53.93,2469121.0,53.93,53.595,54.17,54.14,
2017-01-06,54.1,2845753.0,54.1,53.73,54.72,53.85,
2017-01-09,53.95,2123301.0,53.95,53.39,54.35,54.09,
2017-01-10,53.93,2087082.0,53.93,53.69,54.29,54.03,
2017-01-11,53.31,3400547.0,53.31,52.71,54.105,53.84,
2017-01-12,53.39,1513688.0,53.39,53.03,53.58,53.09,
2017-01-13,53.74,2458676.0,53.74,53.35,53.88,53.55,
2017-01-17,53.22,2213400.0,53.22,52.9302,53.6804,53.5,
2017-01-18,53.3,3199880.0,53.3,53.04,54.01,53.39,
2017-01-19,53.5,2902544.0,53.5,53.12,53.62,53.3,
2017-01-20,53.97,3573514.0,53.97,53.6,54.39,53.63,
2017-01-23,53.75,2978626.0,53.75,53.59,53.995,53.65,
2017-01-24,53.78,2490862.0,53.78,53.46,53.99,53.75,
2017-01-25,54.0,5709082.0,54.0,53.73,54.29,54.1,
2017-01-26,53.84,2272268.0,53.84,53.59,54.44,53.63,
2017-01-27,54.65,2326838.0,54.65,53.97,54.72,54.09,
2017-01-30,54.27,2317125.0,54.27,53.87,54.51,54.39,
2017-01-31,54.94,3616460.0,54.94,53.8,54.97,54.01,
2017-02-01,55.32,2492158.0,55.32,54.62,55.35,54.93,
2017-02-02,55.7,2723044.0,55.7,54.72,55.72,55.01,
2017-02-03,55.92,2309365.0,55.92,55.53,56.07,55.85,
2017-02-06,55.77,2894262.0,55.77,55.42,55.8497,55.66,
2017-02-07,55.98,2402728.0,55.98,55.685,56.32,56.11,
2017-02-08,55.96,2888874.0,55.96,55.73,56.32,55.97,
2017-02-09,55.96,2655773.0,55.96,55.91,56.5035,55.97,
2017-02-10,55.73,6160949.0,55.73,55.55,56.09,56.0,
2017-02-13,55.14,5636017.0,55.14,54.45,55.49,54.5,
2017-02-14,55.02,5216391.0,55.02,54.79,55.26,55.14,
2017-02-15,55.15,5639895.0,55.15,54.2,55.31,54.79,
2017-02-16,52.78,12881819.0,52.78,52.0,54.88,54.69,
2017-02-17,52.51,8167474.0,52.51,52.32,53.52,53.01,
2017-02-21,53.47,5931413.0,53.47,52.34,53.66,52.49,
2017-02-22,53.38,3596975.0,53.38,52.73,53.54,52.86,
2017-02-23,53.58,4673432.0,53.58,53.26,53.79,53.5,
2017-02-24,53.88,4819662.0,53.88,53.2,53.91,53.53,
2017-02-27,53.83,4220561.0,53.83,53.55,54.18,53.85,
2017-02-28,53.31,4106339.0,53.31,53.24,53.965,53.46,
2017-03-01,53.89,3581081.0,53.89,53.55,54.08,53.73,
2017-03-02,53.37,3299974.0,53.37,53.31,54.08,54.0,
2017-03-03,53.42,2483602.0,53.42,53.25,53.7175,53.34,
2017-03-06,53.08,1832305.0,53.08,52.88,53.325,53.01,
2017-03-07,53.07,2763243.0,53.07,52.64,53.375,52.86,
2017-03-08,53.0,2095304.0,53.0,52.79,53.41,53.02,
2017-03-09,53.69,3187968.0,53.69,52.91,53.715,53.05,
2017-03-10,53.34,2833539.0,53.34,53.195,53.76,53.7,
2017-03-13,53.56,2297765.0,53.56,53.24,53.625,53.33,
2017-03-14,53.42,2277529.0,53.42,53.06,53.55,53.33,
2017-03-15,54.28,2926129.0,54.28,53.39,54.39,53.39,
2017-03-16,54.43,3245909.0,54.43,54.1,54.48,54.48,
2017-03-17,54.0,4510179.0,54.0,53.85,54.82,54.62,
2017-03-20,54.28,2180574.0,54.28,53.83,54.45,54.04,
2017-03-21,53.39,3008336.0,53.39,53.24,54.79,54.47,
2017-03-22,53.87,3276789.0,53.87,53.24,53.945,53.4,
2017-03-23,53.8,3015617.0,53.8,53.595,54.19,53.89,
2017-03-24,53.85,2384029.0,53.85,53.59,54.21,53.85,
2017-03-27,53.97,3168491.0,53.97,53.4,54.17,53.49,
2017-03-28,54.16,2328150.0,54.16,53.69,54.31,53.81,
2017-03-29,53.82,2269855.0,53.82,53.72,54.27,54.04,
2017-03-30,53.47,2697544.0,53.47,53.25,53.82,53.82,
2017-03-31,53.37,3163836.0,53.37,52.98,53.645,52.98,
2017-04-03,53.17,2806458.0,53.17,52.82,53.45,53.35,
2017-04-04,52.65,3002457.0,52.65,52.37,53.17,53.07,
2017-04-05,52.67,3762934.0,52.67,52.62,53.325,52.74,
2017-04-06,52.67,4210467.0,52.67,52.25,52.76,52.68,
2017-04-07,52.54,2218732.0,52.54,52.37,52.755,52.58,
2017-04-10,52.74,1772287.0,52.74,52.47,53.06,52.6,
2017-04-11,52.85,1976384.0,52.85,52.36,52.86,52.57,
2017-04-12,53.22,2764541.0,53.22,52.53,53.23,52.57,
2017-04-13,53.1,2104936.0,53.1,52.96,53.36,53.11,
2017-04-17,53.5,1975296.0,53.5,53.0,53.57,53.09,
2017-04-18,53.55,2194420.0,53.55,53.05,53.64,53.2,
2017-04-19,53.85,4102669.0,53.85,53.64,54.19,53.72,
2017-04-20,54.29,2233370.0,54.29,53.6516,54.46,53.99,
2017-04-21,54.19,2124663.0,54.19,54.0,54.38,54.23,
2017-04-24,54.99,2770642.0,54.99,54.59,55.15,54.68,
2017-04-25,55.12,4346140.0,55.12,54.7,55.16,55.12,
2017-04-26,55.57,2665816.0,55.57,55.08,55.68,55.15,
2017-04-27,56.46,2986421.0,56.46,55.52,56.65,55.66,
2017-04-28,56.11,3341793.0,56.11,56.08,56.62,56.46,
2017-05-01,56.28,3607817.0,56.28,56.03,56.56,56.14,
2017-05-02,56.47,3728559.0,56.47,55.89,56.53,56.29,
2017-05-03,55.59,5795937.0,55.59,55.5,56.4,56.09,
2017-05-04,58.87,6923157.0,58.87,55.48,59.6025,55.48,
2017-05-05,59.47,6896027.0,59.47,58.48,59.61,58.76,
2017-05-08,58.81,3160708.0,58.81,58.3,59.74,59.39,
2017-05-09,59.43,3130507.0,59.43,58.55,59.69,58.8,
2017-05-10,59.9,4052762.0,59.9,58.99,60.125,58.99,
2017-05-11,59.72,3175456.0,59.72,59.25,59.89,59.68,
2017-05-12,59.88,3425146.0,59.88,59.57,60.19,60.03,
2017-05-15,60.0,2319379.0,60.0,59.56,60.07,59.77,
2017-05-16,60.33,1816297.0,60.33,59.9,60.38,60.24,
2017-05-17,59.73,2397563.0,59.73,59.69,60.19,59.86,
2017-05-18,59.91,1583662.0,59.91,59.61,60.29,59.73,
2017-05-19,60.31,2567745.0,60.31,59.94,60.61,59.98,
2017-05-22,60.31,3117309.0,60.31,60.28,60.88,60.39,
2017-05-23,61.43,3330549.0,61.43,60.5,61.46,60.5,
2017-05-24,62.3,3869148.0,62.3,61.39,62.485,61.43,
2017-05-25,62.58,2864917.0,62.58,62.17,62.6358,62.56,
2017-05-26,62.61,1985460.0,62.61,62.385,63.11,62.78,
2017-05-30,62.26,2884394.0,62.26,61.86,62.7,62.45,
2017-05-31,62.28,3789807.0,62.28,62.1,62.7,62.58,
2017-06-01,62.64,3112530.0,62.64,61.99,62.64,62.45,
2017-06-02,62.5,4110099.0,62.5,62.39,63.3,62.78,
2017-06-05,62.67,3364563.0,62.67,62.15,62.78,62.42,
2017-06-06,62.98,2420424.0,62.98,62.49,63.08,62.5,
2017-06-07,63.26,1904655.0,63.26,62.85,63.42,62.93,
2017-06-08,62.58,3201991.0,62.58,62.46,63.49,63.41,
2017-06-09,62.59,2021775.0,62.59,62.37,63.1,62.49,
2017-06-12,61.85,4522559.0,61.85,61.26,62.71,62.61,
2017-06-13,61.96,2007271.0,61.96,60.92,62.3,61.72,
2017-06-14,62.23,1822111.0,62.23,61.71,62.6,62.01,
2017-06-15,62.39,1605500.0,62.39,61.73,62.54,61.83,
2017-06-16,62.55,2821302.0,62.55,62.265,63.0,62.73,
2017-06-19,63.03,1839510.0,63.03,62.79,63.29,62.88,
2017-06-20,63.0,2077458.0,63.0,62.85,63.845,63.38,
2017-06-21,63.0,2363021.0,63.0,62.84,63.48,63.13,
2017-06-22,63.51,2379279.0,63.51,62.81,63.84,63.0,
2017-06-23,62.78,5215502.0,62.78,62.48,63.52,63.5,
2017-06-26,62.72,1911717.0,62.72,62.24,62.92,62.87,
2017-06-27,62.76,2330039.0,62.76,62.62,63.2,62.72,
2017-06-28,62.95,1635153.0,62.95,62.61,63.46,63.0,
2017-06-29,62.5,1782124.0,62.5,62.05,63.28,63.07,
2017-06-30,62.38,1890227.0,62.38,62.37,62.93,62.46,
2017-07-03,62.67,744262.0,62.67,62.27,62.84,62.4,
2017-07-05,62.55,3000331.0,62.55,62.335,62.88,62.71,
2017-07-06,61.79,2319605.0,61.79,61.66,62.5,62.35,
