seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 1 | Train Loss: 0.1901149 | Vali Loss: 0.1224333 | Test Loss: 0.1212840 | Mae Loss: 0.3056722 | SMAPE: 8.8724937 | MASE: 1.7768300
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 2 | Train Loss: 0.1857875 | Vali Loss: 0.1156851 | Test Loss: 0.1177760 | Mae Loss: 0.2933174 | SMAPE: 12.8672895 | MASE: 2.2716630
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 3 | Train Loss: 0.1679068 | Vali Loss: 0.0803255 | Test Loss: 0.0898213 | Mae Loss: 0.2319233 | SMAPE: 5.8926306 | MASE: 0.9828371
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 4 | Train Loss: 0.1050200 | Vali Loss: 0.0564496 | Test Loss: 0.0460160 | Mae Loss: 0.2009357 | SMAPE: 11.4326639 | MASE: 1.8758937
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 5 | Train Loss: 0.0821592 | Vali Loss: 0.0517478 | Test Loss: 0.0443336 | Mae Loss: 0.1926790 | SMAPE: 7.8535185 | MASE: 1.4405789
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 6 | Train Loss: 0.0890453 | Vali Loss: 0.0509567 | Test Loss: 0.0444936 | Mae Loss: 0.1863643 | SMAPE: 9.3060932 | MASE: 1.9086741
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 7 | Train Loss: 0.0825272 | Vali Loss: 0.0523782 | Test Loss: 0.0439791 | Mae Loss: 0.1914805 | SMAPE: 7.3791051 | MASE: 1.1190974
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 8 | Train Loss: 0.0859321 | Vali Loss: 0.0514120 | Test Loss: 0.0437425 | Mae Loss: 0.1852098 | SMAPE: 7.5243912 | MASE: 1.1988840
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 9 | Train Loss: 0.0747215 | Vali Loss: 0.0522446 | Test Loss: 0.0435238 | Mae Loss: 0.1873871 | SMAPE: 7.2262926 | MASE: 1.4058220
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 10 | Train Loss: 0.0724147 | Vali Loss: 0.0519004 | Test Loss: 0.0434821 | Mae Loss: 0.1891128 | SMAPE: 8.7079849 | MASE: 1.8063546
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 1 | Train Loss: 0.4257548 | Vali Loss: 0.2260948 | Test Loss: 0.2117603 | Mae Loss: 0.3910299 | SMAPE: 14.4656334 | MASE: 2.1891329
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 2 | Train Loss: 0.3696800 | Vali Loss: 0.2279000 | Test Loss: 0.2468272 | Mae Loss: 0.3985769 | SMAPE: 15.3567104 | MASE: 2.5002849
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 3 | Train Loss: 0.3387210 | Vali Loss: 0.1593332 | Test Loss: 0.1574710 | Mae Loss: 0.3456530 | SMAPE: 12.2518206 | MASE: 2.0794888
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 4 | Train Loss: 0.1967524 | Vali Loss: 0.1298433 | Test Loss: 0.0896802 | Mae Loss: 0.3095491 | SMAPE: 10.6508093 | MASE: 1.8336440
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 5 | Train Loss: 0.1352749 | Vali Loss: 0.0666718 | Test Loss: 0.1074303 | Mae Loss: 0.2047887 | SMAPE: 7.9136810 | MASE: 1.3501351
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 6 | Train Loss: 0.1345258 | Vali Loss: 0.1184638 | Test Loss: 0.0995838 | Mae Loss: 0.2924225 | SMAPE: 14.4362907 | MASE: 2.2289762
