seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 1 | Train Loss: 0.0434172 | Vali Loss: 0.0650197 | Test Loss: 0.0954139 | Mae Loss: 0.2183486 | SMAPE: 26.7261124 | MASE: 3.2333927
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 2 | Train Loss: 0.0422854 | Vali Loss: 0.1161792 | Test Loss: 0.1635275 | Mae Loss: 0.2820708 | SMAPE: 28.3939800 | MASE: 2.7361915
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 3 | Train Loss: 0.0430329 | Vali Loss: 0.0800820 | Test Loss: 0.1189372 | Mae Loss: 0.2349852 | SMAPE: 21.4269199 | MASE: 1.9569471
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 4 | Train Loss: 0.0416209 | Vali Loss: 0.0867273 | Test Loss: 0.1176921 | Mae Loss: 0.2468984 | SMAPE: 34.9841309 | MASE: 3.6018913
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 5 | Train Loss: 0.0360713 | Vali Loss: 0.0515828 | Test Loss: 0.0684308 | Mae Loss: 0.1946046 | SMAPE: 24.8487949 | MASE: 3.2144678
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 6 | Train Loss: 0.0294435 | Vali Loss: 0.0270721 | Test Loss: 0.0338009 | Mae Loss: 0.1387691 | SMAPE: 17.9386940 | MASE: 2.5012200
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 7 | Train Loss: 0.0255621 | Vali Loss: 0.0218488 | Test Loss: 0.0247676 | Mae Loss: 0.1159759 | SMAPE: 16.3302097 | MASE: 1.5162388
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 8 | Train Loss: 0.0250517 | Vali Loss: 0.0199083 | Test Loss: 0.0220700 | Mae Loss: 0.1038035 | SMAPE: 19.5068588 | MASE: 2.2625246
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 9 | Train Loss: 0.0259444 | Vali Loss: 0.0217686 | Test Loss: 0.0218106 | Mae Loss: 0.1131313 | SMAPE: 14.1693678 | MASE: 1.3061841
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 10 | Train Loss: 0.0268926 | Vali Loss: 0.0202403 | Test Loss: 0.0217922 | Mae Loss: 0.1063751 | SMAPE: 13.2191792 | MASE: 1.8489069
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 1 | Train Loss: 0.0997687 | Vali Loss: 0.1918039 | Test Loss: 0.3181342 | Mae Loss: 0.4176206 | SMAPE: 48.3358192 | MASE: 5.6537566
