seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 1 | Train Loss: 0.0441736 | Vali Loss: 0.0374314 | Test Loss: 0.0408653 | Mae Loss: 0.1415581 | SMAPE: 5.1668849 | MASE: 2.6214354
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 2 | Train Loss: 0.0337809 | Vali Loss: 0.0374523 | Test Loss: 0.0441170 | Mae Loss: 0.1437755 | SMAPE: 8.5093231 | MASE: 3.2980154
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 1 | Train Loss: 0.0441736 | Vali Loss: 0.0374314 | Test Loss: 0.0408653 | Mae Loss: 0.1415581 | SMAPE: 5.1668849 | MASE: 2.6214354
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 2 | Train Loss: 0.0337809 | Vali Loss: 0.0374523 | Test Loss: 0.0441170 | Mae Loss: 0.1437755 | SMAPE: 8.5093231 | MASE: 3.2980154
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 3 | Train Loss: 0.0343497 | Vali Loss: 0.0164341 | Test Loss: 0.0220245 | Mae Loss: 0.1036476 | SMAPE: 3.4174726 | MASE: 1.6849208
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 4 | Train Loss: 0.0377886 | Vali Loss: 0.0200409 | Test Loss: 0.0268757 | Mae Loss: 0.1067984 | SMAPE: 4.8674564 | MASE: 2.3538969
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 5 | Train Loss: 0.0298434 | Vali Loss: 0.0199055 | Test Loss: 0.0244254 | Mae Loss: 0.1056596 | SMAPE: 4.5328093 | MASE: 1.7397343
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 6 | Train Loss: 0.0280358 | Vali Loss: 0.0167478 | Test Loss: 0.0207217 | Mae Loss: 0.0973827 | SMAPE: 3.6613584 | MASE: 1.5979921
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 7 | Train Loss: 0.0251991 | Vali Loss: 0.0150130 | Test Loss: 0.0188274 | Mae Loss: 0.0917302 | SMAPE: 3.7879148 | MASE: 1.7492526
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 8 | Train Loss: 0.0233220 | Vali Loss: 0.0132706 | Test Loss: 0.0177024 | Mae Loss: 0.0845775 | SMAPE: 3.5471969 | MASE: 1.3976190
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 9 | Train Loss: 0.0255397 | Vali Loss: 0.0135393 | Test Loss: 0.0173950 | Mae Loss: 0.0856446 | SMAPE: 4.7536106 | MASE: 2.3269806
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 10 | Train Loss: 0.0253872 | Vali Loss: 0.0128803 | Test Loss: 0.0173505 | Mae Loss: 0.0818976 | SMAPE: 2.7490127 | MASE: 1.3888730
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 1 | Train Loss: 0.0995063 | Vali Loss: 0.0606740 | Test Loss: 0.0479260 | Mae Loss: 0.1939927 | SMAPE: 7.6574044 | MASE: 3.4476533
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 2 | Train Loss: 0.0702650 | Vali Loss: 0.0479141 | Test Loss: 0.0432158 | Mae Loss: 0.1557159 | SMAPE: 8.4237022 | MASE: 3.5035658
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 3 | Train Loss: 0.0693121 | Vali Loss: 0.0518851 | Test Loss: 0.0479024 | Mae Loss: 0.1721737 | SMAPE: 6.6368432 | MASE: 3.0560231
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 4 | Train Loss: 0.0716888 | Vali Loss: 0.0360457 | Test Loss: 0.0422824 | Mae Loss: 0.1231345 | SMAPE: 6.5395775 | MASE: 3.3846810
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 5 | Train Loss: 0.0512825 | Vali Loss: 0.0466611 | Test Loss: 0.0365876 | Mae Loss: 0.1479947 | SMAPE: 6.0408144 | MASE: 2.6611123
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 6 | Train Loss: 0.0630040 | Vali Loss: 0.0285255 | Test Loss: 0.0361827 | Mae Loss: 0.1125835 | SMAPE: 7.1999631 | MASE: 3.4211912
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 7 | Train Loss: 0.0530737 | Vali Loss: 0.0524418 | Test Loss: 0.0366276 | Mae Loss: 0.1729174 | SMAPE: 4.3793097 | MASE: 2.2353294
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 8 | Train Loss: 0.0536682 | Vali Loss: 0.0302685 | Test Loss: 0.0361682 | Mae Loss: 0.1195175 | SMAPE: 7.2618313 | MASE: 3.2028413
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 9 | Train Loss: 0.0537943 | Vali Loss: 0.0381339 | Test Loss: 0.0355855 | Mae Loss: 0.1270521 | SMAPE: 8.9752579 | MASE: 3.2727995
