seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 1 | Train Loss: 0.5380212 | Vali Loss: 0.2058136 | Test Loss: 0.1621085 | Mae Loss: 0.3940414 | SMAPE: 9.7017632 | MASE: 1.6256635
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 2 | Train Loss: 0.5475415 | Vali Loss: 0.1678085 | Test Loss: 0.1631938 | Mae Loss: 0.3599671 | SMAPE: 14.4789743 | MASE: 2.4174669
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 3 | Train Loss: 0.5357160 | Vali Loss: 0.1964280 | Test Loss: 0.1624307 | Mae Loss: 0.3927474 | SMAPE: 13.8167601 | MASE: 2.1498399
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 4 | Train Loss: 0.4795759 | Vali Loss: 0.1851856 | Test Loss: 0.1529161 | Mae Loss: 0.3726439 | SMAPE: 13.5139580 | MASE: 2.3907168
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 5 | Train Loss: 0.4117435 | Vali Loss: 0.1319976 | Test Loss: 0.1339498 | Mae Loss: 0.3133702 | SMAPE: 11.2266760 | MASE: 1.6573635
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 6 | Train Loss: 0.3646673 | Vali Loss: 0.1067325 | Test Loss: 0.1295041 | Mae Loss: 0.2836589 | SMAPE: 9.8627176 | MASE: 1.6953095
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 7 | Train Loss: 0.3081717 | Vali Loss: 0.0939926 | Test Loss: 0.1273019 | Mae Loss: 0.2635172 | SMAPE: 9.2498503 | MASE: 1.5528337
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 8 | Train Loss: 0.2978760 | Vali Loss: 0.0841770 | Test Loss: 0.1263799 | Mae Loss: 0.2469424 | SMAPE: 9.1888533 | MASE: 1.5947727
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 9 | Train Loss: 0.2860593 | Vali Loss: 0.0820067 | Test Loss: 0.1256397 | Mae Loss: 0.2435107 | SMAPE: 8.7701464 | MASE: 1.4579111
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 10 | Train Loss: 0.2672268 | Vali Loss: 0.0798569 | Test Loss: 0.1254853 | Mae Loss: 0.2392219 | SMAPE: 8.2292471 | MASE: 1.3873959
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 1 | Train Loss: 0.6634822 | Vali Loss: 0.1570419 | Test Loss: 0.8316718 | Mae Loss: 0.3196152 | SMAPE: 11.8121500 | MASE: 2.5283132
