seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 1 | Train Loss: 0.2437897 | Vali Loss: 0.0957847 | Test Loss: 0.3341723 | Mae Loss: 0.2323213 | SMAPE: 88.0512085 | MASE: 1.6084023
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 2 | Train Loss: 0.2176455 | Vali Loss: 0.1040800 | Test Loss: 0.3386140 | Mae Loss: 0.2445081 | SMAPE: 112.0022659 | MASE: 1.9907521
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 3 | Train Loss: 0.1731051 | Vali Loss: 0.0908611 | Test Loss: 0.1772699 | Mae Loss: 0.2209139 | SMAPE: 96.4497223 | MASE: 1.1784450
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 4 | Train Loss: 0.1184342 | Vali Loss: 0.1046472 | Test Loss: 0.1426594 | Mae Loss: 0.2417539 | SMAPE: 108.4510117 | MASE: 1.9236392
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 5 | Train Loss: 0.1174728 | Vali Loss: 0.0837722 | Test Loss: 0.1333821 | Mae Loss: 0.2176185 | SMAPE: 93.5972214 | MASE: 1.4122527
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 6 | Train Loss: 0.1138495 | Vali Loss: 0.1050576 | Test Loss: 0.1268979 | Mae Loss: 0.2478683 | SMAPE: 80.3763657 | MASE: 1.4880514
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 7 | Train Loss: 0.1062155 | Vali Loss: 0.1074841 | Test Loss: 0.1211426 | Mae Loss: 0.2502398 | SMAPE: 93.9849167 | MASE: 1.5192255
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 8 | Train Loss: 0.0806384 | Vali Loss: 0.1081912 | Test Loss: 0.1189000 | Mae Loss: 0.2490110 | SMAPE: 92.1047440 | MASE: 1.4108518
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 9 | Train Loss: 0.1100535 | Vali Loss: 0.1071072 | Test Loss: 0.1181144 | Mae Loss: 0.2442408 | SMAPE: 85.1677399 | MASE: 1.5845581
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 10 | Train Loss: 0.0853170 | Vali Loss: 0.1093327 | Test Loss: 0.1176304 | Mae Loss: 0.2490518 | SMAPE: 74.4919968 | MASE: 1.6427286
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 1 | Train Loss: 0.4360978 | Vali Loss: 0.1201256 | Test Loss: 0.7949871 | Mae Loss: 0.2825395 | SMAPE: 115.2980194 | MASE: 1.5493982
