seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 1 | Train Loss: 0.1325677 | Vali Loss: 0.0449224 | Test Loss: 0.0907008 | Mae Loss: 0.1449995 | SMAPE: 4.4023261 | MASE: 1.0113800
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 2 | Train Loss: 0.1136107 | Vali Loss: 0.0458633 | Test Loss: 0.0905642 | Mae Loss: 0.1497162 | SMAPE: 5.2989521 | MASE: 1.2991894
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 3 | Train Loss: 0.1319068 | Vali Loss: 0.0451461 | Test Loss: 0.0914514 | Mae Loss: 0.1458256 | SMAPE: 7.2666421 | MASE: 1.2758046
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 4 | Train Loss: 0.1340719 | Vali Loss: 0.0437414 | Test Loss: 0.0922113 | Mae Loss: 0.1431651 | SMAPE: 5.5972323 | MASE: 1.2913004
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 5 | Train Loss: 0.1331122 | Vali Loss: 0.0445585 | Test Loss: 0.0929580 | Mae Loss: 0.1440471 | SMAPE: 5.1211329 | MASE: 1.1474882
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 6 | Train Loss: 0.1224472 | Vali Loss: 0.0453076 | Test Loss: 0.0936427 | Mae Loss: 0.1486449 | SMAPE: 4.1478992 | MASE: 1.0561846
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 7 | Train Loss: 0.1334864 | Vali Loss: 0.0452364 | Test Loss: 0.0943390 | Mae Loss: 0.1481012 | SMAPE: 5.7027574 | MASE: 1.2371324
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 8 | Train Loss: 0.1325897 | Vali Loss: 0.0450961 | Test Loss: 0.0949469 | Mae Loss: 0.1481929 | SMAPE: 5.8253369 | MASE: 1.3799666
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 9 | Train Loss: 0.1318383 | Vali Loss: 0.0451296 | Test Loss: 0.0952978 | Mae Loss: 0.1489046 | SMAPE: 6.0727739 | MASE: 1.2525403
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 10 | Train Loss: 0.1247275 | Vali Loss: 0.0449728 | Test Loss: 0.0956097 | Mae Loss: 0.1479152 | SMAPE: 4.0906115 | MASE: 1.1736733
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 1 | Train Loss: 0.2113782 | Vali Loss: 0.0483218 | Test Loss: 0.3408238 | Mae Loss: 0.1722213 | SMAPE: 7.4714327 | MASE: 1.4192845
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 2 | Train Loss: 0.1753097 | Vali Loss: 0.0490959 | Test Loss: 0.3498307 | Mae Loss: 0.1775095 | SMAPE: 10.4361048 | MASE: 2.1123850
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 3 | Train Loss: 0.1696113 | Vali Loss: 0.0358368 | Test Loss: 0.3151508 | Mae Loss: 0.1585450 | SMAPE: 7.5567112 | MASE: 1.6343497
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 4 | Train Loss: 0.1693101 | Vali Loss: 0.0340602 | Test Loss: 0.3428340 | Mae Loss: 0.1472745 | SMAPE: 7.2994380 | MASE: 1.5426880
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 5 | Train Loss: 0.1691799 | Vali Loss: 0.0335665 | Test Loss: 0.2825463 | Mae Loss: 0.1532766 | SMAPE: 5.3918591 | MASE: 1.0618113
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 6 | Train Loss: 0.1727573 | Vali Loss: 0.0235767 | Test Loss: 0.2962975 | Mae Loss: 0.1234025 | SMAPE: 8.8098946 | MASE: 1.7581795
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 7 | Train Loss: 0.1624040 | Vali Loss: 0.0348741 | Test Loss: 0.3031087 | Mae Loss: 0.1533775 | SMAPE: 6.8255978 | MASE: 1.8105085
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 8 | Train Loss: 0.1578859 | Vali Loss: 0.0255955 | Test Loss: 0.3075934 | Mae Loss: 0.1262990 | SMAPE: 9.7108889 | MASE: 2.0884337
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 9 | Train Loss: 0.1658370 | Vali Loss: 0.0444364 | Test Loss: 0.3090925 | Mae Loss: 0.1746970 | SMAPE: 10.2310944 | MASE: 1.7909650
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 10 | Train Loss: 0.1577799 | Vali Loss: 0.0348429 | Test Loss: 0.3101957 | Mae Loss: 0.1547207 | SMAPE: 7.9593749 | MASE: 1.3707463
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 1 | Train Loss: 0.2666309 | Vali Loss: 0.2362221 | Test Loss: 0.4908120 | Mae Loss: 0.4190136 | SMAPE: 17.9284267 | MASE: 3.8196757
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 2 | Train Loss: 0.2112956 | Vali Loss: 0.0775776 | Test Loss: 0.4296089 | Mae Loss: 0.2372485 | SMAPE: 15.3847666 | MASE: 3.5322742
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 3 | Train Loss: 0.2019184 | Vali Loss: 0.0629253 | Test Loss: 0.3701856 | Mae Loss: 0.2002089 | SMAPE: 11.7352591 | MASE: 2.1486537
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 4 | Train Loss: 0.1936281 | Vali Loss: 0.0681947 | Test Loss: 0.3975204 | Mae Loss: 0.2257558 | SMAPE: 14.7428541 | MASE: 3.0448236
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 5 | Train Loss: 0.1949987 | Vali Loss: 0.0795230 | Test Loss: 0.3948829 | Mae Loss: 0.2480562 | SMAPE: 12.4054956 | MASE: 2.4009099
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 6 | Train Loss: 0.1777261 | Vali Loss: 0.0838872 | Test Loss: 0.4071646 | Mae Loss: 0.2520085 | SMAPE: 12.1290121 | MASE: 2.1788080
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 7 | Train Loss: 0.1854139 | Vali Loss: 0.0768897 | Test Loss: 0.3969816 | Mae Loss: 0.2376081 | SMAPE: 12.6892967 | MASE: 3.1368999
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 8 | Train Loss: 0.1992174 | Vali Loss: 0.0754486 | Test Loss: 0.3926866 | Mae Loss: 0.2389809 | SMAPE: 14.3665867 | MASE: 2.7828603
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 9 | Train Loss: 0.1942137 | Vali Loss: 0.0667258 | Test Loss: 0.3909497 | Mae Loss: 0.2218603 | SMAPE: 13.3818817 | MASE: 3.4754283
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 10 | Train Loss: 0.1885620 | Vali Loss: 0.0594141 | Test Loss: 0.3905647 | Mae Loss: 0.2044403 | SMAPE: 13.1431656 | MASE: 2.7295122
